note-000027,species-10010,出現時期,4~8月,日本産タマムシ大図鑑,,1873
note-000028,species-10014,生態情報,成虫はアオハダ、クロガネモチ、ソヨゴ、ツゲ、ソメイヨシノなどに集まる。,日本産タマムシ大図鑑,,
note-000029,species-10014,出現時期,5月中旬~8月上旬,日本産タマムシ大図鑑,,
note-000030,species-10015,生態情報,成虫はエノキの太い枯れ枝やウロに飛来する。,日本産タマムシ大図鑑,,
note-000031,species-10015,出現時期,5月中旬~7月,日本産タマムシ大図鑑,,
note-000032,species-10016,生態情報,成虫はミズナラやクリの枯れ枝に集まる。,日本産タマムシ大図鑑,,
note-000033,species-10016,出現時期,5月下旬~8月上旬,日本産タマムシ大図鑑,,
note-000034,species-10017,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000035,species-10018,生態情報,幼虫はヒノキ、スギ、ネズを食害する。成虫はハゼノキなどの生葉を後食する。,日本産タマムシ大図鑑,,
note-000036,species-10018,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000037,species-10021,生態情報,成虫はミヤマハンノキ、ヤマハンノキ、ミネヤナギ、ネコヤナギなどの生葉に集まり、同木の衰弱木を食害する。,日本産タマムシ大図鑑,,
note-000038,species-10021,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000039,species-10023,生態情報,成虫はカンバ類、ヤナギ類、ハンノキ類の倒木、枯れ木、伐採木等に集まる。,日本産タマムシ大図鑑,,
note-000040,species-10023,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000041,species-10024,生態情報,幼虫はモミ、スギ、ツガの枯れ木を食害する。スギやヒノキ。モミの樹皮下で越冬し。,日本産タマムシ大図鑑,,
note-000041-E01,species-10024,出現時期,成虫は晩夏に羽化脱出し。翌年に再活動する。,日本産タマムシ大図鑑,,
note-000042,species-10024,出現時期,晩夏に羽化、越冬後再活動,日本産タマムシ大図鑑,,
note-000043,species-10025,生態情報,成虫はシマグワの古木の幹に飛来する。,日本産タマムシ大図鑑,,
note-000044,species-10025,出現時期,7月,日本産タマムシ大図鑑,,
note-000045,species-10026,生態情報,成虫は大きなシマグワの幹に飛来する。,日本産タマムシ大図鑑,,
note-000046,species-10026,出現時期,不明,日本産タマムシ大図鑑,,
note-000047,species-10027,生態情報,成虫はリュウキュウマツの立ち枯れや伐採木に集まる。,日本産タマムシ大図鑑,,
note-000048,species-10027,出現時期,7~8月,日本産タマムシ大図鑑,,
note-000049,species-10029,生態情報,成虫はマツ類の枯れ木や伐採木に集まる。雄はヒメコマツ（ゴヨウマツ）の孤立木樹冠に集まる。,日本産タマムシ大図鑑,,
note-000050,species-10029,出現時期,5-8月,日本産タマムシ大図鑑,,
note-000051,species-10030,生態情報,成虫はドロノキの倒木幹に飛来する。,日本産タマムシ大図鑑,,
note-000052,species-10030,出現時期,7~8月,日本産タマムシ大図鑑,,
note-000053,species-10031,生態情報,成虫はモミやマツ類の枯れ木や伐採木に集まり、灯火にも飛来する。近年、ブナの生葉を後食することが観察された。,日本産タマムシ大図鑑,,
note-000054,species-10031,出現時期,7~8月,日本産タマムシ大図鑑,,
note-000055,species-10032,生態情報,成虫はマツ類の衰弱木や新鮮な伐採木に集まり、焦げた立木や煙に飛来した記録がある。,日本産タマムシ大図鑑,,
note-000056,species-10032,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000057,species-10033,生態情報,成虫は各種の花に集まり、コクタンを食害する。,日本産タマムシ大図鑑,,
note-000058,species-10033,出現時期,5~7月,日本産タマムシ大図鑑,,
note-000059,species-10034,生態情報,成虫は各種の花に集まり、アデクやムニンエノキを食害する。,日本産タマムシ大図鑑,,
note-000060,species-10034,出現時期,6~7月,日本産タマムシ大図鑑,,
note-000061,species-10036,生態情報,成虫はアベマキ、コナラ、クヌギなどのひこばえに集まり、ノイバラなどの花にも集まる。,日本産タマムシ大図鑑,,
note-000062,species-10036,出現時期,5~7月,日本産タマムシ大図鑑,,
note-000063,species-10037,生態情報,成虫は各種の花やマツ類の枯れ枝に集まる。,日本産タマムシ大図鑑,,
note-000064,species-10037,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000065,species-10038,生態情報,成虫はリュウキュウマツの枯れ木や各種の花に集まる。,日本産タマムシ大図鑑,,
note-000066,species-10038,出現時期,5~7月,日本産タマムシ大図鑑,,
note-000067,species-10039,生態情報,成虫はリュウキュウマツの枯れ枝や各種の花に集まる。,日本産タマムシ大図鑑,,
note-000068,species-10039,出現時期,4~7月,日本産タマムシ大図鑑,,
note-000069,species-10040,生態情報,成虫はリュウキュウマツの枯れ枝や各種の花に集まる。,日本産タマムシ大図鑑,,
note-000070,species-10040,出現時期,4~6月,日本産タマムシ大図鑑,,
note-000071,species-10041,生態情報,各種広葉樹やマツ類、時にはイチョウの枯れ枝や伐採枝に集まる。,日本産タマムシ大図鑑,,
note-000072,species-10041,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000073,species-10042,生態情報,成虫はダケカンバやカエデの枯れ木に飛来する。,日本産タマムシ大図鑑,,
note-000074,species-10042,出現時期,6-8月,日本産タマムシ大図鑑,,
note-000075,species-10043,生態情報,成虫はマツ類の枯れ木や伐採木に集まる。,日本産タマムシ大図鑑,,
note-000076,species-10043,出現時期,5~7月,日本産タマムシ大図鑑,,
note-000077,species-10044,生態情報,成虫はモミやマツ類の枯れ木や伐採木に集まる。,日本産タマムシ大図鑑,,
note-000078,species-10044,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000079,species-10045,生態情報,成虫はクリやアベマキの枯れ枝や伐採枝に集まる。,日本産タマムシ大図鑑,,
note-000080,species-10045,出現時期,4月末~6月頃,日本産タマムシ大図鑑,,
note-000081,species-10049,生態情報,成虫はマツ類の衰弱木、枯れ木、伐採木に集まる。,日本産タマムシ大図鑑,,
note-000082,species-10049,出現時期,7~8月,日本産タマムシ大図鑑,,
note-000083,species-10050,生態情報,成虫はクヌギやアカガシなどの枯木や伐採木に集まる。,日本産タマムシ大図鑑,,
note-000084,species-10050,出現時期,5~9月,日本産タマムシ大図鑑,,
note-000085,species-10051,生態情報,成虫はサルスベリの生葉に集まる。,日本産タマムシ大図鑑,,
note-000086,species-10051,出現時期,5~7月,日本産タマムシ大図鑑,,
note-000087,species-10053,生態情報,クヌギ、コナラ、アベマキなどの生葉のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000088,species-10053,出現時期,5~7月,日本産タマムシ大図鑑,,
note-000089,species-10054,生態情報,山間地のオニグルミの生葉をスウィーピングして採集される。,日本産タマムシ大図鑑,,
note-000090,species-10054,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000091,species-10055,生態情報,ネコヤナギやケショウヤナギなどの細葉のヤナギ類の生葉をスウィーピングして採集される。,日本産タマムシ大図鑑,,
note-000092,species-10055,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000093,species-10057,生態情報,ブナの梢のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000094,species-10057,出現時期,7月,日本産タマムシ大図鑑,,
note-000095,species-10058,生態情報,シイ類のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000096,species-10058,出現時期,7~8月,日本産タマムシ大図鑑,,
note-000097,species-10059,生態情報,イスノキの新鮮な枯れ枝から脱出。成虫はイスノキの生葉に集まる。,日本産タマムシ大図鑑,,
note-000098,species-10059,出現時期,不明,日本産タマムシ大図鑑,,
note-000099,species-10060,生態情報,シイ類やカシ類の生葉をスウィーピングして採集される。,日本産タマムシ大図鑑,,
note-000100,species-10060,出現時期,5~6月,日本産タマムシ大図鑑,,
note-000101,species-10065,生態情報,幼虫はクマイチゴなどのキイチゴ類の根部を加害し、成虫はその生葉上に多い。,日本産タマムシ大図鑑,,
note-000102,species-10065,出現時期,4~8月,日本産タマムシ大図鑑,,
note-000103,species-10067,生態情報,ミズナラの高所枝先のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000104,species-10067,出現時期,6~9月,日本産タマムシ大図鑑,,
note-000105,species-10068,生態情報,タンナサワフタギを加害し、その生葉のスウィーピングによって採集される。,日本産タマムシ大図鑑,,
note-000106,species-10068,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000107,species-10069,生態情報,ナカハラクロキを寄主植物としていることが確認され、成虫も生葉のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000108,species-10069,出現時期,5月中旬~7月上旬,日本産タマムシ大図鑑,,
note-000109,species-10070,生態情報,大分県ではエゴノキのスウィーピングで得られている。,日本産タマムシ大図鑑,,
note-000110,species-10070,出現時期,4~7月,日本産タマムシ大図鑑,,
note-000111,species-10072,生態情報,ヤマボウシの衰弱木を食害し、その生葉や花を後食する。,日本産タマムシ大図鑑,,
note-000112,species-10072,出現時期,6~7月,日本産タマムシ大図鑑,,
note-000113,species-10073,生態情報,ナワシロイチゴの生葉上に見られる。,日本産タマムシ大図鑑,,
note-000114,species-10073,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000115,species-10075,生態情報,アカメガシワを食害し、その生葉上でよく見掛ける。,日本産タマムシ大図鑑,,
note-000116,species-10075,出現時期,3~8月,日本産タマムシ大図鑑,,
note-000117,species-10077,出現時期,不明,日本産タマムシ大図鑑,,
note-000118,species-10078,生態情報,樹皮下などで野外越冬する。,日本産タマムシ大図鑑,,
note-000118-E01,species-10078,出現時期,越冬後、4~5月にエノキやケヤキなどのひこばえやそだに集まる。,日本産タマムシ大図鑑,,
note-000118-E02,species-10078,出現時期,新成虫は秋に羽化脱出してエノキの生葉を後食し。,日本産タマムシ大図鑑,,
note-000119,species-10078,出現時期,秋に羽化、越冬後4~5月,日本産タマムシ大図鑑,,
note-000120,species-10079,生態情報,クヌギやナラ類のひこばえやそだに集まる。,日本産タマムシ大図鑑,,
note-000121,species-10079,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000122,species-10080,生態情報,サワグルミ、ハルニレ、シオジ、ヤチダモなどの衰弱木に集まる。,日本産タマムシ大図鑑,,
note-000122-E01,species-10080,出現時期,トネリコ類からの羽化脱出記録はある。,日本産タマムシ大図鑑,,
note-000123,species-10080,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000124,species-10081,生態情報,日本では栃木県日光からの1例の記録のみ。,日本産タマムシ大図鑑,,
note-000125,species-10081,出現時期,不明,日本産タマムシ大図鑑,,
note-000126,species-10083,生態情報,エノキの伐採木や枯れ木に集まる。,日本産タマムシ大図鑑,,
note-000127,species-10083,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000128,species-10084,生態情報,山間部のエゾエノキの太い幹に飛来する。,日本産タマムシ大図鑑,,
note-000129,species-10084,出現時期,7~8月,日本産タマムシ大図鑑,,
note-000130,species-10085,生態情報,ドロノキやヤマナラシ等の衰弱木に集まる。,日本産タマムシ大図鑑,,
note-000131,species-10085,出現時期,6-8月,日本産タマムシ大図鑑,,
note-000132,species-10086,生態情報,岡山県では、フジキやユクノキに飛来した個体が採集されている。,日本産タマムシ大図鑑,,
note-000133,species-10086,出現時期,7~8月,日本産タマムシ大図鑑,,
note-000134,species-10087,生態情報,山間部に現れ、ヤマハンノキの梢のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000135,species-10087,出現時期,7~8月,日本産タマムシ大図鑑,,
note-000136,species-10088,生態情報,平野部から中山間部に現れ、ケヤキの衰弱木や伐採木に集まる。,日本産タマムシ大図鑑,,
note-000137,species-10088,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000138,species-10089,生態情報,中山間部に現れ、クヌギの太い幹に飛来する。,日本産タマムシ大図鑑,,
note-000139,species-10089,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000140,species-10090,生態情報,ハゼノキのスウィーピングで得られているほか、大分県ではタブノキの衰弱木に集まることが観察された。,日本産タマムシ大図鑑,,
note-000141,species-10090,出現時期,4~8月,日本産タマムシ大図鑑,,
note-000142,species-10091,生態情報,ナラ類の伐採木や枯れ木に集まる。,日本産タマムシ大図鑑,,
note-000143,species-10091,出現時期,5~7月,日本産タマムシ大図鑑,,
note-000144,species-10092,生態情報,カシ類の伐採木に集まる。,日本産タマムシ大図鑑,,
note-000145,species-10092,出現時期,6~7月,日本産タマムシ大図鑑,,
note-000146,species-10093,生態情報,山間部のブナ帯に現れ、ブナやカエデ類などの各種の広葉樹のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000147,species-10093,出現時期,6~7月,日本産タマムシ大図鑑,,
note-000148,species-10094,生態情報,ケヤキ、カシワ、クリなどの伐採木やそだ、ひこばえに普通に見られる。,日本産タマムシ大図鑑,,
note-000149,species-10094,出現時期,5~7月,日本産タマムシ大図鑑,,
note-000150,species-10095,生態情報,クズノハカエデの生葉のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000151,species-10095,出現時期,4~6月,日本産タマムシ大図鑑,,
note-000152,species-10096,生態情報,カキ類を食害する。河原の湿木ヤナギ類の生葉から採集される個体群は別種の可能性がある。,日本産タマムシ大図鑑,,
note-000153,species-10096,出現時期,5~7月,日本産タマムシ大図鑑,,
note-000154,species-10097,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000155,species-10098,生態情報,カラスザンショウの衰弱木に集まり、イヌザンショウの生葉のスウィーピングでも採集される。,日本産タマムシ大図鑑,,
note-000156,species-10098,出現時期,6月下旬~8月中旬,日本産タマムシ大図鑑,,
note-000157,species-10099,生態情報,ミカン類を食害する。,日本産タマムシ大図鑑,,
note-000158,species-10099,出現時期,6~7月,日本産タマムシ大図鑑,,
note-000159,species-10100,生態情報,ミカンの害虫として知られる。,日本産タマムシ大図鑑,,
note-000160,species-10100,出現時期,6~9月,日本産タマムシ大図鑑,,
note-000161,species-10101,出現時期,8月,日本産タマムシ大図鑑,,
note-000162,species-10102,生態情報,成虫は、ハマセンダンの生葉に飛来する。,日本産タマムシ大図鑑,,
note-000163,species-10102,出現時期,4~8月,日本産タマムシ大図鑑,,
note-000164,species-10103,出現時期,6~7月,日本産タマムシ大図鑑,,
note-000165,species-10104,生態情報,シデ類やサワフタギ、シナノキなどの広葉樹の生葉のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000166,species-10104,出現時期,5~7月,日本産タマムシ大図鑑,,
note-000167,species-10105,生態情報,ツツジ類のひこばえやそだに集まる。,日本産タマムシ大図鑑,,
note-000168,species-10105,出現時期,5~7月,日本産タマムシ大図鑑,,
note-000169,species-10106,出現時期,5~7月,日本産タマムシ大図鑑,,
note-000170,species-10107,生態情報,ヤマハンノキの梢のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000171,species-10107,出現時期,7~8月,日本産タマムシ大図鑑,,
note-000172-E01,species-10108,出現時期,大分県で6月にシデ類のスウィーピングによって採集されている。,日本産タマムシ大図鑑,,
note-000173,species-10108,出現時期,6月,日本産タマムシ大図鑑,,
note-000174-E01,species-10109,出現時期,奄美大島ではトキワガキやマメガキから羽化脱出している。,日本産タマムシ大図鑑,,
note-000175,species-10109,出現時期,6~7月,日本産タマムシ大図鑑,,
note-000176,species-10110,出現時期,7~8月,日本産タマムシ大図鑑,,
note-000177,species-10111,出現時期,5月下旬~7月,日本産タマムシ大図鑑,,
note-000178,species-10112,出現時期,5~6月,日本産タマムシ大図鑑,,
note-000179,species-10113,生態情報,各種広葉樹のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000180,species-10113,出現時期,6~7月,日本産タマムシ大図鑑,,
note-000181,species-10114,生態情報,衰弱したクズの蔓に止まる個体が採集される。,日本産タマムシ大図鑑,,
note-000182,species-10114,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000183,species-10115,生態情報,エノキの伐採木や枯れ木に集まる。エノキやハルニレのスウィーピングでも採集される。,日本産タマムシ大図鑑,,
note-000184,species-10115,出現時期,6~7月,日本産タマムシ大図鑑,,
note-000185,species-10118,生態情報,ムニンエノキに集まる。,日本産タマムシ大図鑑,,
note-000186,species-10118,出現時期,7~10月,日本産タマムシ大図鑑,,
note-000187,species-10119,生態情報,クリ、シイ、カシ類、ナラ類などのひこばえ、伐採木、枯れ木に集まる。,日本産タマムシ大図鑑,,
note-000188,species-10119,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000189,species-10120,生態情報,クヌギやナラのひこばえやそだに集まる。,日本産タマムシ大図鑑,,
note-000190,species-10120,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000191,species-10121,生態情報,イタヤカエデやアサダのスウィーピングによって得られている。,日本産タマムシ大図鑑,,
note-000192,species-10121,出現時期,6~7月,日本産タマムシ大図鑑,,
note-000193,species-10122,生態情報,ヤマウルシのスウィーピングで得られている。,日本産タマムシ大図鑑,,
note-000194,species-10122,出現時期,4~7月,日本産タマムシ大図鑑,,
note-000195,species-10123,生態情報,シイ類の伐採木や枯れ木に集まる。,日本産タマムシ大図鑑,,
note-000196,species-10123,出現時期,6~7月,日本産タマムシ大図鑑,,
note-000197,species-10124,生態情報,伐採木(樹種不明)に飛来した。,日本産タマムシ大図鑑,,
note-000198,species-10124,出現時期,6月,日本産タマムシ大図鑑,,
note-000199,species-10125,生態情報,シイ類を加害する。,日本産タマムシ大図鑑,,
note-000200,species-10125,出現時期,4~7月,日本産タマムシ大図鑑,,
note-000201,species-10126,出現時期,不明,日本産タマムシ大図鑑,,
note-000202,species-10127,出現時期,7月,日本産タマムシ大図鑑,,
note-000203,species-10128,生態情報,材採集で得られた2頭の雌が記載に用いられた。,日本産タマムシ大図鑑,,
note-000204,species-10128,出現時期,不明,日本産タマムシ大図鑑,,
note-000205,species-10129,生態情報,シバ類のみならず各種のイネ科植物を利用し、新葉あるいは刈り込んだ後の再生葉のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000206,species-10129,出現時期,不明,日本産タマムシ大図鑑,,
note-000207,species-10130,生態情報,イネ科植物、特に刈り込んだ後の柔らかい再生葉のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000207-E01,species-10130,出現時期,成虫越冬。,日本産タマムシ大図鑑,,
note-000208,species-10130,出現時期,初秋に現れ、越冬後3~5月,日本産タマムシ大図鑑,,
note-000209,species-10131,生態情報,イネ科草地のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000210,species-10131,出現時期,秋期および4~5月頃,日本産タマムシ大図鑑,,
note-000211,species-10132,生態情報,幼虫はカンスゲの潜葉虫。成虫は谷沿いの木漏れ日の射すカンスゲの上などで見られる。,日本産タマムシ大図鑑,,
note-000211-E01,species-10132,出現時期,成虫越冬。,日本産タマムシ大図鑑,,
note-000212,species-10132,出現時期,初秋に現れ、越冬後4~5月頃,日本産タマムシ大図鑑,,
note-000213,species-10133,生態情報,成虫はシダ類の葉上で発見される。,日本産タマムシ大図鑑,,
note-000214,species-10133,出現時期,4~5月頃,日本産タマムシ大図鑑,,
note-000215,species-10134,生態情報,成虫はシダ類のスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000216,species-10134,出現時期,5~7月頃,日本産タマムシ大図鑑,,
note-000217,species-10137,生態情報,ススキなどのイネ科植物あるいはその周辺の葉上で採集される。,日本産タマムシ大図鑑,,
note-000218,species-10137,出現時期,5~7月頃,日本産タマムシ大図鑑,,
note-000219,species-10138,生態情報,成虫はクズの葉上で普通に見つかる。,日本産タマムシ大図鑑,,
note-000220,species-10138,出現時期,5~6月,日本産タマムシ大図鑑,,
note-000221,species-10139,生態情報,成虫はウツギやヒメウツギの葉上にアカガネチビタマムシとともに普通に見られる。,日本産タマムシ大図鑑,,
note-000222,species-10140,生態情報,成虫はウメやアンズの葉上に見られる。,日本産タマムシ大図鑑,,
note-000223,species-10141,生態情報,幼虫はスミレ、タチツボスミレの潜葉虫。,日本産タマムシ大図鑑,,
note-000224,species-10142,生態情報,成虫は各種ヤナギ類の葉上で普通に見られる。,日本産タマムシ大図鑑,,
note-000225,species-10143,生態情報,成虫はオオバボダイジュやシナノキの葉上に見られる。,日本産タマムシ大図鑑,,
note-000226,species-10144,生態情報,成虫はケヤキの葉上に見られる。,日本産タマムシ大図鑑,,
note-000227,species-10145,生態情報,成虫は山間地のハルニレの葉上に見られる。,日本産タマムシ大図鑑,,
note-000228,species-10146,生態情報,成虫は日当たりの良いヤブマメやタンキリマメの葉上に普通に見られる。,日本産タマムシ大図鑑,,
note-000229,species-10147,生態情報,成虫はやや日陰のヌスビトハギの葉上に見られる。,日本産タマムシ大図鑑,,
note-000230,species-10148,生態情報,成虫はウツギ類の葉上にソーンダースチビタマムシと共に普通に見られる。,日本産タマムシ大図鑑,,
note-000231,species-10149,生態情報,成虫はムクノキの葉上に発見される。,日本産タマムシ大図鑑,,
note-000232,species-10150,生態情報,コウゾ、カジノキ、ツルコウゾ、ヤマクワなどに普通に見られる。,日本産タマムシ大図鑑,,
note-000233-E01,species-10151,出現時期,成虫は8月中旬頃から現れ、成虫で越冬し、翌春に再活動する。,日本産タマムシ大図鑑,,
note-000234,species-10152,生態情報,平野部から中山間地域のクヌギ、カシワ、アベマキなどのナラ類の葉上に普通に見られる。,日本産タマムシ大図鑑,,
note-000235,species-10153,生態情報,スダジイのスウィーピングによって採集される。,日本産タマムシ大図鑑,,
note-000236,species-10154,生態情報,エノキやムクノキの葉上に見られる。,日本産タマムシ大図鑑,,
note-000237,species-10155,生態情報,平地から中山間地域のケヤキの葉上に普通に見られ。,日本産タマムシ大図鑑,,
note-000237-E01,species-10155,出現時期,時に大発生する。,日本産タマムシ大図鑑,,
note-000238,species-10156,生態情報,ヨーロッパの近縁種はフウロソウ類の潜葉虫。,日本産タマムシ大図鑑,,
note-000239,species-10157,生態情報,成虫はノイバラの葉上に見られる。,日本産タマムシ大図鑑,,
note-000240,species-10159,生態情報,リュウキュウハイノキ、アマシバのスウィーピングによって採集される。,日本産タマムシ大図鑑,,
note-000241,species-10160,生態情報,アカガシやクヌギなどの枝先を掬って採集される。,日本産タマムシ大図鑑,,
note-000242,species-10161,生態情報,シマサルスベリのスウィーピングによって採集される。,日本産タマムシ大図鑑,,
note-000243,species-10162,生態情報,ホウロクイチゴなどのキイチゴ類の葉上に普通。,日本産タマムシ大図鑑,,
note-000244,species-10163,生態情報,ホウロクイチゴの葉上に見られる。,日本産タマムシ大図鑑,,
note-000245,species-10165,生態情報,ノグルミなどのスウィーピングで採集される。,日本産タマムシ大図鑑,,
note-000246,species-10166,生態情報,ナワシロイチゴなどの草本性キイチゴ類の葉上に多いが、木本性のキイチゴ類にも見られる。,日本産タマムシ大図鑑,,
note-000247,species-10167,生態情報,平野部のキイチゴ類の葉上に見られる。,日本産タマムシ大図鑑,,
note-000248,species-20276,生態情報,タラノウツギより幼虫が採集されているが。ヤマモモ、エビヅルより卵が確認されているが、成育するかどうかは不明。ヤマゴボウ、ヨウシュヤマゴボウ、カキノキ、チシャノキ、ヤナギの1種、ネズミモチ、シソ、ギシギシ、エゾノギシギシ、オオバコ、スズメノヤリ、イチジク、カラムシ、サンゴジュなどの花蕾・花穂・新芽にも産卵が確認されているが、これらの植物では幼虫は成育しないようである。飼育下ではインゲンマメで良好に成育する。,日本産蝶類標準図鑑,,
note-000248-E01,species-20276,出現時期,羽化にいたっていない。,日本産蝶類標準図鑑,,
note-000249,species-20298,生態情報,幼虫期前半の食草はシソ科のカメバヒキオコシ・クロバナヒキオコシの花穂。オオゴマシジミの宿主となるアリは、シワクシケアリ。,日本産蝶類標準図鑑,,
note-000250,species-H001,出現時期,5~11月,ハムシハンドブック,,
note-000251,species-H011,出現時期,4~9月,ハムシハンドブック,,
note-000252,species-H014,出現時期,3~11月,ハムシハンドブック,,
note-000253,species-H024,出現時期,4~9月,ハムシハンドブック,,
note-000254,species-H026,出現時期,3~11月,ハムシハンドブック,,
note-000255,species-H028,出現時期,4~10月,ハムシハンドブック,,
note-000256,species-H029,出現時期,3~7月,ハムシハンドブック,,
