insect_id,normalized_plant,count,plant_names,record_ids
species-0614,ヒメリンゴ,2,ヒメリンゴ,hostplant-000335 | hostplant-913205
species-0614,ハナカイドウ,2,ハナカイドウ,hostplant-000336 | hostplant-913206
species-0622,ツリバナ,2,ツリバナ,hostplant-000348 | hostplant-912604
species-0622,ヒロハツリバナ,2,ヒロハツリバナ,hostplant-000349 | hostplant-912605
species-0625,ツリバナ,2,ツリバナ,hostplant-000353 | hostplant-912606
species-0630,ミセバヤ,2,ミセバヤ,hostplant-000361 | hostplant-912608
species-0638,ミヤマイボタ,2,ミヤマイボタ,hostplant-000365 | hostplant-912609
species-0639,エゾイボタ,2,エゾイボタ,hostplant-000366 | hostplant-912610
species-0650,マルバマンネングサ,2,マルバマンネングサ,hostplant-000373 | hostplant-912611
species-0655,シャシャンボ,2,シャシャンボ,hostplant-000375 | hostplant-912612
species-0656,アセビ,2,アセビ,hostplant-000376 | hostplant-912613
species-0673,モチツツジ,2,モチツツジ,hostplant-000388 | hostplant-912615
species-0673,ヤマツツジ,2,ヤマツツジ,hostplant-000389 | hostplant-912616
species-0674,マルバシモツケ,2,マルバシモツケ,hostplant-000391 | hostplant-912617
species-0678,ミツバツツジ,2,ミツバツツジ,hostplant-000394 | hostplant-912618
species-0678,トウゴクミツバツツジ,2,トウゴクミツバツツジ,hostplant-000395 | hostplant-912619
species-0683,ハイビャクシン,2,ハイビャクシン,hostplant-000397 | hostplant-912621
species-0692,サンゴジュ,2,サンゴジュ,hostplant-000404 | hostplant-907889
species-0695,クロミノウグイスカグラ,2,クロミノウグイスカグラ,hostplant-000407 | hostplant-907890
species-0701,コメツガ,2,コメツガ,hostplant-000411 | hostplant-912624
species-0704,ブナ,2,ブナ,hostplant-000414 | hostplant-912625
species-0705,ヤマノイモ,2,ヤマノイモ,hostplant-000415 | hostplant-907897
species-0705,タチドコロ,2,タチドコロ,hostplant-000416 | hostplant-907895
species-0705,オニドコロ,2,オニドコロ,hostplant-000417 | hostplant-907896
species-0707,ウラジロガシ,2,ウラジロガシ,hostplant-000422 | hostplant-913329
species-0711,ツクバネウツギ,2,ツクバネウツギ,hostplant-000427 | hostplant-907902
species-0711,ベニバナノツクバネウツギ,2,ベニバナノツクバネウツギ,hostplant-000428 | hostplant-907903
species-0711,ウゴツクバネウツギ,2,ウゴツクバネウツギ,hostplant-000429 | hostplant-907904
species-0711,ミヤマウグイスカズラ,2,ミヤマウグイスカズラ,hostplant-000430 | hostplant-907905
species-0711,ミヤマキリシマ,2,ミヤマキリシマ,hostplant-000431 | hostplant-907906
species-0722,ムラサキマユミ,2,ムラサキマユミ,hostplant-000438 | hostplant-907907
species-0722,サワダツ,2,サワダツ,hostplant-000439 | hostplant-907908
species-0722,クロヅル,2,クロヅル,hostplant-000440 | hostplant-907909
species-0722,ウグイスカグラ,2,ウグイスカグラ,hostplant-000441 | hostplant-907910
species-0723,キャベツ,2,キャベツ,hostplant-000442 | hostplant-912628
species-0723,ハナキャベツ,2,ハナキャベツ,hostplant-000443 | hostplant-912629
species-0723,ブロッコリー,2,ブロッコリー,hostplant-000444 | hostplant-912630
species-0723,ダイコン,2,ダイコン,hostplant-000445 | hostplant-912631
species-0723,タネツケバナ,2,タネツケバナ,hostplant-000446 | hostplant-913200
species-0723,アブラナ,2,アブラナ,hostplant-000448 | hostplant-912632
species-0725,タカナ,2,タカナ,hostplant-000450 | hostplant-907917
species-0725,ダイコン,2,ダイコン,hostplant-000451 | hostplant-907919
species-0725,ハナヤサイ,2,ハナヤサイ,hostplant-000452 | hostplant-907918
species-3434,ホウビカンジュ,2,ホウビカンジュ,hostplant-000602 | hostplant-B1B6-0001
species-3476,ノイバラ,2,ノイバラ,hostplant-000737 | hostplant-913383
species-3518,サンゴジュ,2,サンゴジュ,hostplant-000813 | hostplant-913385
species-3528,クチナシ,2,クチナシ,hostplant-000825 | hostplant-913405
species-3534,ガガイモ,2,ガガイモ,hostplant-000829 | hostplant-913245
species-3741,ジュウモンジシダ,2,ジュウモンジシダ,hostplant-001106 | hostplant-B1B6-0499
species-3741,リョウメンシダ,2,リョウメンシダ,hostplant-001107 | hostplant-B1B6-0500
species-3746,ブナ,2,ブナ,hostplant-001115 | hostplant-909327
species-3746,ケヤキ,2,ケヤキ,hostplant-001117 | hostplant-909329
species-3747,ケヤキ,2,ケヤキ,hostplant-001118 | hostplant-909330
species-3749,クリ,2,クリ,hostplant-001121 | hostplant-909333
species-3752,コメツガ,2,コメツガ,hostplant-001133 | hostplant-909346
species-3752,モミ,2,モミ,hostplant-001134 | hostplant-909347
species-3752,アカトドマツ,2,アカトドマツ,hostplant-001135 | hostplant-909348
species-3752,オオシラビソ,2,オオシラビソ,hostplant-001136 | hostplant-909349
species-3752,カラマツ,2,カラマツ,hostplant-001137 | hostplant-909350
species-3875,ヤマハンノキ,2,ヤマハンノキ,hostplant-001224 | hostplant-909364
species-3878,モミ,2,モミ,hostplant-001227 | hostplant-909367
species-3881,ソメイヨシノ,2,ソメイヨシノ,hostplant-001228 | hostplant-909369
species-3882,ソメイヨシノ,2,ソメイヨシノ,hostplant-001229 | hostplant-909370
species-3883,ソメイヨシノ,2,ソメイヨシノ,hostplant-001230 | hostplant-909371
species-3884,ヤマザクラ,2,ヤマザクラ,hostplant-001231 | hostplant-909373
species-3884,コハウチワカエデ,2,コハウチワカエデ,hostplant-001232 | hostplant-909372
species-3887,ツノハシバミ,2,ツノハシバミ,hostplant-001237 | hostplant-909379
species-3887,カワヤナギ,2,カワヤナギ,hostplant-001240 | hostplant-909378
species-3887,ヤマザクラ,2,ヤマザクラ,hostplant-001241 | hostplant-909382
species-3888,ヤマモガシ,2,ヤマモガシ,hostplant-001242 | hostplant-913384
species-3905,テイカカズラ,2,テイカカズラ,hostplant-001264 | hostplant-913418
species-3914,ミズナラ,2,ミズナラ,hostplant-001287 | hostplant-913215
species-3962,ハマゴウ,2,ハマゴウ,hostplant-001347 | hostplant-913401
species-4005,コンロンカ,2,コンロンカ,hostplant-001416 | hostplant-913417
species-4090,サラシナショウマ,2,サラシナショウマ,hostplant-001460 | hostplant-905987
species-4177,キバナシャクナゲ,2,キバナシャクナゲ,hostplant-001531 | hostplant-913277
species-4198,クロウメモドキ,2,クロウメモドキ,hostplant-001560 | hostplant-913210
species-4202,ノリウツギ,2,ノリウツギ,hostplant-001567 | hostplant-913217
species-4255,リンゴ,2,リンゴ,hostplant-001617 | hostplant-909385
species-4255,ソメイヨシノ,2,ソメイヨシノ,hostplant-001618 | hostplant-909386
species-4255,ハルニレ,2,ハルニレ,hostplant-001619 | hostplant-909383
species-4255,ケヤキ,2,ケヤキ,hostplant-001620 | hostplant-909384
species-4256,クヌギ,2,クヌギ,hostplant-001621 | hostplant-909392
species-4256,コナラ,2,コナラ,hostplant-001622 | hostplant-909391
species-4257,カラマツ,2,カラマツ,hostplant-001623 | hostplant-909393
species-4258,クマシデ,2,クマシデ,hostplant-001624 | hostplant-909395
species-4258,アカシデ,2,アカシデ,hostplant-001625 | hostplant-909394
species-4258,イヌブナ,2,イヌブナ,hostplant-001626 | hostplant-909396
species-4258,クヌギ,2,クヌギ,hostplant-001627 | hostplant-909397
species-4258,カシワ,2,カシワ,hostplant-001628 | hostplant-909399
species-4258,アラカシ,2,アラカシ,hostplant-001629 | hostplant-909402
species-4258,シラカシ,2,シラカシ,hostplant-001630 | hostplant-909401
species-4258,コナラ,2,コナラ,hostplant-001631 | hostplant-909398
species-4258,アベマキ,2,アベマキ,hostplant-001632 | hostplant-909400
species-4258,リンゴ,2,リンゴ,hostplant-001634 | hostplant-909404
species-4258,ヤマツツジ,2,ヤマツツジ,hostplant-001636 | hostplant-909405
species-4259,イヌブナ,2,イヌブナ,hostplant-001638 | hostplant-909406
species-4259,ブナ,2,ブナ,hostplant-001639 | hostplant-909407
species-4274,イタヤカエデ,2,イタヤカエデ,hostplant-001654 | hostplant-913307
species-4419,モクタチバナ,2,モクタチバナ,hostplant-001763 | hostplant-913268
species-4419,シマイズセンリョウ,2,シマイズセンリョウ,hostplant-001765 | hostplant-913269
species-4426,イズセンリョウ,2,イズセンリョウ,hostplant-001772 | hostplant-913270
species-4485,ツツジ,2,ツツジ,hostplant-002035 | hostplant-913375
species-4495,ヌルデ,2,ヌルデ,hostplant-002065 | hostplant-913397
species-4496,アカシデ,2,アカシデ,hostplant-002068 | hostplant-913389
species-4513,ギョクシンカ,2,ギョクシンカ,hostplant-002113 | hostplant-913404
species-4525,コンロンカ,2,コンロンカ,hostplant-002154 | hostplant-913388
species-4528,シラタマカズラ,2,シラタマカズラ,hostplant-002165 | hostplant-913411
species-4538,キバナカワラマツバ,2,キバナカワラマツバ,hostplant-002187 | hostplant-906062
species-4539,クワズイモ,2,クワズイモ,hostplant-002189 | hostplant-913408
species-4610,ウバメガシ,2,ウバメガシ,hostplant-002348 | hostplant-906049
species-4624,エノキ,2,エノキ,hostplant-002369 | hostplant-913403
species-4650,コナラ,2,コナラ,hostplant-002425 | hostplant-PDFAUDIT-20260710-0275
species-4650,クヌギ,2,クヌギ,hostplant-002426 | hostplant-PDFAUDIT-20260710-0273
species-4650,カシ,2,カシ,hostplant-002427 | hostplant-PDFAUDIT-20260710-0276
species-4651,ブナ,2,ブナ,hostplant-002428 | hostplant-913362
species-4670,ミズナラ,2,ミズナラ,hostplant-002483 | hostplant-913370
species-4684,クヌギ,2,クヌギ,hostplant-002528 | hostplant-913377
species-4694,スゲ,2,スゲ,hostplant-002586 | hostplant-901091
species-4694,マツカサススキ,2,マツカサススキ,hostplant-002587 | hostplant-913335
species-4694,ヒメガマ,2,ヒメガマ,hostplant-002588 | hostplant-913334
species-4794,ミミズバイ,2,ミミズバイ,hostplant-002749 | hostplant-913379
species-4794,ヒサカキ,2,ヒサカキ,hostplant-002750 | hostplant-913380
species-4794,サカキ,2,サカキ,hostplant-002751 | hostplant-913381
species-4849,イチジク,2,イチジク,hostplant-002840 | hostplant-913233
species-4849,ギシギシ,2,ギシギシ,hostplant-002841 | hostplant-913234
species-4849,イタドリ,2,イタドリ,hostplant-002842 | hostplant-913235
species-4849,クズ,2,クズ,hostplant-002843 | hostplant-913236
species-4849,シロツメクサ,2,シロツメクサ,hostplant-002844 | hostplant-913237
species-4849,オオバコ,2,オオバコ,hostplant-002845 | hostplant-913238
species-4849,ヨモギ,2,ヨモギ,hostplant-002846 | hostplant-913239
species-4849,ノゲシ,2,ノゲシ,hostplant-002848 | hostplant-913241
species-4861,ガジュマル,2,ガジュマル,hostplant-002884 | hostplant-913326
species-4874,モモタマナ,2,モモタマナ,hostplant-002896 | hostplant-913253
species-4910,サルスベリ,2,サルスベリ,hostplant-002916 | hostplant-913414
species-4973,トキワガキ,2,トキワガキ,hostplant-002952 | hostplant-913279
species-4976,ヤマモモ,2,ヤマモモ,hostplant-002955 | hostplant-913211
species-4995,ネザサ,2,ネザサ,hostplant-002967 | hostplant-913363
species-5015,クズ,2,クズ,hostplant-002978 | hostplant-913301
species-5164,シマツユクサ,2,シマツユクサ,hostplant-002996 | hostplant-913423
species-5169,キダチハマグルマ,2,キダチハマグルマ,hostplant-002997 | hostplant-913424
species-5170,ケタデ,2,ケタデ,hostplant-002998 | hostplant-913425
species-5171,イワガネ,2,イワガネ,hostplant-002999 | hostplant-913338
species-5359,コウシュウウヤク,2,コウシュウウヤク,hostplant-003075 | hostplant-909852
species-5376,ムクゲ,2,ムクゲ,hostplant-003103 | hostplant-901376
species-5376,オクラ,2,オクラ,hostplant-003104 | hostplant-901377
species-5376,フヨウ,2,フヨウ,hostplant-003105 | hostplant-003106
species-5383,シナノキ,2,シナノキ,hostplant-003124 | hostplant-913248
species-5397,イワシモツケ,2,イワシモツケ,hostplant-003151 | hostplant-913280
species-5404,イワシモツケ,2,イワシモツケ,hostplant-003156 | hostplant-913289
species-5404,イワガサ,2,イワガサ,hostplant-003157 | hostplant-913219
species-5404,イブキシモツケ,2,イブキシモツケ,hostplant-003158 | hostplant-905898
species-5423,カモガヤ,2,カモガヤ,hostplant-003190 | hostplant-913223
species-5424,マルバハギ,2,マルバハギ,hostplant-003192 | hostplant-913342
species-5424,キハギ,2,キハギ,hostplant-003193 | hostplant-913343
species-5424,ヤマハギ,2,ヤマハギ,hostplant-003194 | hostplant-913344
species-5424,フジ,2,フジ,hostplant-003195 | hostplant-913345
species-5427,クサフジ,2,クサフジ,hostplant-003200 | hostplant-913225
species-5428,クサフジ,2,クサフジ,hostplant-003201 | hostplant-913226
species-5429,ヤブマメ,2,ヤブマメ,hostplant-003202 | hostplant-913224
species-5437,シロツメクサ,2,シロツメクサ,hostplant-003206 | hostplant-913365
species-5437,クサフジ,2,クサフジ,hostplant-003207 | hostplant-913366
species-5442,ネムノキ,2,ネムノキ,hostplant-003210 | hostplant-913346
species-5467,ナンキンハゼ,2,ナンキンハゼ,hostplant-003221 | hostplant-913412
species-5467,コミカンソウ,2,コミカンソウ,hostplant-003222 | hostplant-913392
species-5504,シラカシ,2,シラカシ,hostplant-003296 | hostplant-913230
species-5531,クヌギ,2,クヌギ,hostplant-003319 | hostplant-913386
species-5547,カジカエデ,2,カジカエデ,hostplant-003334 | hostplant-913402
species-5551,カテンソウ,2,カテンソウ,hostplant-003338 | hostplant-913254
species-5552,カラムシ,2,カラムシ,hostplant-003341 | hostplant-913255
species-5557,クワクサ,2,クワクサ,hostplant-003346 | hostplant-913256
species-5581,オオバコ,2,オオバコ,hostplant-003440 | hostplant-913368
species-5582,セリ,2,セリ,hostplant-003442 | hostplant-913369
species-5587,ヤクシソウ,2,ヤクシソウ,hostplant-003465 | hostplant-905989
species-5587,ヒメカンアオイ,2,ヒメカンアオイ,hostplant-003466 | hostplant-913367
species-5595,ホザキシモツケ,2,ホザキシモツケ,hostplant-003481 | hostplant-913323
species-5608,コケモモ,2,コケモモ,hostplant-003530 | hostplant-913311
species-5608,ガンコウラン,2,ガンコウラン,hostplant-003531 | hostplant-913310
species-5609,ツルコケモモ,2,ツルコケモモ,hostplant-003532 | hostplant-913395
species-5609,ヒメシャクナゲ,2,ヒメシャクナゲ,hostplant-003533 | hostplant-913394
species-5609,イソツツジ,2,イソツツジ,hostplant-003534 | hostplant-913393
species-5628,エノコログサ,2,エノコログサ,hostplant-003553 | hostplant-913354
species-5679,ヒルガオ,2,ヒルガオ,hostplant-003584 | hostplant-913276
species-5685,イチイガシ,2,イチイガシ,hostplant-003601 | hostplant-905904
species-5689,ネザサ,2,ネザサ,hostplant-003604 | hostplant-913382
species-5690,ヒラドツツジ,2,ヒラドツツジ,hostplant-003610 | hostplant-913390
species-5698,クロツバラ,2,クロツバラ,hostplant-003629 | hostplant-913415
species-5706,ミカエリソウ,2,ミカエリソウ,hostplant-003642 | hostplant-913406
species-5726,タカネザクラ,2,タカネザクラ,hostplant-003671 | hostplant-913398
species-5740,イボタノキ,2,イボタノキ,hostplant-003689 | hostplant-913410
species-5753,ツリフネソウ,2,ツリフネソウ,hostplant-003708 | hostplant-913372
species-5753,キツリフネ,2,キツリフネ,hostplant-003709 | hostplant-913373
species-5753,ハガクレツリフネ,2,ハガクレツリフネ,hostplant-003710 | hostplant-913374
species-5756,オオヨモギ,2,オオヨモギ,hostplant-003713 | hostplant-913371
species-5758,ノコンギク,2,ノコンギク,hostplant-003717 | hostplant-913399
species-5758,ユウガギク,2,ユウガギク,hostplant-003718 | hostplant-913400
species-5769,イワシモツケ,2,イワシモツケ,hostplant-003741 | hostplant-913288
species-5775,アキグミ,2,アキグミ,hostplant-003754 | hostplant-913409
species-5783,ブナ,2,ブナ,hostplant-003774 | hostplant-913304
species-5786,ハルニレ,2,ハルニレ,hostplant-003777 | hostplant-909413
species-5786,ミズナラ,2,ミズナラ,hostplant-003778 | hostplant-909415
species-5786,ブナ,2,ブナ,hostplant-003779 | hostplant-909414
species-5788,カラマツ,2,カラマツ,hostplant-003783 | hostplant-909408
species-5789,ケヤキ,2,ケヤキ,hostplant-003784 | hostplant-909417
species-5792,ハルニレ,2,ハルニレ,hostplant-003788 | hostplant-909422
species-5793,チドリノキ,2,チドリノキ,hostplant-003789 | hostplant-909419
species-5793,ヤマザクラ,2,ヤマザクラ,hostplant-003790 | hostplant-909420
species-5795,カラマツ,2,カラマツ,hostplant-003792 | hostplant-913242
species-5807,ノアズキ,2,ノアズキ,hostplant-003822 | hostplant-913396
species-5810,ミゾソバ,2,ミゾソバ,hostplant-003829 | hostplant-913407
species-5815,ヨモギ,2,ヨモギ,hostplant-003833 | hostplant-913220
species-5819,ヒマワリ,2,ヒマワリ,hostplant-003840 | hostplant-913260
species-5819,ウスベニニガナ,2,ウスベニニガナ,hostplant-003841 | hostplant-913261
species-5819,チチコグサモドキ,2,チチコグサモドキ,hostplant-003842 | hostplant-913262
species-5834,カニクサ,2,カニクサ,hostplant-003859 | hostplant-906735
species-5873,ヤマモモ,2,ヤマモモ,hostplant-003910 | hostplant-913228
species-5881,イタドリ,2,イタドリ,hostplant-003913 | hostplant-913221
species-5903,クロミノウグイスカグラ,2,クロミノウグイスカグラ,hostplant-003942 | hostplant-913229
species-5905,オオイタドリ,2,オオイタドリ,hostplant-003946 | hostplant-913306
species-5980,アキタブキ,2,アキタブキ,hostplant-004025 | hostplant-913327
species-5980,ハンゴンソウ,2,ハンゴンソウ,hostplant-004026 | hostplant-913328
species-5982,ギョウジャニンニク,2,ギョウジャニンニク,hostplant-004028 | hostplant-913387
species-6002,ツゲ,2,ツゲ,hostplant-004067 | hostplant-913287
species-6014,アラカシ,2,アラカシ,hostplant-004075 | hostplant-909423
species-6014,クヌギ,2,クヌギ,hostplant-004076 | hostplant-909424
species-6017,タバコ,2,タバコ,hostplant-004089 | hostplant-909453
species-6018,ミミズバイ,2,ミミズバイ,hostplant-004095 | hostplant-909436
species-6018,サカキ,2,サカキ,hostplant-004096 | hostplant-909434
species-6018,ツバキ,2,ツバキ,hostplant-004097 | hostplant-909435
species-6018,アラカシ,2,アラカシ,hostplant-004098 | hostplant-909432
species-6019,カマツカ,2,カマツカ,hostplant-004099 | hostplant-909427
species-6019,カナメモチ,2,カナメモチ,hostplant-004100 | hostplant-909426
species-6019,ソメイヨシノ,2,ソメイヨシノ,hostplant-004101 | hostplant-909429
species-6019,ミミズバイ,2,ミミズバイ,hostplant-004102 | hostplant-909431
species-6019,サカキ,2,サカキ,hostplant-004103 | hostplant-909428
species-6019,ツバキ,2,ツバキ,hostplant-004104 | hostplant-909430
species-6019,アラカシ,2,アラカシ,hostplant-004105 | hostplant-909425
species-6023,クヌギ,2,クヌギ,hostplant-004132 | hostplant-909485
species-6023,カシワ,2,カシワ,hostplant-004133 | hostplant-909484
species-6026,シナノキ,2,シナノキ,hostplant-004136 | hostplant-909467
species-6028,クヌギ,2,クヌギ,hostplant-004142 | hostplant-909493
species-6028,エノキ,2,エノキ,hostplant-004143 | hostplant-909490
species-6028,カキノキ,2,カキノキ,hostplant-004144 | hostplant-909492
species-6033,シラカンバ,2,シラカンバ,hostplant-004150 | hostplant-909507
species-6033,コナラ,2,コナラ,hostplant-004151 | hostplant-909506
species-6033,ズミ,2,ズミ,hostplant-004152 | hostplant-909508
species-6034,シナノキ,2,シナノキ,hostplant-004155 | hostplant-909505
species-6035,エノキ,2,エノキ,hostplant-004157 | hostplant-909502
species-6038,シラカンバ,2,シラカンバ,hostplant-004160 | hostplant-909500
species-6038,ケヤキ,2,ケヤキ,hostplant-004161 | hostplant-909498
species-6039,クヌギ,2,クヌギ,hostplant-004162 | hostplant-909501
species-6042,アラカシ,2,アラカシ,hostplant-004164 | hostplant-909519
species-6042,アカガシ,2,アカガシ,hostplant-004165 | hostplant-909518
species-6042,ウバメガシ,2,ウバメガシ,hostplant-004166 | hostplant-909520
species-6042,シラカシ,2,シラカシ,hostplant-004167 | hostplant-909521
species-6043,ウバメガシ,2,ウバメガシ,hostplant-004168 | hostplant-909512
species-6045,トドマツ,2,トドマツ,hostplant-004169 | hostplant-909514
species-6045,モミ,2,モミ,hostplant-004170 | hostplant-909516
species-6045,ヒマラヤスギ,2,ヒマラヤスギ,hostplant-004171 | hostplant-909515
species-6047,ブナ,2,ブナ,hostplant-004173 | hostplant-909524
species-6048,ツバキ,2,ツバキ,hostplant-004174 | hostplant-909522
species-6051,カシワ,2,カシワ,hostplant-004177 | hostplant-909526
species-6051,クヌギ,2,クヌギ,hostplant-004178 | hostplant-909527
species-6051,サクラ,2,サクラ,hostplant-004179 | hostplant-909528
species-6052,カシワ,2,カシワ,hostplant-004180 | hostplant-909571
species-6052,クヌギ,2,クヌギ,hostplant-004181 | hostplant-909572
species-6052,コナラ,2,コナラ,hostplant-004182 | hostplant-909573
species-6052,アベマキ,2,アベマキ,hostplant-004183 | hostplant-909569
species-6053,リンゴ,2,リンゴ,hostplant-004186 | hostplant-909578
species-6053,コナラ,2,コナラ,hostplant-004188 | hostplant-913213
species-6054,ミズナラ,2,ミズナラ,hostplant-004190 | hostplant-909553
species-6054,クリ,2,クリ,hostplant-004191 | hostplant-909549
species-6054,ミズキ,2,ミズキ,hostplant-004193 | hostplant-909552
species-6057,アラカシ,2,アラカシ,hostplant-004199 | hostplant-909529
species-6057,カシワ,2,カシワ,hostplant-004200 | hostplant-909530
species-6057,クヌギ,2,クヌギ,hostplant-004202 | hostplant-909532-split
species-6057,コナラ,2,コナラ,hostplant-004203 | hostplant-909531
species-6057,ミズナラ,2,ミズナラ,hostplant-004204 | hostplant-909534
species-6062,カワヤナギ,2,カワヤナギ,hostplant-004207 | hostplant-909595
species-6063,ハルニレ,2,ハルニレ,hostplant-004215 | hostplant-909598
species-6064,シナノキ,2,シナノキ,hostplant-004217 | hostplant-909594
species-6065,アラカシ,2,アラカシ,hostplant-004219 | hostplant-909580
species-6066,ツバキ,2,ツバキ,hostplant-004221 | hostplant-909626
species-6069,ウラジロガシ,2,ウラジロガシ,hostplant-004230 | hostplant-909627
species-6069,リンゴ,2,リンゴ,hostplant-004232 | hostplant-909632
species-6072,アラカシ,2,アラカシ,hostplant-004233 | hostplant-909600
