insect_id,family,family_jp,subfamily,subfamily_jp,tribe,tribe_jp,genus,subgenus,species,subspecies,author,year,japanese_name,old_japanese_name,alternative_name,other_names,scientific_name,synonyms,changes_since_standard,notes
species-20532,,,,,,,,,,,,,サトウキビシンクイハマキ,,,,Gravitarmata sacchari,,,
species-20533,,,,,,,,,,,,,サブテルミナナヒメハマキ,,,,Pelochrista subterminana,,,
species-20534,,,,,,,,,,,,,サブルキダナヒメハマキ,,,,Eucosma sublucidana,,,
species-20535,,,,,,,,,,,,,サルウィンマツムシガ,,,,Petrova salweenensis,,,
species-20536,,,,,,,,,,,,,シヌオサシンムシガ,,,,Strepsicrates sinuosa,,,
species-20537,,,,,,,,,,,,,ショウリンヒメハマキ,,,,Hendecaneura shaolinensis,,,
species-20538,,,,,,,,,,,,,シロアミメコヤガ(改称),,,,Chorsia albiscriptus (Hampson,,,
species-20539,,,,,,,,,,,,,シロガネヒメハマキ,,,,Epiblema separationis,,,
species-20540,,,,,,,,,,,,,シロテンヒメハマキ,,,,Eucosma albiguttana,,,
species-20541,,,,,,,,,,,,,シロヒメハマキモドキ,,,,Eucosma expallidana,,,
species-20542,,,,,,,,,,,,,シロミズイガ,,,,Bactra lacteana,,,
species-20543,,,,,,,,,,,,,シロモンマツシンムシガ,,,,Rhyacionia albomaculata,,,
species-20544,,,,,,,,,,,,,スキツラナヒメハマキ,,,,Dudua scitulana,,,
species-20546,,,,,,,,,,,,,スジモンヒメハマキ,,,,Eucosma striatana,,,
species-20547,,,,,,,,,,,,,ストゥペンダシンクイガ,,,,Cryptophlebia stupenda,,,
species-20548,,,,,,,,,,,,,スパディセアナヒメハマキ,,,,Eucosma spadiceana,,,
species-20549,,,,,,,,,,,,,スファエロフォラヒメハマキ,,,,Dudua sphaerophora,,,
species-20550,,,,,,,,,,,,,ソフォラヒメハマキ,,,,Ancylis sophorae,,,
species-20551,,,,,,,,,,,,,ソマリヒメハマキ,,,,Eucosma somaliensis,,,
species-20552,,,,,,,,,,,,,タイワンヒメハマキ,,,,Hendecaneura hainanana,,,
species-20553,,,,,,,,,,,,,タイワンワタアカミムシガ,,,,Crocidosema tera,,,
species-20554,,,,,,,,,,,,,ダエモニカナヒメハマキ,,,,Pelochrista daemonicana,,,
species-20555,,,,,,,,,,,,,チビミズイガ,,,,Bactra minima,,,
species-20556,,,,,,,,,,,,,チャナナヒメハマキ,,,,Pelochrista chanana,,,
species-20557,,,,,,,,,,,,,ツガヒメハマキ,,,,Epinotia tsugana,,,
species-20558,,,,,,,,,,,,,テクティゲラヒメハマキ,,,,Dudua tectigera,,,
species-20559,,,,,,,,,,,,,テッセイヒメハマキ,,,,Pseudococcyx tesseyi,,,
species-20560,,,,,,,,,,,,,テトラプラナヒメハマキ,,,,Eucosma tetraplana,,,
species-20561,,,,,,,,,,,,,テルミスティスヒメハマキ,,,,Dudua thermistis,,,
species-20562,,,,,,,,,,,,,トウヒコヒメハマキ,,,,Epinotia granitana,,,
species-20563,,,,,,,,,,,,,トドマツムシガ,,,,Retinia immanitana,,,
species-20564,,,,,,,,,,,,,トマラシンクイガ,,,,Cryptophlebia tmalla,,,
species-20565,,,,,,,,,,,,,トラキチスシンクイガ,,,,Spilonota trachitis,,,
species-20567,,,,,,,,,,,,,ナシモンヒメハマキ,,,,Epinotia abbreviatana,,,
species-20568,,,,,,,,,,,,,ナンゴクヒメハマキ,,,,Eucosma austroniponica,,,
species-20569,,,,,,,,,,,,,ナンゴクミズイガ,,,,Bactra sociata,,,
species-20570,,,,,,,,,,,,,ニシキマツシンムシガ,,,,Rhyacionia versicolor,,,
species-20571,,,,,,,,,,,,,ニセカラマツイトヒキハマキ,,,,Zeiraphera subsequana,,,
species-20572,,,,,,,,,,,,,ニセマツアカシンムシガ,,,,Rhyacionia simulans,,,
species-20573,,,,,,,,,,,,,ニセヤナギシロヒメハマキ,,,,Gypsonoma simulana,,,
species-20574,,,,,,,,,,,,,ニセリンゴシンクイガ,,,,Spilonota leucotreta,,,
species-20575,,,,,,,,,,,,,ニセリンゴシンクイガ(再掲),,,,Thaumatotibia leucotreta,,,
species-20576,,,,,,,,,,,,,ネシオティカハマキ,,,,Zeiraphera nesiotica,,,
species-20577,,,,,,,,,,,,,ノツラナヒメハマキ,,,,Pelochrista notulana,,,
species-20578,,,,,,,,,,,,,ハイイロヒメハマキ,,,,Rhopobota griseata,,,
species-20579,,,,,,,,,,,,,ハマヒメハマキ,,,,Eucosma maritima,,,
species-20580,,,,,,,,,,,,,ハワイミズイガ,,,,Bactra illepida,,,
species-20581,,,,,,,,,,,,,ハンツキシンクイガ,,,,Cryptophlebia semilunana,,,
species-20582,,,,,,,,,,,,,バラモンヒメハマキ,,,,Notocelia roseomaculana,,,
species-20583,,,,,,,,,,,,,バリアビリスシンクイ,,,,Tetramoera variabilis,,,
species-20584,,,,,,,,,,,,,ヒトツバマツムシガ,,,,Retinia monophylliana,,,
species-20585,,,,,,,,,,,,,ヒメヨモギヒメハマキ,,,,Epiblema scudderiana,,,
species-20586,,,,,,,,,,,,,ファスマグリプタヒメハマキ,,,,Dudua phasmaglypta,,,
species-20587,,,,,,,,,,,,,フェルナルダナヒメハマキ,,,,Phaneta fernaldana,,,
species-20588,,,,,,,,,,,,,フキヒメハマキ,,,,Epiblema infelix,,,
species-20589,,,,,,,,,,,,,フジヒメハマキ,,,,Epinotia fumoviridana,,,
species-20590,,,,,,,,,,,,,フタオビシロヒメハマキ,,,,Gypsonoma emarginana,,,
species-20591,,,,,,,,,,,,,フタスジマツシンムシガ,,,,Rhyacionia pallidicosta,,,
species-20592,,,,,,,,,,,,,フタモンアカヒメハマキ,,,,Epinotia gymnogramma,,,
species-20593,,,,,,,,,,,,,フルバナヒメハマキ,,,,Eucosma fulvana,,,
species-20594,,,,,,,,,,,,,プチキアリスヒメハマキ,,,,Dudua ptychialis,,,
species-20595,,,,,,,,,,,,,プロクリビスヒメハマキ,,,,Dudua proclivis,,,
species-20596,,,,,,,,,,,,,プロテルバシンクイガ,,,,Spilonota proterva,,,
species-20597,,,,,,,,,,,,,プロレタリアシンムシガ,,,,Strepsicrates proletaria,,,
species-20598,,,,,,,,,,,,,ヘキサメトラシンクイガ,,,,Spilonota hexametra,,,
species-20599,,,,,,,,,,,,,ヘスペリアリスヒメハマキ,,,,Dudua hesperialis,,,
species-20600,,,,,,,,,,,,,ヘネヒメハマキ,,,,Eucosma hoenei,,,
species-20601,,,,,,,,,,,,,ヘミキクラヒメハマキ,,,,Dudua hemicycla,,,
species-20602,,,,,,,,,,,,,ヘミタレスヒメハマキ,,,,Dudua hemithales,,,
species-20603,,,,,,,,,,,,,ベニマツシンムシガ,,,,Rhyacionia miniatana,,,
species-20604,,,,,,,,,,,,,ペルクニティスヒメハマキ,,,,Dudua percnitis,,,
species-20605,,,,,,,,,,,,,ペルフラクタシンクイガ,,,,Cryptophlebia perfracta,,,
species-20606,,,,,,,,,,,,,ホウファンカラマツハマキ,,,,Zeiraphera hohuanshana,,,
species-20607,,,,,,,,,,,,,ポッツヒメハマキ,,,,Dudua pottsi,,,
species-20608,,,,,,,,,,,,,マツアカシンムシガ,,,,Rhyacionia pinicolana,,,
species-20609,,,,,,,,,,,,,マツシンムシガ,,,,Gravitarmata subsolana,,,
species-20610,,,,,,,,,,,,,マツメムシガ,,,,Clavigesta purdeyi,,,
species-20611,,,,,,,,,,,,,マメクロキヨトウ (新称),,,,Mythimna snelleni Hreblay,,,
species-20612,Noctuidae,ヤガ科,Hadeninae,ヨトウガ亜科,Hadenini,ヨトウガ族,Ceramica,,pisi,,(Linnaeus),1758,マメヨトウ,,,,Ceramica pisi (Linnaeus,,,
species-20613,,,,,,,,,,,,,マルモンヒメハマキ,,,,Agehana marcimona,,,
species-20614,,,,,,,,,,,,,ミクロセマヒメハマキ,,,,Dudua microsema,,,
species-20615,,,,,,,,,,,,,ミツモンヒメハマキ,,,,Epinotia tripunctana,,,
species-20616,,,,,,,,,,,,,ミヤケヒメハマキ,,,,Herpystis miyakei,,,
species-20617,,,,,,,,,,,,,ミヤマハギヒメハマキ,,,,Epinotia crucialis,,,
species-20618,,,,,,,,,,,,,モクメヤガ(新称),,,,Axylia putris (Linnaeus,,,
species-20619,,,,,,,,,,,,,モニタヒメハマキ,,,,Eucosma monitorana,,,
species-20620,,,,,,,,,,,,,ヤナギシロヒメハマキ,,,,Gypsonoma opacana,,,
species-20621,,,,,,,,,,,,,ヤマトシンクイガ,,,,Cryptophlebia yamato,,,
species-20622,,,,,,,,,,,,,ヤマトヒメハマキ,,,,Eucosma japona,,,
species-20623,,,,,,,,,,,,,ラバナヒメハマキ,,,,Epiblema ravana,,,
species-20624,,,,,,,,,,,,,ラムプロテルマヒメハマキ,,,,Dudua lamproterma,,,
species-20625,,,,,,,,,,,,,ラングメイドシンクイ,,,,Tetramoera langmaidi,,,
species-20626,,,,,,,,,,,,,リュウキュウミズイガ,,,,Bactra loeligeri,,,
species-20627,,,,,,,,,,,,,リンゴモンヒメハマキ,,,,Hendecaneura exoterica,,,
species-20628,,,,,,,,,,,,,ルスティカヒメハマキ,,,,Herpystis rustica,,,
species-20629,,,,,,,,,,,,,ルフィペニスヒメハマキ,,,,Dudua rufipennis,,,
species-20630,,,,,,,,,,,,,ルベスカナヒメハマキ,,,,Eucosma rubescana,,,
species-20631,,,,,,,,,,,,,レダクタナヒメハマキ,,,,Pseudogalleria reductana,,,
species-20632,,,,,,,,,,,,,レプタレアシンクイ,,,,Tetramoera leptalea,,,
species-20633,,,,,,,,,,,,,ロイコスタクタヒメハマキ,,,,Dudua leucostacta,,,
