record_id,insect_id,original_observation_type,retained_observation_type,original_notes,retained_notes,removed_segments
hostplant-913197,species-1308,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-913198,species-1308,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-H3-0056,species-1921,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0057,species-1921,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0058,species-1921,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0061,species-1922,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0065,species-1925,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0081,species-1939,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0082,species-1939,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0083,species-1939,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0098,species-1946,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0099,species-1946,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0100,species-1946,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0101,species-1946,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0137,species-1956,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0184,species-1982,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0185,species-1982,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0203,species-1992,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0204,species-1992,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0208,species-2037,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0209,species-2037,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0210,species-2037,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0217,species-2023,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0218,species-2023,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0240,species-2002,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0241,species-2002,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0242,species-2002,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0243,species-2002,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0254,species-2016,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0255,species-2016,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0275,species-2017,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0276,species-2018,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0287,species-2029,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0288,species-2029,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0289,species-2029,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0290,species-2036,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0291,species-2036,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0292,species-2036,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0294,species-2038,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0307,species-2047,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0308,species-2047,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0309,species-2047,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0310,species-2047,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H3-0335,species-2053,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H2-audit-001,species-1882,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-H2-audit-002,species-1883,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-H2-audit-004,species-2074,野外（国外）,野外（国外）,国外記録,,国外記録 / 国外記録
hostplant-H2-audit-005,species-2076,野外（国外）,野外（国外）,国外記録,,国外記録 / 国外記録
hostplant-H2-audit-006,species-2078,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-H2-audit-007,species-2087,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-H2-audit-008,species-2090,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-H2-audit-010,species-2082,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-H2-audit-011,species-2092,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-kamikiri-lamiini-20260705-0001,species-22770,文献,文献,PDF本文・寄主植物一覧で確認,,PDF本文・寄主植物一覧で確認 / PDF本文・寄主植物一覧で確認
hostplant-kamikiri-lamiini-20260705-0002,species-22771,文献,文献,PDF本文・寄主植物一覧で確認,,PDF本文・寄主植物一覧で確認 / PDF本文・寄主植物一覧で確認
hostplant-kamikiri-lamiini-20260705-0003,species-22771,文献,文献,PDF本文・寄主植物一覧で確認,,PDF本文・寄主植物一覧で確認 / PDF本文・寄主植物一覧で確認
hostplant-kamikiri-lamiini-20260705-0004,species-22774,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0005,species-22777,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0006,species-22777,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0007,species-22777,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0008,species-22777,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0009,species-22777,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0010,species-22777,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0011,species-22777,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0012,species-22779,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0013,species-22779,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0014,species-22779,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0015,species-22779,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0016,species-22779,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0017,species-22782,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0018,species-22782,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0019,species-22782,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0020,species-22783,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0021,species-22783,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0022,species-22783,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0023,species-22783,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0024,species-22785,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0025,species-22785,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0026,species-22785,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0027,species-22785,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0028,species-22785,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0029,species-22790,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0030,species-22790,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0031,species-22790,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0032,species-22790,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0033,species-22780,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0034,species-22781,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0035,species-22781,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0036,species-22781,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-kamikiri-lamiini-20260705-0037,species-22792,文献,文献,PDF本文で確認,,PDF本文で確認 / PDF本文で確認
hostplant-PDFAUDIT-20260710-0018,species-4211,野外（国外）,野外（国外）,日本での寄主植物は未知 / ヨーロッパの記録,,日本での寄主植物は未知 / ヨーロッパの記録 / 日本での寄主植物は未知 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0019,species-4211,野外（国外）,野外（国外）,日本での寄主植物は未知 / ヨーロッパの記録,,日本での寄主植物は未知 / ヨーロッパの記録 / 日本での寄主植物は未知 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0021,species-4351,野外（国外）,野外（国外）,日本での寄主植物は未知 / ヨーロッパの記録,,日本での寄主植物は未知 / ヨーロッパの記録 / 日本での寄主植物は未知 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0022,species-4351,野外（国外）,野外（国外）,日本での寄主植物は未知 / ヨーロッパの記録,,日本での寄主植物は未知 / ヨーロッパの記録 / 日本での寄主植物は未知 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0065,species-20677,野外（国外）,野外（国外）,ヨーロッパの記録,,ヨーロッパの記録 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0084,species-20739,野外（国外）,野外（国外）,ヨーロッパの記録 / ヤナギは飼育可能,ヤナギは飼育可能,ヨーロッパの記録 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0085,species-20739,野外（国外）,野外（国外）,ヨーロッパの記録 / ヤナギは飼育可能,ヤナギは飼育可能,ヨーロッパの記録 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0086,species-20739,野外（国外）,野外（国外）,ヨーロッパの記録 / ヤナギは飼育可能,ヤナギは飼育可能,ヨーロッパの記録 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0088,species-20769,野外（国外）,野外（国外）,ヨーロッパの記録,,ヨーロッパの記録 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0089,species-20769,野外（国外）,野外（国外）,ヨーロッパの記録,,ヨーロッパの記録 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0090,species-20769,野外（国外）,野外（国外）,ヨーロッパの記録,,ヨーロッパの記録 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0091,species-20769,野外（国外）,野外（国外）,ヨーロッパの記録,,ヨーロッパの記録 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0092,species-20769,野外（国外）,野外（国外）,ヨーロッパの記録,,ヨーロッパの記録 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0110,species-5626,野外（国外）,野外（国外）,ヨーロッパの記録,,ヨーロッパの記録 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0111,species-5761,野外（国外）,野外（国外）,日本での寄主植物は未知 / ヨーロッパの記録,,日本での寄主植物は未知 / ヨーロッパの記録 / 日本での寄主植物は未知 / ヨーロッパの記録
hostplant-PDFAUDIT-20260710-0119,species-5943,文献,文献,イネ科植物での飼育例 / 後2種はヨーロッパの記録,イネ科植物での飼育例,後2種はヨーロッパの記録 / 後2種はヨーロッパの記録
hostplant-PDFAUDIT-20260710-0120,species-5943,文献,野外（国外）,イネ科植物での飼育例 / 後2種はヨーロッパの記録,イネ科植物での飼育例,後2種はヨーロッパの記録 / 後2種はヨーロッパの記録
hostplant-PDFAUDIT-20260710-0121,species-5943,文献,野外（国外）,イネ科植物での飼育例 / 後2種はヨーロッパの記録,イネ科植物での飼育例,後2種はヨーロッパの記録 / 後2種はヨーロッパの記録
hostplant-PDFAUDIT-20260710-0201,species-1354,野外（国外）,野外（国外）,中国の記録,,中国の記録 / 中国の記録
hostplant-PDFAUDIT-20260710-0202,species-1354,野外（国外）,野外（国外）,中国の記録,,中国の記録 / 中国の記録
hostplant-PDFAUDIT-20260710-0203,species-1354,野外（国外）,野外（国外）,中国の記録,,中国の記録 / 中国の記録
hostplant-PDFAUDIT-20260710-0204,species-1354,野外（国外）,野外（国外）,中国の記録,,中国の記録 / 中国の記録
hostplant-PDFAUDIT-20260710-0268,species-5369,野外（国外）,野外（国外）,フィジーの文献記録,,フィジーの文献記録 / フィジーの文献記録
hostplant-SC-N73-ARAT-01,species-SC208,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（論文の日本産節から推定 / 個別産地なし） / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Machilus japonica / YList採用名: Machilus japonica / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17,個別産地なし）,記録地域: 日本（論文の日本産節から推定 / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Machilus japonica / YList採用名: Machilus japonica / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17 / 記録地域: 日本（論文の日本産節から推定 / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Machilus japonica / YList採用名: Machilus japonica / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17
hostplant-SC-N73-ARAT-02,species-SC208,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（論文の日本産節から推定 / 個別産地なし） / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Prunus mume / YList採用名: Prunus mume / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17,個別産地なし）,記録地域: 日本（論文の日本産節から推定 / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Prunus mume / YList採用名: Prunus mume / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17 / 記録地域: 日本（論文の日本産節から推定 / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Prunus mume / YList採用名: Prunus mume / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17
hostplant-SC-N73-ARAT-03,species-SC208,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（論文の日本産節から推定 / 個別産地なし） / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Prunus pseudocerasus / YList採用名: Cerasus pseudocerasus / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17,個別産地なし）,記録地域: 日本（論文の日本産節から推定 / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Prunus pseudocerasus / YList採用名: Cerasus pseudocerasus / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17 / 記録地域: 日本（論文の日本産節から推定 / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Prunus pseudocerasus / YList採用名: Cerasus pseudocerasus / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17
hostplant-SC-N73-ARAT-04,species-SC208,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（論文の日本産節から推定 / 個別産地なし） / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Malus pumila var. domestica / YList採用名: Malus pumila var. domestica / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17,個別産地なし）,記録地域: 日本（論文の日本産節から推定 / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Malus pumila var. domestica / YList採用名: Malus pumila var. domestica / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17 / 記録地域: 日本（論文の日本産節から推定 / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Malus pumila var. domestica / YList採用名: Malus pumila var. domestica / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17
hostplant-SC-N73-ARAT-05,species-SC208,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（論文の日本産節から推定 / 個別産地なし） / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Sorbus commixta / YList採用名: Sorbus commixta / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17,個別産地なし）,記録地域: 日本（論文の日本産節から推定 / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Sorbus commixta / YList採用名: Sorbus commixta / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17 / 記録地域: 日本（論文の日本産節から推定 / 地域根拠: 日本産標本について述べた直後のHosts欄だが、植物ごとの標本産地は未記載 / 原著植物名: Sorbus commixta / YList採用名: Sorbus commixta / 寄主根拠: 原著のHosts・Gallery欄 / 掲載頁: 17
