no,old_insect_id,new_insect_id,japanese_name,scientific_name,old_family_jp,old_japanese_name
61,species-20728,species-23107,アキノキリンソウヒゲナガアブラムシ,Dactynotus solidaginis (Fabricius)?,ヤガ科,ナカトビヤガ
67,species-20742,species-23108,ヨメナアミナシヒゲナガアブラムシ,Acyrthosiphon asteris (Takahashi),ヤガ科,コウスチャヤガ
68,species-20744,species-23109,アザミアミナシヒゲナガアブラムシ,Acyrthosiphon cirsicola (Takahashi),ヤガ科,オオバコヤガ
69,species-20745,species-23110,カキドオシヒゲナガアブラムシ,Acyrthosiphon glechomae (Takahashi),ヤガ科,ミヤマアカヤガ
71,species-20743,species-23111,コンドウヒゲナガアブラムシ,Acyrthosiphon kondoi Shinji,ヤガ科,ヤマトウスチャヤガ
78,species-21645,species-23112,エンドウヒゲナガアブラムシ,Acyrthosiphon pisum (Harris),ヤガ科,キミミヤガ
90,species-6112,species-23113,ウツギトックリアブラムシ,Rhopalosiphoninus deutzifoliae Shinji,ヤガ科,ケンモンキリガ
93,species-6118,species-23114,ヨメナコブアブラムシ,Myzus asteriae Shinji,ヤガ科,スギタニキリガ
94,species-6120,species-23115,カラムシコブアブラムシ,Myzus boehmeriae Takahashi,ヤガ科,ホソバキリガ
95,species-6119,species-23116,ニワウメクロコブアブラムシ,Myzus cerasi (Fabricius),ヤガ科,スモモキリガ
96,species-6122,species-23117,カンゾウコブアブラムシ,Myzus hemerocallidis Takahashi,ヤガ科,カバキリガ
97,species-6123,species-23118,ワダンコブアブラムシ,Myzus lactucicola Takahashi,ヤガ科,アオヤマキリガ
99,species-6125,species-23119,ウメコブアブラムシ,Myzus mumecola (Matsumura),ヤガ科,クロミミキリガ
100,species-6127,species-23120,ムシャコブアブラムシ,Myzus mushaensis Takahashi,ヤガ科,ブナキリガ
101,species-6128,species-23121,モモアカアブラムシ,Myzus persicae (Sulzer),ヤガ科,クロテンキリガ
103,species-6132,species-23122,ヒキオコシコブアブラムシ,Myzus siegesbeckiae Takahashi,ヤガ科,チャイロキリガ
104,species-6136,species-23123,ハンショウヅルコブアブラムシ,Myzus varians Davidson,ヤガ科,カシワキリガ
106,species-20653,species-23124,クワクサヒゲナガアブラムシ,Eomyzus kuwanusae (Uye),ヤガ科,フタオビキヨトウ
112,species-20681,species-23125,イチゴケナガアブラムシ,Capitophorus fragariaefolii (Cockerell),ヤガ科,スジグロキヨトウ
114,species-20692,species-23126,アキノタムラソウコブアブラムシ,Chaetomyzus hirticornis Takahashi,ヤガ科,アワヨトウ
115,species-20675,species-23127,シクラメンコブアブラムシ,Neomyzus circumflexus (Buckton),ヤガ科,スジシロキヨトウ
116,species-20672,species-23128,ホップイボアブラムシ,Phorodon humuli Schrank,ヤガ科,アトジロキヨトウ
119,species-5758,species-23129,ウツギアブラムシ,Micromyzus diervillae (Matsumura),ヤガ科,ダイセンセダカモクメ
131,species-6038,species-23130,タデヨソオヒゲナガアブラムシ,Akkaia polygoni Takahashi,ヤガ科,ヨスジノコメキリガ
139,species-6053,species-23131,イシミカワイボアブラムシ,Trichosiphonaphis ishimikawae (Shinji),ヤガ科,ミヤマオビキリガ
140,species-6054,species-23132,スイカズラヒゲナガアブラムシ,Trichosiphonaphis lonicerae (Uye),ヤガ科,テンスジキリガ
142,species-6057,species-23133,タデケクダヒゲナガアブラムシ,Trichosiphonaphis polygoniformosanus (Takahashi),ヤガ科,ナワキリガ
143,species-6056,species-23134,タデヒゲナガアブラムシ,Trichosiphonaphis tade (Shinji),ヤガ科,ゴマダラキリガ
155,species-21722,species-23135,ヨモギクレアブラムシ,Coloradoa artemisiae (Del Guercio),ヤガ科,オオアオバヤガ
157,species-5949,species-23136,ヨモギコアブラムシ,Micraphis artemisiae (Takahashi),ヤガ科,ネスジシラクモヨトウ
172,species-21739,species-23137,キツネノマゴアブラムシ,Aphis justiceae Shinji,タマムシ科,コモンムツボシタマムシ
179,species-21746,species-23138,ニワトコアブラムシ,Aphis sambuci Linné,タマムシ科,ババナガタマムシ
185,species-21752,species-23139,タイワンススキアブラムシ,Melanaphis formosana (Takahashi),タマムシ科,ハマナスナガタマムシ
210,species-21777,species-23140,ヤブタバココナジラミモドキ,Aleurodaphis blumeae van der Goot,タマムシ科,オガタナガタマムシ
212,species-21779,species-23141,ミズキヒラタアブラムシ,Anoecia corni (Fabricius),タマムシ科,シラケナガタマムシ
215,species-21782,species-23142,イスノフキアブラムシ,Nipponaphis autumnalis Monzen,タマムシ科,ホソアシナガタマムシ
216,species-21783,species-23143,シイムネアブラムシ,Nipponaphis cuspidatae Essig et Kuwana,タマムシ科,ヤエヤマナガタマムシ
219,species-21786,species-23144,イスノタマフシアブラムシ,Nipponaphis globuli (Monzen),タマムシ科,ミドリツヤナガタマムシ
221,species-21788,species-23145,モンゼンイスアブラムシ,Nipponaphis monzeni Takahashi,タマムシ科,アカバナガタマムシ
223,species-21790,species-23146,クスマルアブラムシ,Thoracaphis kashifoliae Uye?,タマムシ科,アムールナガタマムシ
224,species-21791,species-23147,トドマツワタムシ,Mindarus abietinus japonicus Takahashi,タマムシ科,スギウラナガタマムシ
225,species-21793,species-23148,サワグルミミツアブラムシ,Glyphina onigurumi (Shinji),タマムシ科,ニセウグイスナガタマムシ
230,species-21798,species-23149,ハンショウヅルノオオワタムシ,Eriosoma clematis (Shinji),タマムシ科,
236,species-21804,species-23150,ヌルデノオオミミフシアブラムシ,Schlechtendalia chinensis (Bell),タマムシ科,ワタナベナガタマムシ
238,species-21806,species-23151,ニレナガフシヨスジメンチュウ,Tetraneura sorini Hille Ris Lambers,タマムシ科,ヤクシマナガタマムシ
239,species-21807,species-23152,ニシヤワタアブラムシ,Watabura nishiyae Matsumura,タマムシ科,
