original,normalized_binomial,japanese
"*Dysstroma morosata* (Geyer, 1837)",Dysstroma morosata,キシタナミシャク
"*Dysstroma hepronta* (Inoue, 1954)",Dysstroma hepronta,クロスジシロナミシャク
"*Dysstroma hersiliata* (Guenée, 1858)",Dysstroma hersiliata,ニセクロスジシロナミシャク
"*Eulithis amabilis* (Butler, 1879)",Eulithis amabilis,ギンガンスジナミシャク
"*Ecliptopera fastigiata* (Püngeler, 1908)",Ecliptopera fastigiata,ウラナミシャク
*Thamnurgis* sp.,Thamnurgis sp.,フタスジカバナミシャク
"*Neothera consimilis* (Warren, 1896)",Neothera consimilis,フトフタスジナミシャク
*Neothera sp.**,Neothera sp.,ウスイロカバナミシャク
"*Heterothera tephroptilus* (Fletcher, 1961)",Heterothera tephroptilus,ナカオビキナミシャク
"*Heterothera mussooriensis* (Moore, 1888)",Heterothera mussooriensis,キシタカバナミシャク
"*Heterothera serraria* (Lienig & Zeller, 1846)",Heterothera serraria,キオビクロナミシャク
"*Heterothera serrativalva* (Inoue, 1954)",Heterothera serrativalva,ウスベニカバナミシャク
"*Heterothera hoenei* (Djakonov, 1929)",Heterothera hoenei,クロフカバナミシャク
"*Lobogonodes miniata* (Butler, 1881)",Lobogonodes miniata,ヨツモンカバナミシャク
"*Photoscotosia palaearctica* (Staudinger, 1882)",Photoscotosia palaearctica,シロフタオビナミシャク
"*Photoscotosia dejuncta* Prout, 1937",Photoscotosia dejuncta,フタオビナミシャク
"*Photoscotosia amplicata* (Walker, 1862)",Photoscotosia amplicata,クロフタオビナミシャク
*Neochele* sp.,Neochele sp.,ホソバセジロナミシャク
"*Neochele argentata* Butler, 1881",Neochele argentata,ギンモンセジロナミシャク
"*Zenophleps alpinata* Cassino, 1927",Zenophleps alpinata,ウスキナミシャク
"*Zenophleps terminata* (Wileman, 1911)",Zenophleps terminata,ウスバナミシャク
"*Zenophleps lignicolor* (Warren, 1896)",Zenophleps lignicolor,マエシロモンナミシャク
"*Zenophleps signata* (Butler, 1879)",Zenophleps signata,ホシウスバナミシャク
*Colostygia* sp.,Colostygia sp.,ホソバヒメナミシャク
"*Thera firmata* (Hübner, 1822)",Thera firmata,シロシマカバナミシャク
"*Thera juniperata* (Linnaeus, 1758)",Thera juniperata,クロフシラナミシャク
"*Electrophaes horia* (Prout, 1926)",Electrophaes horia,ヒメフタオビコバネナミシャク
"*Electrophaes fulgidaria* (Leech, 1897)",Electrophaes fulgidaria,ウラモンコバネナミシャク
"*Spargania luctuata* (Denis & Schiffermüller, 1775)",Spargania luctuata,ウラモンクロナミシャク
"*Anticlea consanguinata* Lederer, 1853",Anticlea consanguinata,ウスアオナミシャク
"*Anticlea hansi* (Hedemann, 1881)",Anticlea hansi,フタスジキナミシャク
"*Anticlea subornata* (Inoue, 1955)",Anticlea subornata,キシタナミシャク
"*Earophila badiata* (Denis & Schiffermüller, 1775)",Earophila badiata,ウラモンナミシャク
*Rheumaptera* sp.,Rheumaptera sp.,スギタニナミシャク
"*Triphosa amblychroura* Prout, 1937",Triphosa amblychroura,ナカオビエダシャク
"*Triphosa rubrodotata* (Walker, 1862)",Triphosa rubrodotata,クロオビシロエダシャク
"*Philereme vetulata* (Denis & Schiffermüller, 1775)",Philereme vetulata,クロフナミシャク
"*Hydria undulata* (Linnaeus, 1758)",Hydria undulata,キエダナミシャク
"*Cidaria fulvata* (Forster, 1771)",Cidaria fulvata,ヤマナミシャク
"*Pennithera djakonovi* (Kurentzov, 1950)",Pennithera djakonovi,アカガネナミシャク
"*Dysstroma hedemannaria* (Oberthür, 1880)",Dysstroma hedemannaria,ナカジロネグロナミシャク
"*Dysstroma morosata* (Geyer, 1837)",Dysstroma morosata,キシタナミシャク
"*Dysstroma hepronta* (Inoue, 1954)",Dysstroma hepronta,クロスジシロナミシャク
"*Dysstroma hersiliata* (Guenée, 1858)",Dysstroma hersiliata,ニセクロスジシロナミシャク
"*Eulithis amabilis* (Butler, 1879)",Eulithis amabilis,ギンガンスジナミシャク
"*Ecliptopera fastigiata* (Püngeler, 1908)",Ecliptopera fastigiata,ウラナミシャク
*Thamnurgis* sp.,Thamnurgis sp.,フタスジカバナミシャク
"*Neothera consimilis* (Warren, 1896)",Neothera consimilis,フトフタスジナミシャク
*Neothera sp.**,Neothera sp.,ウスイロカバナミシャク
"*Heterothera tephroptilus* (Fletcher, 1961)",Heterothera tephroptilus,ナカオビキナミシャク
"*Heterothera mussooriensis* (Moore, 1888)",Heterothera mussooriensis,キシタカバナミシャク
"*Heterothera serraria* (Lienig & Zeller, 1846)",Heterothera serraria,キオビクロナミシャク
"*Heterothera serrativalva* (Inoue, 1954)",Heterothera serrativalva,ウスベニカバナミシャク
"*Heterothera hoenei* (Djakonov, 1929)",Heterothera hoenei,クロフカバナミシャク
"*Lobogonodes miniata* (Butler, 1881)",Lobogonodes miniata,ヨツモンカバナミシャク
"*Photoscotosia palaearctica* (Staudinger, 1882)",Photoscotosia palaearctica,シロフタオビナミシャク
"*Photoscotosia dejuncta* Prout, 1937",Photoscotosia dejuncta,フタオビナミシャク
"*Photoscotosia amplicata* (Walker, 1862)",Photoscotosia amplicata,クロフタオビナミシャク
*Neochele* sp.,Neochele sp.,ホソバセジロナミシャク
"*Neochele argentata* Butler, 1881",Neochele argentata,ギンモンセジロナミシャク
"*Zenophleps alpinata* Cassino, 1927",Zenophleps alpinata,ウスキナミシャク
"*Zenophleps terminata* (Wileman, 1911)",Zenophleps terminata,ウスバナミシャク
"*Zenophleps lignicolor* (Warren, 1896)",Zenophleps lignicolor,マエシロモンナミシャク
"*Zenophleps signata* (Butler, 1879)",Zenophleps signata,ホシウスバナミシャク
*Colostygia* sp.,Colostygia sp.,ホソバヒメナミシャク
"*Thera firmata* (Hübner, 1822)",Thera firmata,シロシマカバナミシャク
"*Thera juniperata* (Linnaeus, 1758)",Thera juniperata,クロフシラナミシャク
"*Electrophaes horia* (Prout, 1926)",Electrophaes horia,ヒメフタオビコバネナミシャク
"*Electrophaes fulgidaria* (Leech, 1897)",Electrophaes fulgidaria,ウラモンコバネナミシャク
"*Spargania luctuata* (Denis & Schiffermüller, 1775)",Spargania luctuata,ウラモンクロナミシャク
"*Anticlea consanguinata* Lederer, 1853",Anticlea consanguinata,ウスアオナミシャク
"*Anticlea hansi* (Hedemann, 1881)",Anticlea hansi,フタスジキナミシャク
"*Anticlea subornata* (Inoue, 1955)",Anticlea subornata,キシタナミシャク
"*Earophila badiata* (Denis & Schiffermüller, 1775)",Earophila badiata,ウラモンナミシャク
*Rheumaptera* sp.,Rheumaptera sp.,スギタニナミシャク
"*Triphosa amblychroura* Prout, 1937",Triphosa amblychroura,ナカオビエダシャク
"*Triphosa rubrodotata* (Walker, 1862)",Triphosa rubrodotata,クロオビシロエダシャク
"*Philereme vetulata* (Denis & Schiffermüller, 1775)",Philereme vetulata,クロフナミシャク
"*Hydria undulata* (Linnaeus, 1758)",Hydria undulata,キエダナミシャク
"*Cidaria fulvata* (Forster, 1771)",Cidaria fulvata,ヤマナミシャク
"*Pennithera djakonovi* (Kurentzov, 1950)",Pennithera djakonovi,アカガネナミシャク
"*Dysstroma hedemannaria* (Oberthür, 1880)",Dysstroma hedemannaria,ナカジロネグロナミシャク
"*Dysstroma morosata* (Geyer, 1837)",Dysstroma morosata,キシタナミシャク
"*Dysstroma hepronta* (Inoue, 1954)",Dysstroma hepronta,クロスジシロナミシャク
"*Dysstroma hersiliata* (Guenée, 1858)",Dysstroma hersiliata,ニセクロスジシロナミシャク
"*Eulithis amabilis* (Butler, 1879)",Eulithis amabilis,ギンガンスジナミシャク
"*Ecliptopera fastigiata* (Püngeler, 1908)",Ecliptopera fastigiata,ウラナミシャク
*Thamnurgis* sp.,Thamnurgis sp.,フタスジカバナミシャク
"*Neothera consimilis* (Warren, 1896)",Neothera consimilis,フトフタスジナミシャク
*Neothera sp.**,Neothera sp.,ウスイロカバナミシャク
"*Heterothera tephroptilus* (Fletcher, 1961)",Heterothera tephroptilus,ナカオビキナミシャク
"*Heterothera mussooriensis* (Moore, 1888)",Heterothera mussooriensis,キシタカバナミシャク
"*Heterothera serraria* (Lienig & Zeller, 1846)",Heterothera serraria,キオビクロナミシャク
"*Heterothera serrativalva* (Inoue, 1954)",Heterothera serrativalva,ウスベニカバナミシャク
"*Heterothera hoenei* (Djakonov, 1929)",Heterothera hoenei,クロフカバナミシャク
"*Lobogonodes miniata* (Butler, 1881)",Lobogonodes miniata,ヨツモンカバナミシャク
"*Photoscotosia palaearctica* (Staudinger, 1882)",Photoscotosia palaearctica,シロフタオビナミシャク
"*Photoscotosia dejuncta* Prout, 1937",Photoscotosia dejuncta,フタオビナミシャク
"*Photoscotosia amplicata* (Walker, 1862)",Photoscotosia amplicata,クロフタオビナミシャク
*Neochele* sp.,Neochele sp.,ホソバセジロナミシャク
"*Neochele argentata* Butler, 1881",Neochele argentata,ギンモンセジロナミシャク
"*Zenophleps alpinata* Cassino, 1927",Zenophleps alpinata,ウスキナミシャク
"*Zenophleps terminata* (Wileman, 1911)",Zenophleps terminata,ウスバナミシャク
"*Zenophleps lignicolor* (Warren, 1896)",Zenophleps lignicolor,マエシロモンナミシャク
"*Zenophleps signata* (Butler, 1879)",Zenophleps signata,ホシウスバナミシャク
*Colostygia* sp.,Colostygia sp.,ホソバヒメナミシャク
"*Thera firmata* (Hübner, 1822)",Thera firmata,シロシマカバナミシャク
"*Thera juniperata* (Linnaeus, 1758)",Thera juniperata,クロフシラナミシャク
"*Electrophaes horia* (Prout, 1926)",Electrophaes horia,ヒメフタオビコバネナミシャク
"*Electrophaes fulgidaria* (Leech, 1897)",Electrophaes fulgidaria,ウラモンコバネナミシャク
"*Spargania luctuata* (Denis & Schiffermüller, 1775)",Spargania luctuata,ウラモンクロナミシャク
"*Anticlea consanguinata* Lederer, 1853",Anticlea consanguinata,ウスアオナミシャク
"*Anticlea hansi* (Hedemann, 1881)",Anticlea hansi,フタスジキナミシャク
"*Anticlea subornata* (Inoue, 1955)",Anticlea subornata,キシタナミシャク
"*Earophila badiata* (Denis & Schiffermüller, 1775)",Earophila badiata,ウラモンナミシャク
*Rheumaptera* sp.,Rheumaptera sp.,スギタニナミシャク
"*Triphosa amblychroura* Prout, 1937",Triphosa amblychroura,ナカオビエダシャク
"*Triphosa rubrodotata* (Walker, 1862)",Triphosa rubrodotata,クロオビシロエダシャク
"*Philereme vetulata* (Denis & Schiffermüller, 1775)",Philereme vetulata,クロフナミシャク
"*Hydria undulata* (Linnaeus, 1758)",Hydria undulata,キエダナミシャク
"*Cidaria fulvata* (Forster, 1771)",Cidaria fulvata,ヤマナミシャク
"*Pennithera djakonovi* (Kurentzov, 1950)",Pennithera djakonovi,アカガネナミシャク
"*Dysstroma hedemannaria* (Oberthür, 1880)",Dysstroma hedemannaria,ナカジロネグロナミシャク
"*Dysstroma morosata* (Geyer, 1837)",Dysstroma morosata,キシタナミシャク
"*Dysstroma hepronta* (Inoue, 1954)",Dysstroma hepronta,クロスジシロナミシャク
"*Dysstroma hersiliata* (Guenée, 1858)",Dysstroma hersiliata,ニセクロスジシロナミシャク
"*Eulithis amabilis* (Butler, 1879)",Eulithis amabilis,ギンガンスジナミシャク
"*Ecliptopera fastigiata* (Püngeler, 1908)",Ecliptopera fastigiata,ウラナミシャク
*Thamnurgis* sp.,Thamnurgis sp.,フタスジカバナミシャク
"*Neothera consimilis* (Warren, 1896)",Neothera consimilis,フトフタスジナミシャク
*Neothera sp.**,Neothera sp.,ウスイロカバナミシャク
"*Heterothera tephroptilus* (Fletcher, 1961)",Heterothera tephroptilus,ナカオビキナミシャク
"*Heterothera mussooriensis* (Moore, 1888)",Heterothera mussooriensis,キシタカバナミシャク
"*Heterothera serraria* (Lienig & Zeller, 1846)",Heterothera serraria,キオビクロナミシャク
"*Heterothera serrativalva* (Inoue, 1954)",Heterothera serrativalva,ウスベニカバナミシャク
"*Heterothera hoenei* (Djakonov, 1929)",Heterothera hoenei,クロフカバナミシャク
"*Lobogonodes miniata* (Butler, 1881)",Lobogonodes miniata,ヨツモンカバナミシャク
"*Photoscotosia palaearctica* (Staudinger, 1882)",Photoscotosia palaearctica,シロフタオビナミシャク
"*Photoscotosia dejuncta* Prout, 1937",Photoscotosia dejuncta,フタオビナミシャク
"*Photoscotosia amplicata* (Walker, 1862)",Photoscotosia amplicata,クロフタオビナミシャク
*Neochele* sp.,Neochele sp.,ホソバセジロナミシャク
"*Neochele argentata* Butler, 1881",Neochele argentata,ギンモンセジロナミシャク
"*Zenophleps alpinata* Cassino, 1927",Zenophleps alpinata,ウスキナミシャク
"*Zenophleps terminata* (Wileman, 1911)",Zenophleps terminata,ウスバナミシャク
"*Zenophleps lignicolor* (Warren, 1896)",Zenophleps lignicolor,マエシロモンナミシャク
"*Zenophleps signata* (Butler, 1879)",Zenophleps signata,ホシウスバナミシャク
*Colostygia* sp.,Colostygia sp.,ホソバヒメナミシャク
"*Thera firmata* (Hübner, 1822)",Thera firmata,シロシマカバナミシャク
"*Thera juniperata* (Linnaeus, 1758)",Thera juniperata,クロフシラナミシャク
"*Electrophaes horia* (Prout, 1926)",Electrophaes horia,ヒメフタオビコバネナミシャク
"*Electrophaes fulgidaria* (Leech, 1897)",Electrophaes fulgidaria,ウラモンコバネナミシャク
"*Spargania luctuata* (Denis & Schiffermüller, 1775)",Spargania luctuata,ウラモンクロナミシャク
"*Anticlea consanguinata* Lederer, 1853",Anticlea consanguinata,ウスアオナミシャク
"*Anticlea hansi* (Hedemann, 1881)",Anticlea hansi,フタスジキナミシャク
"*Anticlea subornata* (Inoue, 1955)",Anticlea subornata,キシタナミシャク
"*Earophila badiata* (Denis & Schiffermüller, 1775)",Earophila badiata,ウラモンナミシャク
*Rheumaptera* sp.,Rheumaptera sp.,スギタニナミシャク
"*Triphosa amblychroura* Prout, 1937",Triphosa amblychroura,ナカオビエダシャク
"*Triphosa rubrodotata* (Walker, 1862)",Triphosa rubrodotata,クロオビシロエダシャク
"*Philereme vetulata* (Denis & Schiffermüller, 1775)",Philereme vetulata,クロフナミシャク
"*Hydria undulata* (Linnaeus, 1758)",Hydria undulata,キエダナミシャク
"*Cidaria fulvata* (Forster, 1771)",Cidaria fulvata,ヤマナミシャク
"*Pennithera djakonovi* (Kurentzov, 1950)",Pennithera djakonovi,アカガネナミシャク
"*Dysstroma hedemannaria* (Oberthür, 1880)",Dysstroma hedemannaria,ナカジロネグロナミシャク
"*Dysstroma morosata* (Geyer, 1837)",Dysstroma morosata,キシタナミシャク
"*Dysstroma hepronta* (Inoue, 1954)",Dysstroma hepronta,クロスジシロナミシャク
"*Dysstroma hersiliata* (Guenée, 1858)",Dysstroma hersiliata,ニセクロスジシロナミシャク
"*Eulithis amabilis* (Butler, 1879)",Eulithis amabilis,ギンガンスジナミシャク
"*Ecliptopera fastigiata* (Püngeler, 1908)",Ecliptopera fastigiata,ウラナミシャク
*Thamnurgis* sp.,Thamnurgis sp.,フタスジカバナミシャク
"*Neothera consimilis* (Warren, 1896)",Neothera consimilis,フトフタスジナミシャク
*Neothera sp.**,Neothera sp.,ウスイロカバナミシャク
"*Heterothera tephroptilus* (Fletcher, 1961)",Heterothera tephroptilus,ナカオビキナミシャク
"*Heterothera mussooriensis* (Moore, 1888)",Heterothera mussooriensis,キシタカバナミシャク
"*Heterothera serraria* (Lienig & Zeller, 1846)",Heterothera serraria,キオビクロナミシャク
"*Heterothera serrativalva* (Inoue, 1954)",Heterothera serrativalva,ウスベニカバナミシャク
"*Heterothera hoenei* (Djakonov, 1929)",Heterothera hoenei,クロフカバナミシャク
"*Lobogonodes miniata* (Butler, 1881)",Lobogonodes miniata,ヨツモンカバナミシャク
"*Photoscotosia palaearctica* (Staudinger, 1882)",Photoscotosia palaearctica,シロフタオビナミシャク
"*Photoscotosia dejuncta* Prout, 1937",Photoscotosia dejuncta,フタオビナミシャク
"*Photoscotosia amplicata* (Walker, 1862)",Photoscotosia amplicata,クロフタオビナミシャク
*Neochele* sp.,Neochele sp.,ホソバセジロナミシャク
"*Neochele argentata* Butler, 1881",Neochele argentata,ギンモンセジロナミシャク
"*Zenophleps alpinata* Cassino, 1927",Zenophleps alpinata,ウスキナミシャク
"*Zenophleps terminata* (Wileman, 1911)",Zenophleps terminata,ウスバナミシャク
"*Zenophleps lignicolor* (Warren, 1896)",Zenophleps lignicolor,マエシロモンナミシャク
"*Zenophleps signata* (Butler, 1879)",Zenophleps signata,ホシウスバナミシャク
*Colostygia* sp.,Colostygia sp.,ホソバヒメナミシャク
"*Thera firmata* (Hübner, 1822)",Thera firmata,シロシマカバナミシャク
"*Thera juniperata* (Linnaeus, 1758)",Thera juniperata,クロフシラナミシャク
"*Electrophaes horia* (Prout, 1926)",Electrophaes horia,ヒメフタオビコバネナミシャク
"*Electrophaes fulgidaria* (Leech, 1897)",Electrophaes fulgidaria,ウラモンコバネナミシャク
"*Spargania luctuata* (Denis & Schiffermüller, 1775)",Spargania luctuata,ウラモンクロナミシャク
"*Anticlea consanguinata* Lederer, 1853",Anticlea consanguinata,ウスアオナミシャク
"*Anticlea hansi* (Hedemann, 1881)",Anticlea hansi,フタスジキナミシャク
"*Anticlea subornata* (Inoue, 1955)",Anticlea subornata,キシタナミシャク
"*Earophila badiata* (Denis & Schiffermüller, 1775)",Earophila badiata,ウラモンナミシャク
*Rheumaptera* sp.,Rheumaptera sp.,スギタニナミシャク
"*Triphosa amblychroura* Prout, 1937",Triphosa amblychroura,ナカオビエダシャク
"*Triphosa rubrodotata* (Walker, 1862)",Triphosa rubrodotata,クロオビシロエダシャク
"*Philereme vetulata* (Denis & Schiffermüller, 1775)",Philereme vetulata,クロフナミシャク
"*Hydria undulata* (Linnaeus, 1758)",Hydria undulata,キエダナミシャク
"*Cidaria fulvata* (Forster, 1771)",Cidaria fulvata,ヤマナミシャク
"*Pennithera djakonovi* (Kurentzov, 1950)",Pennithera djakonovi,アカガネナミシャク
"*Dysstroma hedemannaria* (Oberthür, 1880)",Dysstroma hedemannaria,ナカジロネグロナミシャク
"*Dysstroma morosata* (Geyer, 1837)",Dysstroma morosata,キシタナミシャク
"*Dysstroma hepronta* (Inoue, 1954)",Dysstroma hepronta,クロスジシロナミシャク
"*Dysstroma hersiliata* (Guenée, 1858)",Dysstroma hersiliata,ニセクロスジシロナミシャク
"*Eulithis amabilis* (Butler, 1879)",Eulithis amabilis,ギンガンスジナミシャク
"*Ecliptopera fastigiata* (Püngeler, 1908)",Ecliptopera fastigiata,ウラナミシャク
*Thamnurgis* sp.,Thamnurgis sp.,フタスジカバナミシャク
"*Neothera consimilis* (Warren, 1896)",Neothera consimilis,フトフタスジナミシャク
*Neothera sp.**,Neothera sp.,ウスイロカバナミシャク
"*Heterothera tephroptilus* (Fletcher, 1961)",Heterothera tephroptilus,ナカオビキナミシャク
"*Heterothera mussooriensis* (Moore, 1888)",Heterothera mussooriensis,キシタカバナミシャク
"*Heterothera serraria* (Lienig & Zeller, 1846)",Heterothera serraria,キオビクロナミシャク
"*Heterothera serrativalva* (Inoue, 1954)",Heterothera serrativalva,ウスベニカバナミシャク
"*Heterothera hoenei* (Djakonov, 1929)",Heterothera hoenei,クロフカバナミシャク
"*Lobogonodes miniata* (Butler, 1881)",Lobogonodes miniata,ヨツモンカバナミシャク
"*Photoscotosia palaearctica* (Staudinger, 1882)",Photoscotosia palaearctica,シロフタオビナミシャク
"*Photoscotosia dejuncta* Prout, 1937",Photoscotosia dejuncta,フタオビナミシャク
"*Photoscotosia amplicata* (Walker, 1862)",Photoscotosia amplicata,クロフタオビナミシャク
*Neochele* sp.,Neochele sp.,ホソバセジロナミシャク
"*Neochele argentata* Butler, 1881",Neochele argentata,ギンモンセジロナミシャク
"*Zenophleps alpinata* Cassino, 1927",Zenophleps alpinata,ウスキナミシャク
"*Zenophleps terminata* (Wileman, 1911)",Zenophleps terminata,ウスバナミシャク
"*Zenophleps lignicolor* (Warren, 1896)",Zenophleps lignicolor,マエシロモンナミシャク
"*Zenophleps signata* (Butler, 1879)",Zenophleps signata,ホシウスバナミシャク
*Colostygia* sp.,Colostygia sp.,ホソバヒメナミシャク
"*Thera firmata* (Hübner, 1822)",Thera firmata,シロシマカバナミシャク
"*Thera juniperata* (Linnaeus, 1758)",Thera juniperata,クロフシラナミシャク
"*Electrophaes horia* (Prout, 1926)",Electrophaes horia,ヒメフタオビコバネナミシャク
"*Electrophaes fulgidaria* (Leech, 1897)",Electrophaes fulgidaria,ウラモンコバネナミシャク
"*Spargania luctuata* (Denis & Schiffermüller, 1775)",Spargania luctuata,ウラモンクロナミシャク
"*Anticlea consanguinata* Lederer, 1853",Anticlea consanguinata,ウスアオナミシャク
"*Anticlea hansi* (Hedemann, 1881)",Anticlea hansi,フタスジキナミシャク
"*Anticlea subornata* (Inoue, 1955)",Anticlea subornata,キシタナミシャク
"*Earophila badiata* (Denis & Schiffermüller, 1775)",Earophila badiata,ウラモンナミシャク
*Rheumaptera* sp.,Rheumaptera sp.,スギタニナミシャク
"*Triphosa amblychroura* Prout, 1937",Triphosa amblychroura,ナカオビエダシャク
"*Triphosa rubrodotata* (Walker, 1862)",Triphosa rubrodotata,クロオビシロエダシャク
"*Philereme vetulata* (Denis & Schiffermüller, 1775)",Philereme vetulata,クロフナミシャク
"*Hydria undulata* (Linnaeus, 1758)",Hydria undulata,キエダナミシャク
"*Cidaria fulvata* (Forster, 1771)",Cidaria fulvata,ヤマナミシャク
"*Pennithera djakonovi* (Kurentzov, 1950)",Pennithera djakonovi,アカガネナミシャク
"*Dysstroma hedemannaria* (Oberthür, 1880)",Dysstroma hedemannaria,ナカジロネグロナミシャク
"*Dysstroma morosata* (Geyer, 1837)",Dysstroma morosata,キシタナミシャク
"*Dysstroma hepronta* (Inoue, 1954)",Dysstroma hepronta,クロスジシロナミシャク
"*Dysstroma hersiliata* (Guenée, 1858)",Dysstroma hersiliata,ニセクロスジシロナミシャク
"*Eulithis amabilis* (Butler, 1879)",Eulithis amabilis,ギンガンスジナミシャク
"*Ecliptopera fastigiata* (Püngeler, 1908)",Ecliptopera fastigiata,ウラナミシャク
*Thamnurgis* sp.,Thamnurgis sp.,フタスジカバナミシャク
"*Neothera consimilis* (Warren, 1896)",Neothera consimilis,フトフタスジナミシャク
*Neothera sp.**,Neothera sp.,ウスイロカバナミシャク
"*Heterothera tephroptilus* (Fletcher, 1961)",Heterothera tephroptilus,ナカオビキナミシャク
"*Heterothera mussooriensis* (Moore, 1888)",Heterothera mussooriensis,キシタカバナミシャク
"*Heterothera serraria* (Lienig & Zeller, 1846)",Heterothera serraria,キオビクロナミシャク
"*Heterothera serrativalva* (Inoue, 1954)",Heterothera serrativalva,ウスベニカバナミシャク
"*Heterothera hoenei* (Djakonov, 1929)",Heterothera hoenei,クロフカバナミシャク
"*Lobogonodes miniata* (Butler, 1881)",Lobogonodes miniata,ヨツモンカバナミシャク
"*Photoscotosia palaearctica* (Staudinger, 1882)",Photoscotosia palaearctica,シロフタオビナミシャク
"*Photoscotosia dejuncta* Prout, 1937",Photoscotosia dejuncta,フタオビナミシャク
"*Photoscotosia amplicata* (Walker, 1862)",Photoscotosia amplicata,クロフタオビナミシャク
*Neochele* sp.,Neochele sp.,ホソバセジロナミシャク
"*Neochele argentata* Butler, 1881",Neochele argentata,ギンモンセジロナミシャク
"*Zenophleps alpinata* Cassino, 1927",Zenophleps alpinata,ウスキナミシャク
"*Zenophleps terminata* (Wileman, 1911)",Zenophleps terminata,ウスバナミシャク
"*Zenophleps lignicolor* (Warren, 1896)",Zenophleps lignicolor,マエシロモンナミシャク
"*Zenophleps signata* (Butler, 1879)",Zenophleps signata,ホシウスバナミシャク
*Colostygia* sp.,Colostygia sp.,ホソバヒメナミシャク
"*Thera firmata* (Hübner, 1822)",Thera firmata,シロシマカバナミシャク
"*Thera juniperata* (Linnaeus, 1758)",Thera juniperata,クロフシラナミシャク
"*Electrophaes horia* (Prout, 1926)",Electrophaes horia,ヒメフタオビコバネナミシャク
"*Electrophaes fulgidaria* (Leech, 1897)",Electrophaes fulgidaria,ウラモンコバネナミシャク
"*Spargania luctuata* (Denis & Schiffermüller, 1775)",Spargania luctuata,ウラモンクロナミシャク
"*Anticlea consanguinata* Lederer, 1853",Anticlea consanguinata,ウスアオナミシャク
"*Anticlea hansi* (Hedemann, 1881)",Anticlea hansi,フタスジキナミシャク
