record_id,book_page,insect_id,japanese_name,plant_name,plant_family,observation_type,source_reference,verification_note,ocr_evidence_text
hostplant-ZUKAN4-P086155-0028,89,species-0362,クリチビガ,クリ,ブナ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]クリ(ブナ科),シラカンバ(カバノキ科)."
hostplant-ZUKAN4-P086155-0029,89,species-0362,クリチビガ,シラカンバ,カバノキ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]クリ(ブナ科),シラカンバ(カバノキ科)."
hostplant-ZUKAN4-P086155-0030,90,species-0363,ケヤキチビガ,ケヤキ,ニレ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ケヤキ(ニレ科)。
hostplant-ZUKAN4-P086155-0031,90,species-0365,ヤマブキトラチビガ,カバノキ類,カバノキ科,野外（国外）,日本産蛾類標準図鑑4,,[寄主植物]シナノキ(アオイ科)、ヨーロッパでは、カバノキ類.(カバノキ科)クリ、ブナ類(以上ブナ科)を寄主とすることが知られる.[分類]重種区分はされていない。タイプ産地はヨーロッパ。
hostplant-ZUKAN4-P086155-0032,90,species-0365,ヤマブキトラチビガ,クリ,ブナ科,野外（国外）,日本産蛾類標準図鑑4,,[寄主植物]シナノキ(アオイ科)、ヨーロッパでは、カバノキ類.(カバノキ科)クリ、ブナ類(以上ブナ科)を寄主とすることが知られる.[分類]重種区分はされていない。タイプ産地はヨーロッパ。
hostplant-ZUKAN4-P086155-0033,90,species-0365,ヤマブキトラチビガ,シナノキ,アオイ科,文献,日本産蛾類標準図鑑4,,[寄主植物]シナノキ(アオイ科)、ヨーロッパでは、カバノキ類.(カバノキ科)クリ、ブナ類(以上ブナ科)を寄主とすることが知られる.[分類]重種区分はされていない。タイプ産地はヨーロッパ。
hostplant-ZUKAN4-P086155-0034,90,species-0365,ヤマブキトラチビガ,ブナ類,ブナ科,野外（国外）,日本産蛾類標準図鑑4,,[寄主植物]シナノキ(アオイ科)、ヨーロッパでは、カバノキ類.(カバノキ科)クリ、ブナ類(以上ブナ科)を寄主とすることが知られる.[分類]重種区分はされていない。タイプ産地はヨーロッパ。
hostplant-ZUKAN4-P086155-0035,90,species-0366,ハンノキチビガ,ハンノキ,カバノキ科,文献,日本産蛾類標準図鑑4,,[奇主植物]ハンノキ(カバノキ科).
hostplant-ZUKAN4-P086155-0036,90,species-0367,シラホシチビガ,ハンノキ属,カバノキ科,野外（国外）,日本産蛾類標準図鑑4,,[寄主植物]国内では未知.国外では、ヨーロッパでハンノキ属(カバノキ科)を寄主植物とすることが知られる。
hostplant-ZUKAN4-P086155-0037,90,species-0368,クヌギチビガ,クヌギ,ブナ科,文献,日本産蛾類標準図鑑4,原図で補完,
hostplant-ZUKAN4-P086155-0038,90,species-0369,コナラチビガ,カシワ,ブナ科,文献,日本産蛾類標準図鑑4,,[寄主植物]カシワ、ミズナラ、コナラ(以上ブナ科).
hostplant-ZUKAN4-P086155-0039,90,species-0369,コナラチビガ,コナラ,ブナ科,文献,日本産蛾類標準図鑑4,,[寄主植物]カシワ、ミズナラ、コナラ(以上ブナ科).
hostplant-ZUKAN4-P086155-0040,90,species-0369,コナラチビガ,ミズナラ,ブナ科,文献,日本産蛾類標準図鑑4,,[寄主植物]カシワ、ミズナラ、コナラ(以上ブナ科).
hostplant-ZUKAN4-P086155-0041,92,species-0370,ホシボシホソガ,エゾノコリンゴ,バラ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]エゾノコリンゴ、エゾヤマザクラ、スモモ,セイヨウミザクラなど(以上バラ科)."
hostplant-ZUKAN4-P086155-0042,92,species-0370,ホシボシホソガ,エゾヤマザクラ,バラ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]エゾノコリンゴ、エゾヤマザクラ、スモモ,セイヨウミザクラなど(以上バラ科)."
hostplant-ZUKAN4-P086155-0043,92,species-0370,ホシボシホソガ,スモモ,バラ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]エゾノコリンゴ、エゾヤマザクラ、スモモ,セイヨウミザクラなど(以上バラ科)."
hostplant-ZUKAN4-P086155-0044,92,species-0370,ホシボシホソガ,セイヨウミザクラ,バラ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]エゾノコリンゴ、エゾヤマザクラ、スモモ,セイヨウミザクラなど(以上バラ科)."
hostplant-ZUKAN4-P086155-0045,92,species-0371,カバホシボシホソガ,カバノキ属,カバノキ科,文献,日本産蛾類標準図鑑4,,[寄主植物]シラカンバなどカバノキ属(カバノキ科).
hostplant-ZUKAN4-P086155-0046,92,species-0371,カバホシボシホソガ,シラカンバ,カバノキ科,文献,日本産蛾類標準図鑑4,,[寄主植物]シラカンバなどカバノキ属(カバノキ科).
hostplant-ZUKAN4-P086155-0047,92,species-0372,チビホシボシホソガ,コケモモ属,ツツジ科,文献,日本産蛾類標準図鑑4,,寄主植物]コケモモ属の1種(ツツジ科).
hostplant-ZUKAN4-P086155-0048,92,species-0373,ハンノホシボシホソガ,ケヤマハンノキ,カバノキ科,文献,日本産蛾類標準図鑑4,,寄主植物]ケヤマハンノキ(カバノキ科).
hostplant-ZUKAN4-P086155-0049,93,species-0375,ベニホソガ,ゴンズイ,ミツバウツギ科,文献,日本産蛾類標準図鑑4,,寄主植物]ゴンズイ(ミツバウツギ科).
hostplant-ZUKAN4-P086155-0050,93,species-0377,シロハマキホソガ,ハシドイ,モクセイ科,文献,日本産蛾類標準図鑑4,,寄主植物]ヤチダモ、ハシドイ、ムラサキハシドイ(以上モクセイ科).
hostplant-ZUKAN4-P086155-0051,93,species-0377,シロハマキホソガ,ムラサキハシドイ,モクセイ科,文献,日本産蛾類標準図鑑4,,寄主植物]ヤチダモ、ハシドイ、ムラサキハシドイ(以上モクセイ科).
hostplant-ZUKAN4-P086155-0052,93,species-0377,シロハマキホソガ,ヤチダモ,モクセイ科,文献,日本産蛾類標準図鑑4,,寄主植物]ヤチダモ、ハシドイ、ムラサキハシドイ(以上モクセイ科).
hostplant-ZUKAN4-P086155-0053,93,species-0378,イボタホソガ,イボタノキ,モクセイ科,文献,日本産蛾類標準図鑑4,,[寄主植物]イボタノキ(モクセイ科).
hostplant-ZUKAN4-P086155-0054,94,species-0379,ウスリーハマキホソガ,トネリコ属,モクセイ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ヤチダモなどトネリコ属(モクセイ科).
hostplant-ZUKAN4-P086155-0055,94,species-0379,ウスリーハマキホソガ,ヤチダモ,モクセイ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ヤチダモなどトネリコ属(モクセイ科).
hostplant-ZUKAN4-P086155-0056,94,species-0380,クロハマキホソガ,ハシドイ,モクセイ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ヤチダモやハシドイなど(以上モクセイ科).
hostplant-ZUKAN4-P086155-0057,94,species-0380,クロハマキホソガ,ヤチダモ,モクセイ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ヤチダモやハシドイなど(以上モクセイ科).
hostplant-ZUKAN4-P086155-0058,94,species-0381,ハイイロハマキホソガ,ソケイ属,モクセイ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ヤチダモ,ムラサキハシドイ,ソケイ属(ジャスミン)など(以上モクセイ科).日本では、ヤチダモ(モクセイ科)の葉を巻いていた幼虫が創育された."
hostplant-ZUKAN4-P086155-0059,94,species-0381,ハイイロハマキホソガ,ムラサキハシドイ,モクセイ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ヤチダモ,ムラサキハシドイ,ソケイ属(ジャスミン)など(以上モクセイ科).日本では、ヤチダモ(モクセイ科)の葉を巻いていた幼虫が創育された."
hostplant-ZUKAN4-P086155-0060,94,species-0381,ハイイロハマキホソガ,ヤチダモ,モクセイ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ヤチダモ,ムラサキハシドイ,ソケイ属(ジャスミン)など(以上モクセイ科).日本では、ヤチダモ(モクセイ科)の葉を巻いていた幼虫が創育された."
hostplant-ZUKAN4-P086155-0061,94,species-0382,ヤナギハマキホソガ,ポプラ類,ヤナギ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ヤナギ類やポプラ類(以上ヤナギ科).カバノキ科や
hostplant-ZUKAN4-P086155-0062,94,species-0382,ヤナギハマキホソガ,ヤナギ類,ヤナギ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ヤナギ類やポプラ類(以上ヤナギ科).カバノキ科や
hostplant-ZUKAN4-P086155-0063,94,species-0383,ヤナギコハマキホソガ,シダレヤナギ,ヤナギ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ヤマナラシやシダレヤナギ(以上ヤナギ科).
hostplant-ZUKAN4-P086155-0064,94,species-0383,ヤナギコハマキホソガ,ヤマナラシ,ヤナギ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ヤマナラシやシダレヤナギ(以上ヤナギ科).
hostplant-ZUKAN4-P086155-0065,95,species-0384,チャノハマキホソガ,サザンカ,ツバキ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ツバキ、サザンカ、チャノキ(以上ツバキ科)、国外では、茶の栽培とともに各地に広がったと思われる。茶の害虫として著名。
hostplant-ZUKAN4-P086155-0066,95,species-0384,チャノハマキホソガ,チャノキ,ツバキ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ツバキ、サザンカ、チャノキ(以上ツバキ科)、国外では、茶の栽培とともに各地に広がったと思われる。茶の害虫として著名。
hostplant-ZUKAN4-P086155-0067,95,species-0384,チャノハマキホソガ,ツバキ,ツバキ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ツバキ、サザンカ、チャノキ(以上ツバキ科)、国外では、茶の栽培とともに各地に広がったと思われる。茶の害虫として著名。
hostplant-ZUKAN4-P086155-0068,95,species-0385,リンゴハマキホソガ,カナメモチ,バラ科,文献,日本産蛾類標準図鑑4,,[寄主植物]日本では、リンゴ、カナメモチ、キイチゴ類など(以にバラ科)、国外でもバラ科植物を食べ、リンゴの書虫になっている。
hostplant-ZUKAN4-P086155-0069,95,species-0385,リンゴハマキホソガ,キイチゴ類,バラ科,文献,日本産蛾類標準図鑑4,,[寄主植物]日本では、リンゴ、カナメモチ、キイチゴ類など(以にバラ科)、国外でもバラ科植物を食べ、リンゴの書虫になっている。
hostplant-ZUKAN4-P086155-0070,95,species-0385,リンゴハマキホソガ,リンゴ,バラ科,文献,日本産蛾類標準図鑑4,,[寄主植物]日本では、リンゴ、カナメモチ、キイチゴ類など(以にバラ科)、国外でもバラ科植物を食べ、リンゴの書虫になっている。
hostplant-ZUKAN4-P086155-0071,95,species-0386,コガネハマキホソガ,サカキ,モッコク科,文献,日本産蛾類標準図鑑4,,[寄主植物]サカキ科のサカキ.
hostplant-ZUKAN4-P086155-0072,95,species-0387,ヤマモガシハマキホソガ,ヤマモガシ,ヤマモガシ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ヤマモガシなどのヤマモガシ科。
hostplant-ZUKAN4-P086155-0073,96,species-0388,イカリソウハマキホソガ,イカリソウ属,メギ科,野外（国外）,日本産蛾類標準図鑑4,,[寄主植物]キバナイカリソウ(メギ科)、ヨーロッパでも、イカリソウ属を食べる.
hostplant-ZUKAN4-P086155-0074,96,species-0388,イカリソウハマキホソガ,キバナイカリソウ,メギ科,文献,日本産蛾類標準図鑑4,,[寄主植物]キバナイカリソウ(メギ科)、ヨーロッパでも、イカリソウ属を食べる.
hostplant-ZUKAN4-P086155-0075,96,species-0389,フタモンハマキホソガ,オオバスノキ,ツツジ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ツツジ科のオオバスノキ.
hostplant-ZUKAN4-P086155-0076,96,species-0390,リュウキュウハマキホソガ,カキバカンコノキ,コミカンソウ科,文献,日本産蛾類標準図鑑4,,[寄主植物]カキバカンコノキなど(コミカンソウ科)。
hostplant-ZUKAN4-P086155-0077,96,species-0392,イタヤハマキホソガ,イタヤカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,寄主植物]クロビイタヤ、イタヤカエデ、イロハモミジなど(以上ムクロジ科).
hostplant-ZUKAN4-P086155-0078,96,species-0392,イタヤハマキホソガ,イロハモミジ,ムクロジ科,文献,日本産蛾類標準図鑑4,再確認が必要と明記,寄主植物]クロビイタヤ、イタヤカエデ、イロハモミジなど(以上ムクロジ科).
hostplant-ZUKAN4-P086155-0079,96,species-0392,イタヤハマキホソガ,クロビイタヤ,ムクロジ科,文献,日本産蛾類標準図鑑4,,寄主植物]クロビイタヤ、イタヤカエデ、イロハモミジなど(以上ムクロジ科).
hostplant-ZUKAN4-P086155-0080,96,species-0393,モミジハマキホソガ,イタヤカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,再確認が必要と明記,"[寄主植物]ハウチワカエデ,イロハモミジ,イタヤカエデなど(以上ムクロジ科).前種と寄主植物が重複し、幼虫期の区別は困難だが、本種は主にイロハモミジやハウチワカエデを食し、本種のイタヤカエデからの記録は、前種のイロハモミジからの記録と同様、再確認が必要である。本種と前種は、寄主植物ですみ分けている可能性が"
hostplant-ZUKAN4-P086155-0081,96,species-0393,モミジハマキホソガ,イロハモミジ,ムクロジ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ハウチワカエデ,イロハモミジ,イタヤカエデなど(以上ムクロジ科).前種と寄主植物が重複し、幼虫期の区別は困難だが、本種は主にイロハモミジやハウチワカエデを食し、本種のイタヤカエデからの記録は、前種のイロハモミジからの記録と同様、再確認が必要である。本種と前種は、寄主植物ですみ分けている可能性が"
hostplant-ZUKAN4-P086155-0082,96,species-0393,モミジハマキホソガ,ハウチワカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ハウチワカエデ,イロハモミジ,イタヤカエデなど(以上ムクロジ科).前種と寄主植物が重複し、幼虫期の区別は困難だが、本種は主にイロハモミジやハウチワカエデを食し、本種のイタヤカエデからの記録は、前種のイロハモミジからの記録と同様、再確認が必要である。本種と前種は、寄主植物ですみ分けている可能性が"
hostplant-ZUKAN4-P086155-0083,97,species-0394,キソハマキホソガ,イタヤカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,寄主植物]カラコギカエデ、イタヤカエデなど(以上ムクロジ科).
hostplant-ZUKAN4-P086155-0084,97,species-0394,キソハマキホソガ,カラコギカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,寄主植物]カラコギカエデ、イタヤカエデなど(以上ムクロジ科).
hostplant-ZUKAN4-P086155-0085,97,species-0395,ムラサキハマキホソガ,イタヤカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ハウチワカエデ,コハウチワカエデ,イタヤカエデなど(以上ムクロジ科)."
hostplant-ZUKAN4-P086155-0086,97,species-0395,ムラサキハマキホソガ,コハウチワカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ハウチワカエデ,コハウチワカエデ,イタヤカエデなど(以上ムクロジ科)."
hostplant-ZUKAN4-P086155-0087,97,species-0395,ムラサキハマキホソガ,ハウチワカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ハウチワカエデ,コハウチワカエデ,イタヤカエデなど(以上ムクロジ科)."
hostplant-ZUKAN4-P086155-0088,97,species-0396,ワカヤマハマキホソガ,イロハモミジ,ムクロジ科,文献,日本産蛾類標準図鑑4,,[寄主植物]イロハモミジ、オオイタヤメイゲツ(以上ムクロジ科).
hostplant-ZUKAN4-P086155-0089,97,species-0396,ワカヤマハマキホソガ,オオイタヤメイゲツ,カエデ科,文献,日本産蛾類標準図鑑4,,[寄主植物]イロハモミジ、オオイタヤメイゲツ(以上ムクロジ科).
hostplant-ZUKAN4-P086155-0090,97,species-0397,ヒダカハマキホソガ,イタヤカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,[奇主植物]イタヤカエデ(ムクロジ科)。
hostplant-ZUKAN4-P086155-0091,97,species-0398,ヤスダハマキホソガ,イタヤカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,[寄主植物]イタヤカエデ(ムクロジ科).97
hostplant-ZUKAN4-P086155-0092,98,species-0399,ヘリングハマキホソガ,イタヤカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,[寄主植物]イタヤカエデ(ムクロジ科).
hostplant-ZUKAN4-P086155-0093,98,species-0400,イチモンジハマキホソガ,ウリハダカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ウリハダカエデ,ミネカエデ,ヒトツバカエデなど(以上ムクロジ科)."
hostplant-ZUKAN4-P086155-0094,98,species-0400,イチモンジハマキホソガ,ヒトツバカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ウリハダカエデ,ミネカエデ,ヒトツバカエデなど(以上ムクロジ科)."
hostplant-ZUKAN4-P086155-0095,98,species-0400,イチモンジハマキホソガ,ミネカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ウリハダカエデ,ミネカエデ,ヒトツバカエデなど(以上ムクロジ科)."
hostplant-ZUKAN4-P086155-0096,98,species-0401,ミヤマハマキホソガ,アサノハカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,[寄主植物]アサノハカエデ、ヒトツバカエデ、カラコギカエデ
hostplant-ZUKAN4-P086155-0097,98,species-0401,ミヤマハマキホソガ,カラコギカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,[寄主植物]アサノハカエデ、ヒトツバカエデ、カラコギカエデ
hostplant-ZUKAN4-P086155-0098,98,species-0401,ミヤマハマキホソガ,ヒトツバカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,[寄主植物]アサノハカエデ、ヒトツバカエデ、カラコギカエデ
hostplant-ZUKAN4-P086155-0099,98,species-0402,クロコハマキホソガ,アサノハカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]アサノハカエデ,ヒトツバカエデ,カラコギカエデなど(以上ムクロジ科)."
hostplant-ZUKAN4-P086155-0100,98,species-0402,クロコハマキホソガ,カラコギカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]アサノハカエデ,ヒトツバカエデ,カラコギカエデなど(以上ムクロジ科)."
hostplant-ZUKAN4-P086155-0101,98,species-0402,クロコハマキホソガ,ヒトツバカエデ,ムクロジ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]アサノハカエデ,ヒトツバカエデ,カラコギカエデなど(以上ムクロジ科)."
hostplant-ZUKAN4-P086155-0102,99,species-0403,キンモンハマキホソガ,ハゼノキ,ウルシ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ハゼノキ、ヤマハゼなど(以上ウルシ科).
hostplant-ZUKAN4-P086155-0103,99,species-0403,キンモンハマキホソガ,ヤマハゼ,ウルシ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ハゼノキ、ヤマハゼなど(以上ウルシ科).
hostplant-ZUKAN4-P086155-0104,99,species-0404,ヌルデハマキホソガ,ヌルデ,ウルシ科,文献,日本産蛾類標準図鑑4,,寄主植物]ヌルデ、ヤマハゼ、ヤマウルシなど(以上ウルシ科).ウルシの葉につくハマキホソガ類の中では、もっともふつう。
hostplant-ZUKAN4-P086155-0105,99,species-0404,ヌルデハマキホソガ,ヤマウルシ,ウルシ科,文献,日本産蛾類標準図鑑4,,寄主植物]ヌルデ、ヤマハゼ、ヤマウルシなど(以上ウルシ科).ウルシの葉につくハマキホソガ類の中では、もっともふつう。
hostplant-ZUKAN4-P086155-0106,99,species-0404,ヌルデハマキホソガ,ヤマハゼ,ウルシ科,文献,日本産蛾類標準図鑑4,,寄主植物]ヌルデ、ヤマハゼ、ヤマウルシなど(以上ウルシ科).ウルシの葉につくハマキホソガ類の中では、もっともふつう。
hostplant-ZUKAN4-P086155-0107,99,species-0405,マツムラハマキホソガ,ヤマハゼ,ウルシ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ヤマハゼ(ウルシ科).
hostplant-ZUKAN4-P086155-0108,99,species-0406,ホシヌルデハマキホソガ,ヤマハゼ,ウルシ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ヤマハゼ(ウルシ科).
hostplant-ZUKAN4-P086155-0109,100,species-0408,ツツジハマキホソガ,エゾムラサキツツジ,ツツジ科,文献,日本産蛾類標準図鑑4,,[寄主植物」エゾムラサキツツジ、ミヤマキリシマ、サツキなど(以上ツツジ科)。特に、栽培されているサツキやアザレアなどによく寄生する.
hostplant-ZUKAN4-P086155-0110,100,species-0408,ツツジハマキホソガ,サツキ,ツツジ科,文献,日本産蛾類標準図鑑4,,[寄主植物」エゾムラサキツツジ、ミヤマキリシマ、サツキなど(以上ツツジ科)。特に、栽培されているサツキやアザレアなどによく寄生する.
hostplant-ZUKAN4-P086155-0111,100,species-0408,ツツジハマキホソガ,ミヤマキリシマ,ツツジ科,文献,日本産蛾類標準図鑑4,,[寄主植物」エゾムラサキツツジ、ミヤマキリシマ、サツキなど(以上ツツジ科)。特に、栽培されているサツキやアザレアなどによく寄生する.
hostplant-ZUKAN4-P086155-0112,100,species-0409,ハナヒリノキハマキホソガ,エゾムラサキツツジ,ツツジ科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ハナヒリノキ、エゾムラサキツツジ,ミツバツツジ"
