insect_id,japanese_name,scientific_name,change_type,current_value,proposed_value,source,source_url,confidence,review_required,approved,note
species-4662,ゲンカイハガタシャチホコ,Hagapteryx kishidai Nakamura,新産地,,長野県下伊那地方から記録。本州からの分布確認,杉繁郎 (1979),,high,,,"ページ: 6-8, 蛾類通信 103号, ファイル: jhj103.pdf"
species-5299,ハスオビアツバ,Epizeuris obliqua Staudinger,新産地,,茨城県岩井市菅生沼から記録。本州初記録,工藤広悦 (1979),,high,,,"ページ: 9, 蛾類通信 103号, ファイル: jhj103.pdf"
species-5236,ヨシノツマキリアツバ,Pangrapta yoshinensis Wileman & West,新産地,,北海道川上郡標茶町から記録,飯島一雄 (1979),,high,,,"ページ: 9, 蛾類通信 103号, ファイル: jhj103.pdf"
species-5524,チズモンクチバ,Avatha discolor (Fabricius),新産地,,徳島県西祖谷山村剣山から記録。20年ぶりの再発見,増井武彦 (1979),,high,,,"ページ: 10-12, 蛾類通信 103号, ファイル: jhj103.pdf"
species-5478,キシタアシブトクチバ,Ophiusa coronata (Fabricius),新産地,,香川県小豆島寒霞渓から記録。四国初記録、本土4頭目,増井武彦 (1979),,high,,,"ページ: 10-12, 蛾類通信 103号, ファイル: jhj103.pdf"
species-5364,キマエコノハ,Eudocima salaminia (Cramer),新産地,,高知県本川村伊吹山シラザ峠から記録,増井武彦 (1979),,high,,,"ページ: 10-12, 蛾類通信 103号, ファイル: jhj103.pdf"
species-5076,モモイロシマコヤガ,Corgatha costimacula (Staudinger),和名変更,,新称として和名を提唱。従来argillacea（カバイロシマコヤガ）と混同されていた種を区別,杉繁郎 (1979),,high,YES,,"ページ: 13, 蛾類通信 103号, ファイル: jhj103.pdf"
species-6053,ミヤマオビキリガ,Conistra grisescens Draudt,食草追加,,幼虫の飼育により、クヌギ、ノバラ、コナラ、ソメイヨシノ、ボケを食草として確認,山本光人 (1979),,high,,OK,"ページ: 14, 蛾類通信 103号, ファイル: jhj103.pdf"
species-5851,シレトコキノコヨトウ,Cryphia (Bryophila) orthogramma Boursin,新記録種,,日本未記録種として記録。欧州東部よりウラル、シベリア、中国、ウスリーのユーラシア東部に広く分布する種,"神保一義, 柳田慶浩 (1979)",,high,,,"ページ: 2, 蛾類通信 104号, ファイル: jhj104.pdf"
species-5851,シレトコキノコヨトウ,Cryphia (Bryophila) orthogramma Boursin,和名変更,,新称として和名を付与,"神保一義, 柳田慶浩 (1979)",,high,YES,,"ページ: 2, 蛾類通信 104号, ファイル: jhj104.pdf"
species-4431,ワタナベカレハ,Gastropacha watanabei Okano,学名変更,,中谷，1978により独立種に昇格（ホシカレハの亜種から独立種へ）。杉繁郎氏により和名付与,井上寛 (1979),,high,YES,,"ページ: 8, 蛾類通信 104号, ファイル: jhj104.pdf"
species-4432,カレハガ,Gastropacha orientalis Sheljuzhko,学名変更,,"日本のカレハガはヨーロッパのG. quercifoliaとは別種。G. hoenei Lajonquiere, 1976はG. orientalis Sheljuzhko, 1943のシノニム",井上寛 (1979),,high,YES,,"ページ: 8-9, 蛾類通信 104号, ファイル: jhj104.pdf"
species-5608,アルプスギンウワバ,Syngrapha nyiwonis Matsumura,学名変更,,S. alpina Ichinoseをシノニムとした（=alpina Ichinose）,"神保一義, 柳田慶浩 (1979)",,high,YES,,"ページ: 2, 蛾類通信 104号, ファイル: jhj104.pdf"
species-1762,ヤチダモハマキ,Doloploca praeviella Erschoff,新産地,,本州未記録種として新記録。長野県松本市安土、南安曇郡豊科町大口沢から採集,平野長男 (1980),,high,,,"ページ: 3, 蛾類通信 105号, ファイル: jhj105.pdf"
species-4628,セダカシャチホコ,Rabtala cristata Butler,学名変更,,属名Lampronadata KiriakoffはRabtala Draesekerの客観的同物異名（syn. n.）。日本のセダカシャチホコの属名をRabtalaに変更,杉繁郎 (1980),,high,YES,,"ページ: 2, 蛾類通信 105号, ファイル: jhj105.pdf"
species-4984,シンジュキノカワガ,Eligma narcissus Cramer,新産地,,1909年以来70年ぶりに熊本市で再発見。熊本市大江町で採集,大塚勲 (1980),,high,,,"ページ: 2, 蛾類通信 105号, ファイル: jhj105.pdf"
species-5404,ナマリキシタバ,Catocala columbina Leech,新産地,,九州初記録。熊本県上益城郡矢部町目丸で採集,大塚勲 (1980),,high,,,"ページ: 6, 蛾類通信 105号, ファイル: jhj105.pdf"
species-20635,オイワケクロヨトウ,Mamestra aliena Hubner,新産地,,青森県平賀町軍馬平で採集。本邦3番目の記録,"葛西充, 佐藤博 (1980)",,high,,,"ページ: 1, 蛾類通信 106号, ファイル: jhj106.pdf"
species-5736,ウスハイイロケンモン,Subleuconycta palschkoui Filipjev,新産地,,青森県十和田湖町発山で採集。本州初記録、全国で5個体目の記録,"葛西充, 佐藤博 (1980)",,high,,,"ページ: 1, 蛾類通信 106号, ファイル: jhj106.pdf"
species-5954,ウスクモヨトウ,Apamea pabulatricula fraudulenta Staudinger,新産地,,青森県田舎館町白狐で採集,"葛西充, 佐藤博 (1980)",,high,,,"ページ: 1-2, 蛾類通信 106号, ファイル: jhj106.pdf"
species-3856,ヒメウラベニエダシャク,Heterolocha laminaria sutschansha Wehrli,新産地,,青森県（青森市田茂木野、矢田）で採集。北海道東部以外からの初記録,"葛西充, 佐藤博 (1980)",,high,,,"ページ: 2, 蛾類通信 106号, ファイル: jhj106.pdf"
species-3449,オオギンモンカギバ,Callidrepana hirayamai Nagano,新産地,,和歌山県東牟婁郡那智勝浦町の那智山で採集。現時点での北限及び東限,藤原麒一郎 (1980),,high,,,"ページ: 2, 蛾類通信 106号, ファイル: jhj106.pdf"
species-4718,マエグロマイマイ,Lymantria tylina nobunaga Nagano,新産地,,和歌山県東牟婁郡那智勝浦町の那智山で採集。和歌山県下からの初記録,藤原麒一郎 (1980),,high,,,"ページ: 2, 蛾類通信 106号, ファイル: jhj106.pdf"
species-3702,ヒロバウスアオエダシャク,Paradarisa chloauges kurosawai Inoue,学名変更,,P. comparataria kurosawai から P. chloauges kurosawai に学名変更、新亜種の地位確立,佐藤力夫 (1980),,high,YES,,"ページ: 3-8, 蛾類通信 106号, ファイル: jhj106.pdf"
,クロフフタモンマダラメイガ,Euzophera batangensis Caradja,食草追加,,クリのイガを食害する幼虫を確認,井上寛 (1980),,high,,OK,"ページ: 8, 蛾類通信 106号, ファイル: jhj106.pdf"
species-2827,モモノハマキマダラメイガ,Psorosa taishanella Roesler,新記録種,,日本未記録種として記録。新称,井上寛 (1980),,high,,,"ページ: 8, 蛾類通信 106号, ファイル: jhj106.pdf"
species-2774,クスノチビマダラメイガ,Spatulipalpia flabellifera Hampson,新記録種,,日本未記録種として記録。クスノキの葉を食する。新称,井上寛 (1980),,high,,,"ページ: 8, 蛾類通信 106号, ファイル: jhj106.pdf"
,アトアカモンマダラメイガ,Salebria morosalopsidis Roesler,新記録種,,日本未記録種として記録,井上寛 (1980),,high,,,"ページ: 8, 蛾類通信 106号, ファイル: jhj106.pdf"
species-3126,イラクサノメイガ,Eurrhypara hortulata (Linnaeus),新記録種,,日本未記録種として記録。北海道で採集,井上寛 (1980),,high,,,"ページ: 9, 蛾類通信 106号, ファイル: jhj106.pdf"
species-3360,ヒメツマグロシロノメイガ,Leucinodes apicalis Hampson,新産地,,熊本県天草郡天草町下田で採集。北限記録,大塚勲 (1980),,high,,,"ページ: 12, 蛾類通信 106号, ファイル: jhj106.pdf"
species-20648,ヒメハイイロヨトウ,Hadena corrupta (Herz),新記録種,,日本初記録。北海道長万部町静狩で採集。和名改称,杉繁郎 (1980),,high,,,"ページ: 13-14, 蛾類通信 106号, ファイル: jhj106.pdf"
species-4984,シンジュキノカワガ,Eligma narcissus (Cramer),新産地,,香川県小豆郡内海町栗地ダムで採集。四国で2頭目の記録,増井武彦 (1980),,high,,,"ページ: 12, 蛾類通信 106号, ファイル: jhj106.pdf"
species-4159,フタテンツマジロナミシャク,Euphyia anangulata gracilaria A. Bang-Haas,新産地,,本邦では標茶からはじめて発見し、次いで斜里郡清里町を記録した。北海道特産だが、この亜種は北海道，満州、サヤン地方に分布,飯島一雄 (1980),,high,,,"ページ: 136, 蛾類通信 109号, ファイル: jhj109.pdf"
species-4174,チャオビマエモンナミシャク,Mesoleuca mandschuricata Bremer,新産地,,本邦からは糠平と阿寒産の標本により記録され、同時に朝鮮も記録された,飯島一雄 (1980),,high,,,"ページ: 136, 蛾類通信 109号, ファイル: jhj109.pdf"
species-4175,ヒトスジシロナミシャク,Epirrhoe hastulata reducta Djakonov,新産地,,糠平、標茶，網走（留辺蘂）の標本により本邦から知られた,飯島一雄 (1980),,high,,,"ページ: 137, 蛾類通信 109号, ファイル: jhj109.pdf"
species-4218,ナワメナミシャク,Lampropterys jameza Butler,新記録種,,Butler（1878）が函館産の標本にもとづいて命名し、以来本邦では今日まで記録のなかったもの,飯島一雄 (1980),,high,,,"ページ: 138, 蛾類通信 109号, ファイル: jhj109.pdf"
species-4033,シベチャシロヒメシャク,Scopula supernivearia Inoue,新産地,,1963年に新種として記載され、タイプ産地である標茶町二ツ山以外からは未発見,飯島一雄 (1980),,high,,,"ページ: 134, 蛾類通信 109号, ファイル: jhj109.pdf"
species-3944,キバラヒメアオシャク,Hemithea aestivaria Hubner,食草追加,,幼虫はエゾノバッコヤナギ，カラフトイバラを食べていた,飯島一雄 (1980),,high,,OK,"ページ: 133, 蛾類通信 109号, ファイル: jhj109.pdf"
species-3914,カギシロスジアオシャク,Geometra diechmanni Graeser,食草追加,,幼虫はミズナラを食べていた,飯島一雄 (1980),,high,,OK,"ページ: 132, 蛾類通信 109号, ファイル: jhj109.pdf"
species-3926,ナミガタウスキアオシャク,Jodis lactearia Linnaeus,食草追加,,9月に終令幼虫をミヤマザクラから採った,飯島一雄 (1980),,high,,OK,"ページ: 133, 蛾類通信 109号, ファイル: jhj109.pdf"
species-4202,マルモンシロナミシャク,Calleulype evanescens borearia Inoue,食草追加,,幼虫はノリウツギを食べていた,飯島一雄 (1980),,high,,OK,"ページ: 138, 蛾類通信 109号, ファイル: jhj109.pdf"
species-4253,ナミスジフユナミシャク,Operophtera brumata Linnaeus,食草追加,,幼虫はミズナラを食べ，卵で越冬した,飯島一雄 (1980),,high,,OK,"ページ: 139, 蛾類通信 109号, ファイル: jhj109.pdf"
,マエモンウスグロオオナミシャク,Triphosa sericata sericata Butler,食草追加,,6月にクロウメモドキを食べていた幼虫多数を得た,飯島一雄 (1980),,high,,OK,"ページ: 137, 蛾類通信 109号, ファイル: jhj109.pdf"
species-1530,ヒロヘリアオイラガ,Latoia lepida Cramer,新産地,,浜松市四本松町で数年前から大発生しており、サクラ、カキ、カエデ、サンゴジュ、ヒイラギモクセイを食する,中村正直 (1981),,high,,,"ページ: 3, 蛾類通信 110号, ファイル: jhj110.pdf"
species-3324,ウンモンシロノメイガ,Togabotys fuscolineatalis Yamanaka,新産地,,静岡県磐田郡佐久間町吉沢で採集、静岡県新記録,渡辺一雄 (1981),,high,,,"ページ: 3, 蛾類通信 110号, ファイル: jhj110.pdf"
species-4360,トシマカバナミシャク,Eupithecia toshimai Inoue,新産地,,愛知県六所山と大阪府箕面から記録、本州からの記録は三重県伊勢外宮に続く,橋本里志 (1981),,high,,,"ページ: 2, 蛾類通信 110号, ファイル: jhj110.pdf"
species-6088,ヤンコウスキーキリガ,Cosmia jankowskii Oberthur,新産地,,熊本県球磨郡上村白髪岳で採集、熊本県初記録,大塚勲 (1981),,high,,,"ページ: 16, 蛾類通信 110号, ファイル: jhj110.pdf"
species-4554,トガリバシャチホコ,Phycidopsis albovittata Hampson,新産地,,熊本県上益城郡甲佐町で採集、日本本土初記録,大塚勲 (1981),,high,,,"ページ: 16, 蛾類通信 110号, ファイル: jhj110.pdf"
species-5481,クロミミモンクチバ,Oxyodes scrobiculata Fabricius,新産地,,熊本県阿蘇郡久木野村で採集、新潟県湯沢町に続く国内2例目,吉崎一章 (1981),,high,,,"ページ: 15, 蛾類通信 110号, ファイル: jhj110.pdf"
species-3251,ハラナガキマダラノメイガ,Syllepte maculalis Leech,食草追加,,バラ科のアズキナシ（Sorbus alnifolia）を食草として確認,藤原麒一郎 (1981),,high,,OK,"ページ: 15, 蛾類通信 110号, ファイル: jhj110.pdf"
,タンザワミズメイガ,Ambia sp.,新記録種,,神奈川県丹沢山麓菩提で採集、日本未記録種（新称）,岩本裕之 (1981),,high,,,"ページ: 5, 蛾類通信 110号, ファイル: jhj110.pdf"
,,Paranomis sidemialis Munroe et Mutuura,新記録種,,神奈川県丹沢山麓菩提で採集、日本未記録種,岩本裕之 (1981),,high,,,"ページ: 8, 蛾類通信 110号, ファイル: jhj110.pdf"
,コケイロビロウドヨトウ,Sidemia spilogramma (Rambur),新記録種,,日本未記録種として記録。福岡県朝倉郡小石原村で採集。新称和名コケイロビロウドヨトウを提唱,行徳直巳 (1981),,high,,,"ページ: 1-2, 蛾類通信 112号, ファイル: jhj112.pdf"
species-3547,ヒトスジマダラエダシャク,Abraxas latifasciata Warren,学名変更,,北海道産はかつてjaponicaと呼ばれ、本州産と区別されたことがある,飯島一雄 (1981),,high,YES,,"ページ: 3, 蛾類通信 112号, ファイル: jhj112.pdf"
species-3543,キタマダラエダシャク,Abraxas sylvata microata Wehrli,学名変更,,sylvata ijimai Inouと呼ばれていた次種から分離された,飯島一雄 (1981),,high,YES,,"ページ: 3, 蛾類通信 112号, ファイル: jhj112.pdf"
species-3546,クロマダラエダシャク,Abraxas fulvobasalis Warren,学名変更,,一時期orientalis Staudingerと呼ばれた,飯島一雄 (1981),,high,YES,,"ページ: 3, 蛾類通信 112号, ファイル: jhj112.pdf"
species-3655,ナカウスエダシャク,Alcis medialbifera Inoue,学名変更,,従来ナカウスエダシャクと呼ばれていたが、2種含まれていて分離された。ナカウスエダシャクは北海道には分布しない,飯島一雄 (1981),,high,YES,,"ページ: 5, 蛾類通信 112号, ファイル: jhj112.pdf"
species-3697,ヒメミスジエダシャク,Boarmia kuriligena Bryk,学名変更,,オレクギエダシャクの亜種として国後島から記載されていたものが本種であると結論づけられた。道特産種,飯島一雄 (1981),,high,YES,,"ページ: 5, 蛾類通信 112号, ファイル: jhj112.pdf"
species-3731,トビネオオエダシャク,Phthonosema invenustaria Leech,学名変更,,道内亜種iijamaiは本州亜種と同じとみなされシノニムとされた,飯島一雄 (1981),,high,YES,,"ページ: 6, 蛾類通信 112号, ファイル: jhj112.pdf"
species-3795,エゾウスクモエダシャク,Menophra emaria Bremer,新産地,,1955年に標茶町二ツ山からはじめて発見され、以来新産地の記録がない。朝鮮、満州、ウスリー、アムール、中国北部に分布,飯島一雄 (1981),,high,,,"ページ: 7, 蛾類通信 112号, ファイル: jhj112.pdf"
species-3811,ヒメキリバエダシャク,Ennomos infidelis Prout,新産地,,1958年に標茶町二ツ山からはじめて知られ、その後網走市及び北見市などからも発見された。アムールに分布,飯島一雄 (1981),,high,,,"ページ: 8, 蛾類通信 112号, ファイル: jhj112.pdf"
species-3856,ヒメウラベニエダシャク,Heterolocha laminaria sutchanska Wehrli,新産地,,本邦からは標茶町二ツ山と弟子屈町川湯から発見された。この亜種はアムール、ウスリーに分布。道特産種と考えられていたが、青森県から発見された,飯島一雄 (1981),,high,,,"ページ: 9, 蛾類通信 112号, ファイル: jhj112.pdf"
species-20729,ヒメカクモンヤガ,Chersotis deplana (Freyer),新産地,,長野県菅平高原および群馬県北軽井沢、長野／群馬県境の旧碓氷峠から発見。上信山地の高地草原一帯に稀ながら分布,杉繁郎・宮田彬 (1981),,high,,,"ページ: 12-13, 蛾類通信 112号, ファイル: jhj112.pdf"
species-5487,ウラモンシロクチバ,Masca abactalis Walker,和名変更,,新称としてウラモンシロクチバ,杉繁郎 (1982),,high,YES,,"ページ: 213, 蛾類通信 114号, ファイル: jhj114.pdf"
,ミカワキョトウ,Aletia bani Sugi,新産地,,熊本県（阿蘇郡長陽村、上益城郡矢部町、八代郡泉村、球磨郡上村、阿蘇郡阿蘇町）の各地で採集,大塚勲 (1982),,high,,,"ページ: 214, 蛾類通信 114号, ファイル: jhj114.pdf"
species-20700,ニセタマナヤガ,Peridroma saucia Hubner,新産地,,石川県白山（南龍ヶ馬場）で採集,富樫一汰 (1982),,high,,,"ページ: 214, 蛾類通信 114号, ファイル: jhj114.pdf"
species-6096,アイノクロハナギンガ,Chasminodes aino Sugi,新産地,,九州本土未記録、福岡県背振山で採集,"河村忠, 福田治 (1982)",,high,,,"ページ: 215, 蛾類通信 114号, ファイル: jhj114.pdf"
,ヒロオビクロモソシタバ,Ophiusa indiscriminata Hampson,新産地,,日本本土未記録、福岡県背振山で採集,"河村忠, 福田治 (1982)",,high,,,"ページ: 215, 蛾類通信 114号, ファイル: jhj114.pdf"
species-5370,ヘリボシキシタクチバ,Hypocala violacea Butler,新産地,,日本本土初記録、福岡県背振山で採集,"河村忠, 福田治 (1982)",,high,,,"ページ: 216, 蛾類通信 114号, ファイル: jhj114.pdf"
species-5404,ナマリキシタバ,Catocala columbina Leech,食草追加,,イワガサ（Spiraea blumei G. Don、バラ科シモツケ属）を食草として確認,増井武彦 (1982),,high,,OK,"ページ: 217, 蛾類通信 114号, ファイル: jhj114.pdf"
species-4431,ワタナベカレハ,Gastropacha watanabei Okano,新産地,,九州未記録、熊本県球磨郡五木村・八代郡泉村で採集,"大塚勲, 吉崎一章 (1982)",,high,,,"ページ: 223, 蛾類通信 114号, ファイル: jhj114.pdf"
species-5721,ウスムラサキケンモン,Acronicta subpurpurea Matsumura,新産地,,九州未記録、熊本県の山地各所で採集,"大塚勲, 吉崎一章 (1982)",,high,,,"ページ: 223, 蛾類通信 114号, ファイル: jhj114.pdf"
species-5720,ゴマシオケンモン,Acronicta isocuspis Sugi,新産地,,九州未記録、熊本県八代郡泉村で採集,"大塚勲, 吉崎一章 (1982)",,high,,,"ページ: 223, 蛾類通信 114号, ファイル: jhj114.pdf"
species-5350,キンイロエグリバ,Calyptra lata Butler,新産地,,九州未記録、熊本県阿蘇郡の各所で採集,"大塚勲, 吉崎一章 (1982)",,high,,,"ページ: 223, 蛾類通信 114号, ファイル: jhj114.pdf"
species-5815,ヒメシマヨトウ,Eucarta arctides Staudinger,食草追加,,ヨモギ（Artemisia princeps、キク科）を食草として確認,小木広行 (1982),,high,,OK,"ページ: 221, 蛾類通信 114号, ファイル: jhj114.pdf"
species-5812,マダラムラサキヨトウ,Eucarta amethystina austera Warren,食草追加,,セリ（Oenanthe javanea、セリ科）を食草として確認,小木広行 (1982),,high,,OK,"ページ: 221, 蛾類通信 114号, ファイル: jhj114.pdf"
species-5881,オビウスイロヨトウ,Athetis furvula lentina Staudinger,食草追加,,イタドリ（Polygonum cuspidatum、タデ科）を食草として確認,小木広行 (1982),,high,,OK,"ページ: 222, 蛾類通信 114号, ファイル: jhj114.pdf"
,チャイロスズメ,Dahira rubiginosa Moore,新記録種,,台湾未記録種として記録,岸田 (1982),,high,,,"ページ: 3, 蛾類通信 115号, ファイル: jhj115.pdf"
,タイワンシンジュサン,Samia watsoni formosana Matsumura,学名変更,,Samia formosana MatsumuaをSamia watsoni (Oberthür)の台湾亜種として扱う,岸田 (1982),,high,YES,,"ページ: 3, 蛾類通信 115号, ファイル: jhj115.pdf"
species-4561,クワゴモドキシャチホコ,"Gonoclostera timoniorum (Bremer, 1861)",学名変更,,学名の正しい綴りはGonoclostera timoniorum (Bremer)であり、従来のtimonides (Bremer)は誤記,杉 (1982),,high,YES,,"ページ: 5, 蛾類通信 115号, ファイル: jhj115.pdf"
species-20727,クシヒゲモンヤガ,Lycophotia cissigma (Ménétriés),新産地,,朝鮮からは最初の記録,杉 (1982),,high,,,"ページ: 6, 蛾類通信 115号, ファイル: jhj115.pdf"
,ミヤマフタオビキョトウ,Mythimna monticola Sugi,新産地,,日本以外から記録されるのは今回が最初,杉 (1982),,high,,,"ページ: 6, 蛾類通信 115号, ファイル: jhj115.pdf"
species-5809,ベニモンヨトウ,"""Oligia"" ulcerata (Butler)",学名変更,,Oligiaとは関係のない別群で、新属の設定を予定している,杉 (1982),,high,YES,,"ページ: 7, 蛾類通信 115号, ファイル: jhj115.pdf"
,オオスジシロキョトウ,Leucania salebrosa Butler,食草追加,,チヂミササ、ササガヤ、エノコログサ、ススキを食草として確認,山本 (1982),,high,,OK,"ページ: 11, 蛾類通信 115号, ファイル: jhj115.pdf"
,フタテンヒロバキバガ,Odites tenophaea Meyrick,食草追加,,オヒョウを食草として確認,富樫 (1982),,high,,OK,"ページ: 12, 蛾類通信 115号, ファイル: jhj115.pdf"
species-1700,ウスジロハマキ,Acleris logiana Clerck,食草追加,,ダケカンバを食草として確認（日本で飼育されたのは最初）,富樫 (1982),,high,,OK,"ページ: 12, 蛾類通信 115号, ファイル: jhj115.pdf"
,ヤマボウシハマキ,Hedya cornii Oku,食草追加,,ヤマボウシを食草として確認,富樫 (1982),,high,,OK,"ページ: 12, 蛾類通信 115号, ファイル: jhj115.pdf"
species-1824,トビハマキ,Pandemis heparana Denis et Schiffermüller,食草追加,,ダケカンバを食草として確認,富樫 (1982),,high,,OK,"ページ: 13, 蛾類通信 115号, ファイル: jhj115.pdf"
species-3505,タケウチトガリバ,Betapsestis takeuchii Matsumura,食草追加,,ミズキを食草として確認,富樫 (1982),,high,,OK,"ページ: 13, 蛾類通信 115号, ファイル: jhj115.pdf"
species-4728,キドクガ,Euproctis piperita Oberthür,食草追加,,タニウツギを食草として確認,富樫 (1982),,high,,OK,"ページ: 13, 蛾類通信 115号, ファイル: jhj115.pdf"
species-5724,オオホソバケンモン,Acronicta cuspis Hübner,食草追加,,カワラハンノキを食草として確認,富樫 (1982),,high,,OK,"ページ: 14, 蛾類通信 115号, ファイル: jhj115.pdf"
species-20742,コウスチャヤガ,Diarsia deparca (Butler),食草追加,,コケモモを食草として確認,富樫 (1982),,high,,OK,"ページ: 14, 蛾類通信 115号, ファイル: jhj115.pdf"
species-5559,キクキンウワバ,Trichoplusia intermixta Warren,食草追加,,ノゲシを食草として確認,富樫 (1982),,high,,OK,"ページ: 15, 蛾類通信 115号, ファイル: jhj115.pdf"
species-4783,クシヒゲコケガ,Nudaridia ochracea japonica Okano,新産地,,愛知県定光寺で記録、県下では西尾市に採集記録があるが稀,田中多喜彦 (1982),,high,,,"ページ: 245, 蛾類通信 116号, ファイル: jhj116.pdf"
species-2678,キモントガリメイガ,Endotricha kuznetzoui Whalley,新産地,,愛知県定光寺で記録,田中多喜彦 (1982),,high,,,"ページ: 246, 蛾類通信 116号, ファイル: jhj116.pdf"
species-5423,クビグロクチバ,Lygephila maxima (Bremer),食草追加,,Carex sp.（カヤツリグサ科）、Dactylis glomerata L. カモガヤ（イネ科）を食草として確認,小木広行 (1982),,high,,OK,"ページ: 247, 蛾類通信 116号, ファイル: jhj116.pdf"
species-5429,ヒメクビグロクチバ,Lygephila recta (Bremer),食草追加,,Amphicarpaea edgeworthii Benth. var. japonica Oliver ヤブマメ（マメ科）を食草として確認,小木広行 (1982),,high,,OK,"ページ: 247, 蛾類通信 116号, ファイル: jhj116.pdf"
