和名,学名,成虫時期,生態の備考
タイワントガリヒメシャク,Scopula pulchellata (Fabricius, 1794),未詳,未詳
オキナワトガリヒメシャク,Scopula anisopleura Inoue, 1982,未詳,未詳
イリオモテトガリヒメシャク,Scopula eulomata (Snellen, 1877),12月,12月に得られているのみで未詳。
ミナミハイイロヒメシャク,Scopula hypochra (Meyrick, 1888),不明,現時点では、小笠原諸島での灯火採集で多数飛来する。
ベニヒメシャク,Idaea muricata (Hufnagel, 1767),年2化,関東地方の平地では年2化。
オビベニヒメシャク,Idaea nielseni (Hedemann, 1879),不明,平地で採れるが、かなりまれな種。
キオビベニヒメシャク,Idaea impexa (Butler, 1879),年2化,関東地方の平地では年2化。
フチベニヒメシャク,Idaea jakima (Butler, 1878),年2化,関東地方の平地では年2化。
マエベニヒメシャク,Idaea obliteraria (Leech, 1879),不明,石川県の記録は偶産か不明、本州での新産地発見が待たれる。
コフチベニヒメシャク,Idaea okinawensis Inoue, 1982,未詳,未詳
クロテントビヒメシャク,Idaea foedata (Butler, 1879),"年1化, 6~7月頃",関東地方では、6~7月頃に年1化発生する。
ウスクロテンヒメシャク,Idaea salutaria (Christoph, 1881),"年2化の可能性あり, 10月",新潟県で10月に採れており、年2化している可能性もある。
クロオビキヒメシャク,Idaea terpnaria (Prout, 1913),7~8月,7~8月に発生する。
シタベニヒメシャク,Idaea roseomarginaria (Inoue, 1958),未詳,未詳
キヒメシャク,Idaea nudaria (Christoph, 1881),"年1化, 6~7月頃",6~7月頃、年1化の発生だが、あまり得られない。
ヨスジキヒメシャク,Idaea auricruda (Butler, 1879),"年1化または年2化, 6~9月","6~9月まで得られ、年1化か2化か、不明。"
ホソスジキヒメシャク,Idaea remissa (Wileman, 1911),不明,本種およびヨスジキヒメシャクは、♀に比較してるがあまり灯火に飛来せず、♂の新鮮な標本はきわめて少ない。
ウスキヒカリヒメシャク,Idaea nitidata (Herrich-Schäffer, 1861),"7~8月, まれ","7~8月に発生するが、まれ。"
ウスジロヒカリヒメシャク,Idaea promiscuaria (Leech, 1879),"年1化, かなりまれな種",年1化、かなりまれな種。
ウスモンキヒメシャク,Idaea denudaria (Prout, 1913),春から秋,春から秋にかけ、灯火採集で普通に得られる。
オオウスモンキヒメシャク,Idaea imbecilla (Inoue, 1955),不明,普通種で、灯火採集で得られる。
ウスキヒメシャク,Idaea biselata (Hufnagel, 1767),夏季,夏季に山地で採れるが、まれ。
オイワケヒメシャク,Idaea invalida (Butler, 1879),不明,灯火によく集まる。
ミジンキヒメシャク,Idaea trisetata (Prout, 1922),年2化,関東地方では年2化、多産する。
チビキヒメシャク,Idaea neovalida (Inoue, 1958),不明,本州での記録は非常に散発的。
サキシマキヒメシャク,Idaea contravalida Inoue, 1982,不明,灯火によく集まる。
サクライキヒメシャク,Idaea sakuraii (Inoue, 1963),不明,灯火採集で普通に得られる。
クロモンチビヒメシャク,Idaea crassipuncta (Inoue, 1971),未詳,未詳
ツシマキヒメシャク,Idaea paravalida Sato, 1988,未詳,未詳
タナカヒメシャク,Idaea tanakai Sato, 1994,未詳,未詳
キュウシュウヒメシャク,Idaea kyushuensis Sato, 1994,"年2化あるいは3化, 5月, 8月, 10月",九州では8月に得られているが、沖縄島では5月に、石垣・西表島では5月と10月に得られている。おそらく年2化あるいは3化しているものと思われる。
モンウスキヒメシャク,Idaea effusaria (Christoph, 1881),6~7月,山地で6~7月に得られる。
エゾキヒメシャク,Idaea aversata (Linnaeus, 1758),不明,分布も局地的で、非常にまれ。
ツマアカナミシャク,Aplocera perelegans (Warren, 1894),"年1化, 6~9月",亜高山から高山帯に多いが、いわゆるブナ帯でも採れる。年1化、関東地方、中部地方の山地では7~8月に出現する。低標高の地域では6月から得られ、亜高山帯では9月中旬まで見られる。灯火に飛来するが、昼間も訪花して飛翔する。
ルリオビナミシャク,Acasis viretata (Hübner, 1799),"年1化または多化性, 7~8月, 12月",関東地方周辺の山地では7~8月に出現し、年1化と思われる。沖縄島では12月に採れており、経過習性は異なり多化性だと考えられる。
テンオビナミシャク,Acasis appensata (Eversmann, 1842),"年1化, 6~8月",本州では東北地方から中部地方山地に分布する。年1化、北海道、東北地方では、7~8月に出現し、関東地方・中部地方の山地では6月から見られる。
アヤコバネナミシャク,Acasis bellaria (Leech, 1891),"年1化, 3~6月",全国的に分布するが、局地的で非常にまれである。年1化、一般に4~5月に出現するが、3月から出現する地域や6月にずれ込む地域がある。
シロオビコバネナミシャク,Neopachrophilla albida Inoue, 1955,"年1化, 6月中旬~7月",年1化、6月中旬~7月に出現する。
ハネナガコバネナミシャク,Trichopteryx polycommata (Denis & Schiffermüller, 1775),"年1化, 4月中旬~5月",年1化、4月中旬~5月に出現する。
シロテンコバネナミシャク,Trichopteryx grisearia (Leech, 1891),"年1化, 4月上旬~5月上旬",比較的浅い山地に産するが少ない。年1化。4月上旬から出現し、地域によって5月上旬まで見られる。
シロシタコバネナミシャク,Trichopteryx fastuosa Inoue, 1958,"年1化, 3月中旬~5月中旬",全国的に低山地から山地に産し、比較的普通。年1化、関東地方周辺では丘陵部では3月中旬から出現し、低山地から山地では4月中・下旬から5月上・中旬まで見られる。
シタコバネナミシャク,Trichopteryx hemana (Butler, 1878),"年1化, 4月上旬~5月下旬",全国的に低山地から亜高山帯の下部まで広く産し、本属中で最も普通に見られる。年1化、関東地方周辺の低山部では4月上旬から出現し始め、高標高の地域では5月中~下旬に出現する。
ハイイロコバネナミシャク,Trichopteryx ignorata Inoue, 1958,"年1化, 4月上旬~5月中旬",年1化、全国的に分布し、前種と混生する地域が多いが、垂直分布はややせまく、標高1000m前後の山地に産し、多くない。関東地方周辺の山地では4月上旬~5月中旬に出現する。
チャオビコバネナミシャク,Trichopteryx terranea (Butler, 1878),"年1化, 4月上旬~5月下旬",全国的に広く分布し、垂直的にも分布域は広く、各地でごく普通。年1化、関東地方周辺の山地では4月上旬から出現し、高標高の地域では5月下旬まで見られる。
ヒメシタコバネナミシャク,Trichopteryx microloba Inoue, 1943,"年1化, 3月上旬~5月上旬",本州では東北地方から関東地方・中部地方の山地に産し、少なくない。年1化、関東地方周辺では低山地から山地で3月上旬から出現し、4月上旬まで見られ、出現期は同属の他種より早い。高標高の山地では5月上旬まで見られ、他種と混ざって採れる。
クロシタコバネナミシャク,Trichopteryx misera (Butler, 1879),"年1化, 3月中旬から",関東地方周辺では浅い山地で得られるが、非常に少なく産地も限られている。年1化、関東地方周辺の低山地では出現期は早く、3月中旬から出現する。
チャマダラコバネナミシャク,Trichopteryx nagaii Inoue, 1958,"年1化, 3月中旬~4月上旬",本州では関東地方以西の山地に産するが、あまり多くない。年1化、関東地方周辺の山地では3月中旬~4月上旬に出現する。
ウスオビコバネナミシャク,Trichopteryx incerta Yazaki, 1978,"年1化, 3月中旬~4月上旬",年1化、関東地方周辺の平地から低山地では3月中旬~4月上旬に出現する。
ウスミドリコバネナミシャク,Trichopteryx miracula Inoue, 1942,"3月下旬~4月上旬",関東地方周辺では低山地から亜高山帯の低部まで産するが、あまり多くない。関東地方周辺の低山地では3月下旬から出現し、1500mくらいの山地でも4月上旬から得られ、出現期は比較的早い。
マダラコバネナミシャク,Trichopteryx ussurica (Wehrli, 1927),"3月下旬~5月中旬",関東地方周辺では低山地から山地に産し、多産はしないが比較的普通である。関東地方周辺の低山地では3月下旬から出現し始め、4月中旬まで見られる。1000m以上の山地や寒地では4月下旬~5月中旬に出現。
オビコバネナミシャク,Trichopteryx muscigera (Butler, 1881),"3月3日, 5月中旬~6月中旬",出現期は他の同属種よりもずっと遅く、埼玉県の平地の記録(3月3日)をのぞくと、多くは6月中旬であったが、最近は5月中~下旬に採れており、生態的に興味深い。
クロオビシロナミシャク,Trichopteryx ustata (Christoph, 1881),"年1化, 4月上旬~5月中旬",全国的に分布し、関東地方周辺では山間部から山地に多い。年1化、関東地方周辺の山間部では4月上旬から出現し、1,000m以上の山地では4月中旬~5月中旬に見られる。
ホソクロオビシロナミシャク,Trichopteryx auricilla Inoue, 1955,年1化,本州では東北地方から産し、関東地方・中部地方の山地では前種と混生する。年1化、関東地方周辺の山地では出現期は前種と同じ。
ウスベニスジナミシャク,Esakiopteryx volitans (Butler, 1878),"年1化, 3月下旬~5月中旬",全国的に丘陵部から山地まで広く分布し、各地で多産する。年1化、関東地方周辺の低山地では3月下旬から出現し、1000m以上の山地では4月下旬~5月中旬まで見られる。
ウスアカモンナミシャク,Trichopterigia consobrinaria (Leech, 1891),"年1化または多化性, 1~12月",各地で平地から低山地に見られる。関東地方周辺では年1化で、4月下旬~5月上旬に出現する。南西諸島では1月上旬から12月まで採れており、年間を通して発生が見られ、経過習性が異なると思われる。
アカモンナミシャク,Trichopterigia costipunctaria Leech, 1897,"年1化, 3月中旬~4月上旬",関東地方以西に分布し、平地から低山地に産するが、あまり多くない。食樹から考えると、常緑カシ帯に生息すると思われる。年1化、関東地方周辺の低山地では3月中旬~4月上旬に出現する。
シロシタヒメナミシャク,Lobophora halterata (Hufnagel, 1769),"年1化, 5月上~下旬",年1化、本州中部地方の標高1000m前後の山地では5月上~下旬に出現するが、比較的局地的で少ない。
アトスジグロナミシャク,Epilobophora obscuraria (Leech, 1891),"年1化, 5月中旬~7月",平地から山地に比較的普通。年1化、関東地方周辺の平地では5月中旬から出現し、山地では6~7月に見られる。
クロフシロナミシャク,Otoplecta frigida (Butler, 1878),"年1化, 4月上旬から",関東地方周辺では低山地に生息。年1化、昼飛性で関東地方周辺では4月上旬から出現し、天気のよい日中に林内や林縁を活発に飛翔する。
ゴマダラシロナミシャク,Naxidia maculata (Butler, 1879),"年2化, 5~8月",関東地方周辺では標高1000m前後の山間部に産するが少ない。5~6月と7~8月に出現し、年2化と思われる。
ヒメゴマダラシロナミシャク,Naxidia semiobscura Inoue, 1955,"年2化, 4~8月","4~8月に採れており、年2化と思われる。前種は福岡県英彦山と霧島山で採れているが、本種との生息域の相違があるのか不明。"
ホシスジトガリナミシャク,Carige cruciplaga (Walker, 1861),"年2化, 6~7月, 9~10月",全国的に分布し、平地から山地まで広く産する。年2化、関東地方周辺の低山地から山間部では6~7月と9~10月に出現する。
ヒロバトガリナミシャク,Carige irrorata (Butler, 1879),"年2化, 6~7月, 9月",平地から丘陵部に産し、山地には見られない。関東地方周辺では6~7月と9月に採れており、2化と思われる。
ホソバトガリナミシャク,Carige scutilimbata Prout, 1936,"年2化, 6~7月, 9月",関東地方周辺では低山地から山地に見られる。関東地方周辺の山地では6~7月と9月に出現し、年2化と思われる。
ウスキクロスジナミシャク,Carige obsoleta (Inoue, 1971),"年2化以上の可能性あり, 5月, 11月",5月と11月に得られており、年2化以上すると思われる。
モンクロキイロナミシャク,Stamnodes danilovi Erschoff, 1877,"年1化, 7月中旬~8月上旬",本州では、関東地方北部から中部地方の山地の亜高山帯から高山帯に産する。年1化、7月中旬~8月上旬に出現する。昼飛性で針葉樹林帯をぬけた草原上に生息する。
シロオビクロナミシャク,Trichobaptria exsecuta (Felder & Rogenhofer, 1875),"年2化, 5~6月, 8月",昼飛性で、山間部の渓流沿いや山道の湿った所をよく飛ぶ。関東地方の低山地~山地では5~6月と8月に出現し、年2化する。蛹で越冬する。
シラフシロオビナミシャク,Trichodezia kindermanni (Bremer, 1864),"年2化, 5~6月, 8月",全国的に広く分布し、山間部に多い。前種と同じように昼飛性で湿った所をよく飛び、吸水行動がよく見られる。年2化、5~6月と8月に出現する。
シロホソオビクロナミシャク,Baptria tibiale (Esper, 1791),"5~6月, 8月",昼飛性で前2属と同じ習性をもち、5~6月と8月に出現するが前2種のように多くない。
ウスクモナミシャク,Heterophleps fusca (Butler, 1878),5~7月,本州では、主に宮城県以南に分布し、関東地方周辺では低山地から山間部で5~7月に見られ、比較的普通。
サキシマウスクモナミシャク,Heterophleps endoi Inoue, 1982,3月,1974年3月に西表島で採集された1♂しか知られていない。
ミツボシナミシャク,Heterophleps pallescens (Warren, 1896),"年2化, 5月下旬~8月上旬",本州では東北地方でも採れているが少なく、関東地方以西でも山地に産するがめずらしい。関東地方周辺の山地では5月下旬~8月上旬に出現し、おそらく年2化。
コウスグモナミシャク,Heterophleps confusa (Wileman, 1911),6~7月,関東地方周辺では山地で6~7月に採れているが、かなり少ない。近畿地方以西では9月以降も得られるが、経過習性が異なるかは不明。
アオナミシャク,Leptostegna tenerata Christoph, 1881,"年1化, 6~7月",北海道、東北地方では低山地で採れるが、関東地方周辺では山地から亜高山の低部に産する。年1化、関東地方周辺の山地では6~7月に出現する。
ホソバナミシャク,Tyloptera bella (Butler, 1878),"年2化, 5~6月, 8月",日本本土では全国的に分布し、丘陵部から山地まで幅広く産し、ごく普通である。関東地方周辺では5~6月と8月に採れており、年2化と思われる。
シラユキナミシャク,Palaeomystis mabillaria (Poujade, 1895),"年1化, 7月中旬~8月",本州では、関東地方・中部地方の山地に産するが、非常に少ない。関東地方周辺では丹沢の600mの地域で採れているが、一般的には1000m以上の山地に分布する。年1化、中部地方山地では8月に出現するが、低標高の地域では7月中旬に採れている。
キリバネホソナミシャク,Brabira artemidora (Oberthür, 1884),"年2化, 5~9月",全国的に低山地から山地に広く分布し、ごく普通に産する。関東地方周辺では5~9月に見られ、年2化と思われる。
チャホシホソバナミシャク,Brabira kasaii Sato, 1986,"7月21日, 8月4日",青森県下北郡東通村大利で1984年7月21日と8月4日に得られた4♂1♀によって新種記載されたが、それ以降はまったく採れていない。
ミナミヒゲブトナミシャク,Sauris interruptata (Moore, 1888),12月,沖縄では12月に成虫が採れており、年間を通じて発生していると思われる。
ヒゲブトナミシャク,Sauris nanaria Leech, 1897,5~8月,本州では関東地方以西の山地に産するが、かなり少ない。関東地方周辺では5~8月に採れている。
コバネヒゲブトナミシャク,Sauris marginepunctata (Warren, 1899),11月下旬,鹿児島県では11月下旬に幼虫が採れており、暖地では年間を通して発生していると思われる。
テングホソナミシャク,Sauris angustifasciata (Inoue, 1976),不明,記録は少なく、経過習性などは不明。
ナンカイヒゲブトナミシャク,Sauris hirudinata Guenée, 1857),不明,年間を通じて連続して出現していると思われる。
ウスミドリナミシャク,Episteira nigrilinearia (Leech, 1897),"年2化または多化性, 7~8月, 10~11月",本州では7~8月と10~11月上旬に採れており、年2化。小笠原諸島父島、南西諸島では年間を通して発生が見られ、多化性である。
マダラヒゲブトナミシャク,Episteira eupena (Prout, 1936),"7~8月, 発生回数は不明",本州では7~8月に採れているが、九州南部や南西諸島では出現回数は増えると思われる。
ミドリホソナミシャク,Phthonoloba viridifasciata (Inoue, 1963),不明,屋久島や奄美大島では非常に多いが、石垣島や西表島ではむしろ少ない。南西諸島では年間を通して発生している。
クロモンミヤマナミシャク,Xanthorhoe fluctuata (Linnaeus, 1758),"年1化, 6~8月",年1化、本州では7月下旬~8月中旬に出現する。北海道大雪山の高山帯では7月下旬~8月上旬に出現するが、層雲峡(660m)で6月に1♂が採れている。
タカネナミシャク,Xanthorhoe sajanaria (Prout, 1914),6月下旬~7月下旬,北海道では大雪山と日高山脈に産する高山蛾で、6月下旬~7月下旬に出現する。1年目の冬を3齢幼虫で、2年目の冬を終齢幼虫で休眠・越冬し、最終越冬後は摂食することなく蛹化、羽化にいたる。
キアシシロナミシャク,Xanthorhoe abraxina (Butler, 1879),"年1化, 6~7月",本州では東北地方と関東地方、中部地方の低山地から山地まで広く分布する。年1化、6~7月に出現する。
ヨスジナミシャク,Xanthorhoe quadrifasciata (Clerck, 1759),"年2化, 5月下旬~6月, 8~9月",関東地方周辺では低山地から2000m前後の亜高山帯まで生息域は広く、各地で普通。年2化、5月下旬~6月と8~9月に出現する。
キタミナミシャク,Xanthorhoe separata Inoue, 2004,"年1化, 6月中旬~8月上旬","6月中旬~8月上旬に得られており、年1化と思われる。"
アカマダラシマナミシャク,Xanthorhoe dentipostmediana Inoue, 1954,"年1化, 6月下旬~8月",年1化。7月中旬~8月に出現するが、6月下旬に採れている地域もある。
ハングロナミシャク,Xanthorhoe semilactescens Inoue, 1982,"年2化, 4~5月, 8月","4~5月、8月に採れており、年2化と思われる。"
フトジマナミシャク,Xanthorhoe saturata (Guenée, 1857),4月中旬~12月上旬,全国的に平地から山地にごく普通に産する。関東地方周辺の平野部では4月中旬から出現を始め、12月上旬まで見られる。
ナカシロスジナミシャク,Xanthorhoe biriviata (Borkhausen, 1794),"年2化, 4~8月",関東地方周辺の山地では4~8月に出現し、年2化と思われる。
トビスジコナミシャク,Xanthorhoe designata (Hufnagel, 1867),"年2化, 5~8月",北海道では比較的普通に産する。本州では、東北地方と中部地方山地に産するが多くない。北海道では5~6月と7~8月に出現し、年2化と思われる。
ナカクロオビナミシャク,Xanthorhoe purpureofascia Inoue, 1982,"年1化, 7~8月",本州では中部地方山地でしか採れていない。7~8月に得られており、年1化と思われる。
フタトビスジナミシャク,Xanthorhoe hortensiaria (Graeser, 1889),"年2化, 3月下旬~8月",全国的に平地から山地まで広く産し、各地で多産する。関東地方周辺の平地では3月下旬から出始め、4~6月と7~8月に出現し、年2化と思われる。
ツマグロナミシャク,Xanthorhoe muscicapata (Christoph, 1881),"年2~3回, 4月下旬~10月",全国的にごく普通に産し、平地から山地まで広く多産する。関東地方周辺の平地から低山地では、4月下旬から10月まで見られ、年2~3回出現する。
トビスジヒメナミシャク,Orthonama obstipata (Fabricius, 1794),多化性, 3月下旬~11月上旬,ほぼ全国に分布し、平地から山地まで各地でごく普通。関東地方周辺では3月下旬~11月上旬まで出現し、多化性と思われる。
ウスイロトビスジナミシャク,Costaconvexa caespitaria (Christoph, 1881),"年1化または年2化, 5~10月",北海道では普通に産する。本州では、局地的で個体数は少ない。東海地方~近畿地方では5~6月と9~10月に出現し、年2化と思われるが、北海道では7月下旬から9月上旬に採れており、年1化の可能性が高い。
シラナミナミシャク,Glaucorhoe unduliferaria (Motschulsky, 1861),"年1化, 7~8月",年1化、中部地方山地では7~8月に出現する。
フタテンツマジロナミシャク,Euphyia unangulata (Haworth, 1809),"年1化, 6月下旬~8月",年1化、6月下旬~8月に採れている。
ハコベナミシャク,Euphyia cineraria (Butler, 1878),"年2化, 5~8月",関東地方周辺では低山地から山地で採れ、比較的普通に産する。年2化、関東地方周辺では5~6月と7~8月に出現する。
ムツテンナミシャク,Catarhoe yokohamae (Butler, 1881),"年1化, 7~8月",本州では、東北地方(岩手県)や中部地方山地に分布するが、局地的で非常に少ない。年1化、中部地方山地では7~8月に採れる。
フタモンクロナミシャク,Catarhoe obscura (Butler, 1878),"年2~3回, 4月上旬~9月下旬",北海道をのぞいて全国的に広く分布し、各地でごく普通に産する。関東地方周辺では丘陵部~低山地に多産する。関東地方周辺では4月上旬~9月下旬まで採れており、年2~3回出現し、暖地ではさらに発生回数は増すと思われる。
ハチノジクロナミシャク,Pseudobaptria corydalaria (Graeser, 1889),"4~9月, 昼飛性",昼飛性で、四国、九州では4~6月と9月に、岩手県では6~7月に、岐阜県は5月に採れている。
ニッコウナミシャク,Amoebotricha grataria (Leech, 1891),"年1化, 9月下旬~12月上旬",全国的に産し、関東地方周辺では山間部から山地で得られるが少ない。年1化、関東地方・中部地方山地では9月下旬から出現し始め、暖地では10月下旬~11月に出現する。九州の霧島山では12月上旬に得られている。
ミカヅキナミシャク,Earophila correlata (Warren, 1901),"年1化, 3月中旬~4月下旬",本州では、関東地方以西の山地に産するが少ない。年1化、早春の蛾で関東地方周辺の浅い山地では3月中旬から出現し始め、山地では4月下旬に得られる。蛹越冬。
ウラウスキナミシャク,Protonebula umbrifera (Butler, 1879),年2化、春と秋,関東地方周辺では浅い山地から針葉樹林帯まで産するが、あまり多くない。年2化、春と秋に出現する。
タテスジナミシャク,Pareulype consanguinea (Butler, 1878),8月,本州では東北地方、関東地方、中部地方山地で採れているが、局地的でまれな種で、他の地域でも記録は少ない。8月に得られている。
チャイロナミシャク,Pelurga comitata (Linnaeus, 1758),8月,日本では礼文島、利尻島で採れているのみで、北海道本土では未発見である。8月9,14~16日に13頭得られた。
クロアシナミシャク,Pelurga taczanowskiaria (Oberthür, 1880),"年2化, 6~8月",北海道では普通に産するが、本州では長野県松本市で得られているのみで、非常にめずらしい。年2化、6~8月に出現する。蛹越冬。
ネスジナミシャク,Pelurga onoi (Inoue, 1965),6月,本州では6月2日(八ヶ岳)、6月29日(大井川)に採れている。
キンオビナミシャク,Electrophaes corylata (Thunberg, 1792),"年1化, 5~8月",関東地方周辺では山間部から亜高山帯まで広く産し、普通。年1化、関東地方周辺の山間部では5~6月に出現し、亜高山帯や寒冷地では7月下旬~8月に出現する。
ヒメキンオビナミシャク,Electrophaes recens Inoue, 1982,"年2化の可能性あり, 5~8月",全国的に広く分布し、各地で前種と混生している。関東地方~中部地方山地では標高1200mくらいの山地まで多く見られるが、前種に比べて垂直的には分布圏はせまい。5~8月に出現し、年2化の可能性が高い。
