和名,学名,成虫時期,生態の備考
ナカモンカギバ,Cilix filipjevi Kardakoff, 1928,春と夏,"局地的で非常にまれな種である。春と夏に採れているが、経過習性は不明である。"
スカシカギバ,Macrauzata maxima Inoue, 1960,"年3-4回、5月下旬-11月上旬","本州では東北地方にも産するが、主に関東地方以西の平地から山間部で得られ、各地で多産する。2-3齢で食樹の常緑カシ類の葉上で越冬する。南西諸島では年間を通じて連続的に発生し、成虫の発生回数は本土に比べて多いと思われる。"
アシベニカギバ,Oreta pulchripes Butler, 1877,"年3化、5月中-下旬、7月中-下旬、9月中-下旬","全国的に平地から山地まで広く分布し、きわめて普通に見られる。関東地方以西では、地域によって年4回出現する可能性がある。若齢幼虫が樹皮の割れ目や枝のつけ根などで越冬する。"
クロスジカギバ,Oreta turpis Butler, 1877,"年3化",前種と混同されやすいが、本種は平地のみに産し、低山地から山地には分布しない。経過習性は前種とほぼ同じと思われる。早春に幼虫が見られるので幼虫越冬と思われる。
オキナワカギバ,Oreta loochooana Swinhoe, 1902),不明,経過習性は前種とほぼ同じと思われる。
オオフトカギバ,Oreta fuscopurpurea Inoue, 1956,4-11月,4月から11月の間に4-5回出現する。最近、幼生期が解明され、鹿児島県では若齢幼虫で越冬し、3月下旬と4月中旬に成虫が羽化している。
ヤエヤマフトカギバ,Oreta extensa Walker, 1855,多化性、3月上旬-12月下旬,年間を通して連続的に発生していると思われる。
アカウラカギバ,Hypsomadius insignis Butler, 1877),年数回、5-10月,"関東地方以西に産する。年数回出現。奄美大島-西表島では3月-12月上旬まで得られており、連続的に発生していると思われる。"
オオカギバ,Cyclidia substigmaria (Hübner, 1831),"年2化、5-6月、8-9月","低山地から山地に産し、ごく普通。灯火にも飛来するが、昼間樹間を弱々しく飛翔する。"
ギンスジカギバ,Mimozethes argentilinearia (Leech, 1897),"年2化、5-6月、8-9月","本州では低山地から山間部に産し、比較的普通。"
ナガトガリバ,Euparyphasma maxima (Leech, 1889),"年2化、6月上旬-8月中旬","関東地方以西に多い。関東地方周辺では低山地から山地に産し、少なくない。蛹越冬。"
モントガリバ,Thyatira batis (Linnaeus, 1758),"年2-3化、5-10月","全国的に分布し、平地から山地に広く分布し、ごく普通。南西諸島では年間を通して発生していると思われる。"
キマダラトガリバ,Macrothyatira flavida (Butler, 1885),"年1化、7-8月","関東地方周辺ではブナ帯に産する。蛹越冬。"
カワムラトガリバ,Horithyatira decorata Moore, 1881,"年1化、3月下旬-5月",紀伊半島南部と四国、九州以南に産する南方系の種である。最近、神奈川県丹沢山系で2年連続して得られているので、定着している可能性がある。南西諸島ではごく普通である。
ウスベニトガリバ,Monothyatira pryeri (Butler, 1881),"年1化、3月下旬-5月","本州では青森県から産し、関東地方周辺では低山地に多く見られる。早春の蛾。"
ヒメウスベニトガリバ,Habrosyne aurorina (Butler, 1881),"年2化、4月下旬-6月上旬、7-8月","全国的に広く分布し、平地から山地までごく普通。蛹で越冬する。"
ウスベニアヤトガリバ,Habrosyne dieckmanni (Graeser, 1888),"年1化、7-8月","関東地方周辺では標高1000m以上の山地で得られ、前種に比べると生息域はややせまい。"
アヤトガリバ,Habrosyne pyritoides (Hufnagel, 1766),"年1化または年2化、5-9月","全国的に広く分布する。北海道では年1化で7-8月に出現する。本州以南では年2化、5-6月と8-9月に出現する。"
オオアヤトガリバ,Habrosyne fraterna Moore, 1888),"年2化、5-10月","本州では太平洋側に産地が多く、日本海側での産地は未知である。関東地方では5-6月と9-10月に出現する。静岡県で幼虫越冬が確認されている。沖縄島では1月に得られている。"
カラフトアヤトガリバ,Habrosyne intermedia (Bremer, 1864),"年1化、7月","垂直分布に関しては、大雪山の山麓部から高山帯まで得られている。"
タイワンアヤトガリバ,Habrosyne indica (Moore, 1867),不明,現状では日本における本種の産否は未解決である。
フタテントガリバ,Ochropacha duplaris (Linnaeus, 1761),"年1化、7-8月",本州では関東地方、中部地方の亜高山帯から高山帯に多産するが、それより低い山地でも産する。
ヒトテントガリバ,Tetheella fluctuosa (Hübner, 1803),"年1化、7-8月","生息域は前種と同じであるが、むしろ亜高山帯より下の山域に産する。しかし、前種のように多産しない。"
オオバトガリバ,Tethea ampliata (Butler, 1878),"年2化、6月上旬-8月下旬","全国的に広く分布し、関東地方周辺では平地から山地までごく普通に産する。幼虫は6月上-中旬と9月上-中旬に得られ、2化性で蛹越冬と思われる。"
ホソトガリバ,Tethea octogesima (Butler, 1878),"年2化、5-8月","全国的に産し、生息域は前種とほぼ同じだが分布は限定される。関東地方周辺の低山地では5-6月と7-8月に出現し、年2化と思われる。"
チョウセントガリバ,Tethea ocularis (Linnaeus, 1767),"年1化、6-8月","日本では、長野県開田高原、上伊那地方、松本市梓川上流付近で採れているが、分布は限られている。最近、秋田県能代市で新産地が報告された。年1化。6月にも得られているが、主に7-8月に出現する。"
アカントガリバ,Tethea or (Denis & Schiffermüller, 1775),"年1化、6月上旬-7月中旬",北海道での産地は、道北部の一部と道東の広い範囲に点在する。
オオマエベニトガリバ,Tethea consimilis (Warren, 1912),"年2化、5-9月","全国的に広く分布し、平地から山地まで各地で普通に産する。関東地方周辺の山地では5-6月と8-9月に出現する。幼虫は6月と8月にあらわれる。蛹越冬。"
マエベニトガリバ,Tethea trifolium (Alphéraky, 1895),"年1化、7-8月","本州では、東北から関東地方・中部地方の山地に産するが、非常にまれである。最近では採集の記録はほとんどない。"
マエジロトガリバ,Tethea albicostata (Bremer, 1861),"年1化、7-8月","本州では東北地方と中部地方の山地で採れているが、まれな種である。"
ナカジロトガリバ,Nemacerota suzukiana (Matsumura, 1921),"年1化、8, 10-11月",関東地方・中部地方の山地から高山帯まで産する。高山帯では8月に得られているが、関東地方周辺の山地では10-11月に出現する秋の蛾。
ヒメナカジロトガリバ,Nemacerota tancrei (Graeser, 1888),8月、秋,年1化、北海道、東北地方の山地では8月に出現するが、秋にも得られている。
ウスジロトガリバ,Parapsestis albida Suzuki, 1916),"年2化の可能性あり、5-8月","関東地方周辺では低山地から産するが、ブナ帯に多い。山地では7-8月に多いが、低山地では5-8月に出現し、年2化の可能性が高い。蛹で越冬する。"
ギンモントガリバ,Parapsestis argenteopicta (Oberthür, 1879),"年2化以上、5月上旬-9月中旬","全国的に広く産し、垂直分布も低山地から山地まで分布。各地で普通に見られる。5月上旬-9月中旬まで得られており、少なくとも年2化は発生すると思われる。"
ネグロトガリバ,Mimopsestis basalis (Wileman, 1911),"年2化、5-8月","関東地方周辺では高標高の山地より低山地から山間部に多く見られる。幼虫は春と秋にあらわれる。蛹で越冬する。"
サカハチトガリバ,Kurama mirabilis (Butler, 1879),"年1化、4-5月","全国的に産し、標高の高い山地よりも、平地から丘陵部に多く見られ、普通。幼虫は5月にあらわれる。蛹で越冬する。"
ニッコウトガリバ,Epipsestis nikkoensis (Matsumura, 1921),"年1化、10-11月","本州では東北地方から産し、関東地方周辺では平地から山地まで得られる。一般に発生期は前種より早い。"
ムラサキトガリバ,Epipsestis ornata (Leech, 1889),"年1化、10-11月","関東地方周辺では平地から低山地に産し、各地で普通。"
ウスムラサキトガリバ,Epipsestis nigropunctata (Sick, 1941),"年1化、9-11月","関東地方周辺の山地では10-11月に出現し、北海道では9月から得られる。"
キボシミスジトガリバ,Achlya longipennis Inoue, 1972),"年1化、4月下旬-5月下旬","本州では東北地方でも採れているが、主に関東・中部地方の山地に分布する。"
ミスジトガリバ,Achlya flavicornis (Linnaeus, 1758),年1化、4月,年1化、4月に出現する。
タマヌキトガリバ,Neodaruma tamanukii Matsumura, 1933),"年1化、3月下旬-5月","本州では東北地方、関東地方や中部地方の山地に産し、少なくない。"
クラマトガリバ,Sugitaniella kuramana Matsumura, 1933),"年1化、3月下旬-4月","本州では、東北から関東・中部地方の低山地から山地に産し、少なくない。"
ホシボシトガリバ,Demopsestis punctigera (Butler, 1885),"年1化、3月下旬-4月下旬","関東地方周辺では平地から山地にごく普通に産する。"
マユミトガリバ,Neoploca arctipennis (Butler, 1878),"年1化、3月中旬-4月",関東地方周辺では山地より平地や丘陵部に多く見られる。
ナミスジトガリバ,Mesopsestis undosa (Wileman, 1911),"年2化、5-9月","北海道では産地が少ない。本州では東北地方より産し、関東地方・中部地方では山地で得られるが、比較的少ない。幼虫は7-8月と10月に見られ、蛹越冬する。"
アマミトガリバ,Horipsestis mushana (Matsumura, 1931),4月、7月,奄美大島では4月と7月に得られているが、経過習性は不明。
タケウチトガリバ,Betapsestis umbrosa (Wileman, 1911),"年1化、5-7月","北海道では少ないが、関東地方周辺では平地から丘陵にごく普通に産する。"
アゲハモドキ,Epicopeia hainesii hainesii Holland, 1889),"年2化、6月、8月",♂は薄暮飛翔性で、夕方飛び回り、灯火にも早い時間帯に飛来することが多い。♀は完全な昼行性。
アゲハモドキ(対馬亜種),Epicopeia hainesii tsushimana Inoue, 1978),不明,不明
フジキオビ,Schistomitra funeralis Butler, 1881),"年1化、5-6月",昼行性で訪花性があり、♂は湿った地面で吸水するという。
キンモンガ,Psychostrophia melanargia Butler, 1877),"年2化、5-6月、8-9月",昼行性、♂♀ともに訪花性がある。
シロフタオ,Eversmannia exornata (Eversmann, 1837),"年1化、7-8月",年1化、7-8月に採集される。
クロフタオ,"Epiplema" styx (Butler, 1881),"年1化、7-8月",年1化、7-8月に採集される。
マエモンフタオ,Dysaethria erasaria (Christoph, 1881),不明,きわめてまれな種で、なかなか採集できない。
キスジシロフタオ,Dysaethria cretacea (Butler, 1881),年1化、7-8月,年1化、7-8月に採集される。
ハガタフタオ,Dysaethria flavistriga (Warren, 1901),多化性,多化性と思われるが、詳細は不明。
シタクロオビフタオ,Dysaethria fulvihamata (Hampson, 1912),多化性, 1,5,7,10月,"多化性と思われ、八重山諸島では、5月、7月、10月までの標本が手許にあり、1月にも1個体採集されている。"
クロホシフタオ,Dysaethria moza (Butler, 1878),年数回,年数回は発生しているものと思われ、1化目は大型となる。
ヒメクロホシフタオ,Dysaethria illotata (Christoph, 1880),年数回、5-8月,5月から8月までの採集記録があり、年数回発生しているものと思われる。
ミナミクロホシフタオ,Dysaethria meridiana (Inoue, 1982),年数化、春から秋,年数化、春から秋に採集される。
アトシロオビフタオ,Europlema desistaria (Walker, 1861),不明,年間を通して採集されている。
オキナワフタオ,Europlema semibrunnea (Pagenstecher, 1888),多化性、10-11月,多化性と思われるが、手元の標本では10月と11月のものしかない。
クロテンシロフタオ,Europlema nivosaria (Walker, 1866),3-8月,3月から8月に採集されている。
クロオビシロフタオ,Oroplema plagifera (Butler, 1881),年2化、春と夏,年2化、春と夏に採集される。
カバイロフタオ,Oroplema oyamana (Matsumura, 1931),年2回以上,年2回以上発生するものと思われる。
クリフタオ(新称),Pterotosoma castanea (Warren, 1898),3月,西表島で1♂が3月に採集されている。日本新記録種。国外からの飛来種かもしれない。
アトキフタオ,Warreniplema fumicosta (Warren, 1896),多化性,多化性、春の個体は大型となる。
アトキフタオ(小笠原諸島亜種),Warreniplema fumicosta islandica (Inoue, 1998),多化性,多化性。
マルバネフタオ,Monobolodes prunaria (Moore, 1887),多化性,多化性。
クロオビフタオ,Monobolodes pernigrata (Warren, 1896),不明、7月,化性は不明。7月に採集されている。
アマミマルバネフタオ,Phazaca kosemponicola (Strand, 1916),多化性,多化性、春の個体は大きい。
コモンマルバネフタオ,Phazaca alikangensis (Strand, 1916),多化性,多化性、春の個体は大きい。
アサケマルバネフタオ,Phazaca theclata (Guenée, 1857),不明,これまでの採集例から、国外からの飛来種と考えられるが、一時的な発生があるのかもしれない。
エグリフタオ,Chundana emarginata (Hampson, 1891),多化性,多化性、春の個体はやや大型となる。
ギンツバメ,Acropteris iphiata (Guenée, 1857),"年2化、5-10月","1年2化、5-7月と9-10月に出るが、寒冷地では年1化の可能性が示唆されている。成虫は灯火に飛来することはまれで、昼間、葉の表面に止まっていることが多い。"
サキシマギンツバメ,Acropteris sparsaria (Walker, 1861),不明,前種と同様、昼間、葉の表面に止まっていることが多い。
ヤクシマギンツバメ,Pseudomicronia advocataria (Walker, 1861),多化性,多化性と思われるが、詳細は不明。灯火に飛来する。
マサキオオツバメ,Lyssa zampa (Butler, 1869),不明,大型種で、飛翔力があり、まれに日本に飛来することがある。
カバシャク,Archiearis parthenias (Linnaeus, 1761),"年1化、4月上旬-5月中旬","年1化、本州では東北地方から関東地方、中部地方の山地に産する。昼間晴天ときに活発に飛翔し、少しでも曇ると活動しない。"
クロフカバシャク,Archiearis notha (Hübner, 1808),"年1化、4月下旬-5月下旬",前種同様昼飛性で、4月下旬から5月下旬に出現する。
スグリシロエダシャク,Abraxas grossulariata (Linnaeus, 1758),"年1化、6-8月","年1化、本州中部地方では成虫が6-8月にあらわれ、若齢幼虫で越冬する。"
スギタニシロエダシャク,Abraxas flavisinuata Warren, 1894),"年1化、8-9月","年1化、本州中部では8-9月に出現する。産地はやや局地的。"
キタマダラエダシャク,Abraxas sylvata (Scopoli, 1763),"年1化または年2化、5-9月","北海道では年1化で6-8月に出現し、本州では5-6月と7-9月に得られており、おそらく年2化。山地に普通に産する。"
ヒメマダラエダシャク,Abraxas niphonibia Wehrli, 1935),"年2化または年3化以上、5-9月, 12-3月","少なくとも年2化、暖地では3化以上する可能性もある。本州中部では5-6月と7-9月に成虫が出現し、蛹で越冬する。南西諸島では12-3月にも見られる。各地に多産する。"
ヘリグロマダラエダシャク,Abraxas satoi Inoue, 1972),"年2化、5-6月、8-9月",本州中部では5-6月と8-9月に成虫が見られる。年2化で蛹越冬。産地は少ない。
クロマダラエダシャク,Abraxas fulvobasalis Warren, 1894),"年2化以上、5-9月","少なくとも年2化、本州中部では5-6月と7-9月に出現する。蛹越冬。各地に普通で、ヤナギ類が多く自生する河川敷にも多い。"
ヒトスジマダラエダシャク,Abraxas latifasciata Warren, 1894),"年2化または年3化",年に少なくとも2化するが、地域によっては3化する。越冬態は蛹。平地から山地まで普通に産する。
ユウマダラエダシャク,Abraxas miranda Butler, 1878),"年2-3化、2-12月",地域により年2-3化し、幼虫あるいは蛹で越冬する。沖縄や西表島では、2-3月と11-12月に出現する。
ミナミマダラエダシャク,Abraxas formosilluminata Inoue, 1984),7-9月,台湾では7-9月に得られている。
シロオビヒメエダシャク,Lomaspilis marginata (Linnaeus, 1758),"年1-2化、5-8月","5月からあらわれ8月まで見られるので、地域によって年1-2化すると思われる。"
シロスジヒメエダシャク,Ligdia japonaria Leech, 1897),"年2化、5-9月","5-6月と7-9月に出現する。年2化し、蛹で越冬する。"
キブサヒメエダシャク,Ligdia ciliaria Leech, 1897),"年2化、5-8月","5-6月と7-8月に得られており、年2化と推定される。"
クロフヒメエダシャク,Peratophyga hyalinata (Kollar, 1844),"年2化、5-8月","年2化し、5-6月と7-8月に出現する。北海道の産地はヨシが優占する湿地である。"
サザナミオビエダシャク,Heterostegane hyriaria Warren, 1894),"年2化、5-8月","5-8月に得られており、年2化と推定される。"
ヤマトエダシャク,Peratostega deletaria (Moore, 1888),"年複数回、3-12月",本州-九州では5-6月と7-8月、奄美大島-西表島では3-4月、6-8月、12月に得られている。
ウチムラサキヒメエダシャク,Ninodes splendens (Butler, 1878),"年2化、5-8月","年2化し5-6月と7-8月に出現し、蛹で越冬、各地に普通。"
ワタナベヒメエダシャク,Ninodes watanabei Inoue, 1976),"3-6月","対馬では5-6月、沖縄島、西表島では3-4月に採集されている。"
ヘリオビエダシャク,Hydatocapnia gemina Yazaki, 1990),"1-9月","台湾では、1月から8月まで中部の低山帯に普通に産する。日本では9月27日に採集された1♀しか知られていない。"
ナミスジシロエダシャク,Orthocabera tinagmaria (Guenée, 1857),"年2-3化、4-9月","4-5月と7-9月に出現し、少なくとも年2化、場所によっては3化。沖縄島では5,6,8月に得られている。大分県では幼虫越冬が確認されている。"
キスジシロエダシャク,Orthocabera sericea Butler, 1878),年2化、5-9月,年2化、5-6月と8-9月に出現する。屋久島では3月と8月に得られている。
ホシスジシロエダシャク,Myrteta punctata (Warren, 1894),"年2化、6-9月","年2化し、6-7月と8-9月に出現する。"
クロミスジシロエダシャク,Myrteta angelica Butler, 1881),"年1化、9-12月","本州中部では、年1化で9-10月に出現するが、九州や屋久島では、9-11月のほかに6-8月にも少数ながら得られており、年2化するものと思われる。奄美群島以南亜種は、6月と11-12月、沖縄島で11-12月に得られている。"
ミスジシロエダシャク,Taeniophila unio (Oberthür, 1880),"年2化、6-9月","年2化し、6-7月と8-9月に出現する。各地に普通。"
キブサヒメエダシャク,Ligdia ciliaria Leech, 1897),"年2化、5-8月","5-6月と7-8月に得られており、年2化と推定される。"
フタオビシロエダシャク,Lamprocabera candidaria (Leech, 1897),"年2化、5-8月","5-6月と7-8月に得られており、年2化と推定。個体数は少ない。"
マエキシロエダシャク,Lomographa inamata (Walker, 1861),"年複数回、3,6,8,9月","四国、九州では6-9月に出現。奄美大島では3,6,8月に得られている。"
クロズウスキエダシャク,Lomographa simplicior (Butler, 1881),"年1化、8月下旬-10月下旬","おそらく年1化、山地に普通。"
フタホシシロエダシャク,Lomographa bimaculata (Fabricius, 1775),"年2-3化、4-8月","4月から8月まで各月に採集されており、少なくとも年2化、暖地では3化。蛹で越冬、各地に普通。"
バラシロエダシャク,Lomographa temerata (Denis & Schiffermüller, 1775),"年2-3化、4-9月","4月から9月にかけて出現、地域によって年2-3化するのであろう。屋久島では3月から発生している。各地に多産する。"
ウスフタスジシロエダシャク,Lomographa subspersata (Wehrli, 1939),"年2化、4-8月","4-6月と7-8月に得られており、おそらく年2化。普通種。"
オオフタスジシロエダシャク,Lomographa claripennis Inoue, 1977),"年2化以上、3-8月","3-5月と7-8月に得られており、少なくとも年2化。"
ウスオビシロエダシャク,Lomographa nivea (Djakonov, 1936),"年1化、4-6月","4月から6月にかけて出現する。年1化と推定しているが詳細は不明。"
ミスジコナフエダシャク,Cabera insulata Inoue, 1958),"年2化、5-8月","中部地方では5-6月と7-8月に得られる。北海道では7-8月に1回だけ発生すると推定。各地に普通に産する。"
ヒラヤマシロエダシャク,Cabera schaefferi Bremer, 1864),"年1化、5-8月","本州中部で5-6月、北海道では7-8月に得られており、おそらく年1化。本属4種の中で最も個体数が少ない。"
コスジシロエダシャク,Cabera purus (Butler, 1878),"年2化、5-8月","5-6月と7-8月に得られており、年2化し、蛹越冬。各地に多産する。"
アトグロアミメエダシャク,Cabera griseolimbata (Oberthür, 1879),"年2化、5-8月","5-6月と7-8月に得られており、年2化する。普通種。"
フタスジウスキエダシャク,Parabapta aetheriata (Graeser, 1889),"年1化、5-7月","地域によってずれがあるが、5-7月に出現する。蛹で越冬する。"
イハラエダシャク,Parabapta iharai Yazaki, 1989),"年1化、5-6月",産地は限られており、個体数も少ない。
ウスアオエダシャク,Parabapta clarissa (Butler, 1878),"年1化、4-6月","年1化で蛹越冬。各地に普通に産する。"
フタスジオエダシャク,Rhynchobapta cervinaria (Moore, 1888),"年2化、5-9月","年2化し、5-6月と8-9月に出現する。蛹で越冬する。北海道ではきわめて少ない。"
シロミャクオエダシャク,Rhynchobapta eburnivena (Warren, 1896),"年複数回、3-9月",周年経過は明確でないが、地域によって3月から9月まで採集報告がある。
マエキオエダシャク,Plesiomorpha flaviceps (Butler, 1881),"年複数回、4-9月","4月から9月にかけて出現、本州中部地方では年2化し、蛹で越冬。西表島では7月と10月に得られている。平地から山地まで普通に産する。"
モンオビオエダシャク,Plesiomorpha punctilinearia (Leech, 1891),"年2化、5-9月","5-6月と8-9月に出現し、年2化。蛹で越冬。普通種。"
ナカキエダシャク,Plagodis dolabraria (Linnaeus, 1767),"年2化、5-9月",年2化。関東地方周辺の山間部では5月下旬からあらわれるが、中部地方の山地では7月下旬-8月中旬に出現する。
コナフキエダシャク,Plagodis pulveraria (Linnaeus, 1758),"年1化または年2化、4-9月",年2化。関東地方周辺の低山地では4-6月と7-9月に出現し、蛹で越冬する。本州中部の高山では年1化であろう。
リョクモンエダシャク,Celenna festivaria (Fabricius, 1794),年複数回,ほぼ通年,ほぼ通年採集されており、年に何回か発生するのであろう。
フタテンエダシャク,Seleniopsis evanescens (Butler, 1881),年3回,5-10月,"年3化し成虫越冬と推定されている。"
ウラモンアカエダシャク,Parepione grata (Butler, 1878),"年2化、4-8月","年2化し、4-6月と7-8月に出現し、蛹で越冬する。各地に普通に産する。"
ヒロバトガリエダシャク,Planociampa antipala Prout, 1930),"年1化、3月下旬-4月","年1化で3月下旬から4月にかけてあらわれる。蛹で越冬。各地に普通だが、♀が灯火に飛来することは少ない。"
ホソバトガリエダシャク,Planociampa modesta (Butler, 1878),"年1化、3月下旬-4月","前種と同様に3月下旬から4月にかけてあらわれる春の蛾で越冬。普通種であるが、♀が灯火に飛来することは少ない。"
スモモエダシャク,Angerona prunaria (Linnaeus, 1758),"年1化、6-8月","北海道では7-8月、本州中部では6-7月に出現し、年1化。"
ゴマフキエダシャク,Angerona nigrisparsa Butler, 1879),"年2化、5-8月","おおむね5-6月と7-8月に出現するので、おそらく年2化。各地に普通。"
ツマトビキエダシャク,Bizia aexaria Walker, 1860),"年2-3化、5-9月","年2化し、5-7月と8-9月に出現する。各地に普通。越冬態は不明。"
オイワケキエダシャク,Exangerona prattiaria (Leech, 1891),"年1化または年2化、5-9月","北海道では年1化で7-8月に出現し、本州以南では年2化し5-6月と8-9月に見られる。"
ウスクモエダシャク,Menophra senilis (Butler, 1878),"年2-3化、4-10月",地域によって年に2-3化。蛹で越冬。各地に多産する。
ハルタウスクモエダシャク,Menophra harutai (Inoue, 1954),"年1化、4月-7月","年1化で、本州中部地方では4月中旬から5月にかけて出現するが、高標高の山地では6月、ときには7月に入ってから得られる。蛹で越冬。"
エゾウスクモエダシャク,Phthonandria emaria (Bremer, 1864),"年1化、7-8月",年1化で7-8月に出現する。蛹越冬と推定している。
クワエダシャク,Phthonandria atrilineata (Butler, 1881),"年1-2化、6-9月","本州中部では年2化し、6-7月と8-9月に出現するが、北海道では7-8月に得られており、年1化と思われる。古くはクワの害虫として幼生期の生態も詳細に研究されている。3齢くらいの幼虫で越冬。"
ヒゲマダラエダシャク,Cryptochorina amphidasyaria (Oberthür, 1880),"年1化、春",春の蛾で3月中旬-5月上旬に出現する。蛹で越冬。
ギンスジエダシャク,Chariaspilates formosaria (Eversmann, 1837),"年2化、6-9月","年2化し、6-7月と8-9月に出現するが、地域によってはあるいは3化する可能性もある。各地の平地に普通に見られる。"
フタスジギンエダシャク,Megaspilates mundataria (Stoll, 1782),"年1化、5-6月","年1化で5-6月に見られるので、おそらく年1化。産地は比較的限られている。"
ハスオビカバエダシャク,Pseudaspilates obliquizona (Inoue, 1953),7-8月,中部地方の山地では7-8月に産する。
