insect_id,source_japanese_name,pdf_page,proposed_current_taxa,resolved_target_ids,target_row_status,source_host_plants,source_ecology_summary,classification,proposal
species-10029,アカヘリミドリタマムシ,61,アカヘリミドリタマムシ,species-10029,source_row_only_no_copy_needed,アカマツ; ヒメコマツ,5〜8月にマツ類の枯れ木や伐採木に集まり、特に雌はヒメコマツやゴヨウマツの孤立木樹冠に集まる。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、アカヘリミドリタマムシへ共有候補。
species-10035,クロヒメヒラタタマムシ,62,クロヒメヒラタタマムシ 北海道亜種; クロヒメヒラタタマムシ 本州中部亜種; クロヒメヒラタタマムシ 本州西部亜種,,target_rows_absent_fail_closed,トドマツ,5〜8月にマツ類の枯れ木や伐採木に集まり、その頃に咲く日当たりの良い各種の花にも集まる。日本産は3亜種とされるがその差異は微弱で連続的に変化する。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、クロヒメヒラタタマムシ 北海道亜種; クロヒメヒラタタマムシ 本州中部亜種; クロヒメヒラタタマムシ 本州西部亜種へ共有候補。
species-10042,アムールムツボシタマムシ,63,アムールムツボシタマムシ,species-10042,source_row_only_no_copy_needed,コハウチワカエデ; ダケカンバ,6〜8月にブナ帯に現れ、ダケカンバやカエデ類の枯れ木に飛来する個体が採集される。日本産亜種の原産地は東京都日原。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、アムールムツボシタマムシへ共有候補。
species-10047,オキナワムツボシタマムシ,64,オキナワムツボシタマムシ 基亜種; オキナワムツボシタマムシ 八重山亜種,,target_rows_absent_fail_closed,ツブラジイ; ヤンバルアワブキ,3〜9月に現れ、カシ類やシイ類の枯れ木に集まる。八重山諸島には4紋型のみを産し、別亜種として区別される。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、オキナワムツボシタマムシ 基亜種; オキナワムツボシタマムシ 八重山亜種へ共有候補。
species-10048,オガサワラムツボシタマムシ,64,オガサワラムツボシタマムシ 基亜種; オガサワラムツボシタマムシ 母島亜種,,target_rows_absent_fail_closed,ムニンエノキ,6月に現れ、ムニンエノキやモモタマナの枯れ木に集まる。母島産は前胸背板や上翅の点刻および色が父島産の原名亜種とは異なることから別亜種とされる。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、オガサワラムツボシタマムシ 基亜種; オガサワラムツボシタマムシ 母島亜種へ共有候補。
species-10049,カクムネムツボシタマムシ,64,カクムネムツボシタマムシ,species-10049,source_row_only_no_copy_needed,トウヒ; アオトド,7〜8月に現れ、マツ類の衰弱木、枯れ木、伐採木に集まる。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、カクムネムツボシタマムシへ共有候補。
species-10052,ムネアカチビナカボソタマムシ,65,ムネアカチビナカボソタマムシ 基亜種; ムネアカチビナカボソタマムシ 琉球亜種,,target_rows_absent_fail_closed,アカメガシワ,5〜9月に現れ、アカメガシワを食害し、その生葉をスウィーピングすることによって採集される。分布の北限は福島県いわき市。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、ムネアカチビナカボソタマムシ 基亜種; ムネアカチビナカボソタマムシ 琉球亜種へ共有候補。
species-10056,クリタマムシ,66,クリタマムシ 基亜種; クリタマムシ 吐噶喇亜種,,target_rows_absent_fail_closed,クリ; ツブラジイ; スダジイ; コナラ; ナラガシワ,6〜8月に現れ、クリの害虫とされるが、むしろカシワ、ナラガシワ、コナラ、スダジイ、ツブラジイなどの生葉のスウィーピングで採集されることが多い。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、クリタマムシ 基亜種; クリタマムシ 吐噶喇亜種へ共有候補。
species-10061,ヤクシマクリタマムシ,66,ヤクシマクリタマムシ 基亜種; ヤクシマクリタマムシ 奄美亜種; ヤクシマクリタマムシ 本州亜種,,target_rows_absent_fail_closed,シイ,6〜7月に現れ、ツブラジイなどのシイ類のスウィーピングで採集される。色調や前胸背板側縁および上翅端部の形状から4亜種に分けられるが、各亜種間の差異は微弱である。原産地は屋久島安房。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、ヤクシマクリタマムシ 基亜種; ヤクシマクリタマムシ 奄美亜種; ヤクシマクリタマムシ 本州亜種へ共有候補。
species-10062,ヤエヤマクリタマムシ,67,ヤエヤマクリタマムシ 基亜種; ヤエヤマクリタマムシ 与那国島亜種,,target_rows_absent_fail_closed,シイ; シイ類,5〜6月に現れ、ツブラジイなどのシイ類のスウィーピングで採集される。原産地は石垣島オモト岳。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、ヤエヤマクリタマムシ 基亜種; ヤエヤマクリタマムシ 与那国島亜種へ共有候補。
species-10063,ヒメナカボソタマムシ,67,ヒメナカボソタマムシ 基亜種; ヒメナカボソタマムシ 屋久・奄美亜種,,target_rows_absent_fail_closed,シイ; シイ類,4〜7月に現れ、イスノキやシイ類のスウィーピングで採集される。原産地は石垣島オモト岳。種小名は第一の発見者である入江平吉氏に献名された。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、ヒメナカボソタマムシ 基亜種; ヒメナカボソタマムシ 屋久・奄美亜種へ共有候補。
species-10071,ルイスナカボソタマムシ,68,ルイスナカボソタマムシ 基亜種; ルイスナカボソタマムシ 伊豆諸島亜種,,target_rows_absent_fail_closed,ヤマハンノキ; ウダイカンバ; ヤシャブシ; オオバヤシャブシ; ブナ,北海道から九州の主として山間部に6〜8月に現れ、ヤマハンノキやオオバヤシャブシなどのハンノキ類の生葉のスウィーピングで採集される。衰弱した太いブナの幹にも集まる。伊豆諸島産の雌は赤色が強く体形も短太で、伊豆八丈亜種として区別される。原産地は北海道七飯町蓴菜沼。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、ルイスナカボソタマムシ 基亜種; ルイスナカボソタマムシ 伊豆諸島亜種へ共有候補。
species-10073,ホソナカボソタマムシ,68,ホソナカボソタマムシ,species-10073,source_row_only_no_copy_needed,ナワシロイチゴ,関東地方から中部地方の限られた地域に限って5〜8月に現れ、近年は九州の久住高原（大分県）でも発見された。ナワシロイチゴの生葉上に見られる。原産地は山梨県三ツ峠。種小名は阪口平博士に献名された。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、ホソナカボソタマムシへ共有候補。
species-10074,カラカネナカボソタマムシ,68,カラカネナカボソタマムシ 基亜種; カラカネナカボソタマムシ 薩南諸島亜種; カラカネナカボソタマムシ 沖縄島亜種; カラカネナカボソタマムシ 奄美亜種,,target_rows_absent_fail_closed,イタジイ; シイ; シイ類,5〜8月に現れ、スダジイのスウィーピングで採集される。原名亜種は本州および九州に産し、屋久島〜琉球列島に産する個体群は3亜種に分かれる。台湾に産する個体群は原名亜種によく似る。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、カラカネナカボソタマムシ 基亜種; カラカネナカボソタマムシ 薩南諸島亜種; カラカネナカボソタマムシ 沖縄島亜種; カラカネナカボソタマムシ 奄美亜種へ共有候補。
species-10076,タイワンナカボソタマムシ,69,タイワンナカボソタマムシ 沖縄島亜種; タイワンナカボソタマムシ 八重山亜種; タイワンナカボソタマムシ 奄美亜種,,target_rows_absent_fail_closed,シャリンバイ,3〜6月に現れ、シャリンバイなどのスウィーピングで採集されるが少ない。奄美大島・沖縄島・石垣島では舗装道路脇の植栽されたシャリンバイから多数の個体が得られており、幼虫がシャリンバイの木を食害することから、植栽とともに運ばれた可能性もある。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、タイワンナカボソタマムシ 沖縄島亜種; タイワンナカボソタマムシ 八重山亜種; タイワンナカボソタマムシ 奄美亜種へ共有候補。
species-10082,オキナワナガタマムシ,70,オキナワナガタマムシ 基亜種; オキナワナガタマムシ 奄美沖縄亜種,,target_rows_absent_fail_closed,アカメガシワ; クロヨナ; ムクゲ; ハイビスカス; ムクゲ類,4〜7月に現れ、アカメガシワやクロヨナに集まる。原産地は西表島。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、オキナワナガタマムシ 基亜種; オキナワナガタマムシ 奄美沖縄亜種へ共有候補。
species-10102,ツマキナガタマムシ,72,ツマキナガタマムシ,species-10102,source_row_only_no_copy_needed,ハマセンダン,成虫は4〜8月に現れ、ハマセンダンの生葉に飛来する。原名亜種は台湾産。日本産（日本亜種）は全体に赤みを帯びた唐金色を呈する。,locality-identifiable subspecies,原典は日本産個体群・日本亜種の産地文脈に限定されるため、対応する現行日本産分類群だけへ共有。
species-10116,リュウキュウナガタマムシ,74,リュウキュウナガタマムシ,species-10116,source_row_only_no_copy_needed,,台湾産に基づいて記載され、日本では琉球列島に分布し、5〜7月にリュウキュウエノキの生葉のスウィーピングで採集されるが多くない。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、リュウキュウナガタマムシへ共有候補。
species-10117,セキナガタマムシ,74,セキナガタマムシ 基亜種; セキナガタマムシ 沖縄・八重山亜種,,target_rows_absent_fail_closed,リュウキュウエノキ,リュウキュウエノキの生葉のスウィーピングで採集されるが多くない。原産地は奄美大島宇検村。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、セキナガタマムシ 基亜種; セキナガタマムシ 沖縄・八重山亜種へ共有候補。
species-10120,オオウグイスナガタマムシ,74,オオウグイスナガタマムシ,species-10120,source_row_only_no_copy_needed,アベマキ; クヌギ,5〜8月に現れ、クヌギやナラ類のひこばえやそだに集まる。原産地は中国青洲で、日本では宮城県阿武隈山地以南に分布する。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、オオウグイスナガタマムシへ共有候補。
species-10135,キンイロエグリタマムシ,82,キンイロエグリタマムシ 基亜種; キンイロエグリタマムシ 琉球・台湾亜種,,target_rows_absent_fail_closed,ベニシダ; オニヤブソテツ; コモチシダ,3〜6月頃に現れ、ベニシダ、オニヤブソテツ、コモチシダなどのシダ類のスウィーピングによって採集される。原産地は長崎県。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、キンイロエグリタマムシ 基亜種; キンイロエグリタマムシ 琉球・台湾亜種へ共有候補。
species-10136,アカガネエグリタマムシ,82,アカガネエグリタマムシ 基亜種; アカガネエグリタマムシ 奄美亜種,,target_rows_absent_fail_closed,ヒトツバ,新成虫は8月下旬頃から現れ、ヒトツバの葉上で発見される。原名種では成虫越冬後3〜5月頃に活動する。産地は局所的で、北限である福島県ではノキシノブの上から採集された。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、アカガネエグリタマムシ 基亜種; アカガネエグリタマムシ 奄美亜種へ共有候補。
species-10142,ヤナギチビタマムシ,84,ヤナギチビタマムシ,species-10142,source_row_only_no_copy_needed,ドロノキ; ヤナギ; ヤナギ類,本属の基準種で、ヨーロッパから日本まで広く分布する。本州〜九州の平野部から山間地では各種のヤナギ類の葉上に普通に見られるが、北海道では少ない。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、ヤナギチビタマムシへ共有候補。
species-10158,ツマキヒラタチビタマムシ,86,ツマキヒラタチビタマムシ 基亜種; ツマキヒラタチビタマムシ 八重山亜種,,target_rows_absent_fail_closed,ハイノキ; シロバイ,ハイノキやシロバイのスウィーピングによって採集されるが少ない。原産地は熊本県肥後地方。八重山諸島産は台湾産と同じ別亜種とされ、少ない。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、ツマキヒラタチビタマムシ 基亜種; ツマキヒラタチビタマムシ 八重山亜種へ共有候補。
