audit_id,insect_id,current_japanese_name,source_japanese_name,canonical_reference,pdf_file,source_pdf_sha256,ocr_sha256,source_pdf_page,source_printed_page,source_ocr_line,plant_name,plant_family,match_method,decision,reviewed_on,review_note
KDB175183-0004,species-22069,シラホシヒゲナガコバネカミキリ 亜種,シラホシヒゲナガコバネカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_derived_base_name,exclude_ocr_or_boundary,2026-07-11,索引画像は「シラホシヒゲナガコバネカミキリ Molorchus minor fuscus」。種解説（冊子p.454-455）では現行 species-22069 に対応する ikedai を「ホソムネシラホシヒゲナガコバネカミキリ」と別記するため、現行IDへの誤帰属。
kamikiri-host-index-p175-l15888-species-22093,species-22093,コジマヒゲナガコバネカミキリ,コジマヒゲナガコバネカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p175-l15888-species-22132,species-22132,トワダムモンメダカカミキリ,トワダムモンメダカカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p175-l15888-species-22200,species-22200,ツヤケシハナカミキリ,ツヤケシハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p175-l15888-species-22232,species-22232,ミヤマルリハナカミキリ,ミヤマルリハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
KDB175183-0003,species-22251,ヨツスジハナカミキリ 基亜種,ヨツスジハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_derived_base_name,needs_review,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。
kamikiri-host-index-p175-l15888-species-22309,species-22309,タケウチホソハナカミキリ,タケウチホソハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p175-l15888-species-22456,species-22456,ハイイロハナカミキリ,ハイイロハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p175-l15888-species-22460,species-22460,アラメハナカミキリ,アラメハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p175-l15888-species-22467,species-22467,オオマルクビヒラタカミキリ,オオマルクビヒラタカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,reviewed_source_crosswalk,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p175-l15888-species-22471,species-22471,オオクロカミキリ,オオクロカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p175-l15888-species-22474,species-22474,トドマツカミキリ,トドマツカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,reviewed_source_crosswalk,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
KDB175183-0006,13-1,ノコギリカミキリ 基亜種,ノコギリカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,exact_derived_base_name,include,2026-07-11,索引画像で「ノコギリカミキリ Prionus insularis insularis」を確認。種解説（冊子p.342-343）と現行同種群を照合し、名義亜種または原典で別名の近縁群から区別された当該分類群として現行IDへ帰属可能。
kamikiri-host-index-p176-l15944-species-21868,species-21868,シロトラカミキリ,シロトラカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p176-l15944-species-22027,species-22027,オオトラカミキリ,オオトラカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p176-l15944-species-22185,species-22185,カラカネハナカミキリ,カラカネハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.684）で植物見出しと掲載和名を目視確認。
KDB175183-0007,species-22251,ヨツスジハナカミキリ 基亜種,ヨツスジハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,exact_derived_base_name,needs_review,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。
kamikiri-host-index-p176-l15944-species-22299,species-22299,アカハナカミキリ,アカハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,reviewed_source_crosswalk,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p176-l15944-species-22453,species-22453,ホンドニセハイイロハナカミキリ,ホンドニセハイイロハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p176-l15944-species-22467,species-22467,オオマルクビヒラタカミキリ,オオマルクビヒラタカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,reviewed_source_crosswalk,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p176-l15944-species-22468,species-22468,マルクビヒラタカミキリ,マルクビヒラタカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p176-l15944-species-22471,species-22471,オオクロカミキリ,オオクロカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p176-l15944-species-22482,species-22482,ヒゲナガモモブトカミキリ,ヒゲナガモモブトカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,reviewed_source_crosswalk,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p176-l15944-species-22689,species-22689,シロオビドイカミキリ,シロオビドイカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p176-l15944-species-22782,species-22782,シラフヒゲナガカミキリ,シラフヒゲナガカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p176-l15944-species-22783,species-22783,シラフヨツボシヒゲナガカミキリ,シラフヨツボシヒゲナガカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,ウラジロモミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p176-l15963-species-21877,species-21877,ミドリカミキリ,ミドリカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,exact_japanese_name,include,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。掲載和名も同植物欄で目視確認。
kamikiri-host-index-p176-l15963-species-22027,species-22027,オオトラカミキリ,オオトラカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,exact_japanese_name,include,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。掲載和名も同植物欄で目視確認。
kamikiri-host-index-p176-l15963-species-22087,species-22087,オダヒゲナガコバネカミキリ,オダヒゲナガコバネカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,exact_japanese_name,include,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。掲載和名も同植物欄で目視確認。
kamikiri-host-index-p176-l15963-species-22216,species-22216,フタスジハナカミキリ,フタスジハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,exact_japanese_name,include,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。掲載和名も同植物欄で目視確認。
kamikiri-host-index-p176-l15963-species-22247,species-22247,キモンハナカミキリ,キモンハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,exact_japanese_name,include,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。掲載和名も同植物欄で目視確認。
KDB175183-0008,species-22251,ヨツスジハナカミキリ 基亜種,ヨツスジハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,exact_derived_base_name,needs_review,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。 植物見出しOCR「オオシラビン」を画像から「オオシラビソ」に補正。
kamikiri-host-index-p176-l15963-species-22276,species-22276,マルガタハナカミキリ,マルガタハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,exact_japanese_name,include,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。掲載和名も同植物欄で目視確認。
kamikiri-host-index-p176-l15963-species-22299,species-22299,アカハナカミキリ,アカハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,reviewed_source_crosswalk,include,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。掲載和名も同植物欄で目視確認。
kamikiri-host-index-p176-l15963-species-22304,species-22304,ブチヒゲハナカミキリ,ブチヒゲハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,exact_japanese_name,include,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。掲載和名も同植物欄で目視確認。
kamikiri-host-index-p176-l15963-species-22417,species-22417,カクムネヒメハナカミキリ,カクムネヒメハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,exact_japanese_name,include,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。掲載和名も同植物欄で目視確認。
kamikiri-host-index-p176-l15963-species-22445,species-22445,キベリカタビロハナカミキリ,キベリカタビロハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,reviewed_source_crosswalk,exclude_ocr_or_boundary,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。正規化データに訂正後の同一ペアが既存のため追加対象外。
kamikiri-host-index-p176-l15963-species-22456,species-22456,ハイイロハナカミキリ,ハイイロハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,exact_japanese_name,include,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。掲載和名も同植物欄で目視確認。
kamikiri-host-index-p176-l15963-species-22460,species-22460,アラメハナカミキリ,アラメハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,exact_japanese_name,include,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。掲載和名も同植物欄で目視確認。
kamikiri-host-index-p176-l15963-species-22467,species-22467,オオマルクビヒラタカミキリ,オオマルクビヒラタカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,reviewed_source_crosswalk,include,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。掲載和名も同植物欄で目視確認。
kamikiri-host-index-p176-l15963-species-22471,species-22471,オオクロカミキリ,オオクロカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,オオシラビソ,マツ科,exact_japanese_name,include,2026-07-11,OCR誤読「オオシラビン」をPDF見出し「オオシラビソ」へ訂正。掲載和名も同植物欄で目視確認。
