canonical_id,duplicate_id,official_url,status,evidence_note
species-22089,species-22090,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 141の同一レコードに現行名 Molorchus (Molorchus) ishiharai Ohbayashi, 1936 と旧組合せ Glaphyra (Glaphyra) ishiharai (Ohbayashi, 1936) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22091,species-22092,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 142の同一レコードに現行名 Molorchus (Molorchus) kobotokensis Ohbayashi, 1963 と旧組合せ Glaphyra (Glaphyra) kobotokensis (Ohbayashi, 1963) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22093,species-22094,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 143の同一レコードに現行名 Molorchus (Molorchus) kojimai Matsushita, 1939 と旧組合せ Epania kojimai Matsushita, 1939 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22095,species-22096,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 144-1の同一レコードに現行名 Molorchus (Molorchus) nitida nitida Obika, 1973 と旧組合せ Glaphyra (Glaphyra) nitida nitida (Obika, 1973) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22102,species-22103,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 146-1の同一レコードに現行名 Molorchus (Molorchus) takeuchii takeuchii K. Ohbayashi, 1937 と旧組合せ Glaphyra (Glaphyra) takeuchii takeuchii (K. Ohbayashi, 1937) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22105,species-22106,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 147の同一レコードに現行名 Molorchus (Yamatoglaphyra) hattorii K. Ohbayashi, 1953 と旧組合せ Glaphyra (Yamatoglaphyra) hattorii (K. Ohbayashi, 1953) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22108,species-22109,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 149の同一レコードに現行名 Comusia testacea (Gressitt, 1937) と旧組合せ Ogasawara testacea Gressitt, 1937 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22193,species-22194,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 11の同一レコードに現行名 Alosterna chalybeella (Bates, 1884) と旧組合せ Grammoptera chalybeella Bates, 1884 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22203,species-22204,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 17の同一レコードに現行名 Anoplodera (Anoploderomorpha) excavata (Bates, 1884) と旧組合せ Anoploderomorpha excavata (Bates, 1884) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22205,species-22206,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 18の同一レコードに現行名 Anoplodera (Anoploderomorpha) monticola (Nakane, 1955) と旧組合せ Anoploderomorpha monticola Nakane, 1955 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22234,species-22235,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 37の同一レコードに現行名 Leptostrangalia hosohana (Ohbayashi, 1952) と旧組合せ Parastrangalis hosohana (Ohbayashi, 1952) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22261,species-22262,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 53の同一レコードに現行名 Macroleptura regalis (Bates, 1884) と旧組合せ Leptura regalis (Bates, 1884) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22276,species-22277,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 62の同一レコードに現行名 Pachytodes cometes (Bates, 1884) と旧組合せ Judolia cometes (Bates, 1884) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22291,species-22292,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 74の同一レコードに現行名 Pygostrangalia dulcis (Bates, 1884) と旧組合せ Mimostrangalia dulcis (Bates, 1884) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22293,species-22294,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 75の同一レコードに現行名 Pygostrangalia kurosonensis (Ohbayashi, 1936) と旧組合せ Mimostrangalia kurosonensis (Ohbayashi, 1936) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22299,species-22300,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 79の同一レコードに現行名 Stictoleptura (Aredolpona) succedanea (Lewis, 1879) と旧組合せ Corymbia succedanea (Lewis, 1879) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22302,species-22303,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 81の同一レコードに現行名 Stictoleptura (Stictoleptura) pyrrha (Bates, 1884) と旧組合せ Brachyleptura pyrrha (Bates, 1884) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22329,species-22330,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 99-1の同一レコードに現行名 Cryptopidonia amentata amentata (Bates, 1884) と旧組合せ Pidonia (Cryptopidonia) amentata amentata (Bates, 1884) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22334,species-22335,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 100の同一レコードに現行名 Cryptopidonia approximata (Kuboki, 1977) と旧組合せ Pidonia (Cryptopidonia) approximata Kuboki, 1977 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22336,species-22337,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 101の同一レコードに現行名 Cryptopidonia hamadryas (Kuboki, 1977) と旧組合せ Pidonia (Cryptopidonia) hamadryas Kuboki, 1977 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22338,species-22339,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 102の同一レコードに現行名 Cryptopidonia hayashii (Koike, 1971) と旧組合せ Pidonia (Cryptopidonia) hayashii Koike, 1971 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22341,species-22342,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 103-2の同一レコードに現行名 Cryptopidonia hylophila affinis (Kuboki, 1982) と旧組合せ Pidonia (Cryptopidonia) hylophila affinis Kuboki, 1982 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22346,species-22347,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 106の同一レコードに現行名 Cryptopidonia kurosawai (Ohbayashi & Hayashi, 1960) と旧組合せ Pidonia (Cryptopidonia) kurosawai Ohbayashi & Hayashi, 1960 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22348,species-22349,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 107の同一レコードに現行名 Cryptopidonia lyra (Kuboki & Suzuki, 1978) と旧組合せ Pidonia (Cryptopidonia) lyra Kuboki & Suzuki, 1978 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22352,species-22353,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 109の同一レコードに現行名 Cryptopidonia miwai (Matsushita, 1933) と旧組合せ Pidonia (Cryptopidonia) miwai (Matsushita, 1933) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22361,species-22362,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 114の同一レコードに現行名 Omphalodera puziloi (Solsky, 1873) と旧組合せ Pidonia (Omphalodera) puziloi (Solsky, 1873) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22368,species-22369,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 118の同一レコードに現行名 Paleopidonia chujoi (Ohbayashi & Hayashi, 1960) と旧組合せ Pidonia (Paleopidonia) chujoi Ohbayashi & Hayashi, 1960 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22370,species-22371,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 119の同一レコードに現行名 Paleopidonia fujisana (Obika & Kusama, 1971) と旧組合せ Pidonia (Paleopidonia) fujisana Obika & Kusama, 1971 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22372,species-22373,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 120の同一レコードに現行名 Paleopidonia oyamae (Oyama, 1908) と旧組合せ Pidonia (Paleopidonia) oyamae (Oyama, 1908) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22378,species-22379,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 125の同一レコードに現行名 Pseudopidonia gibbicollis (Blessig, 1873) と旧組合せ Pidonia (Pseudopidonia) gibbicollis (Blessig, 1873) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22380,species-22381,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 126の同一レコードに現行名 Pseudopidonia grallatrix (Bates, 1884) と旧組合せ Pidonia (Pseudopidonia) grallatrix (Bates, 1884) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22384,species-22385,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 128の同一レコードに現行名 Pseudopidonia kyushuensis (Yamawaki, 1959) と旧組合せ Pidonia (Pseudopidonia) kyushuensis Yamawaki, 1959 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22386,species-22387,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 129の同一レコードに現行名 Pseudopidonia leucanthophila (Kuboki, 1978) と旧組合せ Pidonia (Pseudopidonia) leucanthophila Kuboki, 1978 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22388,species-22389,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 130-1の同一レコードに現行名 Pseudopidonia limbaticollis limbaticollis (Pic, 1902) と旧組合せ Pidonia (Pseudopidonia) limbaticollis limbaticollis (Pic, 1902) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22402,species-22403,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 134の同一レコードに現行名 Pseudopidonia michinokuensis (Hayashi, 1981) と旧組合せ Pidonia (Pseudopidonia) michinokuensis Hayashi, 1981 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22408,species-22409,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 138-1の同一レコードに現行名 Pseudopidonia neglecta neglecta (Kuboki, 1982) と旧組合せ Pidonia (Pseudopidonia) neglecta neglecta Kuboki, 1982 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22411,species-22412,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 139-1の同一レコードに現行名 Pseudopidonia obscurior obscurior (Pic, 1901) と旧組合せ Pidonia (Pseudopidonia) obscurior obscurior Pic, 1901 を併記。duplicate側 hostplants=0, general_notes=0。"
species-22418,species-22419,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-3-%E3%83%8F%E3%83%8A%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 143の同一レコードに現行名 Pseudopidonia pallida (K. Ohbayashi & Hayashi, 1960) と旧組合せ Pidonia (Pseudopidonia) pallida K. Ohbayashi & Hayashi, 1960 を併記。duplicate側 hostplants=0, general_notes=0。"
