"account_audit_id","source","pdf_file","source_pdf_sha256","pdf_page","printed_page","ocr_line_start","ocr_line_end","heading_raw","heading_japanese","heading_scientific_raw","host_field_status","host_candidates","emergence_candidates","ecology_candidate_count","boundary_flags","possible_ids","coverage_class","review_state","decision","target_insect_ids","related_action_ids","reviewed_on","review_note"
"KUA-ACCOUNT-011","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","15","362-363","1284","1295","コアオハナカミキリ Aemaeops angusticolis （GEBLER, 1833）","コアオハナカミキリ","Aemaeops angusticolis","source_states_unknown","未知・","9月（極東ロシアでは6〜8月）","3","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-012","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","17","366-367","1502","1523","ハクサンシラネヒメハナカミキリ Pidonid （Pidoria） obseurior hakustna OHBAYASHI et HAYASHI,1960","ハクサンシラネヒメハナカミキリ","Pidonid （Pidoria） obseurior hakustna","candidate_present","ナナカマド","6〜8月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-013","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","18","368-369","1573","1583","ヒスイヒメハナカミキリ Pidoaia （Pidonic） tsutsult KUBOKI, 1996","ヒスイヒメハナカミキリ","Pidoaia （Pidonic） tsutsult","candidate_present","木知","5〜6月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-014","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","19","370-371","1638","1651","ワイリヒメハナカミキリ Pidouia （Pidonia） signata MATSUSHITA, 1933","ワイリヒメハナカミキリ","Pidouia （Pidonia） signata","source_states_unknown","未知","7〜8月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-015","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","20","372-373","1732","1737","イシヅチビメハナカミキリ Pidonin （Pidonic） shikokensis CatIo ct HAYASI！","イシヅチビメハナカミキリ","Pidonin （Pidonic） shikokensis","","","","0","","","no_actionable_host_or_ecology","inventory_screened_only","no_publishable_host_or_ecology_candidate","","","2026-07-11","今回の抽出候補には公開可能な寄主・生態情報がなく、追加対象外。"
"KUA-ACCOUNT-016","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","20","372-373","1749","1756","アマノイシヅチヒメハナカミキリ Pidonic （Pidonia） shikokeasis amanoi HAYASHI, 1969","アマノイシヅチヒメハナカミキリ","Pidonic （Pidonia） shikokeasis amanoi","","","","0","","","no_actionable_host_or_ecology","inventory_screened_only","no_publishable_host_or_ecology_candidate","","","2026-07-11","今回の抽出候補には公開可能な寄主・生態情報がなく、追加対象外。"
"KUA-ACCOUNT-017","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","20","372-373","1771","1778","ヒゼンヒミコヒメハナカミキリ Pidania （Pidenic） neglecta hizend IMASAKA et AMANO,2001","ヒゼンヒミコヒメハナカミキリ","Pidania （Pidenic） neglecta hizend","source_states_unknown","未知","","2","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-018","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","21","374-375","1819","1838","フトエリマキヒメハナカミキリ Pidaia （Pidonic） himehana S. SAiro， 1992","フトエリマキヒメハナカミキリ","Pidaia （Pidonic） himehana","candidate_present","オオバヤナギ;オノエヤナギ;ミズナラ;カツラ;ダケカンバ","5〜811","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-019","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","22","376-377","1882","1890","サイゴクヒメハナカミキリ Pidonin （Pidonid） facata KUROKI, 1997","サイゴクヒメハナカミキリ","Pidonin （Pidonid） facata","source_states_unknown","未知・","","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-020","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","22","376-377","1909","1926","カクムネビメハナカミキリ Pidonia （Pidonia） orientalis MATSUSHITA, 1933","カクムネビメハナカミキリ","Pidonia （Pidonia） orientalis","candidate_present","ダケカンバ;ナナカマド;針葉様の一種","6〜8月","0","","","included_action","original_pdf_visually_verified","include_safe_actions","species-22417","KUA-001","2026-07-11","原PDFで見出し、6〜8月、寄主欄の境界を確認。未同定の「針葉樹の一種」は追加せず、既存2寄主を保持。"
"KUA-ACCOUNT-021","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","23","378-379","2012","2022","オオミネビメハナカミキリ Piclonid （Pidonia） okminesana MiZUNO,1987","オオミネビメハナカミキリ","Piclonid （Pidonia） okminesana","source_states_unknown","未知","6〜7月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-022","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","24","380-381","2088","2093","チャイロビメハナカミキリ Pidonia （Mumon） aegrota （BATES）","チャイロビメハナカミキリ","Pidonia （Mumon） aegrota","","","","0","","","no_actionable_host_or_ecology","inventory_screened_only","no_publishable_host_or_ecology_candidate","","","2026-07-11","今回の抽出候補には公開可能な寄主・生態情報がなく、追加対象外。"
"KUA-ACCOUNT-023","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","24","380-381","2121","2133","サドチャイロヒメハナカミキリ Fidoaia （Mumon） teleplia KUBOKI,1996","サドチャイロヒメハナカミキリ","Fidoaia （Mumon） teleplia","source_states_unknown","未知","5〜6月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-024","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","24","380-381","2134","2152","フタオビヒメハナカミキリ Pidnnid （Omphaindera） puzini （SOLSKY, 1873）","フタオビヒメハナカミキリ","Pidnnid （Omphaindera） puzini","source_states_unknown","未知","低地では4〜6月、高地では5〜7月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-025","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","25","382-383","2173","2196","ワルサワダケビメハナカミキリ Pidonia lOmphalodera） warusaweadakensis OHBAYASEl,1959","ワルサワダケビメハナカミキリ","Pidonia lOmphalodera","","","7〜8月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-026","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","25","382-383","2217","2228","チュウジョウビメハナカミキリ Pidenia （Puleopidonic） chuini OHIAYASHI El HAYASHI,1960）","チュウジョウビメハナカミキリ","Pidenia （Puleopidonic） chuini","","","","2","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-027","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","26","384-385","2320","2343","ムネアカヨコモンビメハナカミキリ Picomin （Crypopidomic） masakii HAWASHI， 1955","ムネアカヨコモンビメハナカミキリ","Picomin （Crypopidomic） masakii","candidate_present","オオカメノキ","6〜8月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-028","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","26","384-385","2344","2359","シラユキヒメハナカミキリ Pidonia （Crypopidonia） dealbata KIBOKL, 1981","シラユキヒメハナカミキリ","Pidonia （Crypopidonia） dealbata","source_states_unknown","未知","6〜8月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-029","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","27","386-387","2360","2372","ニセヨコモンヒメハナカミキリ Pideria （Crypiopidouic） similima OIIBAYASHI et HAYASHI, 1960","ニセヨコモンヒメハナカミキリ","Pideria （Crypiopidouic） similima","candidate_present","ズミ","低山地では5〜6月、より高地では6〜7月中旬","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-030","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","27","386-387","2390","2396","キュウシュウイヨヒメハナカミキリ Pidenia （Cryptopidonic） asophile affinis KEEOKI, 1982","キュウシュウイヨヒメハナカミキリ","Pidenia （Cryptopidonic） asophile affinis","candidate_present","木知","6〜7月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-031","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","27","386-387","2428","2445","クロヨコモンビメハナカミキリ Pidunia （Cryptopidonic） hayashii KoIKE, 1971","クロヨコモンビメハナカミキリ","Pidunia （Cryptopidonic） hayashii","candidate_present","木知","7〜8月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-032","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","28","388-389","2476","2483","アワシマセスジヒメハナカミキリ Pidonia （Cryptopidoria） aentata awashimana KUBOKI, 1993","アワシマセスジヒメハナカミキリ","Pidonia （Cryptopidoria） aentata awashimana","source_states_unknown","未知","5〜6月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-033","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","28","388-389","2484","2508","サドセスジヒメハナカミキリ Pitunia （Cryptopidonic） sadoensis KUBOKI， 1993","サドセスジヒメハナカミキリ","Pitunia （Cryptopidonic） sadoensis","candidate_present","米知","","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-034","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","28","388-389","2509","2511","ケプトハナカミキリ Caraphia lepturoides （MATSt:SHITA, 1933）","ケプトハナカミキリ","Caraphia lepturoides","","","","0","","","no_actionable_host_or_ecology","inventory_screened_only","no_publishable_host_or_ecology_candidate","","","2026-07-11","今回の抽出候補には公開可能な寄主・生態情報がなく、追加対象外。"
"KUA-ACCOUNT-035","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","30","392-393","2687","2689","ヘリグロホリハナカミキリ Onbuyashia sigramarginata （HAYASHI）","ヘリグロホリハナカミキリ","Onbuyashia sigramarginata","candidate_present","ハイノキ科ハイノキ属．［p. 16;243）","","0","","","included_action","original_pdf_visually_verified","include_safe_actions","species-22272;species-22273","KUA-002;KUA-003","2026-07-11","原PDFの種共通欄が次の2亜種に先行し、寄主をハイノキ科ハイノキ属と明記することを確認。"
"KUA-ACCOUNT-036","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","31","394-395","2726","2741","ヤクシマヘリウスハナカミキリ Pyrrhona ineticolny iakakuwai KUSAMA,1971","ヤクシマヘリウスハナカミキリ","Pyrrhona ineticolny iakakuwai","","","5〜6月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-037","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","31","394-395","2800","2808","スミイロハナカミキリ Nivellia extensa GEBLER","スミイロハナカミキリ","Nivellia extensa","","","","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-038","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","32","396-397","2809","2814","スミイロハナカミキリ Nivelin extenst yuzawai SHIMOMIRA et TOYOSHIMA, 1988","スミイロハナカミキリ","Nivelin extenst yuzawai","candidate_present","","7〜8月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-039","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","32","396-397","2815","2827","エゾスミイロハナカミキリ Nivellia exensa umbratily SHEMOMIRa et TOYOSHIMA， 1988","エゾスミイロハナカミキリ","Nivellia exensa umbratily","candidate_present","エゾマッ","7〜8月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-040","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","33","398-399","2917","2930","キュウシュウヌバタマハナカミキリ Judalidia kyushuensis KUSAKABF el N， OHUAYASHI,1992","キュウシュウヌバタマハナカミキリ","Judalidia kyushuensis","source_states_unknown","未知","5〜7月・","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-041","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","33","398-399","2973","2990","から記録された Anastrunsaliu dissinalisのに体については確認されていない。【成虫出現期】4~～6月.","から記録された","Anastrunsaliu dissinalis","candidate_present","リュウキュウマツ","4〜〜6月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-042","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","34","400-401","3018","3029","プチヒゲハナカミキリ Stictolepluaru varicornis （DAIMAN, 1817）","プチヒゲハナカミキリ","Stictolepluaru varicornis","candidate_present","トドマツ;オオシラビリ;シラビソ;アカエゾマッ","","2","","","included_action","original_pdf_visually_verified","include_safe_actions","species-22304","KUA-004;KUA-005","2026-07-11","原PDFでOCR和名・学名を訂正し、既存索引にないシラビソと客観的な成虫行動を採用。"
"KUA-ACCOUNT-043","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","34","400-401","3067","3076","種 Lentere fesserulaは Sictdlentureに入れるべきであるとして、Batesicte 属全体を Sticlcleptere iT","種","Lentere fesserula","candidate_present","ダケカンバ;ブナ","","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-044","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","35","402-403","3141","3147","モウゼンハナカミキリ Ephies japonicus japonicus NAKANE et CHBAYASTEL,1961","モウゼンハナカミキリ","Ephies japonicus japonicus","","","7〜8月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-045","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","35","402-403","3148","3161","リュウキュウモウモンハナカミキリ Eplies japanicus okinawanus HAYASHI, 1968","リュウキュウモウモンハナカミキリ","Eplies japanicus okinawanus","candidate_present","ハイノキ科","6〜8月1","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-046","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","36","404-405","3214","3226","ヤツボシハナカミキリ Lenturu mimita BAIF:S, 1884","ヤツボシハナカミキリ","Lenturu mimita","","","","0","","","no_actionable_host_or_ecology","inventory_screened_only","no_publishable_host_or_ecology_candidate","","","2026-07-11","今回の抽出候補には公開可能な寄主・生態情報がなく、追加対象外。"
"KUA-ACCOUNT-047","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","36","404-405","3227","3231","に分布する Lepuaru areuacを祖先として氷河期に北から日本に侵入したグループと、西から日本に侵","に分布する","Lepuaru areuac","candidate_present","各種の針葉樹","5〜8月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-048","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","37","406-407","3285","3291","シコクヨツスジハナカミキリ Leptura wenraceofasciata ochrurele BALF:8， 1873","シコクヨツスジハナカミキリ","Leptura wenraceofasciata ochrurele","","","6〜8月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
