audit_id,audit_batch,volume,source_pdf_file,source_pdf_sha256,reviewed_on,plant_name,scientific_name,family,family_latin,genus_jp,genus_scientific,habit,height,flower_period,distribution,habitat,similar_taxa,distinguishing_features,printed_page,source,pdf_page,extraction_method,decision,remove_source_plant_name,review_note
wildplants-v1-opening-0011,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ヒメバラモミ,Picea maximowiczii var. maximowiczii,マツ科,PINACEAE,トウヒ属,Picea,常緑高木,約40 m,,本州中部（秩父山地・八ヶ岳・南アルプス）,亜高山帯の石灰岩地,アズサバラモミ,葉は12～18 mm、球果は7～9 cmで、アズサバラモミより大きい,37,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0012,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ハリモミ,Picea torano,マツ科,PINACEAE,トウヒ属,Picea,常緑高木,約30 m,,本州（福島県以南）・四国・九州,,,,37,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0013,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,イラモミ,Picea alcoquiana,マツ科,PINACEAE,トウヒ属,Picea,常緑高木,約30 m,,本州（福島県以南から岐阜県東部）,亜高山帯,,,37,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0014,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ヤツガタケトウヒ,Picea koyamae,マツ科,PINACEAE,トウヒ属,Picea,常緑高木,約30 m,,八ヶ岳・南アルプス北西部,山地帯上部の石灰岩地,,,37,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0015,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,クロマツ,Pinus thunbergii,マツ科,PINACEAE,マツ属,Pinus,常緑高木,約40 m,,本州・四国・九州・琉球（トカラ列島まで）・朝鮮半島南部,海岸に多く、関東地方以西では内陸の標高800～900 mにも生育,,,38,日本の野生植物 第1巻,20,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0016,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,アカマツ,Pinus densiflora,マツ科,PINACEAE,マツ属,Pinus,常緑高木,約30 m,,北海道南部・本州・四国・九州（屋久島まで）・朝鮮半島・中国東北部,,,,38,日本の野生植物 第1巻,20,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0017,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,リュウキュウマツ,Pinus luchuensis,マツ科,PINACEAE,マツ属,Pinus,常緑高木,約25 m,,悪石島から与那国島,,,,38,日本の野生植物 第1巻,20,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0018,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ハイマツ,Pinus pumila,マツ科,PINACEAE,マツ属,Pinus,常緑低木,1～2 m,,北海道・本州北部～中部（光岳まで）・千島・樺太・カムチャツカ・東シベリア・朝鮮半島・中国東北部,高山帯,,,38,日本の野生植物 第1巻,20,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0019,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,チョウセンゴヨウ,Pinus koraiensis,マツ科,PINACEAE,マツ属,Pinus,常緑高木,約30 m,,本州（栃木県から岐阜県）・四国（東赤石山）・朝鮮半島・中国東北部・ウスリー,山地,,,38,日本の野生植物 第1巻,20,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0020,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ヤクタネゴヨウ,Pinus amamiana,マツ科,PINACEAE,マツ属,Pinus,常緑高木,約25 m,,屋久島・種子島,,タカネゴヨウ,若い長枝は赤褐色で無毛。葉は長く、球果と種子は大きい,38,日本の野生植物 第1巻,20,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0021,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ゴヨウマツ,Pinus parviflora var. parviflora,マツ科,PINACEAE,マツ属,Pinus,常緑高木,約30 m,,北海道南部・本州・四国・九州・鬱陵島,,,,38,日本の野生植物 第1巻,20,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0022,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,トガサワラ,Pseudotsuga japonica,マツ科,PINACEAE,トガサワラ属,Pseudotsuga,常緑高木,約30 m,,紀伊半島中部以南・四国（高知県東部）,深山,,,39,日本の野生植物 第1巻,20,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0023,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ツガ,Tsuga sieboldii,マツ科,PINACEAE,ツガ属,Tsuga,常緑高木,25～30 m,,本州（主に関東地方以西）・四国・九州（屋久島まで）・鬱陵島,山地,,,39,日本の野生植物 第1巻,20,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0024,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,コメツガ,Tsuga diversifolia,マツ科,PINACEAE,ツガ属,Tsuga,常緑高木,20～25 m,,本州（八甲田山から紀伊半島）・四国・九州（祖母山）,,ツガ,ツガより高所に生え、純林をつくることがある,39,日本の野生植物 第1巻,20,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。比較文は生育環境欄から識別欄へ分離。
wildplants-v1-opening-0025,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ナギ,Nageia nagi,マキ科,PODOCARPACEAE,ナギ属,Nageia,常緑高木,約20 m,,本州（三重県・和歌山県・山口県）・四国・九州・琉球・台湾,,,,40,日本の野生植物 第1巻,21,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0026,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,イヌマキ,Podocarpus macrophyllus,マキ科,PODOCARPACEAE,マキ属,Podocarpus,常緑高木,約20 m,,本州（関東地方以西の太平洋側）・四国・九州・琉球・台湾・中国,海岸に近い山地,,,40,日本の野生植物 第1巻,21,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0027,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,コウヤマキ,Sciadopitys verticillata,コウヤマキ科,SCIADOPITYACEAE,コウヤマキ属,Sciadopitys,常緑高木,30～40 m,,本州（福島県北西部以南）・四国・九州（宮崎県）,,,,41,日本の野生植物 第1巻,21,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0028,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ヒノキ,Chamaecyparis obtusa,ヒノキ科,CUPRESSACEAE,ヒノキ属,Chamaecyparis,常緑高木,約30 m,,本州（福島県いわき市以南）・四国・九州（屋久島まで）,山地,,,42,日本の野生植物 第1巻,22,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0029,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,サワラ,Chamaecyparis pisifera,ヒノキ科,CUPRESSACEAE,ヒノキ属,Chamaecyparis,常緑高木,約30 m,,本州（岩手県以南）・九州,,,,42,日本の野生植物 第1巻,22,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0030,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,スギ,Cryptomeria japonica var. japonica,ヒノキ科,CUPRESSACEAE,スギ属,Cryptomeria,常緑高木,40～50 m,,本州（日本海側は津軽地方、太平洋側は岩手県南部が北限）・四国・九州（屋久島まで）,主に太平洋側,,,43,日本の野生植物 第1巻,22,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0031,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,イブキ,Juniperus chinensis var. chinensis,ヒノキ科,CUPRESSACEAE,ネズミサシ属,Juniperus,常緑高木または大低木,15～20 m,,本州（岩手県以南）・四国・九州の太平洋側・朝鮮半島・中国・モンゴル,,,,43,日本の野生植物 第1巻,22,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0032,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ネズミサシ,Juniperus rigida,ヒノキ科,CUPRESSACEAE,ネズミサシ属,Juniperus,常緑低木または小高木,最大10 m,,本州（岩手県以南）・四国・九州・朝鮮半島・中国,日当たりのよい丘陵地や花崗岩地,,,43,日本の野生植物 第1巻,22,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0033,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ハイネズ,Juniperus conferta,ヒノキ科,CUPRESSACEAE,ネズミサシ属,Juniperus,常緑低木,,,北海道・本州・九州（種子島まで）・樺太,海岸の砂地,,,43,日本の野生植物 第1巻,22,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0034,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ミヤマネズ,Juniperus communis var. nipponica,ヒノキ科,CUPRESSACEAE,ネズミサシ属,Juniperus,常緑低木,,,北海道（アポイ岳）・本州北部,高山,,,43,日本の野生植物 第1巻,22,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0035,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,シマムロ,Juniperus taxifolia var. taxifolia,ヒノキ科,CUPRESSACEAE,ネズミサシ属,Juniperus,常緑低木または小高木,最大13 m,,小笠原諸島（父島・母島）,乾燥した岩場,オキナワハイネズ,シマムロの球果は7～8 mm。オキナワハイネズは海岸砂地をはって生え、球果は10～12 mm,44,日本の野生植物 第1巻,23,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0036,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,クロベ,Thuja standishii,ヒノキ科,CUPRESSACEAE,クロベ属,Thuja,常緑高木,約30 m,,本州・四国,中部地方以北の山地に多い,,,44,日本の野生植物 第1巻,23,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0037,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,アスナロ,Thujopsis dolabrata var. dolabrata,ヒノキ科,CUPRESSACEAE,アスナロ属,Thujopsis,常緑高木,約30 m,,本州・四国・九州,,,,44,日本の野生植物 第1巻,23,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0038,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,イヌガヤ,Cephalotaxus harringtonia var. harringtonia,イチイ科,TAXACEAE,イヌガヤ属,Cephalotaxus,常緑小高木または低木,8～10 m,,本州（陸前高田市以南）・四国・九州（屋久島まで）・朝鮮半島・中国東北部,,,,45,日本の野生植物 第1巻,23,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0039,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,イチイ,Taxus cuspidata,イチイ科,TAXACEAE,イチイ属,Taxus,常緑高木,15～20 m,,北海道・本州・四国・九州,,,,46,日本の野生植物 第1巻,24,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0040,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,カヤ,Torreya nucifera var. nucifera,イチイ科,TAXACEAE,カヤ属,Torreya,常緑高木,最大25 m,,本州（宮城県以南）・四国・九州（屋久島まで）,,,,46,日本の野生植物 第1巻,24,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0041,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ジュンサイ,Brasenia schreberi,ジュンサイ科,CABOMBACEAE,ジュンサイ属,Brasenia,多年生水草,,6～8月,北海道から琉球,酸性で有機質に富む底質の池沼,,,47,日本の野生植物 第1巻,24,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0042,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,フサジュンサイ,Cabomba caroliniana,ジュンサイ科,CABOMBACEAE,ハゴロモモ属,Cabomba,多年生水草,,夏から秋初め,北アメリカ南東部原産で、日本の暖地に帰化,池沼,,,47,日本の野生植物 第1巻,24,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0043,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,オニバス,Euryale ferox,スイレン科,NYMPHAEACEAE,オニバス属,Euryale,一年生水草,,8～10月,本州（宮城県以南）・四国・九州,低地の富栄養な池沼,,,48,日本の野生植物 第1巻,25,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0044,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,シモツケコウホネ,Nuphar submersa,スイレン科,NYMPHAEACEAE,コウホネ属,Nuphar,多年生水草,,6～10月,栃木県固有,水中葉のみをつけ、浮水葉と抽水葉を生じない,,,49,日本の野生植物 第1巻,25,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
