audit_id,record_id,insect_id,japanese_name,reference,note_type,old_content,approved_content,pdf_file,pdf_sha256,pdf_page,printed_page,evidence,decision,reviewed_on
H1-EDITORIAL-011,note-1000467,species-2168,クロマダラシロヒメハマキ,日本のハマキガ1,生態情報,幼虫は葉を葉巻状に巻く．幼生期については，駒井ら(2011)に詳しい,幼虫は葉を葉巻状に巻く,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,21,20,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-012,note-1000506,species-2188,トウヒツヅリヒメハマキ,日本のハマキガ1,生態情報,幼虫は針葉を綴る．幼生期については，駒井ら(2011)に詳しい,幼虫は針葉を綴る,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,25,24,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-013,note-1000555,species-2205,トドマツアミメヒメハマキ,日本のハマキガ1,生態情報,幼虫は最初，針葉の先端を紡錘状に，やがて中齢以降は針葉を粗く綴る．幼生期については，駒井ら(2011)に詳しい,幼虫は最初，針葉の先端を紡錘状に，やがて中齢以降は針葉を粗く綴る,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,33,32,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-014,note-1000701,species-2226,マツトビマダラシンムシ,日本のハマキガ1,生態情報,幼虫はマツ類の若い球果や新梢に潜る．幼生期については，駒井ら(2011)に詳しい,幼虫はマツ類の若い球果や新梢に潜る,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,58,57,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-015,note-1000592,species-2230,マツツマアカシンムシ,日本のハマキガ1,生態情報,幼虫はマツ類の新梢や球果に潜る．幼生期については，駒井ら(2011)に詳しい,幼虫はマツ類の新梢や球果に潜る,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,38,37,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-016,note-1000692,species-2234,ツマクロテンヒメハマキ,日本のハマキガ1,生態情報,幼虫は新梢や球果に潜る．幼生期については，駒井ら(2011)に詳しい,幼虫は新梢や球果に潜る,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,57,56,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-017,note-1000652,species-2238,バラシロヒメハマキ,日本のハマキガ1,生態情報,幼虫はノイバラなどの新葉を粗く綴る．園芸バラの害虫としても知られる．幼生期については，駒井ら(2011)に詳しい,幼虫はノイバラなどの新葉を粗く綴る．園芸バラの害虫としても知られる,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,49,48,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-018,note-1000646,species-2243,キガシラアカネヒメハマキ,日本のハマキガ1,生態情報,幼虫は寄主の先端葉を強く曲げて綴る．幼生期については，駒井ら(2011)に詳しい,幼虫は寄主の先端葉を強く曲げて綴る,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,48,47,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-019,note-1000662,species-2247,ヨモギネムシガ,日本のハマキガ1,生態情報,幼虫はヨモギの地際部の茎に食入し，内部を摂食する．蛹化は茎内部で行われる．幼虫越冬．幼生期については，駒井ら(2011)に詳しい,幼虫はヨモギの地際部の茎に食入し，内部を摂食する．蛹化は茎内部で行われる．幼虫越冬,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,51,50,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-020,note-1000668,species-2250,スギヒメハマキ,日本のハマキガ1,生態情報,幼虫はブタクサなどの茎に潜り，内部を摂食する．加害を受けた部分は膨らみ，虫こぶとなる．蛹化は虫こぶ内で行われる．幼虫越冬．幼生期については，駒井ら(2011)に詳しい,幼虫はブタクサなどの茎に潜り，内部を摂食する．加害を受けた部分は膨らみ，虫こぶとなる．蛹化は虫こぶ内で行われる．幼虫越冬,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,52,51,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-021,note-1000642,species-2258,オオツマキクロヒメハマキ,日本のハマキガ1,生態情報,幼虫はエゴノキでは数枚の葉を，ハクウンボクでは1枚の葉を葉巻状に巻く．幼生期については，駒井ら(2011)に詳しい,幼虫はエゴノキでは数枚の葉を，ハクウンボクでは1枚の葉を葉巻状に巻く,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,47,46,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-022,note-1000644,species-2259,ツツジヒメシンクイ,日本のハマキガ1,生態情報,幼虫はヒラドツツジの当年枝の先端に食入する．幼虫越冬．幼生期については，駒井ら(2011)に詳しい,幼虫はヒラドツツジの当年枝の先端に食入する．幼虫越冬,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,48,47,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-023,note-1000626,species-2276,トビモンシロヒメハマキ,日本のハマキガ1,生態情報,幼虫は茎の先端に食入し，虫こぶをつくる．蛹化は虫こぶ内で行われる．幼虫越冬．幼生期については，駒井ら(2011)に詳しい,幼虫は茎の先端に食入し，虫こぶをつくる．蛹化は虫こぶ内で行われる．幼虫越冬,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,45,44,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-024,note-1000637,species-2282,オヒルギヒメハマキ,日本のハマキガ1,生態情報,幼虫はいわゆる胎生種子の実生の中に食入し，蛹化もその中で行われる．幼生期については，駒井ら(2011)に詳しい,幼虫はいわゆる胎生種子の実生の中に食入し，蛹化もその中で行われる,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,46,45,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-025,note-1000725,species-2300,オオセシロヒメハマキ,日本のハマキガ1,生態情報,幼虫はソヨゴなどのモチノキ科植物の葉を綴る．幼虫越冬．幼生期については，駒井ら(2011)に詳しい,幼虫はソヨゴなどのモチノキ科植物の葉を綴る．幼虫越冬,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,63,62,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-026,note-1000735,species-2303,アケビヒメハマキ,日本のハマキガ1,生態情報,幼虫はアケビの葉を綴る．幼生期については，駒井ら(2011)に詳しい,幼虫はアケビの葉を綴る,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,65,64,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-027,note-1000729,species-2307,ソヨゴチビヒメハマキ,日本のハマキガ1,生態情報,秋に，ソヨゴの果実を綴り，中に潜っている幼虫が発見されている．幼生期については，駒井ら(2011)に詳しい,秋に，ソヨゴの果実を綴り，中に潜っている幼虫が発見されている,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,63,62,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-028,note-1000748,species-2310,ハリギリミドリヒメハマキ,日本のハマキガ1,生態情報,幼虫はリュウキュウハリギリの葉裏の葉脈沿いに絹糸で造られた巣中に潜み，葉の表面を摂食する．幼生期については，駒井ら(2011)に詳しい,幼虫はリュウキュウハリギリの葉裏の葉脈沿いに絹糸で造られた巣中に潜み，葉の表面を摂食する,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,68,67,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-029,note-1000532,species-2315,アオイヒメハマキ,日本のハマキガ1,生態情報,幼虫は果実や新芽に潜る．ワタの重要害虫で，ワタの苗木の生長点を加害する．幼生期については，駒井ら(2011)に詳しい,幼虫は果実や新芽に潜る．ワタの重要害虫で，ワタの苗木の生長点を加害する,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,30,29,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-030,note-1000711,species-2316,マキヒメハマキ,日本のハマキガ1,生態情報,年2〜3化．幼虫は，イヌマキなどの種子に食入する．ナギでの発生は少ない．幼生期については，駒井ら(2011)に詳しい,年2〜3化．幼虫は，イヌマキなどの種子に食入する．ナギでの発生は少ない,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,60,59,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-031,note-1000779,species-2317,フクギモグリヒメハマキ,日本のハマキガ1,生態情報,成虫は周年発生する．幼虫はフクギの新芽や葉を綴ったり，潜ったりする．幼生期については，駒井ら(2011)に詳しい,成虫は周年発生する．幼虫はフクギの新芽や葉を綴ったり，潜ったりする,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,74,73,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-032,note-1000781,species-2318,ショウベンノキヒメハマキ,日本のハマキガ1,生態情報,幼虫はショウベンノキの花柄に潜ったり，葉の縁を折りたたんだり，花蕾を綴ったりする．幼生期については，駒井ら(2011)に詳しい,幼虫はショウベンノキの花柄に潜ったり，葉の縁を折りたたんだり，花蕾を綴ったりする,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,74,73,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-033,note-1000778,species-2321,ハマゴウヒメシンクイ,日本のハマキガ1,生態情報,幼虫はハマゴウの当年枝に潜り，幼虫越冬．幼生期については，駒井ら(2011)に詳しい,幼虫はハマゴウの当年枝に潜り，幼虫越冬,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,73,72,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
