share_audit_id,source_audit_id,classification,source_species_group,source_japanese_name,source_mapped_insect_id,target_insect_ids,target_japanese_names,proposed_record_ids,excluded_target_insect_ids,plant_name,plant_family,canonical_reference,pdf_file,source_pdf_sha256,ocr_sha256,source_pdf_page,source_printed_page,source_ocr_line,decision,reviewed_on,source_review_note,shared_rationale,excluded_rationale
shared-KDB175183-0031,KDB175183-0031,historical_subspecies_concept_shared,Leptura ochraceofasciata,ヨツスジハナカミキリ,species-22251,species-22251;species-22253,ヨツスジハナカミキリ 基亜種;ヨツスジハナカミキリ 五島列島亜種,host-kamikiri-shared-c1b05687ce73;host-kamikiri-shared-2fc8380a3224,species-22252;species-22254,トウヒ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,177,687-688,16161,include_shared,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0032,KDB175183-0032,historical_subspecies_concept_shared,Aegosoma sinicum,ウスバカミキリ,1-1,1-1;1-2,ウスバカミキリ 基亜種;ウスバカミキリ 奄美沖縄亜種,host-kamikiri-shared-8a834faf7f4d;host-kamikiri-shared-ab56e16265fe,1-3;1-4,バラモミ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,178,688,16192,include_shared,2026-07-11,索引画像で「ウスバカミキリ Megopis sinica sinica」を確認。種解説（冊子p.340-341）と現行同種群を照合したが、種解説の名義亜種範囲は奄美・沖縄個体群を含むが、現行CSVでは2018年記載の奄美沖縄亜種 adachii が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0033,KDB175183-0033,historical_subspecies_concept_shared,Aegosoma sinicum,ウスバカミキリ,1-1,1-1;1-2,ウスバカミキリ 基亜種;ウスバカミキリ 奄美沖縄亜種,host-kamikiri-shared-33dec819e98e;host-kamikiri-shared-f787518cb6cc,1-3;1-4,トウヒ類,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,178,688,16206,include_shared,2026-07-11,索引画像で「ウスバカミキリ Megopis sinica sinica」を確認。種解説（冊子p.340-341）と現行同種群を照合したが、種解説の名義亜種範囲は奄美・沖縄個体群を含むが、現行CSVでは2018年記載の奄美沖縄亜種 adachii が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0034,KDB175183-0034,historical_subspecies_concept_shared,Aegosoma sinicum,ウスバカミキリ,1-1,1-1;1-2,ウスバカミキリ 基亜種;ウスバカミキリ 奄美沖縄亜種,host-kamikiri-shared-d555b5aa9c0a;host-kamikiri-shared-ca17e6646ee0,1-3;1-4,アカマツ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,178,688-689,16226,include_shared,2026-07-11,索引画像で「ウスバカミキリ Megopis sinica sinica」を確認。種解説（冊子p.340-341）と現行同種群を照合したが、種解説の名義亜種範囲は奄美・沖縄個体群を含むが、現行CSVでは2018年記載の奄美沖縄亜種 adachii が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。 段組み境界を画像で補正し、報告値「シロマツ」を実際の植物見出し「アカマツ」に修正。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0035,KDB175183-0035,historical_subspecies_concept_shared,Thranius variegatus,トラフホソバネカミキリ,species-22169,species-22169;species-22171,トラフホソバネカミキリ 基亜種;トラフホソバネカミキリ トカラ中之島亜種,host-kamikiri-shared-35711376904a;host-kamikiri-shared-ec05f6d9b0b3,species-22172,アカマツ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,178,688-689,16226,include_shared,2026-07-11,索引画像で「トラフホソバネカミキリ Thranius variegatus variegatus」を確認。種解説（冊子p.464-465）と現行同種群を照合したが、種解説の名義亜種分布はトカラ中之島を含むが、現行CSVでは2023年記載の中之島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。 段組み境界を画像で補正し、報告値「シロマツ」を実際の植物見出し「アカマツ」に修正。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0044,KDB175183-0044,species_level_shared,Boninella satoi,サトウオガサワラカミキリ,species-22491,species-22491;species-22492,サトウオガサワラカミキリ 基亜種;サトウオガサワラカミキリ 母島亜種,host-kamikiri-shared-129ecf0f9d6e;host-kamikiri-shared-ce730bd8b2ce,,リュウキュウマツ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,178,689,16285,include_shared,2026-07-11,索引画像で「サトウオガサワラカミキリ Boninella satoi」を確認。種解説（冊子p.648-650）と現行同種群を照合したが、種解説は Boninella satoi を母島を含む範囲で扱うが、現行CSVでは2009年記載の母島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典の寄主索引・種解説は亜種を限定しない種レベル記述のため、現行の全亜種へ共有する。,
shared-KDB175183-0048,KDB175183-0048,species_level_shared,Humeromaculatus quinquefasciatus,ヨツスジトラカミキリ,species-21998,species-21998;species-22000;species-22001,ヨツスジトラカミキリ 基亜種;ヨツスジトラカミキリ 先島諸島亜種;ヨツスジトラカミキリ 奄美沖縄亜種,host-kamikiri-shared-1329e90c46ea;host-kamikiri-shared-45d43a5f6a33;host-kamikiri-shared-86ad74965599,,クロマツ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,179,690,16325,include_shared,2026-07-11,索引画像で「ヨツスジトラカミキリ Chlorophorus quinquefasciatus」を確認。種解説（冊子p.498-499）と現行同種群を照合したが、種解説と索引は種レベル Chlorophorus quinquefasciatus として琉球列島を含む個体群を一括するが、現行CSVでは2023年に奄美沖縄・先島亜種が分離済み。産地不明の索引レコードは現行基亜種へ配分不能。,原典の寄主索引・種解説は亜種を限定しない種レベル記述のため、現行の全亜種へ共有する。,
shared-KDB175183-0047,KDB175183-0047,historical_subspecies_concept_shared,Leptura ochraceofasciata,ヨツスジハナカミキリ,species-22251,species-22251;species-22253,ヨツスジハナカミキリ 基亜種;ヨツスジハナカミキリ 五島列島亜種,host-kamikiri-shared-17e610ed9350;host-kamikiri-shared-d40ee8c33fa8,species-22252;species-22254,クロマツ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,179,690,16325,include_shared,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0051,KDB175183-0051,historical_subspecies_concept_shared,Leptura ochraceofasciata,ヨツスジハナカミキリ,species-22251,species-22251;species-22253,ヨツスジハナカミキリ 基亜種;ヨツスジハナカミキリ 五島列島亜種,host-kamikiri-shared-e96e18345e39;host-kamikiri-shared-7ab8ad8b353e,species-22252;species-22254,ツガ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,179,690-691,16363,include_shared,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0053,KDB175183-0053,historical_subspecies_concept_shared,Aegosoma sinicum,ウスバカミキリ,1-1,1-1;1-2,ウスバカミキリ 基亜種;ウスバカミキリ 奄美沖縄亜種,host-kamikiri-shared-1003a87d7fb2;host-kamikiri-shared-36eda8a1a2bf,1-3;1-4,マツ類,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,179,691,16391,include_shared,2026-07-11,索引画像で「ウスバカミキリ Megopis sinica sinica」を確認。種解説（冊子p.340-341）と現行同種群を照合したが、種解説の名義亜種範囲は奄美・沖縄個体群を含むが、現行CSVでは2018年記載の奄美沖縄亜種 adachii が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0055,KDB175183-0055,historical_subspecies_concept_shared,Leptura ochraceofasciata,ヨツスジハナカミキリ,species-22251,species-22251;species-22253,ヨツスジハナカミキリ 基亜種;ヨツスジハナカミキリ 五島列島亜種,host-kamikiri-shared-03bc4b241781;host-kamikiri-shared-0ced305c8942,species-22252;species-22254,マツ類,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,179,691,16391,include_shared,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0060,KDB175183-0060,species_level_shared,Humeromaculatus quinquefasciatus,ヨツスジトラカミキリ,species-21998,species-21998;species-22000;species-22001,ヨツスジトラカミキリ 基亜種;ヨツスジトラカミキリ 先島諸島亜種;ヨツスジトラカミキリ 奄美沖縄亜種,host-kamikiri-shared-a8d8ca50bf1a;host-kamikiri-shared-ad11e774f943;host-kamikiri-shared-e04b09db86fc,,スギ,ヒノキ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,179,691,16414,include_shared,2026-07-11,索引画像で「ヨツスジトラカミキリ Chlorophorus quinquefasciatus」を確認。種解説（冊子p.498-499）と現行同種群を照合したが、種解説と索引は種レベル Chlorophorus quinquefasciatus として琉球列島を含む個体群を一括するが、現行CSVでは2023年に奄美沖縄・先島亜種が分離済み。産地不明の索引レコードは現行基亜種へ配分不能。 原典の科見出しは旧体系の「スギ科」だが、サイトの現行分類に合わせ「ヒノキ科」に標準化。,原典の寄主索引・種解説は亜種を限定しない種レベル記述のため、現行の全亜種へ共有する。,
shared-KDB175183-0059,KDB175183-0059,historical_subspecies_concept_shared,Leptura ochraceofasciata,ヨツスジハナカミキリ,species-22251,species-22251;species-22253,ヨツスジハナカミキリ 基亜種;ヨツスジハナカミキリ 五島列島亜種,host-kamikiri-shared-0247d67b3c8e;host-kamikiri-shared-1e576b69e233,species-22252;species-22254,スギ,ヒノキ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,179,691,16414,include_shared,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。 原典の科見出しは旧体系の「スギ科」だが、サイトの現行分類に合わせ「ヒノキ科」に標準化。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0061,KDB175183-0061,species_level_shared,Humeromaculatus quinquefasciatus,ヨツスジトラカミキリ,species-21998,species-21998;species-22000;species-22001,ヨツスジトラカミキリ 基亜種;ヨツスジトラカミキリ 先島諸島亜種;ヨツスジトラカミキリ 奄美沖縄亜種,host-kamikiri-shared-9cc92cad021d;host-kamikiri-shared-333ecd06ad2e;host-kamikiri-shared-a3cc3fbecc4f,,コウヨウザン,スギ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,179,692,16444,include_shared,2026-07-11,索引画像で「ヨツスジトラカミキリ Chlorophorus quinquefasciatus」を確認。種解説（冊子p.498-499）と現行同種群を照合したが、種解説と索引は種レベル Chlorophorus quinquefasciatus として琉球列島を含む個体群を一括するが、現行CSVでは2023年に奄美沖縄・先島亜種が分離済み。産地不明の索引レコードは現行基亜種へ配分不能。,原典の寄主索引・種解説は亜種を限定しない種レベル記述のため、現行の全亜種へ共有する。,
