audit_id,insect_id,current_japanese_name,source_japanese_name,canonical_reference,pdf_file,source_pdf_sha256,ocr_sha256,pdf_page,printed_page,emergence,host_plants,ecology,source_taxon,legacy_japanese_name,legacy_scientific_name,legacy_route_name,decision,reviewed_on,review_note,merge_into_insect_id
kamikiri-a-009,species-22372,オヤマヒメハナカミキリ,オヤマヒメハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,25,383,6〜8月,,針葉樹林帯、または上部に針葉樹林帯があるブナ帯上部に現れる。陰性が強く、林内のヤグルマソウ、オニシモツケ、ヤマブキショウマなど、とくに草本の花に集まり、日向の花は好まない。寄主植物は未知とされる。,"Pidonia (Paleopidonia) oyamae (Oyama, 1908)",,,,include,2026-07-11,p.382下段からp.383上段へ続く同一種の記述を目視確認。チュウジョウヒメハナカミキリを除外。,
kamikiri-a-010,species-22202,ルリハナカミキリ,ルリハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,30,393,6〜8月,ミズナラ|ブナ科,ノリウツギ、ショウマ、シシウドなどの花に集まる。極東ロシアではニレ属、コナラ属、カエデ属などが寄主植物として知られる。,"Anoploderomorpha cyanea (Gebler, 1832)",,,,include,2026-07-11,p.392下段からp.393上段へ続く同一種の記述を目視確認。前種クロルリハナカミキリと後続属の情報を除外。,
kamikiri-a-011,species-22227,シララカハナカミキリ,シララカハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,32,397,7〜8月,,ウド類やショウマ類の花に集まる。極東ロシアでは各種針葉樹に寄生し、雌はその枯死木や切り株の根や地際近くの幹に産卵する。寄主植物は未知とされる。,"Judolia parallelopipeda (Motschulsky, 1860)",,,,include,2026-07-11,p.396下段からp.397上段へ続く同一種の記述を目視確認。海外の寄生記録は生態欄に限定し、日本の寄主植物欄は空欄とした。,
kamikiri-a-012,species-22301,イガブチヒゲハナカミキリ,イガブチヒゲハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,34,401,7〜8月,ウラジロモミ|マツ科;トウヒ|マツ科;サワラ|ヒノキ科;アスナロ|ヒノキ科;ヒノキアスナロ|ヒノキ科,ノリウツギやリョウブなどの花に集まるが、個体数は少ない。幼虫はマツ科・ヒノキ科などの生木の空洞等の枯死部に寄生する。,"Stictoleptura igai (Tamanuki, 1942)",,,,include,2026-07-11,p.400下段の見出しからp.401上段へ続く同一種を目視確認。前種ブチヒゲハナカミキリと次種ヒメアカハナカミキリを除外。,
kamikiri-a-013,species-22302,ヒメアカハナカミキリ,ヒメアカハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,34,401,7〜8月,ダケカンバ|カバノキ科;ブナ|ブナ科,日当たりの良い場所で、ノリウツギ、セリ科、キク科などの花に集まる。,"Stictoleptura pyrrha (Bates, 1884)",,,,include,2026-07-11,実際の本文はp.401。長い分類学的議論を生態へ混入させず、次のオオハナカミキリ属を除外。,
batch-b-001,species-22240,オキナワヨツスジハナカミキリ,オキナワヨツスジハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,37,407,4〜7月,,,"Leptura ochraceofasciata watanabei Hayashi, 1962",,,,include,2026-07-11,指定の冊子406頁ではなく右頁407に対象欄。原典異名欄にLeptura amamiana subsp. watanabeiを併記しており現行組合せとの対応を確認。直前のアマミ亜種の花訪問を継承しない。,
batch-b-002,species-22257,ヤクシマヨツスジハナカミキリ,ヤクシマヨツスジハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,38,408,7〜8月,スギ|ヒノキ科,成虫はリョウブなどの花を訪れる。,"Leptura yakushimana (Tamanuki, 1942)",,,,include,2026-07-11,対象欄は冊子408頁内で完結。直前種のシデ類・ブナ等を混入させない。原典のスギ科表記は現行分類のヒノキ科に正規化。,
batch-b-003,species-22286,カタキハナカミキリ,カタキハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,38,408-409,5〜8月,ヤマハンノキ|カバノキ科,成虫はリョウブ・カエデ類・ミズキ・ノリウツギなどの花に集まる。極東ロシアではカエデ属・ナシ属などを食樹とする記録がある。,"Pedostrangalia femoralis (Motschulsky, 1860)",,,,include,2026-07-11,欄は冊子408頁末から409頁冒頭へ継続。カエデ属・ナシ属は極東ロシア限定の記述なのでhost_plants列へは入れずecologyに保持。原典と現行で著者年が異なるため分類値は上書きしない。,
batch-b-004,species-22261,オオヨツスジハナカミキリ,オオヨツスジハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,39,411,7〜8月,各種針葉樹|;ブナ|ブナ科,成虫はリョウブ・ノリウツギなどの花に集まり、針葉樹の立木や伐採木に飛来する。,"Bellamira regalis (Bates, 1884)",,,,include,2026-07-11,冊子411頁内で完結。原典見出しはBellamira、現行はMacrolepturaだが、原典の異名・分類解説にMacroleptura regalisを明記。各種針葉樹は単一科に限定できないためfamily空欄。,
batch-b-005,species-22282,ニョウホウホソハナカミキリ,ニョウホウホソハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,42,416,6〜8月,モミ|マツ科;アカマツ|マツ科;タンナサワフタギ|ハイノキ科,成虫はノリウツギ・ショウマなどの花に集まる。,"Parastrangalis lesnei (Pic, 1901)",,,,include,2026-07-11,対象欄は冊子416頁内で完結。直後のヤエヤマクロスジホソハナカミキリの寄主未知を混入させない。,
batch-b-006,species-22138,タカオメダカカミキリ,タカオメダカカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,56,445,4〜7月,ブナ|ブナ科;イヌブナ|ブナ科,ブナに依存し、西日本では産地が局所的だが本州中部以北では少なくない。成虫はミズキ・カエデなどの花に集まり、幼虫はブナの1〜2年枝に食入する。,"Stenhomalus takaosanus Ohbayashi, 1958",,,,include,2026-07-11,冊子445頁内で完結。直前のキイロメダカカミキリのアセビ・カゴノキを混入させない。,
batch-b-007,species-22154,ベニボシカミキリ,ベニボシカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,68,468,4〜6月,,成虫はカシ類などの立木で見つかる。寄主植物は未知とされる。,"Rosalia (Eurybatus) lesnei Boppe, 1911",,,,include,2026-07-11,冊子468頁内で完結。原典が寄主植物を明記して未知としているためhost_plantsは空。直前のフェリエベニボシカミキリの寄主4種を継承しない。,
batch-b-008,species-21879,アカアシオオアオカミキリ,アカアシオオアオカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,69,471,7〜8月,クヌギ|ブナ科,成虫は夜間にクヌギの樹幹で見られ樹液に集まる。昼間はまったく活動しない。分布は局所的だが生息地では個体数が多い。,"Chloridolum (Parachloridolum) japonicum (Harold, 1879)",,,,include,2026-07-11,冊子471頁内で完結。直前のオオアオカミキリのサワグルミ等を混入させない。,
batch-b-009,species-21884,ミドリヒラタカミキリ,ミドリヒラタカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,72,476,6〜7月,カラマツ|マツ科;アカエゾマツ|マツ科;ドイツトウヒ|マツ科,成虫はカラマツの新しい伐採木に見られ日中に活動する。カラマツ人工林で多数発生した例があるが、一般にはきわめて稀である。,"Callidium (Callidostola) aeneum (DeGeer, 1775)",,,,include,2026-07-11,冊子476頁内で完結。原典は種階級、現行は基亜種aeneumとして登録されているため分類値は上書きしない。,
batch-b-010,species-22032,オクエゾトラカミキリ,オクエゾトラカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,76,484,6〜7月,ドロノキ|ヤナギ科,成虫はオノエヤナギの半立枯木や伐採木に飛来し、とくに河川敷の流木で見られる。,"Xylotrechus adspersus (Gebler, 1830)",,,,include,2026-07-11,冊子484頁内で完結。オノエヤナギは成虫飛来先の記述であり、明示された寄主植物はドロノキなど。直前のムネモンチャイロトラカミキリのダケカンバを混入させない。,
batch-b-011,species-22044,ツマキトラカミキリ,ツマキトラカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,77,486-487,6〜8月,シラカバ|カバノキ科;ダケカンバ|カバノキ科;ヤマハンノキ|カバノキ科,成虫はシラカバなどの伐採木に多数集まる山地性の普通種である。,"Xylotrechus clarinus Bates, 1884",,,,include,2026-07-11,欄は冊子486頁末から487頁冒頭へ継続し、出現期と寄主植物は487頁側。直前のオガサワライカリモントラカミキリの寄主を混入させない。,
batch-b-012,species-21965,ウスグロトラカミキリ,ウスグロトラカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,84,501,5月,,国内の寄主植物は未知とされる。台湾では各種広葉樹を利用し、花上や伐採木上に多い。国内の確実な記録は石垣島のみとされる。,"Chlorophorus signaticollis (Castelnau et Gory, 1841)",,,,include,2026-07-11,指定の冊子500頁ではなく右頁501に対象欄。原典が国内寄主未知を明記するためhost_plantsは空。台湾の広葉樹記録はecologyに地域限定で保持。原典と現行で著者・年が異なるため分類値は上書きしない。,
batch-b-013,species-22720,ウスアヤカミキリ 沖縄亜種,オキナワウスアヤカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,96,525,3〜10月,リュウキュウチク|イネ科;ホウライチク|イネ科;ハチジョウススキ|イネ科,,"Bumetopia japonica okinawana Hayashi, 1963",,,,include,2026-07-11,指定の冊子524頁ではなく右頁525に対象欄。現行組合せBumetopia oscitans okinawanaとは異なるためsource_taxonを対応名として保持し分類値は上書きしない。直前の基亜種のメダケ・ヤダケを混入させない。,
kamikiri-2007-batch-c-0001,species-22601,タイリクフタホシサビカミキリ,タイリクフタホシサビカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,106,545,6〜9月,クリ|ブナ科;クワ|クワ科,日本本土に生息している個体群は、地理的な分布と1960年代から採集されるようになったことから、人為的導入と推定される。,Ropica dorsalis,,,,include,2026-07-11,依頼位置の冊子p544は隣接ページで、対象種の本文はp545にある。前後種の寄主・生態は不採用。,
kamikiri-2007-batch-c-0002,species-22551,カスリドウボソカミキリ 沖縄亜種,オキナワカスリドウボソカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,109,550-551,4〜8月,テリハノブドウ|ブドウ科,成虫は各種広葉樹の枯枝で見つかる。,Pothyne variegata ryukyuana,,,,include,2026-07-11,種別欄はp551、成虫の枯枝利用は直前のPothyne variegata種説明（p550）に明記。隣接亜種の個別寄主は混入させていない。,
kamikiri-2007-batch-c-0003,species-22544,タテスジドウボソカミキリ 八重山亜種,ヤエヤマタテスジドウボソカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,110,552-553,4〜11月,,寄主植物は未知とされる。成虫はいずれもススキ類から見つかるほか、各種の枯枝にも見られる。,Pothyne formosana chocolatoides,,,,include,2026-07-11,寄主未知と出現期は亜種欄p553、成虫の利用環境は直前のPothyne formosana種説明p552に明記。ほかの亜種の個別情報は不採用。,
kamikiri-2007-batch-c-0004,species-22557,ツシマドウボソカミキリ,ツシマドウボソカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,110-111,553-554,5〜7月,,,Pseudocalamobius tsushimae,,,,include,2026-07-11,見出しと引用はp553、形態・出現期・分布はp554へ継続。寄主欄自体がなく、直前のドウボソカミキリの寄主は不採用。,
kamikiri-2007-batch-c-0005,species-22967,ススキサビカミキリ,ススキサビカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,114,560,4〜6月,,寄主植物は未知とされる。前跗節の肥大はススキ類に依存する生活への適応と考えられる。成虫はススキ類から見つかり、イシガキウスアヤカミキリと混生する。,Pterolophia (Pterolophia) kubokii,,,,include,2026-07-11,p560の対象種欄のみを採用。直前のスジダカサビカミキリおよびp561のクサマサビカミキリは分離した。,
kamikiri-2007-batch-c-0006,species-22968,クサマサビカミキリ,クサマサビカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,114,561,6月,,寄主植物は未知とされる。モクタチバナやアカギ、オガサワラビロウなどの枯枝、枯葉より得られている。,Pterolophia (Pterolophia) kusamai,,,,include,2026-07-11,p561の対象種欄のみを採用。p560のススキサビカミキリのススキ利用は混入させていない。,
kamikiri-2007-batch-c-0007,species-22765,オガサワラゴマダラカミキリ,オガサワラゴマダラカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,126,585,6月,,寄主植物は未知とされる。1915年に採集された1頭の雄に基づいて記載されたが、その後再発見されていない。,Anoplophora ogasawaraensis,,,,include,2026-07-11,依頼位置の冊子p584は隣接ページで、対象種欄はp585。直前のヨナグニゴマダラカミキリの寄主は不採用。,
