record_id,insect_id,japanese_name,note_type,reference_before,content_sha256,pdf_page,printed_page,review_decision,action_audit_id,source_scope,application_targets,excluded_targets,scope_decision_reason
note-200266,species-0030,クロムラサキスイコバネ,出現時期,日本産蛾類標準図鑑3,11326bb5ecd91a9ec3646a9ed727fc09bc7b864b26b2ca19482ed6764146b65d,5,76,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0030,,修正対象ではないため、既存の適用範囲を変更しない。
note-200267,species-0031,オオスイコバネ,出現時期,日本産蛾類標準図鑑3,4688a083d04e934cd9b61341e5700fe83574913f8b112ed0406c4927dc322d71,5,76,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0031,,修正対象ではないため、既存の適用範囲を変更しない。
note-200268,species-0032,アカシデスイコバネ,出現時期,日本産蛾類標準図鑑3,ee66e9b9a97d9f984f72ca68ed7d1d9430849160fd5d132a57ce6dab489e0f50,5,76,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0032,,修正対象ではないため、既存の適用範囲を変更しない。
note-200269,species-0033,チシマシロスジコウモリ,出現時期,日本産蛾類標準図鑑3,501a08b396b45c4c3fe45b7ac0d30e9985c69fb0e82910152b479ec969524d00,5,77,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0033,,修正対象ではないため、既存の適用範囲を変更しない。
note-200270,species-0033,チシマシロスジコウモリ,生態情報,日本産蛾類標準図鑑3,35340738f14aa0e64f773cffb12649596e736b15646864c0de2c24ac7976eb4a,5,77,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0033,,修正対象ではないため、既存の適用範囲を変更しない。
note-200283,species-0033,チシマシロスジコウモリ,生態情報,日本産蛾類標準図鑑3,f4f84eb450fa3fd27e16eab32e540922e8732ad76d7da827f326763114bd33ed,5,77,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0033,,修正対象ではないため、既存の適用範囲を変更しない。
note-200271,species-0034,オオギンスジコウモリ,出現時期,日本産蛾類標準図鑑3,9ed1ae7d241487426de17fd8dc654ecf3f4dc096b188637660529e38ceb3029f,,,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0034,,修正対象ではないため、既存の適用範囲を変更しない。
note-200272,species-0035,シロテンコウモリ,生態情報,日本産蛾類標準図鑑3,e2ce69c74ac6e839cb351cd24a3d2c701672766b147c3f1b4edafcc7d79eaec8,6,78,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0035,,修正対象ではないため、既存の適用範囲を変更しない。
note-200273,species-0036,キタコウモリ,出現時期,日本産蛾類標準図鑑3,1cb6cab499359f5fa803413a060ac8454eb344a481f562e286d1c187803a16b9,6,78,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0036,,修正対象ではないため、既存の適用範囲を変更しない。
note-200274,species-0037,ヒメコウモリ,生態情報,日本産蛾類標準図鑑3,7096af349bd3a1d24e2ef730bf7b94276cd5117fff07a743c301e07af1147ed1,6,78,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0037,,修正対象ではないため、既存の適用範囲を変更しない。
note-200275,species-0038,ウスイロコウモリ,出現時期,日本産蛾類標準図鑑3,4d59774e00bdd96afc2eda6c606fde1847f8e30d5240fa7249911702788c7b28,6,78,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0038,,修正対象ではないため、既存の適用範囲を変更しない。
note-200280,species-0039,キンスジコウモリ,生態情報,日本産蛾類標準図鑑3,644e6f98fc215120b9000ce1b412e7d72c49151fdbe4fe2f49725b531d4e22dc,,,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0039,,修正対象ではないため、既存の適用範囲を変更しない。
note-200284,species-0039,キンスジコウモリ,生態情報,日本産蛾類標準図鑑3,d5ac73ac52e74b5a338fa553970df48600472626a362b1a36f85dce07bbf3c20,,,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0039,,修正対象ではないため、既存の適用範囲を変更しない。
note-200276,species-0040,コウモリガ,出現時期,日本産蛾類標準図鑑3,ec7a0152b577dd31082cacb3c983df760f05aab7c84f839539ca297351d527cc,6,79,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0040,,修正対象ではないため、既存の適用範囲を変更しない。
note-200277,species-0041,キマダラコウモリ,出現時期,日本産蛾類標準図鑑3,f2e1eef339cac44279312c310026303dc6607088d43cead836bfa1465fc6fffa,6,79,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0041,,修正対象ではないため、既存の適用範囲を変更しない。
note-200285,species-0043,クナシリモグリチビガ,出現時期,日本産蛾類標準図鑑3,4e19b236e76d7da25a1652ab1f0921b396996fab670137a747d63b20bfaa22d0,7,81,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0043,,修正対象ではないため、既存の適用範囲を変更しない。
note-200286,species-0043,クナシリモグリチビガ,生態情報,日本産蛾類標準図鑑3,a92b49d1f6545ec96695b62fa61543bcd70ef4cb1ee6c5329b9438beef06eb7c,7,81,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0043,,修正対象ではないため、既存の適用範囲を変更しない。
note-200304,species-0044,ウリカエデモグリチビガ,出現時期,日本産蛾類標準図鑑3,47e1b281309adf170f25a52e4f9b9796e39d884ef31bbee38482e4d1fbbb73c0,9,84,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0044,,修正対象ではないため、既存の適用範囲を変更しない。
note-200305,species-0044,ウリカエデモグリチビガ,生態情報,日本産蛾類標準図鑑3,335b33a4eeaf7bdadce8d0fe5ba5c8f6365379db0eb3c87493c24b73bc58fa2c,9,84,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0044,,修正対象ではないため、既存の適用範囲を変更しない。
note-200306,species-0045,ヤクシマモグリチビガ,出現時期,日本産蛾類標準図鑑3,0bc8c1a9a3b8f442707b8d490abaa434074008cbed93d85cad96fb8c8502ca25,9,84,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0045,,修正対象ではないため、既存の適用範囲を変更しない。
note-200302,species-0046,イタヤモグリチビガ,出現時期,日本産蛾類標準図鑑3,c06ae8a87306221def2fc960ef0397b9e8a8e4471ab2555815c79b70cca56a5e,9,84,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0046,,修正対象ではないため、既存の適用範囲を変更しない。
note-200303,species-0046,イタヤモグリチビガ,生態情報,日本産蛾類標準図鑑3,88e921f7942888f6206f7be8e5e0d4200e49d228ff6c248638632ad290ae985a,9,84,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0046,,修正対象ではないため、既存の適用範囲を変更しない。
note-200314,species-0047,ニレモグリチビガ,出現時期,日本産蛾類標準図鑑3,bc3e874c55e6d8b6a14b7e3f4a6682b42737ba71f69d8b5202b6593531d1864d,,,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0047,,修正対象ではないため、既存の適用範囲を変更しない。
note-200337,species-0049,ヤマグワモグリチビガ,出現時期,日本産蛾類標準図鑑3,397be3b504637b99615c7c9b244cc0d3524bb95dfc8d44fe7c8fc294887c6f38,12,91,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0049,,修正対象ではないため、既存の適用範囲を変更しない。
note-200294,species-0052,シラカバモグリチビガ,出現時期,日本産蛾類標準図鑑3,efe9c82ba328ece167b968eea1097e9faf2503124727cf4f1dd56052060fd395,8,82,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0052,,修正対象ではないため、既存の適用範囲を変更しない。
note-200290,species-0053,イヌシデモグリチビガ,出現時期,日本産蛾類標準図鑑3,295d12c47765d22514a99050a07fe454f04f14445f8427b8435a9011ac8286f5,8,82,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0053,,修正対象ではないため、既存の適用範囲を変更しない。
note-200291,species-0053,イヌシデモグリチビガ,生態情報,日本産蛾類標準図鑑3,5827fa3a61cb13b2f8e58f2a43348c9977f4c3bde2b767ef0ff6de422b677579,8,82,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0053,,修正対象ではないため、既存の適用範囲を変更しない。
note-200292,species-0055,サハリンモグリチビガ,出現時期,日本産蛾類標準図鑑3,295d12c47765d22514a99050a07fe454f04f14445f8427b8435a9011ac8286f5,7,81,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0055,,修正対象ではないため、既存の適用範囲を変更しない。
note-200293,species-0055,サハリンモグリチビガ,生態情報,日本産蛾類標準図鑑3,a7ce0c831cfd0cd9de93390840368759d1e213115c4d6888e11a7d31010a8a95,7,81,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0055,,修正対象ではないため、既存の適用範囲を変更しない。
note-200296,species-0056,ハンノモグリチビガ,出現時期,日本産蛾類標準図鑑3,1b6e21a2413c37047d29a6404324910fed2e8f777d29b0b520cb29802e1b06cc,8,83,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0056,,修正対象ではないため、既存の適用範囲を変更しない。
note-200297,species-0056,ハンノモグリチビガ,生態情報,日本産蛾類標準図鑑3,89839ac28eec87f277f1f9196287e1f46f011cd63c35bb67498f78c9ad903606,8,83,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0056,,修正対象ではないため、既存の適用範囲を変更しない。
note-200298,species-0058,チヂミザサモグリチビガ,出現時期,日本産蛾類標準図鑑3,7171ab7fab181904ea9ec2d01b2296409c6a164c8d5418c658a8118b482351bc,8,83,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0058,,修正対象ではないため、既存の適用範囲を変更しない。
note-200300,species-0059,ハンノクロエリモグリチビガ,出現時期,日本産蛾類標準図鑑3,6d5a9c4b92f7c648c7154031ad5b594ce6c750946523f6596bbc43589bff7a9e,,,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0059,,修正対象ではないため、既存の適用範囲を変更しない。
note-200312,species-0060,クロツバラモグリチビガ,出現時期,日本産蛾類標準図鑑3,3847833bf99b8ecdd044a220be327fcc930f92747b3b711caafa15ef7e97ebf6,9,85,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0060,,修正対象ではないため、既存の適用範囲を変更しない。
note-200335,species-0061,コアカソモグリチビガ,出現時期,日本産蛾類標準図鑑3,e3a23c5aa4d9bbff6ff7b78c60e2990c87b3737b1aa4a14b811a8cb0176ceba4,12,90,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0061,,修正対象ではないため、既存の適用範囲を変更しない。
note-200336,species-0061,コアカソモグリチビガ,生態情報,日本産蛾類標準図鑑3,45fb1e5888246360b78f255229615d8cec987387127bf7297c573cda2c6764a1,12,90,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0061,,修正対象ではないため、既存の適用範囲を変更しない。
note-200318,species-0062,アズサモグリチビガ,出現時期,日本産蛾類標準図鑑3,7171ab7fab181904ea9ec2d01b2296409c6a164c8d5418c658a8118b482351bc,10,86,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0062,,修正対象ではないため、既存の適用範囲を変更しない。
note-200317,species-0064,キモンオビモグリチビガ,出現時期,日本産蛾類標準図鑑3,0caa261a78bb440e0819cc9e6532c3e56622a0a1413f1a353d04a70f02302d37,10,86,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0064,,修正対象ではないため、既存の適用範囲を変更しない。
note-200315,species-0065,ヤナギモグリチビガ,出現時期,日本産蛾類標準図鑑3,b3559394242959bd4012fa61c2eddf50ec15701cdfb154ee70deb1521028ce83,10,86,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0065,,修正対象ではないため、既存の適用範囲を変更しない。
note-200307,species-0066,ズミクロエリモグリチビガ,出現時期,日本産蛾類標準図鑑3,295d12c47765d22514a99050a07fe454f04f14445f8427b8435a9011ac8286f5,9,84,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0066,,修正対象ではないため、既存の適用範囲を変更しない。
note-200308,species-0067,クサボケモグリチビガ,出現時期,日本産蛾類標準図鑑3,bc3e874c55e6d8b6a14b7e3f4a6682b42737ba71f69d8b5202b6593531d1864d,9,84,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0067,,修正対象ではないため、既存の適用範囲を変更しない。
note-200309,species-0068,リンゴクロモグリチビガ,出現時期,日本産蛾類標準図鑑3,1b6e21a2413c37047d29a6404324910fed2e8f777d29b0b520cb29802e1b06cc,9,84,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0068,,修正対象ではないため、既存の適用範囲を変更しない。
note-200310,species-0069,ウラジロノキモグリチビガ,出現時期,日本産蛾類標準図鑑3,295d12c47765d22514a99050a07fe454f04f14445f8427b8435a9011ac8286f5,9,85,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0069,,修正対象ではないため、既存の適用範囲を変更しない。
note-200311,species-0069,ウラジロノキモグリチビガ,生態情報,日本産蛾類標準図鑑3,6d4cde4747d913706c841b6798c116fe249d06a7a49dd2817ae4f0b2a84b1454,9,85,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0069,,修正対象ではないため、既存の適用範囲を変更しない。
note-200288,species-0071,エゴノモグリチビガ,出現時期,日本産蛾類標準図鑑3,fe2868e1ffec79ca251479fc7491a59362187bb41af2626f749b05b3f54a5a89,7,81,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0071,,修正対象ではないため、既存の適用範囲を変更しない。
note-200289,species-0071,エゴノモグリチビガ,生態情報,日本産蛾類標準図鑑3,e7bd0a2f50f4c6ae0c968895ba8134bda517f898041551ab12ead204a3a4076d,7,81,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0071,,修正対象ではないため、既存の適用範囲を変更しない。
note-200322,species-0074,アトヒロオビモグリチビガ,出現時期,日本産蛾類標準図鑑3,295d12c47765d22514a99050a07fe454f04f14445f8427b8435a9011ac8286f5,10,86,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0074,,修正対象ではないため、既存の適用範囲を変更しない。
note-200323,species-0075,イチゴモグリチビガ,出現時期,日本産蛾類標準図鑑3,869f47de9d7a5425aa6bf47d874827552991d85fe3e71ee7444ffcc7f154ea7d,10,86,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0075,,修正対象ではないため、既存の適用範囲を変更しない。
note-200324,species-0075,イチゴモグリチビガ,生態情報,日本産蛾類標準図鑑3,70aac8c91b583f3ad895486e10a249a132ec8337cb3c31733ae828d7c2ba0eb5,10,86,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0075,,修正対象ではないため、既存の適用範囲を変更しない。
note-200325,species-0076,イチゴアカガネモグリチビガ,出現時期,日本産蛾類標準図鑑3,1b6e21a2413c37047d29a6404324910fed2e8f777d29b0b520cb29802e1b06cc,10,86,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0076,,修正対象ではないため、既存の適用範囲を変更しない。
note-200326,species-0076,イチゴアカガネモグリチビガ,生態情報,日本産蛾類標準図鑑3,89839ac28eec87f277f1f9196287e1f46f011cd63c35bb67498f78c9ad903606,10,86,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0076,,修正対象ではないため、既存の適用範囲を変更しない。
note-200327,species-0077,イチゴギンモグリチビガ,出現時期,日本産蛾類標準図鑑3,bae0a9c954f52c2ccf45dc25b86581c4c55dd29d10fe50e1919a4c3a88e71816,10,87,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0077,,修正対象ではないため、既存の適用範囲を変更しない。
note-200328,species-0077,イチゴギンモグリチビガ,生態情報,日本産蛾類標準図鑑3,89839ac28eec87f277f1f9196287e1f46f011cd63c35bb67498f78c9ad903606,10,87,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0077,,修正対象ではないため、既存の適用範囲を変更しない。
note-200320,species-0081,ギンモンモグリチビガ,出現時期,日本産蛾類標準図鑑3,9a909f29d52bdf9cf21b26ebf69ba287ab8b828bd1240d6e9af9e46480fd4fba,10,86,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0081,,修正対象ではないため、既存の適用範囲を変更しない。
note-200333,species-0086,アズミノモグリチビガ,出現時期,日本産蛾類標準図鑑3,2fe8c97ad49c8f468e0832e1787563140594029c0aacd85c79bfff8516df3bd3,12,90,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0086,,修正対象ではないため、既存の適用範囲を変更しない。
note-200334,species-0086,アズミノモグリチビガ,生態情報,日本産蛾類標準図鑑3,2f48e4105a8951c418cdd7064c17bdac762c85fd98485cf22e088e750d02378a,12,90,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0086,,修正対象ではないため、既存の適用範囲を変更しない。
note-200287,species-0087,アカガシモグリチビガ,出現時期,日本産蛾類標準図鑑3,e610f3af850fd30fb8bc6e7540682f40293dab310be36e4ee57f3ea935f6979a,7,81,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0087,,修正対象ではないため、既存の適用範囲を変更しない。
note-200329,species-0092,キオビシイモグリチビガ,出現時期,日本産蛾類標準図鑑3,b3c49b99b8650357d49f318c71316eaaa7e11a55e3f05eafff768f844bb77d12,,,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0092,,修正対象ではないため、既存の適用範囲を変更しない。
note-200330,species-0092,キオビシイモグリチビガ,生態情報,日本産蛾類標準図鑑3,e69897eabbd4219a8fdbd3d47ade76bdaf69c11bdc146171f29fbeef145c7294,,,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0092,,修正対象ではないため、既存の適用範囲を変更しない。
note-200331,species-0093,ヒサコナラモグリチビガ,出現時期,日本産蛾類標準図鑑3,7171ab7fab181904ea9ec2d01b2296409c6a164c8d5418c658a8118b482351bc,12,90,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0093,,修正対象ではないため、既存の適用範囲を変更しない。
note-200332,species-0093,ヒサコナラモグリチビガ,生態情報,日本産蛾類標準図鑑3,b0913f1b24ae74f0f0769adf5ed51a036b806e7433ce7c632873248e0b7ab141,12,90,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0093,,修正対象ではないため、既存の適用範囲を変更しない。
