audit_id,audit_batch,volume,plant_name,similar_taxa,approved_content,source,source_pdf_file,source_pdf_sha256,pdf_page,printed_page,decision,exclusion_reason,reviewed_on,cleanup_field,cleanup_current_value,cleanup_intermediate_value,cleanup_replacement,review_note
wildplants-v1-identification-0027,volume1_comparison_candidates,1,アオモジ,アボカド,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,38,74,exclude,近縁関係の記述のみで、客観的な識別形質がない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0028,volume1_comparison_candidates,1,シロダモ,キンショクダモ,キンショクダモはシロダモと異なり、葉裏の黄褐色の毛が遅くまで残り、春に開花する。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,38,75,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0029,volume1_comparison_candidates,1,イヌガシ,,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,38,75,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0030,volume1_comparison_candidates,1,ユモトマムシグサ,オオミネテンナンショウ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,42,83,exclude,本文は分類群を区別しない、または区別できないという記述で、識別形質を提示しない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0031,volume1_comparison_candidates,1,カラフトヒロハテンナンショウ,アムール／サトイモ／アムールテンナンショウ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,43,84,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0032,volume1_comparison_candidates,1,ツルギテンナンショウ,ムロウテンナンショウ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,43,85,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0033,volume1_comparison_candidates,1,ウメガシマテンナンショウ,ミヤママムシグサ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,43,85,exclude,比較対象または識別形質が不確実・未確立・属レベルで、種ページ用の診断文として採用できない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0034,volume1_comparison_candidates,1,コウライテンナンショウ,カントウマムシグサ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,43,85,exclude,比較対象または識別形質が不確実・未確立・属レベルで、種ページ用の診断文として採用できない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0035,volume1_comparison_candidates,1,アオウキクサ,ホクリクアオウキクサ,ホクリクアオウキクサはアオウキクサに似るが、通常5～20個が群体をつくる。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,44,87,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0036,volume1_comparison_candidates,1,ムラサキコウキクサ,コウキクサ,ムラサキコウキクサはコウキクサに似るが、葉状体が通常紫色を帯び、下面が膨らむ。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,44,87,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0037,volume1_comparison_candidates,1,キタグニコウキクサ,コウキクサ,キタグニコウキクサはコウキクサに似るが、葉状体が通常紫色を帯びる。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,44,87,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0038,volume1_comparison_candidates,1,ユズノハカズラ,,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,45,88,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0039,volume1_comparison_candidates,1,ヒメハブカズラ,ハブカズラ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,45,88,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0040,volume1_comparison_candidates,1,サキシマハブカズラ,ハブカズラ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,45,88,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0041,volume1_comparison_candidates,1,ナベクラザゼンソウ,ザゼンソウ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,45,89,exclude,比較表現はあるが、客観的な形態差を確認できない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0042,volume1_comparison_candidates,1,チシマゼキショウ,チャボゼキショウ／ゲイビゼキショウ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,46,91,exclude,比較対象または識別形質が不確実・未確立・属レベルで、種ページ用の診断文として採用できない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0043,volume1_comparison_candidates,1,ヤクシマチャボゼキショウ,チシマゼキショウ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,46,91,exclude,比較表現はあるが、客観的な形態差を確認できない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0044,volume1_comparison_candidates,1,ヘラオモダカ,ホソバヘラオモダカ,ホソバヘラオモダカはヘラオモダカに比べ、葉身が長さ8～20 cm、幅3～10 mmと細く、葯が紫褐色である。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,47,93,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0045,volume1_comparison_candidates,1,クワイ,オモダカ,クワイはオモダカに似るが、走出枝の先端に大型の塊茎ができる。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,48,94,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0046,volume1_comparison_candidates,1,ヒラモ,セキショウモ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,50,99,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0047,volume1_comparison_candidates,1,ヒロハノエビモ,エゾヒルムシロ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,53,104,exclude,比較対象または識別形質が不確実・未確立・属レベルで、種ページ用の診断文として採用できない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0048,volume1_comparison_candidates,1,ナガバエビモ,ヒロハノエビモ,ナガバエビモはヒロハノエビモに似るが、葉は長さ10～20 cmである。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,53,104,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0049,volume1_comparison_candidates,1,ツツイトモ,イトモ,ツツイトモはイトモに似るが、花が2段に分かれてつく。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,53,105,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0050,volume1_comparison_candidates,1,ナンゴクカワツルモ,カワツルモ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,54,107,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0051,volume1_comparison_candidates,1,マツバウミジグサ,,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,55,108,exclude,比較対象の植物名を一意に特定できない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0052,volume1_comparison_candidates,1,ヤクシマソウ,ホンゴウソウ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,59,117,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0053,volume1_comparison_candidates,1,コバナナベワリ,ヒメナベワリ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,60,118,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0054,volume1_comparison_candidates,1,ヒュウガナベワリ,ヒメナベワリ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,60,118,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0055,volume1_comparison_candidates,1,ツルアダン,タコヅル,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,61,120,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
