audit_id,source,source_pdf_file,source_pdf_sha256,plant_name,field,before,intermediate_after,after,pdf_page,printed_page,corrected_plant_name,corrected_scientific_name,page_reference_action,decision,verification_method,similar_taxa,distinguishing_features,reviewed_on,review_note
wildplants-profile-integrity-v1-0011,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ハチジョウテンナンショウ,habitat,ハチジョウテンナンショウ Arisaema hatizyoense Nakai 林緑や周辺の草地に生え、高さ100cm に達する,,林縁や周辺の草地に生え、高さ100 cmに達する,42,83,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去して客観的な本文だけを採用。 原PDFの左右冊子頁へ再定位し、確定的なOCR誤読「林緑」を「林縁」へ訂正。置換対応は別紙の代表原画像監査で確認し、分割OCRは位置決めにのみ使用。
wildplants-profile-integrity-v1-0012,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ハリママムシグサ,habitat,低山地の林下、林緑に生える多年草,低山地の林下、林縁に生える多年草,低山地の林下・林縁に生える,42,83,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.42・冊子p.83）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0013,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ミミガタテンナンショウ,habitat,落業林下、林緑に生える多年草,,落葉樹林下、林縁に生える多年草,42,83,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF右頁で対象種と欄境界を確認し、「落業林」「林緑」を原文どおり修正。 原PDFの左右冊子頁へ再定位し、確定的なOCR誤読「林緑」を「林縁」へ訂正。置換対応は別紙の代表原画像監査で確認し、分割OCRは位置決めにのみ使用。
wildplants-profile-integrity-v1-0014,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,エヒメテンナンショウ,habitat,林下や林緑に生え、高さ 110cmに避する,林下や林縁に生え、高さ 110cmに避する,林下や林縁に生える,43,84,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.43・冊子p.84）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0015,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒトツバテンナンショウ,habitat,低山地のやや暗い林中、林緑などの斜面に生える,低山地のやや暗い林中、林縁などの斜面に生える,山地のやや暗い林中や林縁などの斜面に生える,43,84,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.43・冊子p.84）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0016,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヤマグチテンナンショウ,habitat,湿った草原や疎林の林下、林緑に生育する,湿った草原や疎林の林下、林縁に生育する,湿った草原や疎林の林下・林縁に生育する,43,84,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.43・冊子p.84）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0017,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ウンゼンマムシグサ,habitat,山地の林緑などに生え、高さ70cmに達する,山地の林縁などに生え、高さ70cmに達する,山地の林縁などに生える,43,85,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.43・冊子p.85）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0018,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,カントウマムシグサ,habitat,平地から山地の野原、林緑、林下などにふつうに生育する,平地から山地の野原、林縁、林下などにふつうに生育する,平地～山地の野原・林縁・林下などに生育する,43,85,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.43・冊子p.85）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0019,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,コウライテンナンショウ,habitat,おもに山地や多雪地の林緑、湿った草地などに生え、高さ100cmに違する,おもに山地や多雪地の林縁、湿った草地などに生え、高さ100cmに違する,主に山地や多雪地の林縁・湿った草地などに生える,43,85,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.43・冊子p.85）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0020,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ツルギテンナンショウ,habitat,ツルギテンナンショウ Arisaema abei Seriz. ブナ帯の林下に生える,,ブナ帯の林下に生える,43,85,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去して客観的な本文だけを採用。
wildplants-profile-integrity-v1-0021,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ホソバテンナンショウ,habitat,低山地から山地の林下、林緑に生える,低山地から山地の林下、林縁に生える,低山地～山地の林下・林縁に生える,43,85,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.43・冊子p.85）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0022,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ミクニテンナンショウ,habitat,ミクニテンナンショウ Arisaema planilaminum J. Murata 落葉荷林下に生える,,落葉樹林下に生える,43,85,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去し、OCR誤字を原文どおり修正。 既存の原PDF監査結果と原PDF右頁を再確認し、同一の最終値へ統一。
wildplants-profile-integrity-v1-0023,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,オオハンゲ,habitat,山地の常緑荷林下に生える,,山地の常緑樹林下に生える,44,87,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF右頁で対象種と欄境界を確認し、「荷林」を「樹林」に修正。
wildplants-profile-integrity-v1-0024,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,コウキクサ,habitat,池や満に生育する,,池や溝に生育する,44,87,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.44・冊子p.87）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0025,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒメザゼンソウ,habitat,林緑や道ばたの湿地に生え、ザゼンソウよりやや小型,林縁や道ばたの湿地に生え、ザゼンソウよりやや小型,林縁や湿地などに生える,45,89,,,,replace,original_pdf_full_field_visual_review,ザゼンソウ,ヒメザゼンソウはザゼンソウより小型。,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.45・冊子p.89）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0026,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ミジンコウキクサ,habitat,平地の池や満に生育する,,平地の池や溝に生育する,45,89,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.45・冊子p.89）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0027,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヤクシマチャボゼキショウ,habitat,ヤクシマチャボゼキショウ Tofieldia yoshiiana Makino var. yoshiiana 山中の岩に生える,,山中の岩に生える,46,91,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去して客観的な本文だけを採用。
wildplants-profile-integrity-v1-0028,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,カラフトグワイ,habitat,カラフトグワイ Sagittaria natans Pall. 湖沼や河川に生育する浮葉性の多年草,,湖沼や河川に生育する浮葉性の多年草,47,93,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去して客観的な本文だけを採用。
wildplants-profile-integrity-v1-0029,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ウミショウブ,distribution,八重山諸島、インド洋から酉太平洋の熱帯から亜熱帯域に分布する,八重山諸島、インド洋から西太平洋の熱帯から亜熱帯域に分布する,八重山諸島、インド洋～西太平洋の熱帯・亜熱帯域に分布する,49,96,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原本PDFの対象種本文を目視照合。対象欄だけを客観的に要約し、生活形・地域混入・OCR誤読を除去。
wildplants-profile-integrity-v1-0030,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ウミヒルモ,flower_period,不明,,,49,96,,,,delete,original_pdf_visual_review,,,2026-07-12,原PDF本文でも花期は不明とされ、公開可能な値がないため削除。
wildplants-profile-integrity-v1-0031,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,オオトリゲモ,habitat,オオトリゲモ Najas oguraensis Miki （P.92） 湖沼やため池に生える一年草,,湖沼やため池に生える一年草,50,98,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名・図版番号を除去して客観的な本文だけを採用。
wildplants-profile-integrity-v1-0032,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,トリゲモ,distribution,本州～琉球、アジア・北アフリカ・ヨーロッパの温帯～熟帯に分布し、北アメリカに移入分布する,,本州～琉球、アジア・北アフリカ・ヨーロッパの温帯～熱帯に分布し、北アメリカに移入分布する,50,98,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原本PDFの対象種本文を目視照合。対象欄だけを客観的に要約し、生活形・地域混入・OCR誤読を除去。
wildplants-profile-integrity-v1-0033,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,トリゲモ,habitat,トリゲモ Najas minor All. 湖沼やため池に生える一年草,,湖沼やため池に生える一年草,50,98,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去して客観的な本文だけを採用。
wildplants-profile-integrity-v1-0034,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒメイバラモ,distribution,本州に分布するが、実体は不明,,,50,98,,,,delete,original_pdf_visual_review,,,2026-07-12,原PDF本文でも実体不明とされ、確認済みの分布値として公開できないため削除。
wildplants-profile-integrity-v1-0035,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒメイバラモ,habitat,ヒメイバラモ Najas tenuicaulis Miki 湖沼やため池に生育する一年草,,湖沼やため池に生育する一年草,50,98,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去して客観的な本文だけを採用。
wildplants-profile-integrity-v1-0036,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ミズオオバコ,distribution,北海道～琉球、アジア・オーストラリア・アフリカの温帯～熟帯に分布する,北海道～琉球、アジア・オーストラリア・アフリカの温帯～熱帯に分布する,北海道～琉球、アジア・オーストラリア・アフリカの温帯～熱帯に分布する,50,98,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原本PDFの対象種本文を目視照合。対象欄だけを客観的に要約し、生活形・地域混入・OCR誤読を除去。
wildplants-profile-integrity-v1-0037,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ミズオオバコ,habitat,水田やため池、水路に生える洸水性の一年草または多年草,水田やため池、水路に生える沈水性の一年草または多年草,水田・ため池・水路に生える,50,98,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原本PDFの対象種本文を目視照合。対象欄だけを客観的に要約し、生活形・地域混入・OCR誤読を除去。
wildplants-profile-integrity-v1-0038,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,シバナ,habitat,河口や千潟の緑の塩分を含む湿地に生える多年草,河口や干潟の緑の塩分を含む湿地に生える多年草,河口や干潟の縁にある塩分を含む湿地に生える,51,100,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原本PDFの対象種本文を目視照合。対象欄だけを客観的に要約し、生活形・地域混入・OCR誤読を除去。
wildplants-profile-integrity-v1-0039,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アマモ,distribution,北海道～九州、北半球の寒器～温帯に広く分布する,,北海道～九州、北半球の寒帯～温帯に広く分布する,52,102,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原本PDFの対象種本文を目視照合。対象欄だけを客観的に要約し、生活形・地域混入・OCR誤読を除去。
wildplants-profile-integrity-v1-0040,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,エゾノヒルムシロ,habitat,エゾノヒルムシロ Potamogeton gramineus L.淡水の湖沼やため池に生える沈水性～浮葉性の多年草,,淡水の湖沼やため池に生える沈水性～浮葉性の多年草,53,104,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去して客観的な本文だけを採用。
wildplants-profile-integrity-v1-0041,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ナガバエビモ,habitat,ナガバエビモ Potamogeton praelongus Wulfen 淡水の湖沼に生える洗水性の多年草,,淡水の湖沼に生える沈水性の多年草,53,104,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去し、OCR誤字を原文どおり修正。 原PDFの左右冊子頁へ再定位し、確定的なOCR誤読「洗水」を「沈水」へ訂正。置換対応は別紙の代表原画像監査で確認し、分割OCRは位置決めにのみ使用。
wildplants-profile-integrity-v1-0042,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒロハノエビモ,habitat,淡水～汽水の湖沼に生える洗水性の多年草,淡水～汽水の湖沼に生える沈水性の多年草,淡水～汽水の湖沼に生える,53,104,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原本PDFの対象種本文を目視照合。対象欄だけを客観的に要約し、生活形・地域混入・OCR誤読を除去。
wildplants-profile-integrity-v1-0043,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,イトモ,habitat,イトモ Potamogeton berehtoldii Ficber 淡水の湖沼やため池、水路に生える沈水性の多年草,,淡水の湖沼やため池、水路に生える沈水性の多年草,53,105,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去して客観的な本文だけを採用。
wildplants-profile-integrity-v1-0044,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,イヌイトモ,habitat,イヌイトモ Potamogeton obtusifolius Mert. et W.D. J. Koch 淡水の湖沼、水路に生える洗水性の多年草,,淡水の湖沼、水路に生える沈水性の多年草,53,105,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去し、OCR誤字を原文どおり修正。 原PDFの左右冊子頁へ再定位し、確定的なOCR誤読「洗水」を「沈水」へ訂正。置換対応は別紙の代表原画像監査で確認し、分割OCRは位置決めにのみ使用。
wildplants-profile-integrity-v1-0045,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,エゾヤナギモ,habitat,エゾヤナギモ Potamogeton compressts L.淡水の湖沼に生える沈水性の多年草,,淡水の湖沼に生える沈水性の多年草,53,105,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去し、OCR誤字を原文どおり修正。
wildplants-profile-integrity-v1-0046,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,コバノヒルムシロ,habitat,コバノヒルムシロ Potamogeton cristatus Regel et Maack 淡水の湖沼やため池に生える沈水性～ 浮葉性の多年草,,淡水の湖沼やため池に生える沈水性～浮葉性の多年草,53,105,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去して客観的な本文だけを採用。
wildplants-profile-integrity-v1-0047,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ササバモ,habitat,ササバモ Potamogeton wrightii Morong 淡水の湖沼、河川、水路に生える沈水性～浮葉性の多年草,,淡水の湖沼、河川、水路に生える沈水性～浮葉性の多年草,53,105,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名を除去して客観的な本文だけを採用。
