audit_id,candidate_id,action,record_id,insect_id,source_japanese_name,source_scientific_name,current_japanese_name,current_scientific_name,taxon_scope,candidate_plant_name,source_plant_taxon,approved_plant_name,approved_plant_family,approved_observation_type,approved_plant_part,approved_life_stage,approved_reference,approved_notes,expected_plant_name,expected_plant_family,expected_observation_type,expected_plant_part,expected_life_stage,expected_reference,expected_notes,source_pdf_file,source_pdf_sha256,pdf_page,printed_page,evidence,decision,reviewed_on,review_note
OK23-10-01,ok23-10,enrich_existing_relation,hostplant-PDFAUDIT-20260710-0056,species-20654,ミヤマフタオビキョトウ,Mythimna matsumuriana (Bryk),ミヤマフタオビキヨトウ,"Mythimna matsumuriana (Bryk, 1948)",source_species_exact_current_species,カモガヤ,Dactylis glomerata,カモガヤ,イネ科,野外（国内）,,幼虫,日本産蛾類標準図鑑2; 小木広行 (1985),"",カモガヤ,イネ科,文献,,幼虫,日本産蛾類標準図鑑2,,ga-tsushin/jhj133.pdf,a713ce3d8641e68602c24fe6d30ef17fa5826ed520e4b71f0a4368cd175e4395,12,124,原PDFの食草欄にカモガヤを明記し、野外幼虫を飼育羽化。,include_direct_larval_host_merge_existing,2026-07-11,原PDFの学名を現行種へ直接照合。
OK23-10-02,ok23-10,enrich_existing_relation,hostplant-PDFAUDIT-20260710-0057,species-20654,ミヤマフタオビキョトウ,Mythimna matsumuriana (Bryk),ミヤマフタオビキヨトウ,"Mythimna matsumuriana (Bryk, 1948)",source_species_exact_current_species,ススキ,Miscanthus sinensis,ススキ,イネ科,野外（国内）,,幼虫,日本産蛾類標準図鑑2; 小木広行 (1985),"",ススキ,イネ科,文献,,幼虫,日本産蛾類標準図鑑2,,ga-tsushin/jhj133.pdf,a713ce3d8641e68602c24fe6d30ef17fa5826ed520e4b71f0a4368cd175e4395,12,124,原PDFの食草欄にススキを明記し、野外幼虫を飼育羽化。,include_direct_larval_host_merge_existing,2026-07-11,原PDFの学名を現行種へ直接照合。
OK23-10-03,ok23-10,enrich_existing_relation,hostplant-PDFAUDIT-20260710-0058,species-20654,ミヤマフタオビキョトウ,Mythimna matsumuriana (Bryk),ミヤマフタオビキヨトウ,"Mythimna matsumuriana (Bryk, 1948)",source_species_exact_current_species,ヤマヌカボ,Agrostis clarata,ヤマヌカボ,イネ科,野外（国内）,,幼虫,日本産蛾類標準図鑑2; 小木広行 (1985),"",ヤマヌカボ,イネ科,文献,,幼虫,日本産蛾類標準図鑑2,,ga-tsushin/jhj133.pdf,a713ce3d8641e68602c24fe6d30ef17fa5826ed520e4b71f0a4368cd175e4395,12,124,原PDFの食草欄にヤマヌカボを明記し、野外幼虫を飼育羽化。,include_direct_larval_host_merge_existing,2026-07-11,原PDFの学名を現行種へ直接照合。
OK23-11-01,ok23-11,add_host_relation,host-ok23-20260711-0009,species-20655,オオフタオビキョトウ,Mythimna grandis Butler,オオフタオビキヨトウ,"Mythimna grandis Butler, 1878",source_species_exact_current_species,カモガヤ,Dactylis glomerata,カモガヤ,イネ科,野外（国内）,,幼虫,小木広行 (1985),食草の根際で幼虫を採集し、飼育羽化,,,,,,,,ga-tsushin/jhj133.pdf,a713ce3d8641e68602c24fe6d30ef17fa5826ed520e4b71f0a4368cd175e4395,12,124,原PDFの食草欄にカモガヤを明記。,include_direct_larval_host,2026-07-11,原PDFの学名を現行種へ直接照合。
OK23-11-02,ok23-11,add_host_relation,host-ok23-20260711-0010,species-20655,オオフタオビキョトウ,Mythimna grandis Butler,オオフタオビキヨトウ,"Mythimna grandis Butler, 1878",source_species_exact_current_species,ススキ,Miscanthus sinensis,ススキ,イネ科,野外（国内）,,幼虫,小木広行 (1985),野外幼虫を確認した食草,,,,,,,,ga-tsushin/jhj133.pdf,a713ce3d8641e68602c24fe6d30ef17fa5826ed520e4b71f0a4368cd175e4395,12,124,原PDFの食草欄にススキを明記。,include_direct_larval_host,2026-07-11,原PDFの学名を現行種へ直接照合。
OK23-11-03,ok23-11,add_host_relation,host-ok23-20260711-0011,species-20655,オオフタオビキョトウ,Mythimna grandis Butler,オオフタオビキヨトウ,"Mythimna grandis Butler, 1878",source_species_exact_current_species,ナガハグサ,Poa pratensis,ナガハグサ,イネ科,野外（国内）,,幼虫,小木広行 (1985),野外幼虫を確認した食草,,,,,,,,ga-tsushin/jhj133.pdf,a713ce3d8641e68602c24fe6d30ef17fa5826ed520e4b71f0a4368cd175e4395,12,124,原PDFの食草欄にナガハグサを明記。,include_direct_larval_host,2026-07-11,原PDFの学名を現行種へ直接照合。
OK23-12-01,ok23-12,enrich_existing_relation,hostplant-912680,species-0814,ノブキヒラタマルハキバガ,Agonopterix mutuurai Saito,ヤマボクチマルハキバガ,"Agonopterix rubrovittella (Caradja, 1926)",historical_species_name_exact_current_alias,オヤマポクチ,Synurus pungens,オヤマボクチ,キク科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3; 富樫一次 (1986),葉の一部を折り曲げ、その内部で食害,オヤマポクチ,キク科,文献,,幼虫,日本産蛾類標準図鑑3,,ga-tsushin/jhj137.pdf,a4e505bd9574b423acd914e65148ed0ed636816c4293a0173a9e07f568e00ca6,7,183,オヤマボクチの葉内で食害する幼虫を採集し飼育羽化。,include_direct_larval_host_normalize_existing,2026-07-11,原PDFの旧和名を現行データの別名へ照合。既存のオヤマポクチ誤記を原文どおり修正。
OK23-13-01,ok23-13,add_host_relation,host-ok23-20260711-0012,species-1157,オオエグリヒラタマルハキバガ,Acria emarginella (Donovan),オオエグリキバガ,"Acria emarginella (Donovan, 1806)",source_species_exact_current_species,アカメガシワ,Mallotus japonicus,アカメガシワ,トウダイグサ科,野外（国内）,,幼虫,富樫一次 (1986),幼虫を採集し、飼育羽化した最初の食草記録,,,,,,,,ga-tsushin/jhj137.pdf,a4e505bd9574b423acd914e65148ed0ed636816c4293a0173a9e07f568e00ca6,7,183,アカメガシワ由来個体を飼育羽化。,include_direct_larval_host,2026-07-11,原PDFの学名は現行種と一致し、旧和名は現行データの別名。
OK23-13-02,ok23-13,enrich_existing_relation,hostplant-912858,species-1157,オオエグリヒラタマルハキバガ,Acria emarginella (Donovan),オオエグリキバガ,"Acria emarginella (Donovan, 1806)",source_species_exact_current_species,ミズナラ,Quercus mongolica var. grosseserrata,ミズナラ,ブナ科,野外（国内）,,幼虫,日本産蛾類標準図鑑3; 富樫一次 (1986),"",ミズナラ,ブナ科,文献,,幼虫,日本産蛾類標準図鑑3,,ga-tsushin/jhj137.pdf,a4e505bd9574b423acd914e65148ed0ed636816c4293a0173a9e07f568e00ca6,7,183,ミズナラ由来個体を飼育羽化した最初の食草記録。,include_direct_larval_host_merge_existing,2026-07-11,原PDFの学名は現行種と一致し、旧和名は現行データの別名。
OK23-14-01,ok23-14,add_host_relation,host-ok23-20260711-0013,species-1158,ネズミエグリヒラタマルハキバガ,Acria ceramitis Meyrick,ネズミエグリキバガ,"Acria ceramitis Meyrick, 1908",source_species_exact_current_species,アカメガシワ,Mallotus japonicus,アカメガシワ,トウダイグサ科,野外（国内）,,幼虫,富樫一次 (1986),幼虫を採集し、飼育羽化した最初の食草記録,,,,,,,,ga-tsushin/jhj137.pdf,a4e505bd9574b423acd914e65148ed0ed636816c4293a0173a9e07f568e00ca6,7,183,アカメガシワ由来個体を飼育羽化。,include_direct_larval_host,2026-07-11,原PDFの学名は現行種と一致し、旧和名は現行データの別名。
OK23-15-01,ok23-15,enrich_existing_relation,hostplant-001235,species-3885,クジュウフユシャク,Inurois kyushuensis Inoue,クジュウフユシャク,"Inurois kyushuensis Inoue, 1974",source_species_exact_current_species,ミヤマキリシマ,Rhododendron kiusianum,ミヤマキリシマ,ツツジ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1; 日本の冬尺蛾; 中島秀雄 (1987),"",ミヤマキリシマ,ツツジ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1; 日本の冬尺蛾,,ga-tsushin/jhj143.pdf,a9f6edd40e8869773b74ffadb89ceed8621ab897b495fbc97a03034d68eba1ea,4;5,276;277,原PDFの摘要が幼虫による深刻な葉の食害を明記。,include_explicit_larval_defoliation_merge_existing,2026-07-11,幼虫摂食の明記と産卵基質を区別し、ミヤマハンノキは食草から除外。
OK23-15-02,ok23-15,exclude_relation,,species-3885,クジュウフユシャク,Inurois kyushuensis Inoue,クジュウフユシャク,"Inurois kyushuensis Inoue, 1974",source_species_exact_current_species,ミヤマハンノキ,Alnus maximowiczii,,,,,,,"",,,,,,,,ga-tsushin/jhj143.pdf,a9f6edd40e8869773b74ffadb89ceed8621ab897b495fbc97a03034d68eba1ea,4;5,276;277,確認されたのは枝分かれ部への卵塊付着のみで、幼虫摂食の記録ではない。,exclude_oviposition_substrate_only,2026-07-11,幼虫摂食の明記と産卵基質を区別し、ミヤマハンノキは食草から除外。
OK23-16-01,ok23-16,add_host_relation,host-ok23-20260711-0014,species-2925,チャバネツトガ,Japonichilo bleszynskii Okano,チャバネツトガ,"Japonichilo bleszynskii Okano, 1962",source_species_exact_current_species,カサスゲ,Carex amplifolia,カサスゲ,カヤツリグサ科,野外（国内）,茎・根茎,幼虫,工藤広悦 (1989),枯れた株の茎・根茎内から成熟幼虫を採集し、飼育羽化,,,,,,,,ga-tsushin/jhj151.pdf,e5f0a426f2c108882213d69d715812f1ef75786cc8ee5b8762d98f07ecfc515a,15,15,カサスゲ株内の幼虫と蛹を採集し飼育羽化。,include_direct_larval_host,2026-07-11,原PDFの学名を現行種へ直接照合。候補OCRのamplufoliaは原文amplifoliaへ訂正。
OK23-17-01,ok23-17,add_host_relation,host-ok23-20260711-0015,species-0814,ノブキヒラタマルハキバガ,Agonopterix mutuurai Saito,ヤマボクチマルハキバガ,"Agonopterix rubrovittella (Caradja, 1926)",historical_species_name_exact_current_alias,ヤマボクチ属,Synurus sp.,ヤマボクチ属,キク科,野外（国内）,,幼虫,藤沢勝利 (1989),ヤマボクチ属から多数の幼虫を得て飼育,,,,,,,,ga-tsushin/jhj153.pdf,c79c7ad2d58fdc45f05fafbe7c67c118d726405c0015b9fe30742bf8ee9f53a5,13,45,多数の標本をSynurus sp.から飼育。,include_direct_larval_host,2026-07-11,ヤマボクチ属からの多数飼育記録と、ノブキから得られなかった陰性記録を分離。
OK23-17-02,ok23-17,exclude_relation,,species-0814,ノブキヒラタマルハキバガ,Agonopterix mutuurai Saito,ヤマボクチマルハキバガ,"Agonopterix rubrovittella (Caradja, 1926)",historical_species_name_exact_current_alias,ノブキ,Adenocaulon himalaicum,,,,,,,"",,,,,,,,ga-tsushin/jhj153.pdf,c79c7ad2d58fdc45f05fafbe7c67c118d726405c0015b9fe30742bf8ee9f53a5,13,45,原PDFはノブキから幼虫を見いだせなかったとする陰性記録。,exclude_negative_host_record,2026-07-11,ヤマボクチ属からの多数飼育記録と、ノブキから得られなかった陰性記録を分離。
OK23-18-01,ok23-18,enrich_existing_relation,hostplant-004101,species-6019,タイワンハネナガモクメキリガ,Xylena changi Horie,ヒロバモクメキリガ,"Xylena changi Horie, 1993",source_species_exact_current_species,ソメイヨシノ,Prunus × yedoensis,ソメイヨシノ,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2; 西原かよ子 (1995),"",ソメイヨシノ,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ga-tsushin/jhj183.pdf,5c5dde58c7c00677cfdb1e9e3b07101bc992f167044ad7e2cae810b5211b0b2e,7;10,121;124,野外と飼育下でソメイヨシノの新芽・若葉摂食を確認。,include_direct_larval_host_merge_existing,2026-07-11,原PDFの学名を現行種へ直接照合し、野外で確認された5植物を既存関係へ統合。
OK23-18-02,ok23-18,enrich_existing_relation,hostplant-004102,species-6019,タイワンハネナガモクメキリガ,Xylena changi Horie,ヒロバモクメキリガ,"Xylena changi Horie, 1993",source_species_exact_current_species,ミミズバイ,Symplocos glauca,ミミズバイ,ハイノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2; 西原かよ子 (1995),"",ミミズバイ,ハイノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ga-tsushin/jhj183.pdf,5c5dde58c7c00677cfdb1e9e3b07101bc992f167044ad7e2cae810b5211b0b2e,7;10,121;124,野外と飼育下でミミズバイの新芽・若葉摂食を確認。,include_direct_larval_host_merge_existing,2026-07-11,原PDFの学名を現行種へ直接照合し、野外で確認された5植物を既存関係へ統合。
OK23-18-03,ok23-18,enrich_existing_relation,hostplant-004103,species-6019,タイワンハネナガモクメキリガ,Xylena changi Horie,ヒロバモクメキリガ,"Xylena changi Horie, 1993",source_species_exact_current_species,サカキ,Cleyera japonica,サカキ,モッコク科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2; 日本の冬夜蛾; 西原かよ子 (1995),"",サカキ,モッコク科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2; 日本の冬夜蛾,,ga-tsushin/jhj183.pdf,5c5dde58c7c00677cfdb1e9e3b07101bc992f167044ad7e2cae810b5211b0b2e,7;10,121;124,野外と飼育下でサカキの新芽・若葉摂食を確認。,include_direct_larval_host_merge_existing,2026-07-11,原PDFの学名を現行種へ直接照合し、野外で確認された5植物を既存関係へ統合。
OK23-18-04,ok23-18,enrich_existing_relation,hostplant-004104,species-6019,タイワンハネナガモクメキリガ,Xylena changi Horie,ヒロバモクメキリガ,"Xylena changi Horie, 1993",source_species_exact_current_species,ツバキ,Camellia japonica,ツバキ,ツバキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2; 日本の冬夜蛾; 西原かよ子 (1995),"",ツバキ,ツバキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2; 日本の冬夜蛾,,ga-tsushin/jhj183.pdf,5c5dde58c7c00677cfdb1e9e3b07101bc992f167044ad7e2cae810b5211b0b2e,7;10,121;124,野外と飼育下でツバキの新芽・若葉摂食を確認。,include_direct_larval_host_merge_existing,2026-07-11,原PDFの学名を現行種へ直接照合し、野外で確認された5植物を既存関係へ統合。
OK23-18-05,ok23-18,enrich_existing_relation,hostplant-004105,species-6019,タイワンハネナガモクメキリガ,Xylena changi Horie,ヒロバモクメキリガ,"Xylena changi Horie, 1993",source_species_exact_current_species,アラカシ,Quercus glauca,アラカシ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2; 日本の冬夜蛾; 西原かよ子 (1995),"",アラカシ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2; 日本の冬夜蛾,,ga-tsushin/jhj183.pdf,5c5dde58c7c00677cfdb1e9e3b07101bc992f167044ad7e2cae810b5211b0b2e,7;10,121;124,野外と飼育下でアラカシの新芽・若葉摂食を確認。,include_direct_larval_host_merge_existing,2026-07-11,原PDFの学名を現行種へ直接照合し、野外で確認された5植物を既存関係へ統合。
OK23-19-01,ok23-19,enrich_existing_relation,hostplant-908220,species-1558,オオスカシクロバ,Illiberis psychina (Oberthür),ミヤマスカシクロバ,"Hedina psychina (Oberthür, 1880)",historical_genus_combination_exact_current_alias,ヤマブドウ,Vitis coignetiae,ヤマブドウ,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3; 杉繁郎・川原進 (1999),ヤマブドウ上の幼虫を飼育し翌年に羽化,ヤマブドウ,ブドウ科,文献,,幼虫,日本産蛾類標準図鑑3,,ga-tsushin/jhj203.pdf,5e8e5b801d621693cf0ad61f1c44ccfc9dcd4c2e37c7f772da997d3337d5fbdc,11;12,51;52,ヤマブドウ上の幼虫を採集し飼育羽化。,include_direct_larval_host_merge_existing,2026-07-11,旧属組合せと旧和名を現行データの別名へ照合。飼育羽化した国内記録。
OK23-20-01,ok23-20,add_host_relation,host-ok23-20260711-0016,species-2531,シシンランコトリバ,Asiaephorus fukuoi Gielis & Mano,シシンラントリバ,"Asiaephorus fukuoi Gielis & Mano, 2013",source_species_exact_current_species,シシンラン,Lysionotus pauciflorus,シシンラン,イワタバコ科,野外（国内）,,幼虫,Gielis & Mano (2013),幼虫から飼育したタイプ標本に基づく食草記録,,,,,,,,tinea/tinea22-3.pdf,b0c5173ba5265acd867418af03cfec6bd6cf32fbb343d2752b67f4d015f467df,5;7,151;153,幼虫由来のホロタイプとHostplants欄で確認。,include_direct_larval_host,2026-07-11,タイプ標本の飼育記録とHostplants欄を原PDFで照合。
OK23-20-02,ok23-20,add_host_relation,host-ok23-20260711-0017,species-2531,シシンランコトリバ,Asiaephorus fukuoi Gielis & Mano,シシンラントリバ,"Asiaephorus fukuoi Gielis & Mano, 2013",source_species_exact_current_species,イワタバコ,Conandron ramondioides,イワタバコ,イワタバコ科,野外（国内）,,幼虫,Gielis & Mano (2013),幼虫から飼育したタイプ標本に基づく食草記録,,,,,,,,tinea/tinea22-3.pdf,b0c5173ba5265acd867418af03cfec6bd6cf32fbb343d2752b67f4d015f467df,5;7,151;153,幼虫由来のパラタイプとHostplants欄で確認。,include_direct_larval_host,2026-07-11,タイプ標本の飼育記録とHostplants欄を原PDFで照合。
OK23-21-01,ok23-21,add_host_relation,host-ok23-20260711-0018,species-2736,トミナガマダラメイガ,Copamyntis tominagai Yamanaka,トミナガマダラメイガ,"Copamyntis tominagai Yamanaka, 2016",source_species_exact_current_species,ナンバンサイカチ,Cassia fistula,ナンバンサイカチ,マメ科,野外（国内）,葉・花,幼虫,Yamanaka (2016),葉と花を食べていた幼虫を採集し、飼育羽化,,,,,,,,tinea/tinea23-4.pdf,8c0b515969aa9c7452105edf81073037466ea16f970ef5b2d50fb52ebef2251b,45,219,沖縄で葉・花摂食幼虫を採集し飼育羽化。,include_direct_larval_host,2026-07-11,原PDFのタイプ記載と和文摘要で幼虫の葉・花摂食を照合。
OK23-22-01,ok23-22,add_host_relation,host-ok23-20260711-0019,species-1593,アマミモモブトスカシバ,Macroscelesia amamiana Arita & Yata,アマミモモブトスカシバ,"Macroscelesia amamiana Arita & Yata, 2016",source_species_exact_current_species,アマチャヅル,Gynostemma pentaphyllum,アマチャヅル,ウリ科,野外（国内）,茎,幼虫,Arita & Yata (2016),幼虫が茎に線形長楕円状の虫こぶを形成,,,,,,,,tinea/tinea23-4.pdf,8c0b515969aa9c7452105edf81073037466ea16f970ef5b2d50fb52ebef2251b,13,187,Host plant欄と茎虫こぶ形成を確認。,include_direct_larval_host,2026-07-11,原PDFのHost plant欄と幼虫の茎虫こぶ記述を照合。
OK23-23-01,ok23-23,add_host_relation,host-ok23-20260711-0020,species-1855,スジケマダラハマキ,Lopharcha psathyra Diakonoff,スジケマダラハマキ,"Lopharcha psathyra Diakonoff, 1989",source_species_exact_current_species,シロダモ,Neolitsea sericea,シロダモ,クスノキ科,野外（国内）,果実・種子,幼虫,Nasu (2021),果実に穿入し、内部の種子を摂食する幼虫を飼育,,,,,,,,tinea/tinea26-1.pdf,83f49e95e53ce5720083a2bc8e67fd1061b05343a6a64bdc1f98afbfa3ba8881,71,69,飼育標本、Host plant欄、種子摂食記述で確認。,include_direct_larval_host,2026-07-11,原PDFの飼育標本、Host plant欄、果実・種子摂食記述を照合。
OK23-23-02,ok23-23,add_host_relation,host-ok23-20260711-0021,species-1855,スジケマダラハマキ,Lopharcha psathyra Diakonoff,スジケマダラハマキ,"Lopharcha psathyra Diakonoff, 1989",source_species_exact_current_species,クスノキ,Cinnamomum camphora,クスノキ,クスノキ科,野外（国内）,果実・種子,幼虫,Nasu (2021),果実に穿入し、内部の種子を摂食する幼虫を飼育,,,,,,,,tinea/tinea26-1.pdf,83f49e95e53ce5720083a2bc8e67fd1061b05343a6a64bdc1f98afbfa3ba8881,71,69,新規寄主として飼育標本、Host plant欄、種子摂食記述で確認。,include_direct_larval_host,2026-07-11,原PDFの飼育標本、Host plant欄、果実・種子摂食記述を照合。
