"action_id","action","insect_id","current_japanese_name","record_id","plant_name","plant_family","observation_type","plant_part","life_stage","note_type","content","canonical_reference","pdf_file","source_pdf_sha256","pdf_page","printed_page","source_heading","source_taxon","scope_classification","reviewed_on","evidence_note"
"KUA-022","add_note","species-21903","ホソガタヒメカミキリ 先島亜種","note-kamikiri-unresolved-022","","","","","","出現時期","5〜7月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","54","440-441","ホソガタヒメカミキリ","Ceresium elongatum Matsushita, 1933","source_species_level_shared","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-023","add_note","species-21903","ホソガタヒメカミキリ 先島亜種","note-kamikiri-unresolved-023","","","","","","生態情報","成虫は夜間に広葉樹の伐採木上で見られ、灯火にもよく飛来する。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","54","440-441","ホソガタヒメカミキリ","Ceresium elongatum Matsushita, 1933","source_species_level_shared","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-024","add_host","species-21938","タキグチモモブトホソカミキリ","host-kamikiri-unresolved-024","カゴノキ","クスノキ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","65","462-463","タキグチモモブトホソカミキリ","Cleomenes takiguchii Ohbayashi, 1936","exact_current_species","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-025","add_host","species-21938","タキグチモモブトホソカミキリ","host-kamikiri-unresolved-025","シロモジ","クスノキ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","65","462-463","タキグチモモブトホソカミキリ","Cleomenes takiguchii Ohbayashi, 1936","exact_current_species","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-026","add_host","species-21938","タキグチモモブトホソカミキリ","host-kamikiri-unresolved-026","アオモジ","クスノキ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","65","462-463","タキグチモモブトホソカミキリ","Cleomenes takiguchii Ohbayashi, 1936","exact_current_species","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-027","add_host","species-21938","タキグチモモブトホソカミキリ","host-kamikiri-unresolved-027","アカガシ","ブナ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","65","462-463","タキグチモモブトホソカミキリ","Cleomenes takiguchii Ohbayashi, 1936","exact_current_species","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-028","add_host","species-21938","タキグチモモブトホソカミキリ","host-kamikiri-unresolved-028","ケヤキ","ニレ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","65","462-463","タキグチモモブトホソカミキリ","Cleomenes takiguchii Ohbayashi, 1936","exact_current_species","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-029","add_note","species-21938","タキグチモモブトホソカミキリ","note-kamikiri-unresolved-029","","","","","","出現時期","6〜7月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","65","462-463","タキグチモモブトホソカミキリ","Cleomenes takiguchii Ohbayashi, 1936","exact_current_species","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-030","add_note","species-21938","タキグチモモブトホソカミキリ","note-kamikiri-unresolved-030","","","","","","生態情報","成虫はリョウブやノリウツギなどの花に集まる。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","65","462-463","タキグチモモブトホソカミキリ","Cleomenes takiguchii Ohbayashi, 1936","exact_current_species","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-031","add_host","species-22164","ヤエヤマホソバネカミキリ 八重山亜種","host-kamikiri-unresolved-031","アカメガシワ","トウダイグサ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","ヤエヤマホソバネカミキリ","Thranius multinotatus Pic, 1922","source_species_level_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-032","add_note","species-22164","ヤエヤマホソバネカミキリ 八重山亜種","note-kamikiri-unresolved-032","","","","","","生態情報","成虫はアカメガシワなどの葉上にいることが多く、夕刻は活発に飛翔する。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","ヤエヤマホソバネカミキリ","Thranius multinotatus Pic, 1922","source_species_level_shared","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-033","add_host","species-22165","ヤエヤマホソバネカミキリ 沖縄島亜種","host-kamikiri-unresolved-033","アカメガシワ","トウダイグサ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","ヤエヤマホソバネカミキリ","Thranius multinotatus Pic, 1922","source_species_level_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-034","add_note","species-22165","ヤエヤマホソバネカミキリ 沖縄島亜種","note-kamikiri-unresolved-034","","","","","","出現時期","5〜6月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","ヤエヤマホソバネカミキリ","Thranius multinotatus Pic, 1922","exact_source_subspecies","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-035","add_note","species-22165","ヤエヤマホソバネカミキリ 沖縄島亜種","note-kamikiri-unresolved-035","","","","","","生態情報","成虫はアカメガシワなどの葉上にいることが多く、夕刻は活発に飛翔する。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","ヤエヤマホソバネカミキリ","Thranius multinotatus Pic, 1922","source_species_level_shared","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-036","add_host","species-22169","トラフホソバネカミキリ 基亜種","host-kamikiri-unresolved-036","ハルニレ","ニレ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","トラフホソバネカミキリ","Thranius variegatus variegatus Bates, 1873","exact_source_subspecies","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-037","add_host","species-22169","トラフホソバネカミキリ 基亜種","host-kamikiri-unresolved-037","ムクノキ","アサ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","トラフホソバネカミキリ","Thranius variegatus variegatus Bates, 1873","exact_source_subspecies","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-038","add_host","species-22169","トラフホソバネカミキリ 基亜種","host-kamikiri-unresolved-038","ハリエンジュ","マメ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","トラフホソバネカミキリ","Thranius variegatus variegatus Bates, 1873","exact_source_subspecies","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-039","add_note","species-22169","トラフホソバネカミキリ 基亜種","note-kamikiri-unresolved-039","","","","","","出現時期","6〜8月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","トラフホソバネカミキリ","Thranius variegatus variegatus Bates, 1873","exact_source_subspecies","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-040","add_host","species-22171","トラフホソバネカミキリ トカラ中之島亜種","host-kamikiri-unresolved-040","アカメガシワ","トウダイグサ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","トラフホソバネカミキリ","Thranius variegatus variegatus Bates, 1873","historical_subspecies_concept_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-041","add_host","species-22171","トラフホソバネカミキリ トカラ中之島亜種","host-kamikiri-unresolved-041","シイ類","ブナ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","トラフホソバネカミキリ","Thranius variegatus variegatus Bates, 1873","historical_subspecies_concept_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-042","add_host","species-22171","トラフホソバネカミキリ トカラ中之島亜種","host-kamikiri-unresolved-042","ハルニレ","ニレ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","トラフホソバネカミキリ","Thranius variegatus variegatus Bates, 1873","historical_subspecies_concept_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-043","add_host","species-22171","トラフホソバネカミキリ トカラ中之島亜種","host-kamikiri-unresolved-043","ムクノキ","アサ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","トラフホソバネカミキリ","Thranius variegatus variegatus Bates, 1873","historical_subspecies_concept_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-044","add_host","species-22171","トラフホソバネカミキリ トカラ中之島亜種","host-kamikiri-unresolved-044","ハリエンジュ","マメ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","トラフホソバネカミキリ","Thranius variegatus variegatus Bates, 1873","historical_subspecies_concept_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-045","add_note","species-22171","トラフホソバネカミキリ トカラ中之島亜種","note-kamikiri-unresolved-045","","","","","","出現時期","6〜8月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","トラフホソバネカミキリ","Thranius variegatus variegatus Bates, 1873","historical_subspecies_concept_shared","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-046","add_host","species-22172","トラフホソバネカミキリ 奄美亜種","host-kamikiri-unresolved-046","タブノキ","クスノキ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","ウスグロホソバネカミキリ","Thranius variegatus obscurus Hayashi, 1962","exact_source_subspecies","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-047","add_host","species-22172","トラフホソバネカミキリ 奄美亜種","host-kamikiri-unresolved-047","アカメガシワ","トウダイグサ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","ウスグロホソバネカミキリ","Thranius variegatus obscurus Hayashi, 1962","exact_source_subspecies","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-048","add_note","species-22172","トラフホソバネカミキリ 奄美亜種","note-kamikiri-unresolved-048","","","","","","出現時期","5〜7月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","ウスグロホソバネカミキリ","Thranius variegatus obscurus Hayashi, 1962","exact_source_subspecies","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-049","add_host","species-22040","ムネモンアカネトラカミキリ 琉球北部亜種","host-kamikiri-unresolved-049","各種広葉樹","","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","76-77","484-486","ムネモンアカネトラカミキリ","Xylotrechus atronotatus Pic","source_species_level_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-050","add_host","species-22041","ムネモンアカネトラカミキリ 琉球南部亜種","host-kamikiri-unresolved-050","各種広葉樹","","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","76-77","484-486","ムネモンアカネトラカミキリ","Xylotrechus atronotatus Pic","source_species_level_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-051","add_note","species-22040","ムネモンアカネトラカミキリ 琉球北部亜種","note-kamikiri-unresolved-051","","","","","","出現時期","6〜8月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","77","486","アマミトラカミキリ","Xylotrechus atronotatus angulithorax Gressitt, 1934","exact_source_subspecies","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-052","add_note","species-22040","ムネモンアカネトラカミキリ 琉球北部亜種","note-kamikiri-unresolved-052","","","","","","生態情報","成虫は各種の伐採木に集まり、吹き上げなどでも多数採集される。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","77","486","アマミトラカミキリ","Xylotrechus atronotatus angulithorax Gressitt, 1934","exact_source_subspecies","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-053","add_note","species-22041","ムネモンアカネトラカミキリ 琉球南部亜種","note-kamikiri-unresolved-053","","","","","","出現時期","4〜10月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","77","486","ムネモンアカネトラカミキリ","Xylotrechus atronotatus generosus Matsushita, 1933","exact_source_subspecies","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
