audit_id,insect_id,japanese_name,canonical_reference,pdf_file,source_pdf_sha256,pdf_page,printed_page,note_type,approved_content,decision,replaced_record_ids,legacy_content,previous_canonical_content,rationale,taxon_scope,reviewed_on
KIRIGA-EMERGENCE-012,species-6014,ナカオビキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,3,58,出現時期,10〜11月（奄美・沖縄では12月）,replace_incorrect,note-000613;note-1004765,10～11月,10月~12月,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-013,species-6016,ホソバオビキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,3,59,出現時期,11月上旬〜12月上旬,replace_incorrect,note-000614;note-1004767,11月上旬～12月上旬,1月上旬~12月上旬,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-014,species-6019,ヒロバモクメキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,4,60,出現時期,11月〜翌年3月,merge_duplicates,note-000615;note-1004769,11～3月,11~3月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-015,species-6018,ハネナガモクメキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,4,60,出現時期,11月〜翌年3月,merge_duplicates,note-000616;note-1004771,11～3月,11~3月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-016,species-6017,アヤモクメキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,4,"60,62",出現時期,12月〜翌年3月,merge_duplicates,note-000617;note-1004773,12～3月,12~3月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-017,species-6020,キバラモクメキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,5,62,出現時期,11月〜翌年5月,replace_incorrect,note-000618,,11~4月,新値誤抽出。採用値でcanonicalを置換,species_account,2026-07-11
KIRIGA-EMERGENCE-018,species-6021,シロスジキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,5,62,出現時期,8月下旬〜9月,merge_duplicates,note-000619;note-1004775,8月下～9月,8月下旬~9月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-019,species-6025,シロクビキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,6,64,出現時期,10月頃羽化〜翌年5月,include_canonical,note-000620,,10月頃羽化し、翌年5月頃まで,canonical側のみ。原典確認済み採用値へ統一,species_account,2026-07-11
KIRIGA-EMERGENCE-020,species-6024,クモガタキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,5,63,出現時期,10月頃羽化〜翌年5月,merge_duplicates,note-000621;note-1004777,10月頃羽化し、翌年5月頃までみられる,10月頃羽化し、翌年5月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-021,species-6026,モンハイイロキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,6,64,出現時期,10月頃羽化〜翌年5月,include_missing,,,,完全欠落。採用値をcanonicalへ新規登録,species_account,2026-07-11
KIRIGA-EMERGENCE-022,species-6022,ハンノキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,6,64,出現時期,10月羽化〜翌年4月,merge_duplicates,note-000623;note-1004781,10月頃羽化し、,10月頃羽化し、翌年4月まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-023,species-6031,コケイロホソキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,6,64,出現時期,10月羽化〜翌年5月,include_missing,,,,完全欠落。採用値をcanonicalへ新規登録,species_account,2026-07-11
KIRIGA-EMERGENCE-024,species-6023,カシワキボシキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,6,65,出現時期,10月羽化〜翌年4月,merge_duplicates,note-000625;note-1004785,10月頃羽化し,10月頃羽化し、翌年4月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-025,species-6027,ウスアオキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,6,65,出現時期,10月羽化〜翌年5月,include_missing,,,,完全欠落。採用値をcanonicalへ新規登録,species_account,2026-07-11
KIRIGA-EMERGENCE-026,species-6030,アメイロホソキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,6,65,出現時期,10月羽化〜翌年5月,merge_duplicates,note-000627;note-1004788,10月頃羽化し、翌年5月頃までみられる,10月頃羽化し、翌年5月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-027,species-6029,ナカグロホソキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,7,66,出現時期,10月羽化〜翌年5月,include_canonical,note-000628,,10月頃羽化し、翌年5月頃まで,canonical側のみ。原典確認済み採用値へ統一,species_account,2026-07-11
KIRIGA-EMERGENCE-028,species-6028,カタハリキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,7,66,出現時期,10月羽化〜翌年5月,merge_duplicates,note-000629;note-1004791,10月頃羽化し、翌年5月頃までみられる,10月頃羽化し、翌年5月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-029,species-6032,サヌキキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,7,67,出現時期,11〜12月,merge_duplicates,note-000630;note-1004793,11～12月,11~12月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-030,species-6038,ヨスジノコメキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,8,68,出現時期,10月羽化〜翌年4月,merge_duplicates,note-000631;note-1004795,10月頃羽化し、翌年4月頃までみられる,10月頃羽化し、翌年4月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-031,species-6039,ヨスジキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,8,68,出現時期,10月羽化〜翌年4月,merge_duplicates,note-000632;note-1004797,10月頃羽化し、翌年4月頃までみられる,10月頃羽化し、翌年4月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-032,species-6035,ミツボシキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,8,68,出現時期,11月下旬〜翌年3月,replace_incorrect,note-000633;note-1004799,11月下旬から発生し、3月頃までみられる,1月下旬から発生し、3月頃まで,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-033,species-6037,カバイロミツボシキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,8,68,出現時期,9月下旬〜越冬後の翌年5月,merge_duplicates,note-000634;note-1004801,9月下旬から発生し、越冬後5月頃までみら,9月下旬から発生し、越冬後5月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-034,species-6036,ムラサキミツボシキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,8,69,出現時期,10月下旬羽化〜翌年3月,merge_duplicates,note-000635;note-1004803,10月下旬頃に羽化し、翌年3月頃までみら,10月下旬頃に羽化し、翌年3月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-035,species-6034,ヒダカミツボシキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,8,69-70,出現時期,飼育下では9月に羽化、野外では4月,merge_duplicates,note-000636;note-1004805,回下では9月に羽化している,飼育下では9月に羽化、野外では4月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-036,species-6033,エゾミツボシキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,9,70,出現時期,9月末羽化〜越冬後の翌年5月,merge_duplicates,note-000637;note-1004807,9月末頃に羽化し、越冬後は5月頃までみられる,9月末頃に羽化し、越冬後5月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-037,species-6040,ウスミミモンキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,9,70,出現時期,10月羽化〜翌年4月,include_canonical,note-000638,,10月~4月,canonical側のみ。原典確認済み採用値へ統一,species_account,2026-07-11
KIRIGA-EMERGENCE-038,species-6043,ヤクシマキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,9,71,出現時期,11月下旬羽化〜翌年3月,replace_incorrect,note-000639;note-1004809,川下旬頃から羽化し、翌年3月頃までみ られる,1〜2月頃から羽化し、翌年3月頃まで,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-039,species-6044,キマエキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,9,71,出現時期,10〜11月（越冬しない）,merge_duplicates,note-000640;note-1004811,10～11月に発生し、,10~11月 (越冬はしない),新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-040,species-6045,エグリキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,9,71-72,出現時期,10〜11月羽化〜越冬後の翌年5月,merge_duplicates,note-000641;note-1004813,10～11月に羽化し、越冬後5月頃までみら,10~11月に羽化し、越冬後5月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-041,species-6041,チャマダラキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,10,72,出現時期,11月羽化〜翌年3月,replace_incorrect,note-000642;note-1004815,11月頃羽化し、翌年3月頃までみられる,1月頃羽化し、翌年3月頃まで,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-042,species-6042,クロチャマダラキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,10,72,出現時期,11月羽化〜翌年3月,replace_incorrect,note-000643;note-1004817,11月頃羽化し、翌年3月頃までみられる,1月頃羽化し、翌年3月頃まで,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-043,species-6048,スミレモンキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,10,72,出現時期,11月羽化〜翌年1月まで,replace_incorrect,note-000644;note-1004819,11月頃羽化し、1月頃までみられる,1月頃羽化し、1月頃まで,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-044,species-6046,スギタニモンキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,10,73,出現時期,11月羽化〜暖地では翌年2月,replace_incorrect,note-000645;note-1004821,11月頃に羽化し、暖地では翌年2月頃まで,1月頃に羽化し、暖地では翌年2月頃まで,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-045,species-6047,ヤマノモンキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,10,73,出現時期,10〜11月羽化〜暖地では翌年1月,merge_duplicates,note-000646;note-1004823,9月中旬～10月中旬,10-11月に羽化し、暖地では1月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-046,species-6049,ツチイロキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,11,74,出現時期,9月中旬〜10月中旬,include_canonical,note-000647,,9月中旬~10月中旬,canonical側のみ。原典確認済み採用値へ統一,species_account,2026-07-11
KIRIGA-EMERGENCE-047,species-6050,イセキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,11,74,出現時期,10月下旬〜11月中旬,merge_duplicates,note-000648;note-1004825,10月下旬～11月中旬,10月下旬~11月中旬,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-048,species-6051,フサヒゲオビキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,11,74,出現時期,11月羽化〜翌年3月,replace_incorrect,note-000649;note-1004827,11月頃は見し、翌年3月頃まで生き残りが,10月~11月に羽化し、3月頃まで,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-049,species-6057,ナワキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,11,75,出現時期,11月羽化〜翌年3月,replace_incorrect,note-000650;note-1004829,11月に羽化し、翌年3月頃までみられる,1月に羽化し、翌年3月頃まで,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-050,species-6058,アマミキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,11,75-76,出現時期,1〜2月,merge_duplicates,note-000651;note-1004831,1～2月,1~2月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-051,species-6059,ヤンバルキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,12,76,出現時期,12月下旬〜翌年2月,replace_incorrect,note-000652;note-1004833,12月下旬～2月,1〜2月下旬~2月,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-052,species-6056,ゴマダラキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,12,76,出現時期,10〜11月羽化〜寒冷地では翌年5月,include_canonical,note-000653,,10~11月に羽化し、寒冷地では5月まで,canonical側のみ。原典確認済み採用値へ統一,species_account,2026-07-11
KIRIGA-EMERGENCE-053,species-6054,テンスジキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,12,76,出現時期,10〜11月羽化〜寒冷地では翌年5月,replace_incorrect,note-000654;note-1004835,10～11月に引化し冷地では511頃まで,10-11月に羽化し、寒冷地では4月まで,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-054,species-6052,カシワオビキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,12,77-78,出現時期,10〜11月羽化〜翌年4月,merge_duplicates,note-000655;note-1004837,10～11月に羽化し、翌年4月頃までみられ,10~11月に羽化し、翌年4月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-055,species-6053,ミヤマオビキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,13,78,出現時期,10〜11月羽化〜翌年4月,merge_duplicates,note-000656;note-1004839,10～11月に羽化し、寒冷地では5月頃まで,10~11月に羽化し、翌年4月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-056,species-6055,ホシオビキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,13,78,出現時期,10〜11月羽化〜寒冷地では翌年5月,include_canonical,note-000657,,10~11月に羽化し、寒冷地では5月頃まで,canonical側のみ。原典確認済み採用値へ統一,species_account,2026-07-11
KIRIGA-EMERGENCE-057,species-6065,ミスジキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,13,79,出現時期,10〜11月頃羽化〜翌年4月,merge_duplicates,note-000658;note-1004841,10～11月頃羽化し、翌年4月頃までみられ,10-11月頃羽化し、翌年4月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-058,species-6060,イチゴキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,14,80,出現時期,11月羽化〜翌年4月,replace_incorrect,note-000659;note-1004842,11月頃に羽化し、翌年4月頃までみられる,1月頃に羽化し、翌年4月頃まで,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-059,species-6064,エゾキイロキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,14,80,出現時期,9月中旬〜10月,merge_duplicates,note-000660;note-1004844,9月中旬～10月,9月中旬~10月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-060,species-6061,キイロキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,14,80,出現時期,9月下旬〜10月,merge_duplicates,note-000661;note-1004846,9月下旬～10月,9月下旬~10月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-061,species-6062,モンキキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,14,81,出現時期,9月下旬〜10月,merge_duplicates,note-000662;note-1004848,9月下旬～10月,9月下旬~10月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-062,species-6063,オオモンキキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,15,82,出現時期,9月下旬〜10月,merge_duplicates,note-000663;note-1004850,9月下旬～10月,9月下旬~10月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-063,species-6072,ヘーネアオハガタヨトウ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,15,82,出現時期,11〜12月（生残個体は翌年1月）,merge_duplicates,note-000664;note-1004852,11～12月に出現する,11~12月に出現し、生き残った個体は1月までみられる。,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-064,species-6071,ヤマトハガタヨトウ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,15,83,出現時期,11月（生残個体は翌年1月）,replace_incorrect,note-000665;note-1004854,11月に発生する,1月に発生し、生き残った個体は1月頃までみられると思われる。,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-065,species-6070,ヒマラヤハガタヨトウ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,15,83-84,出現時期,11〜12月,merge_duplicates,note-000666;note-1004856,11～12月、,11~12月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-066,species-6068,ノコメトガリキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,16,84,出現時期,10〜12月,include_canonical,note-000667,,10~12月,canonical側のみ。原典確認済み採用値へ統一,species_account,2026-07-11
KIRIGA-EMERGENCE-067,species-6066,ウスキトガリキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,16,84,出現時期,10〜11月,merge_duplicates,note-000668;note-1004858,10～11月、,10~11月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-068,species-6067,キトガリキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,16,85,出現時期,高標高では9月下旬から、低地では11月頃まで,merge_duplicates,note-000669;note-1004860,9月下旬に発生し、低地では11月頃までみられる,9月下旬に発生し、低地では11月頃まで,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
