account_number,pdf_page,printed_page,side,source_japanese_name,source_scientific_name,current_insect_ids,source_scope,application_targets,excluded_targets,scope_reason,objective_ecology,parasitism_fact,existing_note_ids,decision,evidence_note
13,7,237,right,クリヒゲマダラアブラムシ,Myzocallis kuricola (Matsumura),species-21138,species_level_unqualified,species-21138,,現行分類のTuberculatus kuricolaへ対応,新梢の茎や新葉の裏面に大きなコロニーを形成し、新梢が伸びる季節に出現する。,新梢の茎や新葉の裏面に寄生しコロニーは大きい。,note-1005214,apply_single,原PDF page-007右・冊子237頁を目視確認
14,8,238,left,アルファルファアブラムシ,Therioaphis trifolii (Monell),species-21121,species_level_unqualified,species-21121,,原典見出しは亜種を限定しない,茎や葉裏に寄生し、まれに大きなコロニーを形成する。,茎や葉裏に寄生しコロニーはまれに大きい。,,apply_single,原PDF page-008左・冊子238頁を目視確認
15,8,239,right,エノキワタアブラムシ,Shivaphis celtis Das,species-21110,species_level_unqualified,species-21110,,原典見出しは亜種を限定しない,葉裏に多く寄生して小さなコロニーを形成し、ときに葉を巻く。秋に両性世代が出現し卵態で越冬する。,葉裏に多く寄生し、ときに葉を巻く。,note-1005216|note-1005217,apply_single,原PDF page-008右・冊子239頁を目視確認
16,9,240,left,タケヒゲナガブチアブラムシ,Takecallis arundicolens (Clarke),species-21116,species_level_unqualified,species-21116,,原典見出しは亜種を限定しない,タケ・ササ類の葉裏に散在することが多く活動性が高い。,葉裏に散在することが多い。,,apply_single,原PDF page-009左・冊子240頁を目視確認
17,9,241,right,タケクロスジヒゲナガアブラムシ,Takecallis arundinariae (Essig),species-21117,species_level_unqualified,species-21117,,原典見出しは亜種を限定しない,タケ・ササ類の葉裏に寄生する。,葉裏に寄生する。,note-1005218,apply_single,原PDF page-009右・冊子241頁を目視確認
18,10,242,left,サルスベリヒゲマダラアブラムシ,Tinocallis kahawaluokalani (Kirkaldy),species-21109,species_level_unqualified,species-21109,,現行分類のSarucallis kahawaluokalaniへ対応,サルスベリの葉裏に多く、ときに新梢の茎にも寄生して大きなコロニーを形成する。大発生時にはすす病や開花減少を伴う。,葉裏に多く、ときに新梢の茎にも寄生する。,note-1005219|note-1005220,apply_single,原PDF page-010左・冊子242頁を目視確認
19,10,243,right,タカチホヒゲマダラアブラムシ,Tinocallis takachihoensis Higuchi,species-21127,species_level_unqualified,species-21127,,原典見出しは亜種を限定しない,アキニレの葉裏にコロニーを形成して寄生する。,葉裏にコロニーを形成する。,note-1005221,apply_single,原PDF page-010右・冊子243頁を目視確認
20,11,244,left,ニレヒゲマダラアブラムシ,Tinocallis ulmiparvifoliae Matsumura,species-21129,species_level_unqualified,species-21129,,原典見出しは亜種を限定しない,葉裏に散在し、コロニーを形成することは少ない。,葉裏に散在する。,,apply_single,原PDF page-011左・冊子244頁を目視確認
21,11,245,right,ケヤキヒゲマダラアブラムシ,Tinocallis zelkowae (Takahashi),species-21130,species_level_unqualified,species-21130,,原典見出しは亜種を限定しない,ケヤキの葉裏に点在しコロニーは形成しない。,葉裏に点在する。,note-1005222,apply_single,原PDF page-011右・冊子245頁を目視確認
22,12,246,left,クヌギトゲマダラアブラムシ,Tuberculatus capitatus (Essig et Kuwana),species-21141,species_level_unqualified,species-21141,,原典見出しは亜種を限定しない,コナラ属植物の葉裏に点在しコロニーはほとんど形成しない。初夏に普通にみられる。,葉裏に点在しコロニーはほとんど形成しない。,note-1005223|note-1005224,apply_single,原PDF page-012左・冊子246頁を目視確認
23,12,247,right,カバイロトゲマダラアブラムシ,Tuberculatus fulviabdominalis (Shinji),species-21131,species_level_unqualified,species-21131,,日本・韓国の旧同定を現行のTuberculatus indicusへ対応,コナラ属植物の葉裏に点在する。,葉裏に点在する。,,apply_single,原PDF page-012右・冊子247頁を目視確認
24,13,248,left,クロトゲマダラアブラムシ,Tuberculatus stigmatus (Matsumura),species-21137,species_level_unqualified,species-21137,,原典見出しは亜種を限定しない,葉裏に点在するが、多くは小さなコロニーを形成する。,葉裏に点在し小さなコロニーを形成する。,note-1005225|note-1005226,apply_single,原PDF page-013左・冊子248頁を目視確認
25,13,249,right,カシワトゲマダラアブラムシ,Tuberculatus yokoyamai (Takahashi),species-21150,species_level_unqualified,species-21150,,原典見出しは亜種を限定しない,コナラ属植物の葉裏に点在して寄生する。,葉裏に点在して寄生する。,,apply_single,原PDF page-013右・冊子249頁を目視確認
26,14,250,left,,Tuberculatus sp. A,species-23075,source_unnamed_taxon,species-23075,,原典の未同定sp. Aを同じ現行未同定レコードへ対応,コナラの葉裏で成虫は点在し、幼虫は主脈に沿って小さなコロニーを形成する。行動は活発で、山口県霜降山で6月中旬に採集された。,葉裏で成虫は点在し幼虫は主脈沿いに小コロニーを形成する。,,apply_single,原PDF page-014左・冊子250頁を目視確認
27,14,251,right,,Tuberculatus sp. B,species-23076,source_unnamed_taxon,species-23076,,原典の未同定sp. Bを同じ現行未同定レコードへ対応,シイ類の葉裏に点在し、山口県霜降山で11月上旬に採集された。,葉裏に点在して寄生する。,,apply_single,原PDF page-014右・冊子251頁を目視確認
28,15,252,left,クヌギハアブラムシ,Phloeomyzus quercus (Takahashi),species-21084,species_level_unqualified,species-21084,,現行分類のDiphyllaphis quercusへ対応,クヌギ・コナラの葉裏に小さなコロニーを形成する。,葉裏に寄生しコロニーは小さい。,,apply_single,原PDF page-015左・冊子252頁を目視確認
29,15,253,right,トウキョウカマガタアブラムシ,Yamatocallis tokyoensis (Takahashi),species-21071,species_level_unqualified,species-21071,,原典見出しは亜種を限定しない,小枝・葉柄・葉裏などに点在することが多い。秋冷期に繁殖し、高地では春から夏にもみられ、跳躍する。,小枝・葉柄・葉裏などに点在する。,note-1005227|note-1005228,apply_single,原PDF page-015右・冊子253頁を目視確認
30,16,254,left,ヤナギクロケアブラムシ,Chaitophorus saliniger Shinji,species-21171,species_level_unqualified,species-21171,,原典見出しは亜種を限定しない,ヤナギ類の新梢先端の葉裏に寄生し小さなコロニーを形成する。,新梢先端の葉裏に寄生しコロニーは小さい。,,apply_single,原PDF page-016左・冊子254頁を目視確認
31,16,255,right,,Chaitophorus sp.,species-23077,source_unnamed_taxon,species-23077,,原典の未同定sp.を同じ現行未同定レコードへ対応,ポプラの葉裏にやや大きなコロニーを形成する。,葉裏にやや大きなコロニーを形成する。,,apply_single,原PDF page-016右・冊子255頁を目視確認
32,17,256,left,モミジニタイケアブラムシ,Periphyllus californiensis (Shinji),species-21179,species_level_unqualified,species-21179,,原典見出しは亜種を限定しない,春にモミジの新梢で発生し葉裏基部に大きなコロニーを形成する。越夏型幼虫は葉裏で動かず夏を越して秋に発育を再開する。,葉裏の基部に多く集まりコロニーは大きい。,,apply_single,原PDF page-017左・冊子256頁を目視確認
33,17,257,right,マキシンハアブラムシ,Neophyllaphis podocarpi Takahashi,species-21100,species_level_unqualified,species-21100,,原典見出しは亜種を限定しない,イヌマキ類の新梢の茎や葉に寄生し葉では裏面に多い。しばしば大発生してすす病を伴う。,新梢の茎や葉に寄生し葉では裏面に多い。,note-1005229,apply_single,原PDF page-017右・冊子257頁を目視確認
34,18,258,left,オニグルミトゲアブラムシ,Dasyaphis onigurumi (Shinji),species-21081,species_level_unqualified,species-21081,,現行分類のDasyaphis rhusaeへ対応,オニグルミ類の葉裏に個々に散在して寄生する。,葉裏に散在して寄生する。,note-1005230,apply_single,原PDF page-018左・冊子258頁を目視確認
35,18,259,right,クヌギクチナガオオアブラムシ,Stomaphis quercus japonica Takahashi,species-21551,source_subspecies_named_current_species_equivalent,species-21551,,原典亜種名は現行Stomaphis japonicaの種レコードに対応,クヌギの地際の幹に寄生し、アリによって土砂で覆われる。,地際の幹に寄生する。,note-1005231,apply_single,原PDF page-018右・冊子259頁を目視確認
36,19,260,left,ヤノクチナガオオアブラムシ,Stomaphis yanonis Takahashi,species-21560,species_level_unqualified,species-21560,,原典見出しは亜種を限定しない,エノキ・ケヤキ類の地際の幹に小さなコロニーを形成し、アリが訪れて土砂で覆う。,地際の幹に寄生しコロニーは小さい。,,apply_single,原PDF page-019左・冊子260頁を目視確認
37,19,261,right,ムギヒゲナガアブラムシ,Macrosiphum avenae akebiae Shinji,species-21495,source_subspecies_named_current_species_equivalent,species-21495,,原典亜種名は現行Sitobion akebiaeの種レコードに対応,多食性で多くは茎に寄生し、ムギ類では穂を好む。,多くは茎に寄生しムギ類では穂を好む。,note-1005232,apply_single,原PDF page-019右・冊子261頁を目視確認
38,20,262,left,クマヤナギヒゲナガアブラムシ,Macrosiphum berkemiae (Shinji),species-21496,species_level_unqualified,species-21496,,現行分類のSitobion berkemiaeへ対応,クマヤナギの新梢部の葉に多く、葉表面の主脈に沿って寄生することが多い。,新梢部の葉表面の主脈に沿って寄生する。,,apply_single,原PDF page-020左・冊子262頁を目視確認
39,20,263,right,ハンショウズルヒゲナガアブラムシ,Macrosiphum clematifoliae Shinji,species-21432,species_level_unqualified,species-21432,,原典見出しは亜種を限定しない,ハンショウヅル・ボタンヅルの葉裏に散在することが多く、幼茎にも小さなコロニーを形成する。,葉裏に散在し幼茎にも小コロニーを形成する。,,apply_single,原PDF page-020右・冊子263頁を目視確認
40,21,264,left,ヤマボウシヒゲナガアブラムシ,Macrosiphum cornifoliae Shinji,species-21497,species_level_unqualified,species-21497,,現行分類のSitobion cornifoliaeへ対応,クマノミズキ・ヤマボウシの葉裏の主脈に沿って小さなコロニーを形成する。,葉裏の主脈に沿って寄生しコロニーは小さい。,note-1005233,apply_single,原PDF page-021左・冊子264頁を目視確認
41,21,265,right,チューリップヒゲナガアブラムシ,Macrosiphum euphorbiae (Thomas),species-21434,species_level_unqualified,species-21434,,原典見出しは亜種を限定しない,多食性で生長部の茎や葉裏に多く、しばしば花にも寄生する。,生長部の茎や葉裏に多くしばしば花にも寄生する。,note-1005234,apply_single,原PDF page-021右・冊子265頁を目視確認
42,22,266,left,イバラヒゲナガアブラムシ,Macrosiphum rosae ibarae Matsumura,species-21498,source_subspecies_named_current_species_equivalent,species-21498,,原典亜種名は現行Sitobion ibaraeの種レコードに対応,バラ類の新梢にきわめて大きなコロニーを形成し季節を問わず発生する。暖冬年には単性世代で越冬することがある。,新梢に多くコロニーはきわめて大きい。,note-1005235|note-1005236,apply_single,原PDF page-022左・冊子266頁を目視確認
43,22,267,right,アブラススキヒゲナガアブラムシ,Macrosiphum yasumatsui Moritsu,species-21501,species_level_unqualified,species-21501,,現行分類のSitobion yasumatsuiへ対応,アブラススキの茎に多く、とくに穂茎に多く寄生して大きなコロニーを形成する。,茎に多くとくに穂茎に多い。,note-1005237,apply_single,原PDF page-022右・冊子267頁を目視確認。既存hostplant-902258の葉裏記載は原典不一致で修正対象
44,23,268,left,ハシバミヒゲナガアブラムシ,Unisitobion corylicola (Shinji)?,species-21102,source_identification_questioned,species-21102,,原典の疑問符付き同定を現行Paratinocallis corylicolaへ対応,ヒキオコシ・ツノハシバミ・アカシデなどの葉柄や葉裏に多く、寄生葉は著しく巻縮する。,葉柄や葉裏に多く寄生し葉は著しく巻縮する。,,apply_single,原PDF page-023左・冊子268頁を目視確認
45,23,269,right,ヨモギオナガヒメヒゲナガアブラムシ,Macrosiphoniella grandicauda Takahashi et Moritsu,species-23094,species_level_unqualified,species-23094,,原典見出しは亜種を限定しない,ヨモギ・ゴボウ類の葉裏に多く、小さなコロニーを形成することが多い。,葉裏に多くコロニーは小さいことが多い。,,apply_single,原PDF page-023右・冊子269頁を目視確認
46,24,270,left,ヒコサンヒメヒゲナガアブラムシ,Macrosiphoniella hikosanensis Moritsu,species-23095,species_level_unqualified,species-23095,,原典見出しは亜種を限定しない,ヨモギ類の葉裏に中程度のコロニーを形成する。,葉裏に寄生しコロニーは中程度。,note-1005238,apply_single,原PDF page-024左・冊子270頁を目視確認
47,24,271,right,クワヤマヒメヒゲナガアブラムシ,Macrosiphoniella kuwayamai Takahashi,species-23096,species_level_unqualified,species-23096,,原典見出しは亜種を限定しない,ヨモギ類の茎上部に寄生しコロニーは小さいことが多い。,茎上部に寄生しコロニーは小さいことが多い。,note-1005239,apply_single,原PDF page-024右・冊子271頁を目視確認
48,25,272,left,キクヒメヒゲナガアブラムシ,Macrosiphoniella sanborni (Gillette),species-21430,species_level_unqualified,species-21430,,原典見出しは亜種を限定しない,キク類の生長部や葉裏に寄生してきわめて大きなコロニーを形成する。キクの普通害虫である。,生長部に多く葉裏にも寄生しコロニーはきわめて大きい。,note-1005240|note-1005241,apply_single,原PDF page-025左・冊子272頁を目視確認
49,25,273,right,ヨメナヒメヒゲナガアブラムシ,Macrosiphoniella yomenae (Shinji),species-21424,species_level_unqualified,species-21424,,原典見出しは亜種を限定しない,ヨメナ類の葉裏に大きなコロニーを形成する。西日本では12月に両性世代がみられる。,葉裏に多くコロニーは大きい。,,apply_single,原PDF page-025右・冊子273頁を目視確認
50,26,274,left,アオヒメヒゲナガアブラムシ,Macrosiphoniella yomogifoliae (Shinji),species-21431,species_level_unqualified,species-21431,,原典見出しは亜種を限定しない,ヨモギ・ハマギク類の生長部の茎や葉裏に小さなコロニーを形成する。,生長部の茎や葉裏に多くコロニーは小さい。,note-1005242,apply_single,原PDF page-026左・冊子274頁を目視確認
51,26,275,right,シャジンヒゲナガアブラムシ,Dactynotus adenophorae (Matsumura),species-23097,species_level_unqualified,species-23097,,原典見出しは亜種を限定しない,ツリガネニンジンの茎上部に多く、ときに茎全長に大きなコロニーを形成する。,茎上部に多くときに茎全長に大きなコロニーを形成する。,,apply_single,原PDF page-026右・冊子275頁を目視確認
52,27,276,left,アマミヒゲナガアブラムシ,Dactynotus amamianus (Takahashi),species-23098,species_level_unqualified,species-23098,,原典見出しは亜種を限定しない,茎上部と葉裏に寄生し、葉裏では主脈に沿うことが多く、コロニーは大きい。,茎上部と葉裏に寄生しコロニーは大きい。,note-1005243,apply_single,原PDF page-027左・冊子276頁を目視確認
53,27,277,right,ノゲシヒゲナガアブラムシ,Dactynotus cephalonopli Takahashi,species-23099,species_level_unqualified,species-23099,,原典見出しは亜種を限定しない,ノゲシ類の茎上部にきわめて大きなコロニーを形成する。,茎上部に寄生しコロニーはきわめて大きい。,,apply_single,原PDF page-027右・冊子277頁を目視確認
54,28,278,left,タイワンヒゲナガアブラムシ,Dactynotus formosanus (Takahashi),species-23100,species_level_unqualified,species-23100,,原典見出しは亜種を限定しない,茎上部に多く、ときに葉裏にも寄生してきわめて大きなコロニーを形成する。,茎上部や葉裏に寄生しコロニーはきわめて大きい。,note-1005244,apply_single,原PDF page-028左・冊子278頁を目視確認
55,28,279,right,アザミヒゲナガアブラムシ,Dactynotus giganteus (Matsumura),species-23101,species_level_unqualified,species-23101,,原典見出しは亜種を限定しない,アザミ類の茎上部や花穂に多く寄生し大きなコロニーを形成する。,茎上部や花穂に寄生しコロニーは大きい。,,apply_single,原PDF page-028右・冊子279頁を目視確認
56,29,280,left,ゴボウヒゲナガアブラムシ,Dactynotus gobonis (Matsumura),species-23102,species_level_unqualified,species-23102,,原典見出しは亜種を限定しない,春と秋にゴボウの葉裏や葉柄に大きなコロニーを形成する。西日本ではゴボウ、北日本ではオケラやベニバナの記録がある。,葉裏と葉柄に多くコロニーは大きい。,note-1005245|note-1005246,apply_single,原PDF page-029左・冊子280頁を目視確認
57,29,281,right,キキョウヒゲナガアブラムシ,Dactynotus kikioensis (Shinji),species-23103,species_level_unqualified,species-23103,,原典見出しは亜種を限定しない,キキョウ類の新芽の生長点や葉裏に寄生し、コロニーはときに大きい。,新芽の生長点や葉裏に寄生する。,,apply_single,原PDF page-029右・冊子281頁を目視確認
58,30,282,left,アキノキリンソウクロヒゲナガアブラムシ,Dactynotus lactucicola (Strand),species-23104,species_level_unqualified,species-23104,,原典見出しは亜種を限定しない,アキノノゲシ・アキノキリンソウ類の茎上部や葉裏に比較的小さなコロニーを形成する。,茎上部や葉裏に寄生しコロニーは比較的小さい。,,apply_single,原PDF page-030左・冊子282頁を目視確認
59,30,283,right,シロヤマギクヒゲナガアブラムシ,Dactynotus monticola (Takahashi),species-23105,species_level_unqualified,species-23105,,原典見出しは亜種を限定しない,イナカギク・ノコンギク類の上部の茎や葉裏に大きなコロニーを形成する。,上部の茎や葉裏に寄生しコロニーは大きい。,,apply_single,原PDF page-030右・冊子283頁を目視確認
60,31,284,left,コウゾリナヒゲナガアブラムシ,Dactynotus picridis (Fabricius),species-23106,species_level_unqualified,species-23106,,原典見出しは亜種を限定しない,コウゾリナ類の茎に多く寄生し大きなコロニーを形成する。,多くは茎に寄生しコロニーは大きい。,note-1005247,apply_single,原PDF page-031左・冊子284頁を目視確認
61,31,285,right,アキノキリンソウヒゲナガアブラムシ,Dactynotus solidaginis (Fabricius)?,species-23107,source_identification_questioned,species-23107,,原典の疑問符付き同定を同じ現行レコードへ対応,アキノキリンソウ類の茎上部に多く寄生し大きなコロニーを形成する。,茎上部に多くコロニーは大きい。,note-1005248,apply_single,原PDF page-031右・冊子285頁を目視確認
62,32,286,left,ゴンズイノフクレアブラムシ,Indomegoura indica (van der Goot),species-21411,species_level_unqualified,species-21411,,原典見出しは亜種を限定しない,ゴンズイ類の茎に寄生することが多く花梗には特に多い。大きなコロニーを形成する。,茎に多く花梗には特に多い。,,apply_single,原PDF page-032左・冊子286頁を目視確認
63,32,287,right,ソラマメヒゲナガアブラムシ,Megoura crassicauda Mordvilko,species-21454,species_level_unqualified,species-21454,,原典見出しは亜種を限定しない,春から初夏にソラマメ類の茎や葉裏に大きなコロニーを形成し活動性が高い。,茎や葉裏に寄生しコロニーは大きい。,note-1005249|note-1005250,apply_single,原PDF page-032右・冊子287頁を目視確認
64,33,288,left,ハギオナガヒゲナガアブラムシ,Megoura lespederae (Essig et Kuwana),species-21456,species_level_unqualified,species-21456,,原典見出しは亜種を限定しない,ハギ類の新梢の茎に多く葉裏にも寄生し、しばしば大きなコロニーを形成する。西日本では11月中旬に両性世代が出現する。,新梢の茎に多く葉裏にも寄生する。,note-1005251|note-1005252,apply_single,原PDF page-033左・冊子288頁を目視確認
65,33,289,right,クスオナガアブラムシ,Sinomegoura citricola (van der Goot),species-21493,species_level_unqualified,species-21493,,原典見出しは亜種を限定しない,クスノキなど多種の新梢の茎に多く葉裏にも寄生し小さなコロニーを形成する。,新梢の茎に多く葉裏にも寄生しコロニーは小さい。,,apply_single,原PDF page-033右・冊子289頁を目視確認
66,34,290,left,カナメモチオナガアブラムシ,Sinomegoura photiniae (Takahashi),species-21494,species_level_unqualified,species-21494,,原典見出しは亜種を限定しない,カナメモチ類の新梢の茎や葉裏に寄生し小さなコロニーを形成することが多い。単性世代で越冬する場合がある。,新梢の茎や葉裏に寄生しコロニーは小さいことが多い。,note-1005253|note-1005254,apply_single,原PDF page-034左・冊子290頁を目視確認
67,34,291,right,ヨメナアミナシヒゲナガアブラムシ,Acyrthosiphon asteris (Takahashi),species-23108,species_level_unqualified,species-23108,,原典見出しは亜種を限定しない,ヨメナの葉裏に大きなコロニーを形成する。,葉裏に寄生しコロニーは大きい。,,apply_single,原PDF page-034右・冊子291頁を目視確認
68,35,292,left,アザミアミナシヒゲナガアブラムシ,Acyrthosiphon cirsicola (Takahashi),species-23109,species_level_unqualified,species-23109,,原典見出しは亜種を限定しない,アザミ類の茎と葉裏に大きなコロニーを形成する。,茎と葉裏に寄生しコロニーは大きい。,note-1005255,apply_single,原PDF page-035左・冊子292頁を目視確認
69,35,293,right,カキドオシヒゲナガアブラムシ,Acyrthosiphon glechomae (Takahashi),species-23110,species_level_unqualified,species-23110,,原典見出しは亜種を限定しない,カキドオシ類の幼茎と葉裏に小さなコロニーを形成する。,幼茎と葉裏に寄生しコロニーは小さい。,note-1005256,apply_single,原PDF page-035右・冊子293頁を目視確認
70,36,294,left,ヤマブキヒゲナガアブラムシ,Acyrthosiphon kerriae (Shinji),species-21325,species_level_unqualified,species-21325,,現行分類のAulacorthum kerriaeへ対応,ヤエムグラ・ヤマブキ・フキ類の葉裏に多く、ときに茎にも寄生して小さなコロニーを形成する。,葉裏に多くときに茎にも寄生する。,,apply_single,原PDF page-036左・冊子294頁を目視確認
71,36,295,right,コンドウヒゲナガアブラムシ,Acyrthosiphon kondoi Shinji,species-23111,species_level_unqualified,species-23111,,原典見出しは亜種を限定しない,葉柄や花梗に寄生することが多くコロニーは小さい。,葉柄や花梗に多くコロニーは小さい。,note-1005257,apply_single,原PDF page-036右・冊子295頁を目視確認
72,37,296,left,アオキコブアブラムシ,Acyrthosiphon linderae (Shinji),species-21326,species_level_unqualified,species-21326,,現行分類のAulacorthum linderaeへ対応,葉裏に点在し、春に幹母が寄生した葉は巻縮する。,葉裏に点在する。,,apply_single,原PDF page-037左・冊子296頁を目視確認
73,37,297,right,ニワトコフクレアブラムシ,Acyrthosiphon magnoliae (Essig et Kuwana),species-21483,species_level_unqualified,species-21483,,現行分類のPseudomegoura magnoliaeへ対応,多食性で春に植物の生長部を好み、茎や葉裏に多い。冬寄主はニワトコである。,茎や葉裏に多い。,,apply_single,原PDF page-037右・冊子297頁を目視確認
74,38,298,left,アブラチャンコブアブラムシ,Acyrthosiphon muradachi (Shinji),species-21327,species_level_unqualified,species-21327,,現行分類のAulacorthum muradachiへ対応,アブラチャン類の葉裏に寄生する。,葉裏に寄生する。,,apply_single,原PDF page-038左・冊子298頁を目視確認
75,38,299,right,カワラヨモギヒゲナガアブラムシ,Acyrthosiphon neoartemisiae (Takahashi),species-21508,species_level_unqualified,species-21508,,現行分類のTitanosiphon neoartemisiaeへ対応,上部の茎に点在することが多くコロニーを形成することは少ない。,上部の茎に点在しコロニー形成は少ない。,note-1005258,apply_single,原PDF page-038右・冊子299頁を目視確認
76,39,300,left,ヘクソカズラヒゲナガアブラムシ,Acyrthosiphon nipponicus (Essig et Kuwana),species-21484,species_level_unqualified,species-21484,,現行分類のPseudomegoura nipponicaへ対応,ヘクソカズラ類の蔓茎や葉裏に寄生しコロニーはときに大きい。,蔓茎や葉裏に寄生する。,,apply_single,原PDF page-039左・冊子300頁を目視確認
77,39,301,right,シソヒゲナガアブラムシ,Acyrthosiphon perillae (Shinji),species-21339,species_level_unqualified,species-21339,,現行分類のAulacorthum perillaeへ対応,シソ・エゴマの葉裏に寄生し、開花期には花梗にも多い。コロニーは小さい。,葉裏に寄生し開花期には花梗にも多い。,,apply_single,原PDF page-039右・冊子301頁を目視確認
78,40,302,left,エンドウヒゲナガアブラムシ,Acyrthosiphon pisum (Harris),species-23112,species_level_unqualified,species-23112,,原典見出しは亜種を限定しない,春から初夏にエンドウ類の茎や葉裏に大きなコロニーを形成し、しばしば大発生する。,茎や葉裏に寄生しコロニーは大きい。,note-1005259|note-1005260,apply_single,原PDF page-040左・冊子302頁を目視確認
79,40,303,right,ジャガイモヒゲナガアブラムシ,Acyrthosiphon solani (Kaltenbach),species-21331,species_level_unqualified,species-21331,,現行分類のAulacorthum solaniへ対応,多食性で多種植物の葉裏に多く、小さなコロニーを形成する。,葉裏に多くコロニーは小さい。,,apply_single,原PDF page-040右・冊子303頁を目視確認
80,41,304,left,アザミキイロヒゲナガアブラムシ,Acyrthosiphon vandenboschi Hille Ris Lambers,species-21334,species_level_unqualified,species-21334,,現行分類のAulacorthum vandenboschiへ対応,ノアザミの茎上部に群棲し常に大きなコロニーを形成する。,茎上部に群棲しコロニーは常に大きい。,,apply_single,原PDF page-041左・冊子304頁を目視確認
81,41,305,right,,Acyrthosiphon sp. A,species-23078,source_unnamed_taxon,species-23078,,原典の未同定sp. Aを同じ現行未同定レコードへ対応,シラヤマギクの成葉の裏面に寄生し、下葉に多くコロニーは小さい。,成葉の裏面に寄生し下葉に多い。,,apply_single,原PDF page-041右・冊子305頁を目視確認
