insect_id,japanese_name,scientific_name,pdf_page,printed_page_spread,original_host_field,ecology_summary,classification,confirmed_additional_host_candidate,recommendation
species-10090,キンモンナガタマムシ,"Agrilus auropictus Kerremans, 1912",71,140-141,寄主植物：不明（原PDF画像確認）,5〜8月に現れるが少ない。ハゼノキのスウィーピングで得られているほか、大分県ではタブノキの衰弱木に集まることが観察された。琉球では4〜5月ごろ現れ、九州以北では6〜8月ごろ見られる。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10092,サトウナガタマムシ,"Agrilus satoi Y. Kurosawa, 1954",71,140-141,寄主植物：不明（原PDF画像確認）,カシ類の伐採木に集まる。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10095,オキナワシロテンナガタマムシ,"Agrilus inadai Fukutomi, 2006",72,142-143,寄主植物：不明（原PDF画像確認）,クスノハカエデの生葉のスウィーピングで採集されるが少ない。沖縄島北部の一部でしか採集されていない。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10101,ヤエヤマミカンナガタマムシ,"Agrilus aritai Tôyama, 1985",72,142-143,寄主植物：不明（原PDF画像確認）,正基準標本の1個体しか記録がない。アレスミカンナガタマムシに似るが、体形が太く上翅の波状紋が太いことで区別できる。基産地は石垣島平野。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10103,ウンモンナガタマムシ,"Agrilus undulatipennis Y. Kurosawa, 1976",72,142-143,寄主植物：不明（原PDF画像確認）,原産地は屋久島・麦生で、6〜7月に現れるが少ない。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10108,イマサカナガタマムシ,"Agrilus imasakai Tôyama, 1985",73,144-145,寄主植物：不明（原PDF画像確認）,大分県などで6月にシデ類のスウィーピングによって採集されている。原産地は長崎県島原山。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10110,ナオミナガタマムシ,"Agrilus naomii Tôyama, 1988",73,144-145,寄主植物：不明（原PDF画像確認）,7〜8月に現れるが少ない。産地は屋久島大川。ダイミョウナガタマムシに非常によく似るが全体に銅色の光沢を帯び、前胸腹板突起はほとんど縁取りされないことなどで区別される。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10112,ツシマナガタマムシ,"Agrilus tsushimanus Y. Kurosawa, 1963",73,144-145,寄主植物：不明（原PDF画像確認）,5〜6月に現れるが少ない。原産地は対馬上見坂〜白嶽。ヒコサンナガタマムシによく似るが、内側隆線の形や前胸腹板突起の形状で区別することができる。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10116,リュウキュウナガタマムシ,Agrilus orestes,74,146-147,寄主植物：不明（原PDF画像確認）,台湾産に基づいて記載され、日本では琉球列島に分布し、5〜7月にリュウキュウエノキの生葉のスウィーピングで採集されるが多くない。,confirmed_adult_association_host_unknown,YES,生態本文の植物関係を observation_type と life_stage で成虫関係として追加する。幼虫寄主ではなく、原典の「寄主植物：不明」は維持。
species-10121,キタウグイスナガタマムシ,Agrilus sp.1,74,146-147,寄主植物：不明（原PDF画像確認）,6〜7月にかけて、イタヤカエデやアサダのスウィーピングによって得られている。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10122,キュウシュウナガタマムシ,"Agrilus chekiangensis Gebhardt, 1928",75,148-149,寄主植物：不明（原PDF画像確認）,4〜7月に現れるが少ない。ヤマウルシのスウィーピングで得られている。原産地は中国浙江省。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10124,トヨシマナガタマムシ,"Agrilus toyoshimai Tôyama, 1988",75,148-149,寄主植物：不明（原PDF画像確認）,6月に採集されているが少ない。基産地は岐阜県飛騨金山で、伐採木（樹種不明）に飛来した個体であった。エサキナガタマムシに非常によく似るが、上翅先端がより鋭く突出することで区別される。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10126,マキハラナガタマムシ,"Agrilus makiharai Ohmomo, 2005",75,148-149,寄主植物：不明（原PDF画像確認）,記載に用いられた標本は奄美大島油井の山中に設置したマレーゼトラップに捕獲された。シバタナガタマムシによく似るが、全体が赤銅色を呈し、前胸背板の両側、上翅部および腹節第1節背面両側面（可視部）に白色剛毛からなる円形小紋を配することから区別できる。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10127,エゾナガタマムシ,"Agrilus hokkaidoensis Tôyama, 1985",75,148-149,寄主植物：不明（原PDF画像確認）,北海道幌加で7月に採集された1個体が知られるだけ。シバタナガタマムシの異名同種とされたが、産地の問題などを含めて再検討が必要なことが多いことから独立種として扱った。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10128,スギノナガタマムシ,"Agrilus suginoi Tôyama, 1985",75,148-149,寄主植物：不明（原PDF画像確認）,非常に稀で、材採集で得られた2頭の雄が記載に用いられたが、それ以降の記録がない。原産地は西表島カンビラ。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10129,ヒゲブトケシタマムシ,"Aphanisticus antennatus E. Saunders, 1873",81,160-161,寄主植物：不明（原PDF画像確認）,日本産（長崎周辺？）として記載されたが、その後の記録はなく、最近になって沖縄島や石垣島の芝生などで採集されるようになった。シバ類のみならず各種のイネ科植物をも利用し、新葉あるいは刈り込んだ後の再生葉のスウィーピングで採集される。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10130,クロケシタマムシ,"Aphanisticus congener E. Saunders, 1873",81,160-161,寄主植物：不明（原PDF画像確認）,初秋に現れて成虫で越冬し、3〜5月頃に再活動する。河川敷や草地などのイネ科植物、特に刈り込んだ後の柔らかい再生草のスウィーピングで採集されるが少ない。時に越冬中の個体が河原の石の下などから発見される。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10131,チュウジョウケシタマムシ,"Aphanisticus okinawanus Ohmomo, 2004",81,160-161,寄主植物：不明（原PDF画像確認）,秋期および4〜5月頃にイネ科草地のスウィーピングで採集される。原産地は沖縄島国頭村。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10133,キヌツヤエグリタマムシ,"Kubaniellus opacipennis opacipennis (Y. Kurosawa, 1985)",82,162-163,寄主植物：不明（原PDF画像確認）,成虫は4〜5月頃に現れ、シダ類の葉上で発見されるが少ない。原産地は石垣島オモト岳。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10134,クロエグリタマムシ,"Endelus (Endelus) bicarinatus Théry, 1932",82,162-163,寄主植物：不明（原PDF画像確認）,5〜7月頃に現れ、シダ類のスウィーピングで採集されるが少ない。原産地はベトナム北部。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10156,スジチビタマムシ,"Habroloma (Habroloma) bifrons (Kiesenwetter, 1879)",86,170-171,寄主植物：不明（原PDF画像確認）,古くは長野県軽井沢で7月中旬に記録され、その後、栃木県那須でも7〜8月に記録された。長野県軽井沢では1910年〜1930年頃の大々的な開拓時に中国北部から大量の植物が土壌とともに持ち込まれた経緯がある。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10164,ヒコサンヒラタチビタマムシ,"Habroloma (Parahabroloma) hikosanense Y. Kurosawa, 1959",87,172-173,寄主植物：不明（原PDF画像確認）,福岡県英彦山で採集された1頭に基づいて記載され、その後も僅かな個体が記録されているだけにすぎない。ナガヒラタチビタマムシに似るが、複眼の内縁が鋭く前方に突出することで区別される。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21743,ニセホソアシナガタマムシ,"Agrilus adelphinus Kerremans, 1895",77,152-153,寄主植物：不明（原PDF画像確認）,ホソアシナガタマムシと混生することが多い。ホソアシナガタマムシの青色個体によく似ているが、体形がより細身で、前胸腹板突起がホソアシナガタマムシより細くなること、雄交尾器の形状が大きく異なることで区別できる。ロシア極東部から中国、朝鮮半島を経て日本まで分布する。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21744,オオシマナガタマムシ,"Agrilus amamioshimanus Y. Kurosawa, 1964",81,160-161,寄主植物：不明（原PDF画像確認）,原産地は奄美大島八津野で、7月に現れるが少ない。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21747,ツヤケシアサギナガタマムシ,"Agrilus betuleti (Retzburg, 1867)",79,156-157,寄主植物：不明（原PDF画像確認）,6月に、シラカバのスウィーピングで採集されているが少ない。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21752,ハマナスナガタマムシ,"Agrilus cuprescens (Ménétriés, 1832)",76,150-151,寄主植物：不明（原PDF画像確認）,ハマナスの枯れ枝のビーティングで採集されるが多くなく、産地も局所的である。日本では北海道のオホーツク海沿岸の地域からのみ記録されている。ヨーロッパから極東ロシアまで広く分布する種で、個体変異が大きいために多くの異名同種が知られている。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21762,イリエナガタマムシ,"Agrilus iriei Tôyama, 1985",81,160-161,寄主植物：不明（原PDF画像確認）,4月に現れるが少ない。原産地は石垣島オモト岳。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21767,コウヨウナガタマムシ,"Agrilus koyoi Ohmomo, 2002",80,158-159,寄主植物：不明（原PDF画像確認）,7〜8月に中山間部に現れ、ヤチダモのスウィーピングで得られているが少ない。原産地は福島県南会津館岩村。,confirmed_adult_association_host_unknown,YES,生態本文の植物関係を observation_type と life_stage で成虫関係として追加する。幼虫寄主ではなく、原典の「寄主植物：不明」は維持。
species-21773,ニセシラケナガタマムシ,"Agrilus masumotoi Ohmomo, 2011",80,158-159,寄主植物：不明（原PDF画像確認）,日本各地の平野部から中山間地域に広く分布する。原産地は福島県館岩村新田原で、6月に採集されている。シラケナガタマムシによく似て混生しているが、前胸腹板突起の形、交尾器の側片が中央付近でくびれないことなどで区別される。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21783,ヤエヤマナガタマムシ,"Agrilus samuelsoni Tôyama, 1985",81,160-161,寄主植物：不明（原PDF画像確認）,4〜9月に広葉樹の梢のスウィーピングで採集されるが少ない。原産地は西表島ウシク森。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21785,シマバラナガタマムシ,"Agrilus shimabarensis Ohmomo, 2011",78,154-155,寄主植物：不明（原PDF画像確認）,6月に採集されているが少ない。原産地は長崎県島原市普賢岳。ブドウナガタマムシに似るが、前胸背板は全体に高まって中央部が平圧されることはなく、内側隆線は前半が不鮮明となることなどで区別される。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21790,アムールナガタマムシ,"Agrilus subauratus amurensis Obenberger, 1922",76,150-151,寄主植物：不明（原PDF画像確認）,北海道では7〜8月に現れ、ヤナギ類などの広葉樹のスウィーピングで採集されるが少ない。日本産はアムール地方から記載された極東・日本亜種に相当する。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21791,スギウラナガタマムシ,"Agrilus sugiurai Jendek, 2007",80,158-159,寄主植物：不明（原PDF画像確認）,宮城県の限られた地域に現れ、トネリコの混ざる広葉林でのスウィーピングで採集される。コーヨーナガタマムシに似るが、前胸腹板突起はより幅広く、複眼は小さく、触角は長いことで区別される。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21804,ワタナベナガタマムシ,"Agrilus watanabei Tôyama, 1985",78,154-155,寄主植物：不明（原PDF画像確認）,7月に現れるが少ない。原産地は屋久島大川。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21805,ワタヌキミドリナガタマムシ,"Agrilus watanukiorum Fukutomi, 2010",76,150-151,寄主植物：不明（原PDF画像確認）,6〜7月に現れ、サワシバのスウィーピングで採集されるが少ない。原産地は新潟県長岡市鋸山。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21806,ヤクシマナガタマムシ,"Agrilus yakushimensis Tôyama, 1985",78,154-155,寄主植物：不明（原PDF画像確認）,7〜8月に現れ、アカメガシワの生葉に集まるが少ない。原産地は屋久島宮之浦。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21809,ヤスマツナガタマムシ,"Agrilus yasumatsui Y. Kurosawa, 1964",81,160-161,寄主植物：不明（原PDF画像確認）,6〜7月に現れるが少ない。原産地は奄美大島役勝。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21810,ヨナハナガタマムシ,"Agrilus yonahaensis Tôyama, 1985",81,160-161,寄主植物：不明（原PDF画像確認）,6月に現れ、ハゼノキのスウィーピングで採集されるが少ない。原産地は沖縄島与那覇岳。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-21813,ヤエヤマムナビロタマムシ,"Sambus yaeyamanus Y. Kurosawa, 1985",69,136-137,寄主植物：不明（原PDF画像確認）,4〜7月に現れ、各種樹木のスウィーピングで採集される。成虫はクサギ属のタイワンウオクサギの生葉を後食する。原産地は石垣島高田。,confirmed_adult_association_host_unknown,YES,生態本文の植物関係を observation_type と life_stage で成虫関係として追加する。幼虫寄主ではなく、原典の「寄主植物：不明」は維持。
species-21828,クサビチビタマムシ,"Trachys cuneiferus Y. Kurosawa, 1959",83,164-165,寄主植物：不明（原PDF画像確認）,非常に稀で、原産地の福島県会津若松市小田山の他には長野県下で採集された1例しか記録がない。クズノチビタマムシと、ソーンダースチビタマムシの中間的特徴を備えている。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
