record_id,insect_id,japanese_name,current_plant_name,pdf_page,printed_page_spread,source_host_summary,finding,recommendation
hostplant-909159,species-10007,タマムシ,サクラ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909292,species-10007,タマムシ,クヌギ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909293,species-10007,タマムシ,ナラ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909294,species-10007,タマムシ,バラ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909295,species-10007,タマムシ,ノイバラ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909296,species-10007,タマムシ,ナシ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909297,species-10007,タマムシ,リンゴ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909298,species-10007,タマムシ,ウメ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909299,species-10007,タマムシ,ハンノキ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909300,species-10007,タマムシ,ヤシャブシ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909301,species-10007,タマムシ,ハンノキ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909302,species-10007,タマムシ,イヌシデ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909303,species-10007,タマムシ,クマシデ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909304,species-10007,タマムシ,カバノキ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909305,species-10007,タマムシ,カエデ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909306,species-10007,タマムシ,ヤナギ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909307,species-10007,タマムシ,シラカバ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909308,species-10007,タマムシ,ブドウ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909309,species-10007,タマムシ,ノブドウ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909310,species-10007,タマムシ,ヤマブドウ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909311,species-10007,タマムシ,シデ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909312,species-10007,タマムシ,アカメガシワ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909313,species-10007,タマムシ,クスノキ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909314,species-10007,タマムシ,チャ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909315,species-10007,タマムシ,ハルニレ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909316,species-10007,タマムシ,オヒョウ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909317,species-10007,タマムシ,ネムノキ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909318,species-10007,タマムシ,ヤチダモ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909319,species-10007,タマムシ,トネリコ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909320,species-10007,タマムシ,クリ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909321,species-10007,タマムシ,スギ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909322,species-10007,タマムシ,ヒノキ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909323,species-10007,タマムシ,ウツギ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909324,species-10007,タマムシ,ヨモギ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除

