audit_id,entity,action,record_ids,insect_id,note_type,match_content,field,expected_value,approved_value,plant_name,plant_family,observation_type,plant_part,life_stage,reference,notes,source_pdf_file,source_pdf_sha256,pdf_page,printed_page,evidence,decision,reviewed_on,note_page,note_year
BUP-015B,hostplant,add_host_relation,hostplant-tamamushi-21813-taiwan-uokusa,species-21813,,,notes,原典の寄主植物欄は「不明」。幼虫寄主ではなく成虫の後食記録。,幼虫寄主ではなく成虫の後食記録,タイワンウオクサギ,シソ科,後食,葉,成虫,日本産タマムシ大図鑑,幼虫寄主ではなく成虫の後食記録,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,69,136-137,原文は「成虫はクサギ属のタイワンウオクサギの生葉を後食する」。plant_partはサイト標準の「葉」へ正規化し、寄主植物欄は不明のまま保持。,include_adult_feeding_not_larval_host,2026-07-11,,
BUP-006,general_note,replace_note_content,,species-10004,生態情報,幼虫はオオイタビ、イヌビワなどのクワ科イチジク属植物の葉虫として葉に潜り込み、内部組織を食害する。成虫はこれらの葉上に3〜6月頃に現れる。,,,幼虫はオオイタビ、イヌビワなどのクワ科イチジク属植物の潜葉虫として生葉に潜り込み、内部組織を食害する。成虫はこれらの葉上に3〜6月頃に現れる。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,55,108-109,原文は「潜葉虫として生葉に潜り込み」。,replace_ocr_or_content_error,2026-07-11,,
BUP-007,general_note,replace_note_content,,species-10029,生態情報,5〜8月にマツ類の枯れ木や伐採木に集まり、特に後半はヒメコマツやゴヨウマツの孤立木樹冠に集まる。日本を代表する珍品美麗種。,,,5〜8月にマツ類の枯れ木や伐採木に集まり、特に雌はヒメコマツやゴヨウマツの孤立木樹冠に集まる。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,61,120-121,原文の「特に雌は」を「特に後半は」と誤読。主観的な珍品美麗評価は生態本文から除外。,replace_ocr_or_content_error,2026-07-11,,
BUP-008,general_note,replace_note_content,,species-10030,生態情報,7〜8月にドロノキの木幹に飛来する個体が採集され、生葉に飛来した記録もある。北海道から僅かな個体が稀に採集されただけで、非常に美しいタマムシ。,,,原産地はシベリア東部で、7〜8月にドロノキの木幹に飛来する個体が採集され、生葉に飛来した記録もある。日本では北海道から僅かな個体が偶然に採集されただけである。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,61,120-121,原文の事実記述を復元し、主観的な美麗評価を生態本文から除外。,replace_ocr_or_content_error,2026-07-11,,
BUP-009A,general_note,replace_note_content,,species-10057,生態情報,7月にブナ帯のスウィーピングで採集されるが少ない。原産地は和歌山県護摩増山。種小名は発見者である的場績氏に献名された。,,7月にブナ帯のスウィーピングで採集されるが少ない。原産地は和歌山県護摩壇山。種小名は発見者である的場績氏に献名された。,7月にブナ帯のスウィーピングで採集されるが少ない。原産地は和歌山県護摩壇山。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,66,130-131,原文・地名は和歌山県護摩壇山。,replace_ocr_or_content_error,2026-07-11,,
BUP-009B,general_note,replace_note_content,,species-10067,生態情報,6〜9月にブナ帯に現れるが少ない。従来はブナ科の木に飛来した個体や飛翔中の個体が偶然に採集されていたが、最近はミズナラの高所枝先のスウィーピングによって採集できることがわかってきた。原産地は和歌山県護摩増山。,,,6〜9月にブナ帯に現れるが少ない。従来はブナ科の木に飛来した個体や飛翔中の個体が偶然に採集されていたが、最近はミズナラの高所枝先のスウィーピングによって採集できることがわかってきた。原産地は和歌山県護摩壇山。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,67,132-133,原文・地名は和歌山県護摩壇山。,replace_ocr_or_content_error,2026-07-11,,
BUP-010,general_note,replace_note_content,,species-10086,生態情報,7〜8月に現れるが稀。岡山県では、フジキやユクノキに飛来した個体が採集されている。原産地は静岡県型岳。,,,7〜8月に現れるが稀。岡山県では、フジキやユクノキに飛来した個体が採集されている。原産地は静岡県聖岳。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,71,140-141,原文・地名は静岡県聖岳。,replace_ocr_or_content_error,2026-07-11,,
BUP-011,general_note,replace_note_content,,species-10150,生態情報,コウゾ、カジノキ、ツルコウゾ、ヤマグワなどに普通に見られる。種小名は食草であるコウゾの無名に由来する。原産地は東京都世田谷区砧。,,,コウゾ、カジノキ、ツルコウゾ、ヤマグワなどに普通に見られる。種小名は食草であるコウゾの属名に由来する。原産地は東京都世田谷区砧。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,84,166-167,原文はコウゾの「属名」に由来。,replace_ocr_or_content_error,2026-07-11,,
BUP-012,general_note,replace_note_content,,species-10160,生態情報,平野部から中山間地域のアカガシやクヌギなどの枝先を揃って採集されるが多くない。原産地は長崎市で、宮城県奥新川（作並温泉）が北限の産地。,,,平野部から中山間地域のアカガシやクヌギなどの枝先を掬って採集されるが多くない。原産地は長崎市で、宮城県奥新川（作並温泉）が北限の産地。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,86,170-171,原文は枝先を「掬って」採集。,replace_ocr_or_content_error,2026-07-11,,
BUP-015A,general_note,replace_note_content,,species-21813,生態情報,4〜7月に現れ、各種木のスウィーピングで採集される。幼虫はクサギ属のタイワンウオクサギの生葉を後食する。原産地は石垣島高田。,,,4〜7月に現れ、各種樹木のスウィーピングで採集される。成虫はクサギ属のタイワンウオクサギの生葉を後食する。原産地は石垣島高田。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,69,136-137,原文は「各種樹木」かつ「成虫は…生葉を後食」。寄主植物欄は不明。,replace_ocr_or_content_error,2026-07-11,,
BUP-DUP-006K,general_note,replace_note_content,,species-10096,生態情報,平野部から山間部に現れ、カキ類を食害する。河原の議木ヤナギ類の生木から採集される個体は全体にやや光沢が強く、前胸背板の側線は金緑赤色を帯びることなどからカキを寄主とする個体群とは明らかに異なり、ヒメクロツヤナガタマムシとして記載されたが、この違いは寄主植物の違いによる変異と考えられ異名同種とされた。,,平野部から山間部に現れ、カキ類を食害する。河原の灌木ヤナギ類の生葉から採集される個体は全体にやや光沢が強く、前胸背板の側縁は金緑赤色を帯びることなどからカキを寄主とする個体群とは明らかに異なり、ヒメクロツヤナガタマムシとして記載されたが、この違いは寄主植物の違いによる変異と考えられ異名同種とされたが疑問が残る。,平野部から山間部に現れ、カキ類を食害する。河原の灌木ヤナギ類の生葉から採集される個体は全体にやや光沢が強く、前胸背板の側縁は金緑赤色を帯びる。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,72,142-143,原文の客観部分は「灌木ヤナギ類の生葉」「前胸背板の側縁」。異名同種とする解釈と「疑問が残る」は公開生態情報から除外。,replace_ocr_and_publish_objective_sentences,2026-07-11,,
BUP-DUP-008K,general_note,replace_note_content,,species-10102,生態情報,成虫はハマセンダンの生木に飛来する。原名亜種は台湾産。日本産（日本亜種）は全体に赤みを帯びた唐金色を呈する。,,,成虫は4〜8月に現れ、ハマセンダンの生葉に飛来する。原名亜種は台湾産。日本産（日本亜種）は全体に赤みを帯びた唐金色を呈する。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,72,142-143,原文は4〜8月に現れ「生葉」に飛来。,replace_ocr_or_content_error,2026-07-11,,
BUP-DUP-012K,general_note,replace_note_content,,species-10138,生態情報,3〜6月にクズの葉上で普通に見つかるが、東北地方北部から北海道では稀。日本産に基づいて記載されたが、中国からインドシナ地域に広く分布する。,,,5〜6月にクズの葉上で普通に見つかるが、東北地方北部から北海道では稀。日本産に基づいて記載されたが、中国からインドシナ地域に広く分布する。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,83,164-165,原文は5〜6月。,replace_ocr_or_content_error,2026-07-11,,
BUP-DUP-001,general_note,delete_note_content,,species-10009,生態情報,成虫はマテバシイ、ウバメガシ、スダジイ、ホルトノキ、カシ類などに集まる。,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,57,112-113,同一種解説から抽出された短い部分集合。長い生態本文と出現時期行を保持。,exclude_duplicate_subset,2026-07-11,,
BUP-DUP-002,general_note,delete_note_content,,species-10016,生態情報,成虫はミズナラやクリの枯れ枝に集まる。,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,59,116-117,同一種解説から抽出された短い部分集合。長い生態本文と出現時期行を保持。,exclude_duplicate_subset,2026-07-11,,
BUP-DUP-003,general_note,delete_note_content,,species-10045,生態情報,成虫はクリやアベマキの枯れ枝や伐採枝に集まる。,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,64,126-127,同一種解説から抽出された短い部分集合。長い生態本文と出現時期行を保持。,exclude_duplicate_subset,2026-07-11,,
BUP-DUP-004,general_note,delete_note_content,,species-10070,生態情報,大分県ではエゴノキのスウィーピングで得られている。,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,68,134-135,同一種解説から抽出された短い部分集合。長い生態本文と出現時期行を保持。,exclude_duplicate_subset,2026-07-11,,
BUP-DUP-005,general_note,delete_note_content,,species-10090,生態情報,ハゼノキのスウィーピングで得られているほか、大分県ではタブノキの衰弱木に集まることが観察された。,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,71,140-141,同一種解説から抽出された短い部分集合。長い生態本文と出現時期行を保持。,exclude_duplicate_subset,2026-07-11,,
BUP-DUP-006,general_note,delete_note_content,,species-10096,生態情報,カキ類を食害する。河原の湿木ヤナギ類の生葉から採集される個体群は別種の可能性がある。,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,72,142-143,同一種解説から抽出された短い部分集合。長い生態本文と出現時期行を保持。,exclude_duplicate_subset,2026-07-11,,
BUP-DUP-007,general_note,delete_note_content,,species-10100,生態情報,ミカンの害虫として知られる。,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,72,142-143,同一種解説から抽出された短い部分集合。長い生態本文と出現時期行を保持。,exclude_duplicate_subset,2026-07-11,,
BUP-DUP-008,general_note,delete_note_content,,species-10102,生態情報,成虫は、ハマセンダンの生葉に飛来する。,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,72,142-143,同一種解説から抽出された短い部分集合。長い生態本文と出現時期行を保持。,exclude_duplicate_subset,2026-07-11,,
BUP-DUP-009,general_note,delete_note_content,,species-10105,生態情報,ツツジ類のひこばえやそだに集まる。,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,73,144-145,同一種解説から抽出された短い部分集合。長い生態本文と出現時期行を保持。,exclude_duplicate_subset,2026-07-11,,
BUP-DUP-010,general_note,delete_note_content,,species-10109,生態情報,奄美大島ではトキワガキやマメガキから羽化脱出している。,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,73,144-145,同一種解説から抽出された短い部分集合。長い生態本文と出現時期行を保持。,exclude_duplicate_subset,2026-07-11,,
BUP-DUP-011,general_note,delete_note_content,,species-10125,生態情報,シイ類を加害する。,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,75,148-149,同一種解説から抽出された短い部分集合。長い生態本文と出現時期行を保持。,exclude_duplicate_subset,2026-07-11,,
BUP-DUP-012,general_note,delete_note_content,,species-10138,生態情報,成虫はクズの葉上で普通に見つかる。,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,83,164-165,同一種解説から抽出された短い部分集合。長い生態本文と出現時期行を保持。,exclude_duplicate_subset,2026-07-11,,
BUP-016,general_note,add_note,note-tamamushi-10007-ecology-source-audit,species-10007,生態情報,,,,南東北地方以南に産し、6〜8月にエノキ、ケヤキ、サクラ類などの林木の太めの枯れ枝に集まる。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,56,110-111,PDF56のタマムシ種解説本文。誤配属されたサビナカボソタマムシ本文を移した後に欠ける正しい生態を補う。,include_source_ecology,2026-07-11,,
BUP-017,general_note,replace_note_content,,species-10001,生態情報,波照間島では成虫がハマボウの花弁を後食する様子が観察された。アデクより羽化脱出した個体を確認。フィリピンに分布する近縁種はマメ科木の花に集まり、同木の充した幹に産卵する。,,,波照間島では成虫がハマボウの花弁を後食する様子が観察された。アデクより羽化脱出した個体を検したことがある。インドシナ半島に分布する近縁種 Acmaeodera stictipennis coomani はマメ科高木の花に集まり、同木の衰弱した幹に産卵する様子がタイ国で観察された。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,55,108-109,原文はアデクからの羽化個体を「検したことがある」。近縁種の地域はインドシナ半島で、マメ科高木の衰弱した幹への産卵をタイ国で観察した記述。,replace_ocr_or_content_error,2026-07-11,,
BUP-018,general_note,replace_note_content,,species-10006,生態情報,幼虫はイチジク属植物の葉虫で、成虫はこれらの葉上に3〜6月頃に現れる。沖縄島産・石垣島産・与那国島産はそれぞれ別亜種とされる。,,,幼虫はイチジク属植物の潜葉虫で、成虫はこれらの葉上に3〜6月頃に現れる。沖縄島産・石垣島産・与那国島産はそれぞれ別亜種とされる。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,56,110-111,原文は「潜葉虫」。,replace_ocr_or_content_error,2026-07-11,,
BUP-019,general_note,replace_note_content,,species-10011,生態情報,5〜7月に発生し、アアクヤシマシャリンパイに集まる。小笠原諸島の固有種で、父島と母島には原名亜種が分布し、媒島には全体が黒茶色となる亜種が分布する。,,,5〜7月に発生し、アデクやシマシャリンバイに集まる。小笠原諸島の固有種で、父島と母島には原名亜種が分布し、聟島には全体が黒紫色となる聟島亜種が分布する。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,57,112-113,原文は「アデクやシマシャリンバイ」「聟島」「黒紫色」「聟島亜種」。,replace_ocr_or_content_error,2026-07-11,,
BUP-020,general_note,replace_note_content,,species-10019,生態情報,6〜8月に現れ、ハルニレの枯れ枝や伐水に集まる。シベリア東部から朝鮮半島を経て九州に分布する個体は九州・大陸亜種で、北海道と本州北部に分布する北日本亜種と区別される。,,,6〜8月に現れ、ハルニレの枯れ枝や伐採木に集まる。シベリア東部から朝鮮半島を経て九州に分布する個体は九州・大陸亜種で、北海道と本州北部に分布する北日本亜種と区別される。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,59,116-117,原文は「伐採木」。,replace_ocr_or_content_error,2026-07-11,,
BUP-021,general_note,replace_note_content,,species-10020,生態情報,6〜8月にハルニレ高木上に見られるが、現在知られる産地は長野県、群馬県武山、岩手県と北部北上山地だけで、珍しい種である。,,,6〜8月にハルニレ高木葉上に見られるが、現在知られる産地は長野県、群馬県武尊山、岩手県北部北上山地だけで、珍しい種である。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,59,116-117,原文は「高木葉上」「群馬県武尊山」「岩手県北部北上山地」。,replace_ocr_or_content_error,2026-07-11,,
BUP-022,general_note,replace_note_content,,species-10027,生態情報,7〜8月に現れ、リュウキュウマツの立ち枯れや伐採木に集まる。沖縄では材から割り出しされた。台湾産に基づいて記載された種で、日本では沖縄に分布する。種小名は江崎悌三博士に献名された。,,7〜8月に現れ、リュウキュウマツの立ち枯れや伐採木に集まる。沖縄島では材から割り出された1頭が知られているのみ。台湾産に基づいて記載された種で、日本では沖縄島に分布する。種小名は江崎悌三博士に献名された。,7〜8月に現れ、リュウキュウマツの立ち枯れや伐採木に集まる。沖縄島では材から割り出された1頭が知られているのみ。台湾産に基づいて記載された種で、日本では沖縄島に分布する。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,61,120-121,原文は沖縄島で材から割り出された1頭のみと記載。,replace_ocr_or_content_error,2026-07-11,,
BUP-023,general_note,replace_note_content,,species-10047,生態情報,3〜9月に現れ、カシ類やシイ類の枯れ木に集まる。八重山諸島には4枚型のみを産し、別亜種として区別される。,,,3〜9月に現れ、カシ類やシイ類の枯れ木に集まる。八重山諸島には4紋型のみを産し、別亜種として区別される。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,64,126-127,原文は「4紋型」。,replace_ocr_or_content_error,2026-07-11,,
BUP-024,general_note,replace_note_content,,species-10048,生態情報,6月に現れ、ムニンエノキやモモタマナの枯れ木に集まる。日本産本属中の最美種。母島産は前胸背板や上翅の点刻および色が父島産の原名亜種とは異なることから別亜種とされる。,,,6月に現れ、ムニンエノキやモモタマナの枯れ木に集まる。母島産は前胸背板や上翅の点刻および色が父島産の原名亜種とは異なることから別亜種とされる。,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,64,126-127,「最美種」は鑑賞上の主観的評価で、生態情報から除外。,exclude_subjective_commentary,2026-07-11,,
