audit_id,token,replacement,source,source_pdf_file,source_pdf_sha256,plant_name,pdf_page,printed_page,decision,reviewed_on,review_note
wildplants-ocr-token-012,洗水,沈水,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ナガバエビモ,53,104,confirmed,2026-07-12,置換対応を代表原画像（冊子p.104・左頁、ナガバエビモ）で確認。原字「沈水」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-013,地瑚礁,珊瑚礁,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ボウアマモ,55,109,confirmed,2026-07-12,置換対応を代表原画像（冊子p.109・右頁、ボウアマモ）で確認。原字「珊瑚礁」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-014,吐感喇,吐噶喇,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アダン,61,120,confirmed,2026-07-12,置換対応を代表原画像（冊子p.120・左頁、アダン）で確認。原字「吐噶喇」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-015,治海地,沿海地,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,タコノキ,61,120,confirmed,2026-07-12,置換対応を代表原画像（冊子p.120・左頁、タコノキ）で確認。原字「沿海地」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-016,酸陵品,鬱陵島,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ホウチャクソウ,63,125,confirmed,2026-07-12,置換対応を代表原画像（冊子p.125・右頁、ホウチャクソウ）で確認。原字「鬱陵島」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-017,広薬,広葉,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,レンギョウエビネ,72,143,confirmed,2026-07-12,置換対応を代表原画像（冊子p.143・右頁、レンギョウエビネ）で確認。原字「広葉」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-018,東開アジア,東南アジア,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,トクサラン,74,146,confirmed,2026-07-12,置換対応を代表原画像（冊子p.146・左頁、トクサラン）で確認。原字「東南アジア」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-019,落薬,落葉,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アオキラン,77,153,confirmed,2026-07-12,置換対応を代表原画像（冊子p.153・右頁、アオキラン）で確認。原字「落葉」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-020,針薬,針葉,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,コイチヨウラン,77,152,confirmed,2026-07-12,置換対応を代表原画像（冊子p.152・左頁、コイチヨウラン）で確認。原字「針葉」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-021,フィリビン,フィリピン,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヤクシマヒメアリドオシラン,81,161,confirmed,2026-07-12,置換対応を代表原画像（冊子p.161・右頁、ヤクシマヒメアリドオシラン）で確認。原字「フィリピン」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-022,阪島,薩摩半島,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヤクシマヒメアリドオシラン,81,161,confirmed,2026-07-12,置換対応を代表原画像（冊子p.161・右頁、ヤクシマヒメアリドオシラン）で確認。原字「薩摩半島」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-023,針業荷林,針葉樹林,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒトツバキソチドリ,87,173,confirmed,2026-07-12,置換対応を代表原画像（冊子p.173・右頁、ヒトツバキソチドリ）で確認。原字「針葉樹林」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-024,広楽林,広葉樹林,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヤクシマネッタイラン,89,177,confirmed,2026-07-12,置換対応を代表原画像（冊子p.177・右頁、ヤクシマネッタイラン）で確認。原字「広葉樹林」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-025,広業林,広葉樹林,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒメトケンラン,89,176,confirmed,2026-07-12,置換対応を代表原画像（冊子p.176・左頁、ヒメトケンラン）で確認。原字「広葉樹林」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-026,琉琉球,琉球,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヤンバルキヌラン,90,179,confirmed,2026-07-12,置換対応を代表原画像（冊子p.179・右頁、ヤンバルキヌラン）で確認。原字「琉球」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-027,道ぼた,道ばた,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ルリニワゼキショウ,92,182,confirmed,2026-07-12,置換対応を代表原画像（冊子p.182・左頁、ルリニワゼキショウ）で確認。原字「道ばた」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-028,温原,湿原,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アカンスゲ,117,233,confirmed,2026-07-12,置換対応を代表原画像（冊子p.233・右頁、アカンスゲ）で確認。原字「湿原」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-029,掃化,帰化,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,タチイチゴツナギ,157,312,confirmed,2026-07-12,置換対応を代表原画像（冊子p.312・左頁、タチイチゴツナギ）で確認。原字「帰化」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-030,探集,採集,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,タイワンヤマモガシ,199,396,confirmed,2026-07-12,置換対応を代表原画像（冊子p.396・左頁、タイワンヤマモガシ）で確認。原字「採集」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-031,昼久島,屋久島,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,オモロカズラ,218,434,confirmed,2026-07-12,置換対応を代表原画像（冊子p.434・左頁、オモロカズラ）で確認。原字「屋久島」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-032,植裁,植栽,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,オオバアコウ,254,506,confirmed,2026-07-12,置換対応を代表原画像（冊子p.506・左頁、オオバアコウ）で確認。原字「植栽」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-033,吐感射列島,吐噶喇列島,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,コミヤマミズ,259,516,confirmed,2026-07-12,置換対応を代表原画像（冊子p.516・左頁、コミヤマミズ）で確認。原字「吐噶喇列島」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-034,薬は,葉は,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,タマアジサイ,113,224,confirmed,2026-07-12,置換対応を代表原画像（冊子p.224・左頁、タマアジサイ）で確認。原字「葉は」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-035,以商,以南,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ナガミボチョウジ,152,302,confirmed,2026-07-12,置換対応を代表原画像（冊子p.302・左頁、ナガミボチョウジ）で確認。原字「以南」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-036,薬が,葉が,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,リュウキュウモクセイ,182,362,confirmed,2026-07-12,置換対応を代表原画像（冊子p.362・左頁、リュウキュウモクセイ）で確認。原字「葉が」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-037,專の形質,葉の形質,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ホウライムラサキ,197,393,confirmed,2026-07-12,置換対応を代表原画像（冊子p.393・右頁、ホウライムラサキ）で確認。原字「葉の形質」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-038,化序,花序,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ホウライムラサキ,197,393,confirmed,2026-07-12,置換対応を代表原画像（冊子p.393・右頁、ホウライムラサキ）で確認。原字「花序」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-039,吐畷射列島,吐噶喇列島,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,オキナワハグマ,241,481,confirmed,2026-07-12,置換対応を代表原画像（冊子p.481・右頁、オキナワハグマ）で確認。原字「吐噶喇列島」の字形を確認した。公開文中の全出現を目視監査したものではない。
