audit_id,source,source_pdf_file,source_pdf_sha256,plant_name,corrected_plant_name,scientific_name,corrected_scientific_name,family,corrected_family,family_latin,corrected_family_latin,genus_jp,corrected_genus_jp,genus_scientific,corrected_genus_scientific,pdf_page,printed_page,reviewed_on,review_note
wildplants-name-integrity-0034,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,テリハツルウメモドキ,,Celastrus punetatus,Celastrus punctatus,,,,,,,,,291,581,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0035,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,グミモドキ,,Croton cascariloides,Croton cascarilloides,,,,,,,,,297,593,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0036,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,キツネヤナギ,,Salis vulpina,Salix vulpina,,,,,,,,,23,45,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0037,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,シバヤナギ,,Salix japoniea,Salix japonica,,,,,,,,,24,46,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0038,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,キンシバイ,,Hyperieum patulum,Hypericum patulum,,,,,,,,,36,70,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0039,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ハゼノキ,,Toxicodendron suecedaneum,Toxicodendron succedaneum,,,,,,,,,50,99,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0040,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,クスノハカエデ,,Aeer itoanum,Acer itoanum,,,,,,,,,54,106,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0041,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ミツデカエデ,,Acer eissifolium,Acer cissifolium,,,,,,,,,54,106,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0042,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,アプクマトラノオ,アブクマトラノオ,Bistorta abukumensis,,,,,,,,,,84,166,2026-07-12,原PDF高解像度画像の種見出し「アブクマトラノオ Bistorta abukumensis」を目視確認。和名の濁点がOCR欠落。
wildplants-name-integrity-0043,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ホソバノウナギツカミ,,Persiearia praetermissa,Persicaria praetermissa,,,,,,,,,87,172,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0044,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ギシギシ,,Rumex japonieus,Rumex japonicus,,,,,,,,,89,177,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0045,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ハマヒサカキ,,Ewrya emarginata,Eurya emarginata,,,,,,,,,116,230,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0046,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,オカトラノオ,,Lysimaehia clethroides,Lysimachia clethroides,,,,,,,,,121,240,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0047,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,アマシバ,,Symploeos formosana,Symplocos formosana,,,,,,,,,126,250,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0048,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ミヤママタタビ,,Aetinidia kolomikta,Actinidia kolomikta,,,,,,,,,128,255,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0049,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,アズマシャクナゲ,,Rhododendron degroniamum,Rhododendron degronianum,,,,,,,,,136,270,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0050,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ハクサンシャクナゲ,,Rhododendron brachyearpum,Rhododendron brachycarpum,,,,,,,,,136,270,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0051,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,マルバチシャノキ,,Ehretia dieksonii,Ehretia dicksonii,,,,,,,,,175,348,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0052,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ミヤマイボタ,,Ligustrum tsehonoskii,Ligustrum tschonoskii,,,,,,,,,181,361,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0053,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,タチイヌノフグリ,,Veroniea arvensis,Veronica arvensis,,,,,,,,,190,378,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0054,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,オオバシマムラサキ,,Calliearpa subpubescens,Callicarpa subpubescens,,,,,,,,,198,394,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0055,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,シソバタツナミ,,Seutellaria laeteviolacea,Scutellaria laeteviolacea,,,,,,,,,203,404,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0056,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,プゾロイバナ,ブゾロイバナ,Anisomeles indica,,,,,,,,,,204,406,2026-07-12,原PDF高解像度画像の属見出し・種見出し「ブゾロイバナ」を目視確認。和名の濁点がOCR欠落。
wildplants-name-integrity-0057,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,アキノタムラソウ,,Salvia japoniea,Salvia japonica,,,,,,,,,212,422,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0058,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,エゾノサワアザミ,,Cirsium peetinellum,Cirsium pectinellum,,,,,,,,,249,496,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0059,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ハバヤマボクチ,,Syuurus excelsus,Synurus excelsus,,,,,,,,,259,516,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0060,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,タカネニガナ,,Ixeridium alpieola,Ixeridium alpicola,,,,,,,,,261,521,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0061,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ベニバナボロギク,,Crassocephalum erepidioides,Crassocephalum crepidioides,,,,,,,,,268,535,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0062,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,ハンゴンソウ,,Seneeio cannabifolius,Senecio cannabifolius,,,,,,,,,273,545,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0063,日本の野生植物 第2巻,日本の野生植物 2- ミゾハコベ科～スイカズラ科 ―フィールド版―改訂新版.pdf,2d104638c72cbfc58f17ab38223bce3d7798f72abc2d14fa4495a3a7546f3b12,フキ,,Petasites japonieus,Petasites japonicus,,,,,,,,,273,544,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
