audit_id,source,source_pdf_file,source_pdf_sha256,plant_name,audit_category,current_value,reference_value,decision,verified_value,pdf_page,printed_page,reviewed_on,verification_method,review_note
wildplants-taxonomy-followup-0011,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ササユリ,possible_ocr_latin_typo_against_ylist,Lilium japonieum,Lilium japonicum,correct_ocr,Lilium japonicum var. japonicum,67,132,2026-07-12,original_pdf_visual_review,PDF p.67（冊子p.132、左頁）の種見出しを原画像で目視し「Lilium japonicum var. japonicum」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0012,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,テッポウユリ,possible_ocr_latin_typo_against_ylist,Lilium longilorum,Lilium longiflorum,correct_ocr,Lilium longiflorum,67,132,2026-07-12,original_pdf_visual_review,PDF p.67（冊子p.132、左頁）の種見出しを原画像で目視し「Lilium longiflorum」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0013,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヤマユリ,possible_ocr_latin_typo_against_ylist,Liium auratum,Lilium auratum,correct_ocr,Lilium auratum var. auratum,67,132,2026-07-12,original_pdf_visual_review,PDF p.67（冊子p.132、左頁）の種見出しを原画像で目視し「Lilium auratum var. auratum」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0014,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヤマホトトギス,possible_ocr_latin_typo_against_ylist,Tricyrtis maeropoda,Tricyrtis macropoda,correct_ocr,Tricyrtis macropoda,68,134,2026-07-12,original_pdf_visual_review,PDF p.68（冊子p.134、左頁）の種見出しを原画像で目視し「Tricyrtis macropoda」と確認。現行scientific_nameはOCR文字誤り。 genus欄も同じ属見出しに合わせる必要がある。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0015,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ハクサンチドリ,possible_ocr_latin_typo_against_ylist,Daetylorhiza aristata,Dactylorhiza aristata,correct_ocr,Dactylorhiza aristata,76,150,2026-07-12,original_pdf_visual_review,PDF p.76（冊子p.150、左頁）の種見出しを原画像で目視し「Dactylorhiza aristata」と確認。現行scientific_nameはOCR文字誤り。 genus欄も同じ属見出しに合わせる必要がある。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0016,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アオフタバラン,plant_name_not_supported_by_ocr_page,アオフタバラン,Plant name or known OCR-correction variant should appear on the cited page,keep_source,アオフタバラン,84,166,2026-07-12,original_pdf_visual_review,原PDF p84（冊子p166）の種見出し「アオフタバラン Neottia makinoana」を目視確認。現行の和名を支持する。
wildplants-taxonomy-followup-0017,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ノビル,possible_ocr_latin_typo_against_ylist,Allium maerostemon,Allium macrostemon,correct_ocr,Allium macrostemon,94,187,2026-07-12,original_pdf_visual_review,PDF p.94（冊子p.187、右頁）の種見出しを原画像で目視し「Allium macrostemon」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0018,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,クサスギカズラ,possible_ocr_latin_typo_against_ylist,Asparagus cochinehinensis,Asparagus cochinchinensis,correct_ocr,Asparagus cochinchinensis,96,191,2026-07-12,original_pdf_visual_review,PDF p.96（冊子p.191、右頁）の種見出しを原画像で目視し「Asparagus cochinchinensis」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0019,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ハラン,scientific_name_not_supported_by_ocr_page,Aspidistra elatior,Scientific name should be exact or close to cached OCR text,keep_source,Aspidistra elatior,96,191,2026-07-12,original_pdf_visual_review,原PDF p96（冊子p191）の種見出し「ハラン Aspidistra elatior」を目視確認。現行の学名を支持する。
wildplants-taxonomy-followup-0020,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ザラツキギボウシ,plant_name_not_supported_by_ocr_page,ザラツキギボウシ,Plant name or known OCR-correction variant should appear on the cited page,keep_source,ザラツキギボウシ,98,194,2026-07-12,original_pdf_visual_review,原PDF p98（冊子p194）のヒュウガギボウシ項中に「ザラツキギボウシ var. scabrinervia」を目視確認。基準変種の見出しから Hosta kikutii var. scabrinervia と復元し、空欄の分類情報を補う。
wildplants-taxonomy-followup-0021,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,キチジョウソウ,possible_ocr_latin_typo_against_ylist,Reineekea carnea,Reineckea carnea,correct_ocr,Reineckea carnea,100,199,2026-07-12,original_pdf_visual_review,PDF p.100（冊子p.199、右頁）の種見出しを原画像で目視し「Reineckea carnea」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0022,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ナルコユリ,possible_ocr_latin_typo_against_ylist,Polygonatum faleatum,Polygonatum falcatum,correct_ocr,Polygonatum falcatum var. falcatum,100,199,2026-07-12,original_pdf_visual_review,PDF p.100（冊子p.199、右頁）の種見出しを原画像で目視し「Polygonatum falcatum var. falcatum」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0023,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒメイズイ,plant_name_not_supported_by_ocr_page,ヒメイズイ,Plant name or known OCR-correction variant should appear on the cited page,keep_source,ヒメイズイ,100,198,2026-07-12,original_pdf_visual_review,監査参照先の原PDF p99（冊子p196）には種見出しがなく、実際の見出し「ヒメイズイ Polygonatum humile」は原PDF p100（冊子p198）にあることを目視確認。ページを訂正する。
wildplants-taxonomy-followup-0024,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒメイズイ,scientific_name_not_supported_by_ocr_page,Polygonatum humile,Scientific name should be exact or close to cached OCR text,keep_source,Polygonatum humile,100,198,2026-07-12,original_pdf_visual_review,監査参照先の原PDF p99（冊子p196）には種見出しがなく、実際の見出し「ヒメイズイ Polygonatum humile」は原PDF p100（冊子p198）にあることを目視確認。ページを訂正する。
wildplants-taxonomy-followup-0025,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,クマタケラン,possible_ocr_latin_typo_against_ylist,Alpinia xformosana,Alpinia formosana,correct_ocr,Alpinia ×formosana,105,209,2026-07-12,original_pdf_visual_review,PDF p.105（冊子p.209、右頁）の種見出しを原画像で目視し「Alpinia ×formosana」と確認。現行のASCII x表記は原本の雑種記号と同義なので維持。 独立照合間の階級・雑種記号差は、原PDF画像を再表示して確定した。
wildplants-taxonomy-followup-0026,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ミクリ,ylist_family_conflict,ガマ科,ミクリ科,keep_source,ガマ科,106,211,2026-07-12,original_pdf_visual_review,原PDF p106（冊子p210）の科見出しは「ガマ科 TYPHACEAE」で、同科内の冊子p211に「ミクリ Sparganium erectum」とある。YListとの科差はOCR誤りではなく本書の分類であり、科は維持し、学名の ereetum のみ erectum に直す。
wildplants-taxonomy-followup-0027,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ミクリ,ylist_family_latin_conflict,TYPHACEAE,Sparganiaceae,keep_source,TYPHACEAE,106,211,2026-07-12,original_pdf_visual_review,原PDF p106（冊子p210）の科見出しは「ガマ科 TYPHACEAE」で、同科内の冊子p211に「ミクリ Sparganium erectum」とある。YListとの科差はOCR誤りではなく本書の分類であり、科は維持し、学名の ereetum のみ erectum に直す。
wildplants-taxonomy-followup-0028,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,コウガイゼキショウ,possible_ocr_latin_typo_against_ylist,Juneus prismatoearpus,Juncus prismatocarpus subsp. leschenaultii,correct_ocr,Juncus prismatocarpus subsp. leschenaultii,110,219,2026-07-12,original_pdf_visual_review,PDF p.110（冊子p.219、右頁）の種見出しを原画像で目視し「Juncus prismatocarpus subsp. leschenaultii」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0029,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ホソコウガイゼキショウ,possible_ocr_latin_typo_against_ylist,Juncus fauriensis,Juncus faurieanus,keep_source,Juncus fauriensis,110,219,2026-07-12,original_pdf_visual_review,PDF p.110（冊子p.219、右頁）の種見出しを原画像で目視し「Juncus fauriensis」と確認。現行scientific_nameは原本どおりなので維持。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0030,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ウキヤガラ,possible_ocr_latin_typo_against_ylist,Bollbosehoenus fluviatills,Bolboschoenus fluviatilis subsp. yagara,correct_ocr,Bolboschoenus fluviatilis subsp. yagara,113,224,2026-07-12,original_pdf_visual_review,PDF p.113（冊子p.224、左頁）の種見出しを原画像で目視し「Bolboschoenus fluviatilis subsp. yagara」と確認。現行scientific_nameはOCR文字誤り。 genus欄も同じ属見出しに合わせる必要がある。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0031,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アブラシバ,possible_ocr_latin_typo_against_ylist,Cares satsumensis,Carex satsumensis,correct_ocr,Carex satsumensis,117,233,2026-07-12,original_pdf_visual_review,PDF p.117（冊子p.233、右頁）の種見出しを原画像で目視し「Carex satsumensis」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0032,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アゼスゲ,possible_ocr_latin_typo_against_ylist,Carex thunbergil,Carex thunbergii,correct_ocr,Carex thunbergii var. thunbergii,119,236,2026-07-12,original_pdf_visual_review,PDF p.119（冊子p.236、左頁）の種見出しを原画像で目視し「Carex thunbergii var. thunbergii」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0033,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,タニガワスゲ,plant_name_not_supported_by_ocr_page,タニガワスゲ,Plant name or known OCR-correction variant should appear on the cited page,keep_source,タニガワスゲ,119,236,2026-07-12,original_pdf_visual_review,原PDF p119（冊子p236）の種見出し「タニガワスゲ Carex forficula」を目視確認。現行の和名を支持する。
wildplants-taxonomy-followup-0034,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒメアゼスゲ,plant_name_not_supported_by_ocr_page,ヒメアゼスゲ,Plant name or known OCR-correction variant should appear on the cited page,keep_source,ヒメアゼスゲ,119,236,2026-07-12,original_pdf_visual_review,原PDF p119（冊子p236）の種見出し「ヒメアゼスゲ Carex eleusinoides」を目視確認。現行の和名を支持する。
wildplants-taxonomy-followup-0035,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,カンスゲ,possible_ocr_latin_typo_against_ylist,Carex morrowil,Carex morrowi,correct_ocr,Carex morrowii var. morrowii,122,242,2026-07-12,original_pdf_visual_review,PDF p.122（冊子p.242、左頁）の種見出しを原画像で目視し「Carex morrowii var. morrowii」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0036,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,イソアオスゲ,plant_name_not_supported_by_ocr_page,イソアオスゲ,Plant name or known OCR-correction variant should appear on the cited page,keep_source,イソアオスゲ,123,245,2026-07-12,original_pdf_visual_review,原PDF p123（冊子p245）の種見出し「イソアオスゲ Carex meridiana」を目視確認。現行の和名を支持する。
wildplants-taxonomy-followup-0037,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒメアオスゲ,plant_name_not_supported_by_ocr_page,ヒメアオスゲ,Plant name or known OCR-correction variant should appear on the cited page,keep_source,ヒメアオスゲ,123,245,2026-07-12,original_pdf_visual_review,原PDF p123（冊子p245）の種見出し「ヒメアオスゲ Carex discoidea」を目視確認。現行の和名を支持する。
wildplants-taxonomy-followup-0038,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,イワスゲ,possible_ocr_latin_typo_against_ylist,Cares stenantha,Carex stenantha var. stenantha,correct_ocr,Carex stenantha var. stenantha,124,247,2026-07-12,original_pdf_visual_review,PDF p.124（冊子p.247、右頁）の種見出しを原画像で目視し「Carex stenantha var. stenantha」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0039,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,タイホクスゲ,plant_name_not_supported_by_ocr_page,タイホクスゲ,Plant name or known OCR-correction variant should appear on the cited page,keep_source,タイホクスゲ,124,247,2026-07-12,original_pdf_visual_review,原PDF p124（冊子p247）の種見出し「タイホクスゲ Carex taihokuensis」を目視確認。現行の和名を支持する。
wildplants-taxonomy-followup-0040,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヤマジスゲ,plant_name_not_supported_by_ocr_page,ヤマジスゲ,Plant name or known OCR-correction variant should appear on the cited page,keep_source,ヤマジスゲ,126,250,2026-07-12,original_pdf_visual_review,原PDF p126（冊子p250）の種見出し「ヤマジスゲ Carex bostrychostigma」を目視確認。現行の和名を支持する。
wildplants-taxonomy-followup-0041,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,クロアブラガヤ,plant_name_not_supported_by_ocr_page,クロアブラガヤ,Plant name or known OCR-correction variant should appear on the cited page,keep_source,クロアブラガヤ,138,275,2026-07-12,original_pdf_visual_review,原PDF p138（冊子p275）のアブラガヤ属内に「クロアブラガヤ〔ヤマアブラガヤ〕 Scirpus sylvaticus var. maximowiczii」を目視確認。現行の和名・学名を支持する。
wildplants-taxonomy-followup-0042,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,クロアブラガヤ,scientific_name_not_supported_by_ocr_page,Scirpus sylvaticus var. maximowiczii,Scientific name should be exact or close to cached OCR text,keep_source,Scirpus sylvaticus var. maximowiczii,138,275,2026-07-12,original_pdf_visual_review,原PDF p138（冊子p275）のアブラガヤ属内に「クロアブラガヤ〔ヤマアブラガヤ〕 Scirpus sylvaticus var. maximowiczii」を目視確認。現行の和名・学名を支持する。
wildplants-taxonomy-followup-0043,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,マダケ,possible_ocr_latin_typo_against_ylist,Phyllestachys reticulata,Phyllostachys reticulata,correct_ocr,Phyllostachys reticulata,145,288,2026-07-12,original_pdf_visual_review,PDF p.145（冊子p.288、左頁）の種見出しを原画像で目視し「Phyllostachys reticulata」と確認。現行scientific_nameはOCR文字誤り。 genus欄も同じ属見出しに合わせる必要がある。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0044,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,イブキザサ,plant_name_not_supported_by_ocr_page,イブキザサ,Plant name or known OCR-correction variant should appear on the cited page,keep_source,イブキザサ,146,291,2026-07-12,original_pdf_visual_review,原PDF p146（冊子p291）の種見出し「イブキザサ Sasa tsuboiana」を目視確認。現行の和名を支持する。
wildplants-taxonomy-followup-0045,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,クマザサ,possible_ocr_latin_typo_against_ylist,Sasa veitehii,Sasa veitchii var. veitchii,correct_ocr,Sasa veitchii,146,291,2026-07-12,original_pdf_visual_review,PDF p.146（冊子p.291、右頁）の種見出しを原画像で目視し「Sasa veitchii」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0046,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ミヤマヌカボ,scientific_name_not_supported_by_ocr_page,Agrostis flaccida,Scientific name should be exact or close to cached OCR text,keep_source,Agrostis flaccida,148,295,2026-07-12,original_pdf_visual_review,原PDF p148（冊子p295）の種見出し「ミヤマヌカボ Agrostis flaccida」を目視確認。現行の学名を支持する。
wildplants-taxonomy-followup-0047,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,コメススキ,possible_ocr_latin_typo_against_ylist,Avenella llexuosa,Avenella flexuosa,correct_ocr,Avenella flexuosa,150,298,2026-07-12,original_pdf_visual_review,PDF p.150（冊子p.298、左頁）の種見出しを原画像で目視し「Avenella flexuosa」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0048,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ウシノケグサ,possible_ocr_latin_typo_against_ylist,Festuea ovina,Festuca ovina,correct_ocr,Festuca ovina,153,305,2026-07-12,original_pdf_visual_review,PDF p.153（冊子p.305、右頁）の種見出しを原画像で目視し「Festuca ovina」と確認。現行scientific_nameはOCR文字誤り。 genus欄も同じ属見出しに合わせる必要がある。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0049,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ハマムギ,possible_ocr_latin_typo_against_ylist,Elymus dahurieus,Elymus dahuricus var. dahuricus,correct_ocr,Elymus dahuricus var. dahuricus,153,304,2026-07-12,original_pdf_visual_review,PDF p.153（冊子p.304、左頁）の種見出しを原画像で目視し「Elymus dahuricus var. dahuricus」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
