audit_version,reviewed_on,reference,account_no,insect_id,japanese_name,source_scientific_name,current_scientific_name,mapping_status,pdf_page_start,printed_page_start,source_host_scope,source_host_text,host_count_before,host_count_after_planned,current_host_names_before,host_audit_status,source_ecology_text,current_notes_before,note_audit_status,visual_review_status,source_pdf_sha256
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,11,species-2163,セクロモンヒメハマキ,"Epinotia rasdolnyana (Christoph, 1882)","Epinotia rasdolnyana (Christoph, 1882)",japanese_exact,20,19,domestic_unknown_foreign_hosts_recorded,日本では未知．ロシアではカエデ属 Acer (ムクロジ科)．,0,1,,add_missing_foreign_hosts,成虫発生時期は 8〜11 月．,出現時期:8-11月,verified_complete_no_change,original_pdf_image_confirmed_300dpi_page_20,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,12,species-2166,トドマツヒメハマキ,"Epinotia aciculana Falkovitsh, 1965","Epinotia aciculana Falkovitsh, 1965",japanese_exact,20,19,domestic_hosts_recorded,トドマツ Abies sachalinensis，エゾマツ Picea jezoensis var. jesoensis (マツ科)．,2,2,トドマツ[野外（国内）] / エゾマツ[野外（国内）],verified_complete_no_change,成虫発生時期は 7〜8 月．幼虫は最初，芽に潜るが，中齢以降は 2〜3 本の葉を綴って筒をつ くる．幼生期については，駒井ら (2011) に詳しい．,出現時期:7-8月 / 生態情報:幼虫は最初，芽に潜るが，中齢以降は2 ～3 本の葉を綴って筒をつくる．幼生期については，駒井ら(2011)に詳しい,normalize_ocr_layout_gap,original_pdf_image_confirmed_300dpi_page_20,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,13,species-2167,ミヤマヤナギヒメハマキ,"Epinotia cruciana (Linnaeus, 1761)","Epinotia cruciana (Linnaeus, 1761)",japanese_exact,20,19,domestic_hosts_recorded,ミネヤナギ Salix sp.，キツネヤナギ S. vulpina subsp. vulpina (ヤナギ科)．,2,2,ミネヤナギ[野外（国内）] / キツネヤナギ[野外（国内）],verified_complete_no_change,成虫発生時期は 7〜8 月．幼虫は寄主の若葉を綴る．,出現時期:7-8月 / 生態情報:幼虫は寄主の若葉を綴る,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,14,species-2168,クロマダラシロヒメハマキ,"Epinotia exquisitana (Christoph, 1882)","Epinotia exquisitana (Christoph, 1882)",japanese_exact,21,20,domestic_hosts_recorded,ヤマザクラ Cerasus jamasakura などサクラ属 Cerasus，ナナカマド Sorbus commixta，アズ キナシ Aria alnifolia，ズミ Malus toringo (バラ科)．,5,5,サクラ[野外（国内）] / ナナカマド[野外（国内）] / アズキナシ[野外（国内）] / ズミ[野外（国内）] / ヤマザクラ[野外（国内）],verified_complete_no_change,成虫発生時期は 5〜8 月．幼虫は葉を葉巻状に巻く．幼生期については， 駒井ら (2011) に詳しい．,出現時期:5-8月 / 生態情報:幼虫は葉を葉巻状に巻く．幼生期については，駒井ら(2011)に詳しい,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,15,species-2169,ミツシロモンヒメハマキ,"Epinotia contrariana (Christoph, 1882)","Epinotia contrariana (Christoph, 1882)",japanese_exact,21,20,domestic_hosts_recorded,アイズシモツケ Spiraea chamaedryfolia var. pilosa，イブキシモツケ S. dasyantha (バラ科)， トリアシショウマ Astilbe odontophylla，チダケサシ A. microphylla (ユキノシタ科)．,4,4,アイズシモツケ[野外（国内）] / イブキシモツケ[野外（国内）] / トリアシショウマ[野外（国内）] / チダケサシ[野外（国内）],verified_complete_no_change,成虫発生時期は 6〜7 月．幼虫は寄主の葉を綴る．,出現時期:6-7月 / 生態情報:幼虫は寄主の葉を綴る,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,16,species-2165,アワブキヒメハマキ,"Epinotia toshiookui Nasu, 2019","Epinotia toshiookui Nasu, 2019",japanese_exact,21,20,domestic_hosts_recorded,アワブキ Meliosma myriantha (アワブキ科)．,1,1,アワブキ[野外（国内）],verified_complete_no_change,成虫発生時期は 6〜7 月．幼虫は葉を重ねて綴る．,出現時期:6-7月 / 生態情報:幼虫は葉を重ねて綴る,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,17,species-2170,イツカドモンヒメハマキ,"Epinotia pentagonana (Kennel, 1901)","Epinotia pentagonana (Kennel, 1901)",japanese_exact,21,20,domestic_unknown_foreign_hosts_recorded,日本では未知．ロシアではオヒョウ Ulmus laciniata (ニレ科)．,0,1,,add_missing_foreign_hosts,成虫発生時期は 8〜9 月 .,出現時期:8-9月,verified_complete_no_change,original_pdf_image_confirmed_300dpi_page_21,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,18,species-2174,クシヒゲヒメハマキ,"Epinotia pygmaeana (Hübner, [1799])","Epinotia pygmaeana (Hübner, [1799])",japanese_exact,22,21,domestic_hosts_recorded,エゾマツ Picea jezoensis var. jesoensis，ドイツトウヒ P. abies (マツ科)．,2,2,エゾマツ[野外（国内）] / ドイツトウヒ[野外（国内）],verified_complete_no_change,成虫発生時期は 4〜5 月．幼虫は最初，針葉に潜るが後に葉を綴る．,出現時期:4-5月 / 生態情報:幼虫は最初，針葉に潜るが後に葉を綴る,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,19,species-2175,ツルギクシヒゲヒメハマキ,"Epinotia tsurugisana Oku, 2005","Epinotia tsurugisana Oku, 2005",japanese_exact,22,21,source_unknown,未知．,0,0,,verified_source_unknown,成虫発生時期は 5 月．現在，四国の剣山のみから知られ，シラビソ Abies veitchii (マツ科) 林に多産する．,出現時期:5月 / 生態情報:現在，四国の剣山のみから知られ，シラビソAbies veitchii (マツ科)林に多産する,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,20,species-2173,ニセクシヒゲヒメハマキ,"Epinotia subsequana (Haworth, [1811])","Epinotia subsequana (Haworth, [1811])",japanese_exact,22,21,domestic_unknown_foreign_hosts_recorded,国内では未知．ヨーロッパではヨーロッパモミ Abies alba，ドイツトウヒ Picea abies (マ ツ科)．,0,2,,add_missing_foreign_hosts,成虫発生時期は 5 月．,出現時期:5月,verified_complete_no_change,original_pdf_image_confirmed_300dpi_page_22,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,21,species-2176,マツヒメハマキ,"Epinotia rubiginosana (Herrich-Schäffer, 1851)","Epinotia rubiginosana (Herrich-Schaffer, 1851)",japanese_exact,22,21,domestic_hosts_recorded,アカマツ Pinus densiflora などのマツ属 Pinus (マツ科)．,2,2,マツ[野外（国内）] / アカマツ[野外（国内）],verified_complete_no_change,成虫発生時期は 5〜7 月．幼虫は最初針葉に潜るが，後に葉を束ね合わせる．,出現時期:5-7月 / 生態情報:幼虫は最初針葉に潜るが，後に葉を束ね合わせる,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,22,species-2179,ツチイロヒメハマキ,"Epinotia autumnalis Oku, 2005","Epinotia autumnalis Oku, 2005",japanese_exact,23,22,source_unknown,未知．,0,0,,verified_source_unknown,成虫発生時期は 8〜10 月．ダケカンバ Betula ermanii (カバノキ科) 林に多い．,出現時期:8-10月 / 生態情報:ダケカンバBetula ermanii (カバノキ科)林に多い,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,23,species-2178,ムモンハンノメムシガ,"Epinotia rubricana Kuznetzov, 1968","Epinotia rubricana Kuznetzov, 1968",japanese_exact,23,22,domestic_hosts_recorded,ハンノキ Alnus japonica (カバノキ科)．,1,1,ハンノキ[野外（国内）],verified_complete_no_change,成虫発生時期は 6〜9 月．,出現時期:6-9月,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,24,species-2164,カンバウスモンヒメハマキ,"Epinotia tetraquetrana (Haworth, [1811])","Epinotia tetraquetrana (Haworth, [1811])",japanese_exact,23,22,domestic_unknown_foreign_hosts_recorded,日本では未知．ヨーロッパではカバノキ属 Betula，ハンノキ属 Alnus (カバノキ科)．,0,2,,add_missing_foreign_hosts,成虫発生時期は 5〜7 月．ヨーロッパでは幼虫はカバノキ科の枝に潜り，虫こぶを造る．,出現時期:5-7月 / 生態情報:ヨーロッパでは幼虫はカバノキ科の枝に潜り，虫こぶを造る,verified_complete_no_change,original_pdf_image_confirmed_300dpi_page_23,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,25,species-2190,トウヒハイイロヒメハマキ,"Epinotia cineracea Nasu, 1991","Epinotia cineracea Nasu, 1991",japanese_exact,23,22,domestic_hosts_recorded,ドイツトウヒ Picea abies (マツ科)．,1,1,ドイツトウヒ[野外（国内）],verified_complete_no_change,成虫発生時期は 5〜7 月．幼虫はドイツトウヒの針葉を綴る．,出現時期:5-7月 / 生態情報:幼虫はドイツトウヒの針葉を綴る,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,26,species-2180,ハンノメムシガ,"Epinotia tenerana ([Denis & Schiffermüller], 1775)","Epinotia tenerana (Denis & Schiffermüller, 1775)",japanese_exact,24,23,domestic_hosts_recorded,ハンノキ Alnus japonica (カバノキ科)．,1,1,ハンノキ[野外（国内）],verified_complete_no_change,成虫発生時期は 6〜9 月．,出現時期:6-9月,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,27,species-2181,アカバヒメハマキ,"Epinotia coryli Kuznetzov, 1970","Epinotia coryli Kuznetzov, 1970",japanese_exact,24,23,domestic_unknown_foreign_hosts_recorded,日本では未知． ロシアではオオハシバミ Corylus heterophylla var. heterophylla (カバノキ科)．,0,1,,add_missing_foreign_hosts,成虫発生時期は 5 月と 7〜8 月．北海道でも採集されていることが判明した．,"出現時期:5月,7-8月 / 生態情報:北海道でも採集されていることが判明した",verified_complete_no_change,original_pdf_image_confirmed_300dpi_page_24,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,28,species-2184,ヤナギメムシガ,"Epinotia nisella (Clerck, 1759)","Epinotia nisella (Clerck, 1759)",japanese_exact,24,23,domestic_unknown_foreign_hosts_recorded,日本では未知．ヨーロッパではヤナギ類 Salix，ヨーロッパヤマナラシ Populus tremula var. tremula (ヤナギ科)．,0,2,,add_missing_foreign_hosts,成虫発生時期は 6〜9 月．幼虫は寄主の新葉を綴る．,出現時期:6-9月 / 生態情報:幼虫は寄主の新葉を綴る,verified_complete_no_change,original_pdf_image_confirmed_300dpi_page_24,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,29,species-2185,ニセヤナギメムシガ,"Epinotia cinereana (Haworth, [1811])","Epinotia cinereana (Haworth, [1811])",japanese_exact,24,23,domestic_unknown_foreign_hosts_recorded,日本では未知．ロシアではチョウセンヤマナラシ Populus davidiana f. laticuneata (ヤナギ 科)．,0,1,,add_missing_foreign_hosts,成虫発生時期は 7 月．幼虫は寄主の雌花を食する．,出現時期:7月 / 生態情報:幼虫は寄主の雌花を食する,verified_complete_no_change,original_pdf_image_confirmed_300dpi_page_24,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,30,species-2171,ニセイツカドモンヒメハマキ,"Epinotia demarniana (Fischer von Röslerstamm, 1839)","Epinotia demarniana (Fischer von Röslerstamm, 1839)",japanese_exact,25,24,domestic_unknown_foreign_hosts_recorded,日本では未知．ロシアではシラカンバ Betula platyphylla， ハンノキ属 Alnus (カバノキ科)．,0,2,,add_missing_foreign_hosts,成虫発生時期は 6〜7 月．,出現時期:6-7月,verified_complete_no_change,original_pdf_image_confirmed_300dpi_page_25,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,31,species-2186,ムモンツチイロヒメハマキ,"Epinotia bushiensis Kawabe, 1980","Epinotia bushiensis Kawabe, 1980",japanese_exact,25,24,source_unknown,未知．,0,0,,verified_source_unknown,成虫発生時期は 8 月と 10 月．,"出現時期:8月,10月",verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,32,species-2187,クロツヅリヒメハマキ,"Epinotia aquila Kuznetzov, 1968","Epinotia aquila Kuznetzov, 1968",japanese_exact,25,24,domestic_hosts_recorded,ドイツトウヒ Picea abies (マツ科)．,1,1,ドイツトウヒ[野外（国内）],verified_complete_no_change,成虫発生時期は 5〜6 月．幼虫は葉綴りである．幼虫越冬．,出現時期:5-6月 / 生態情報:幼虫は葉綴りである．幼虫越冬,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,33,species-2188,トウヒツヅリヒメハマキ,"Epinotia piceae (Issiki, 1961)","Epinotia piceae (Issiki, 1961)",japanese_exact,25,24,domestic_hosts_recorded,モミ属 Abies，トウヒ属 Picea (マツ科)．,4,2,モミ[野外（国内）] / トウヒ[野外（国内）] / モミ属[野外（国内）] / トウヒ属[野外（国内）],remove_semantic_duplicate_hosts,成虫発生時期は 6〜8 月．幼虫は針葉を綴る．幼生期については，駒井ら (2011) に詳しい．,出現時期:6-8月 / 生態情報:幼虫は針葉を綴る．幼生期については，駒井ら(2011)に詳しい,verified_complete_no_change,original_pdf_image_confirmed_300dpi_page_26,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,34,species-2195,キタシロヒメハマキ,"Epinotia bilunana (Haworth, [1811])","Epinotia bilunana (Haworth, [1811])",japanese_exact,26,25,domestic_unknown_foreign_hosts_recorded,日本では未知．イギリスではカバノキ属 Betula (カバノキ科)．,0,1,,add_missing_foreign_hosts,"成虫発生時期は 6 月．幼虫は尾状花序内を摂食し，時に花序をねじ曲げ，繭は落葉内あるい は土中でつくられる (Bradley et al., 1979)．","出現時期:6月 / 生態情報:幼虫は尾状花序内を摂食し，時に花序をねじ曲げ，繭は落葉内あるいは土中でつくられる(Bradley et al., 1979)",verified_complete_no_change,original_pdf_image_confirmed_300dpi_page_26,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,35,species-2172,カギモンヒメハマキ,"Epinotia ramella (Linnaeus, 1758)","Epinotia ramella (Linnaeus, 1758)",japanese_exact,26,25,domestic_hosts_recorded,ダケカンバ Betula ermanii (カバノキ科)．,1,1,ダケカンバ[野外（国内）],verified_complete_no_change,成虫発生時期は 8〜10 月．幼虫は寄主の芽や枝に潜る．,出現時期:8-10月 / 生態情報:幼虫は寄主の芽や枝に潜る,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,36,species-2189,ハイマツコヒメハマキ,"Epinotia pinicola Kuznetzov, 1969","Epinotia pinicola Kuznetzov, 1969",japanese_exact,26,25,domestic_hosts_recorded,ハイマツ Pinus pumila (マツ科)．,1,1,ハイマツ[野外（国内）],verified_complete_no_change,成虫発生時期は 7〜8 月．幼虫は寄主の葉を綴る．,出現時期:7-8月 / 生態情報:幼虫は寄主の葉を綴る,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,37,species-2182,タマヒメハマキ,"Epinotia autonoma Falkovitsh, 1965","Epinotia autonoma Falkovitsh, 1965",japanese_exact,27,26,domestic_unknown_foreign_hosts_recorded,日本では未知．ロシアではチョウセンモミ Abies holophylla，アカトドマツ A. sachalinensis var. sachalinensis (マツ科)．,0,2,,add_missing_foreign_hosts,成虫発生時期は 4〜6 月．,出現時期:4-6月,verified_complete_no_change,original_pdf_image_confirmed_300dpi_page_27,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,38,species-2177,ヤツガタケヒメハマキ,"Epinotia utsugijinboi Nasu, 2019","Epinotia utsugijinboi Nasu, 2019",japanese_exact,27,26,source_unknown,未知．,0,0,,verified_source_unknown,成虫発生時期は 7 月末〜8 月初め．,出現時期:7月末-8月初め,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,39,species-2183,ツマグロアカチャヒメハマキ,"Epinotia takabotti Nasu, 2018","Epinotia takabotti Nasu, 2018",japanese_exact,27,26,source_unknown,未知．,0,0,,verified_source_unknown,成虫発生時期は 6 月下旬〜7 月初旬．成虫はモミ Abies firma を昼間にスウィーピングして得ら れた．,出現時期:6月下旬-7月初旬 / 生態情報:成虫はモミAbies firma を昼間にスウィーピングして得られた,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,40,species-2192,エゾハイイロヒメハマキ,"Epinotia densiuncaria Kuznetzov, 1985","Epinotia densiuncaria Kuznetzov, 1985",japanese_exact,27,26,domestic_hosts_recorded,エゾマツ Picea jezoensis var. jesoensis (マツ科)．,1,1,エゾマツ[野外（国内）],verified_complete_no_change,成虫発生時期は 8 月．幼虫は寄主の針葉を綴る．,出現時期:8月 / 生態情報:幼虫は寄主の針葉を綴る,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,41,species-2193,トウヒシロスジヒメハマキ,"Epinotia piceicola Kuznetzov, 1970","Epinotia piceicola Kuznetzov, 1970",japanese_exact,28,27,domestic_hosts_recorded,アカエゾマツ Picea glehnii (マツ科)．,1,1,アカエゾマツ[野外（国内）],verified_complete_no_change,成虫発生時期は 6 月．,出現時期:6月,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
