source_account_id,printed_page,pdf_page,source_japanese_name,source_scientific_name,mapping_status,mapping_evidence,current_insect_ids,source_food_text,accepted_host_memberships,source_emergence_text,approved_emergence_notes,source_habitat_text,source_larval_text,approved_ecology_notes,mutation_count,verification_status
H6-011,35,37,ニホンカミナリハムシ,Altica nipponica Ohno,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H013,オオマツヨイグサ。,species-H013:オオマツヨイグサ,6〜8月；年1化、成虫越冬。,species-H013:6〜8月,平地〜低山地；湿地、草地など。,不明。,species-H013:生息地：平地〜低山地；湿地、草地など。,2,original_pdf_page_verified
H6-012,35,37,アカバナカミナリハムシ,Altica oleracea (Linnaeus),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H014,オオマツヨイグサ、アカバナ、ヤナギラン。,species-H014:オオマツヨイグサ;species-H014:アカバナ;species-H014:ヤナギラン,3〜11月；多化性；成虫越冬。,species-H014:3〜11月,平地〜山地；路傍、河川敷、草地など。,ヒメカミナリハムシと同様であるが、5〜9月にみられる。,species-H014:生息地：平地〜山地；路傍、河川敷、草地など。幼生期：葉面に卵塊を産み、表面に糞を塗る。幼虫は葉を食べ、3齢で老熟すると地中で蛹化する；5〜9月にみられる。オオマツヨイグサで普通にみられる。,5,original_pdf_page_verified
H6-013,35,37,コカミナリハムシ,Altica viridicyanea (Baly),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H016,ゲンノショウコ類。,species-H016:ゲンノショウコ,3〜11月；年1化、成虫越冬。,species-H016:3〜11月,平地から山地；草地、路傍、畦畔、河川敷など。,ヒメカミナリハムシと同様であるが、5〜6月に多い。,species-H016:生息地：平地から山地；草地、路傍、畦畔、河川敷など。幼生期：葉面に卵塊を産み、表面に糞を塗る。幼虫は葉を食べ、3齢で老熟すると地中で蛹化する；5〜6月に多い。,2,original_pdf_page_verified
H6-014,35,37,ムツボシトビハムシ,Amphimeloides bistripunctatus Chen,mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H096,,,,,,,,0,original_pdf_page_verified
H6-015,35,37,キイロツブノミハムシ,Aphthona abdominalis (Duftschmidt),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H018,コニシキソウ、ニシキソウ、ハギクソウ、コミカンソウ、ヒメミカンソウ。,species-H018:コニシキソウ;species-H018:ニシキソウ;species-H018:ハギクソウ;species-H018:コミカンソウ;species-H018:ヒメミカンソウ,5〜11月；年1化、成虫越冬と思われる。,species-H018:5〜11月,低地；耕作地、路傍、草地。,不明であるが、本属の幼虫は地中性とされる。,species-H018:生息地：低地；耕作地、路傍、草地。,7,original_pdf_page_verified
H6-016,36,38,アマミツブノミハムシ,Aphthona amamiana Ohno,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H020,不明。,,3〜6月；年1化と思われるが、データは不十分。,species-H020:3〜6月,丘陵；林縁。,不明。,species-H020:生息地：丘陵；林縁。,2,original_pdf_page_verified
H6-017,36,38,キタツブノミハムシ,Aphthona erichsoni Zetterstedt,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H021,Konstantinov (1998) は食草に Marchantia sp.、Carex irrigua をあげているが、むしろハンノキあるいはハシドイなどの可能性が高い。,,6〜9月；年1化、成虫越冬と思われる。,species-H021:6〜9月,低地；湿地。,不明。,species-H021:生息地：低地；湿地。,2,original_pdf_page_verified
H6-018,36,38,タイワンツブノミハムシ,Aphthona formosana Chen,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H022,アカメガシワ。,species-H022:アカメガシワ,3〜10月；年1化、成虫越冬と思われる。,species-H022:3〜10月,低地から丘陵；路傍、林縁。,不明。,species-H022:生息地：低地から丘陵；路傍、林縁。,2,original_pdf_page_verified
H6-019,36,38,オオツブノミハムシ,Aphthona hakonensis Takizawa,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H023,,,6〜8月；年1化と思われる。,species-H023:6〜8月,低山地から山地；草地。,,species-H023:生息地：低山地から山地；草地。,2,original_pdf_page_verified
H6-020,36,38,アヤメツブノミハムシ,Aphthona interstitialis Weise,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H024,ノハナショウブ、シャガ、アヤメ類。,species-H024:ノハナショウブ;species-H024:シャガ;species-H024:アヤメ,4〜9月；年2化、成虫越冬と思われる。,species-H024:4〜9月,低地〜高原；湿地、草地、宅地。,不明。,species-H024:生息地：低地〜高原；湿地、草地、宅地。アヤメ類の園芸害虫となっている。,5,original_pdf_page_verified
H6-021,36,38,クロサワツブノミハムシ,Aphthona kurosawai Ohno,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H025,ノウルシ。,species-H025:ノウルシ,4〜9月；年1化、成虫越冬と思われる。,species-H025:4〜9月,平地；湿地。,不明。,species-H025:生息地：平地；湿地。,2,original_pdf_page_verified
H6-022,37,39,オキナワツブノミハムシ,Aphthona okinawaensis Konstantinov et Lingafelter,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H806,,,,species-H806:11月に採集記録,,,,1,original_pdf_page_verified
H6-023,37,39,オキナワアシナガトビハムシ,Aphthona opaca (Allard),mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H019,シラキの可能性がある。,,7月の採集例がある。,species-H019:7月に採集記録,低地；広葉樹林林縁。,不明。,species-H019:生息地：低地；広葉樹林林縁。,2,original_pdf_page_verified
H6-024,37,39,ツブノミハムシ,Aphthona perminuta Baly,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H026,クリ、コナラ、ミズナラ、ケヤマハンノキ、ブナ、イヌシデ、ヤナギ類、オオハシバミ、シラカンバ、ハルニレ、ノイバラ、サクラ類、ズミ、ナナカマド、ワタゲカマツカ、ワレモコウ、キイチゴ類、フジ、ハリギリ、タラノキ、アケビ、イタヤカエデ (大野、1966)。,species-H026:クリ;species-H026:コナラ;species-H026:ミズナラ;species-H026:ケヤマハンノキ;species-H026:ブナ;species-H026:イヌシデ;species-H026:ヤナギ;species-H026:オオハシバミ;species-H026:シラカンバ;species-H026:ハルニレ;species-H026:ノイバラ;species-H026:サクラ;species-H026:ズミ;species-H026:ナナカマド;species-H026:ワタゲカマツカ;species-H026:ワレモコウ;species-H026:キイチゴ;species-H026:フジ;species-H026:ハリギリ;species-H026:タラノキ;species-H026:アケビ;species-H026:イタヤカエデ,3〜11月；年1化、成虫越冬。,species-H026:3〜11月,低地から山地；広葉樹林、林縁、路傍。,不明。,species-H026:生息地：低地から山地；広葉樹林、林縁、路傍。,6,original_pdf_page_verified
H6-025,37,39,キアシツブノミハムシ,Aphthona semiviridis Jacoby,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H027,ミツマタ、アカメガシワ。,species-H027:ミツマタ;species-H027:アカメガシワ,4〜10月；年1化、成虫越冬。,species-H027:4〜10月,低地から山地；広葉樹林、林縁、路傍。,不明。,species-H027:生息地：低地から山地；広葉樹林、林縁、路傍。,4,original_pdf_page_verified
H6-026,37,39,サメハダツブノミハムシ,Aphthona strigosa Baly,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H028,アカメガシワ。,species-H028:アカメガシワ,4〜10月；年1化、成虫越冬。,species-H028:4〜10月,低地から丘陵地；路傍、広葉樹林林縁。,不明。,species-H028:生息地：低地から丘陵地；路傍、広葉樹林林縁。,3,original_pdf_page_verified
H6-027,37,39,ホソルリトビハムシ,Aphthonaltica angustata (Baly),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H029,アケビ類。,species-H029:アケビ,3〜7月；年1化、成虫越冬。,species-H029:3〜7月,低地〜低山地；林縁、路傍。,不明。,species-H029:生息地：低地〜低山地；林縁、路傍。,3,original_pdf_page_verified
H6-028,38,40,トゲアシトビハムシ,Aphthonoides beccarii Jacoby,mapped_japanese,原本和名と現行和名・別名の一意一致,species-H030,コアカソ。,species-H030:コアカソ,5月；年1化、成虫越冬。,species-H030:5月,山地；草地。,不明。,species-H030:生息地：山地；草地。,3,original_pdf_page_verified
H6-029,38,40,フタイロセマルトビハムシ,Aphthonomorpha collaris (Baly),mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H044,シラキ。,species-H044:シラキ,5〜6月；年1化、成虫越冬。,species-H044:5〜6月,低山地〜山地；広葉樹林林縁。,不明。,species-H044:生息地：低山地〜山地；広葉樹林林縁。,2,original_pdf_page_verified
H6-030,38,40,テントウノミハムシ,Argopistes biplagiata Motschulsky,mapped_japanese,原本和名と現行和名・別名の一意一致,species-H031,トネリコ、イボタ、ハシドイ。,species-H031:トネリコ;species-H031:イボタ;species-H031:ハシドイ,5〜10月；年1化、成虫越冬。,species-H031:5〜10月,低地から山地。,越冬成虫は葉の表面に1卵ずつ埋め込むように産卵し、孵化幼虫は葉肉内に潜入する。幼虫は主に6〜7月にみられ、老熟すれば地中で蛹化する。,species-H031:生息地：低地から山地。幼生期：越冬成虫は葉の表面に1卵ずつ埋め込むように産卵し、孵化幼虫は葉肉内に潜入する；幼虫は主に6〜7月にみられ、老熟すれば地中で蛹化する。,5,original_pdf_page_verified
H6-031,38,40,ヘリグロテントウノミハムシ,Argopistes coccinelliformis Csiki,mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H032,ヒイラギ、ヒイラギモクセイ、ネズミモチ、キンモクセイ、ギンモクセイ。,species-H032:ヒイラギ;species-H032:ヒイラギモクセイ;species-H032:ネズミモチ;species-H032:キンモクセイ;species-H032:ギンモクセイ,4〜11月；年1〜2化、成虫越冬。,species-H032:4〜11月,低地〜丘陵地；街路、庭園。,テントウノミハムシと同様；幼虫は5〜7月にみられる。,species-H032:生息地：低地〜丘陵地；街路、庭園。幼生期：葉面に1卵ずつ埋め込むように産卵し、孵化幼虫は葉肉内に潜入する。幼虫は地中で蛹化する；幼虫は5〜7月にみられる。都会では個体数が増え、生垣や庭木などの園芸害虫となっている。,7,original_pdf_page_verified
H6-032,38,40,ヒメテントウノミハムシ,Argopistes tsekooni Chen,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H034,イボタ類。,species-H034:イボタ,4〜8月；年1化、成虫越冬。,species-H034:4〜8月,低地〜山地；広葉樹林、林縁など。,不明。,species-H034:生息地：低地〜山地；広葉樹林、林縁など。,3,original_pdf_page_verified
H6-033,38,40,クロテントウノミハムシ,Argopistes unicolor Jacoby,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H035,ヒイラギ。,species-H035:ヒイラギ,5〜7月；年1化、成虫越冬。,species-H035:5〜7月,山地；広葉樹林、林縁。,,species-H035:生息地：山地；広葉樹林、林縁。,3,original_pdf_page_verified
H6-034,38,40,オオキイロマルノミハムシ,Argopus balyi Harold,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H036,ボタンズル、センニンソウ。,species-H036:ボタンズル;species-H036:センニンソウ,5〜9月；年1化、成虫越冬。,species-H036:5〜9月,低地〜山地；林縁、河川敷、路傍。,不明。,species-H036:生息地：低地〜山地；林縁、河川敷、路傍。,4,original_pdf_page_verified
H6-035,39,41,クラークマルノミハムシ,Argopus clarki Jacoby,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H037,ボタンズル。,species-H037:ボタンズル,4〜10月；年1化、成虫越冬。,species-H037:4〜10月,低地〜低山地；林縁、路傍、草地、畑地、河川敷など。,成虫は葉面に産卵し、幼虫は4〜5月にみられ、葉肉内に潜入し、老熟すれば地中で蛹化する。,species-H037:生息地：低地〜低山地；林縁、路傍、草地、畑地、河川敷など。幼生期：成虫は葉面に産卵し、幼虫は4〜5月にみられ、葉肉内に潜入し、老熟すれば地中で蛹化する。,3,original_pdf_page_verified
H6-036,39,41,オオアカマルノミハムシ,Argopus clypeatus Baly,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H038,ボタンズル、センニンソウ。,species-H038:ボタンズル;species-H038:センニンソウ,3〜8月；年1化、成虫越冬。,species-H038:3〜8月,低地〜山地；路傍、林縁、河川敷、生垣など。,クラークマルノミハムシと同様、幼虫は3〜6月にみられる。,species-H038:生息地：低地〜山地；路傍、林縁、河川敷、生垣など。幼生期：葉面に産卵し、幼虫は葉肉内に潜入し、老熟すると地中で蛹化する；幼虫は3〜6月にみられる。,4,original_pdf_page_verified
H6-037,39,41,クロバネマルノミハムシ,Argopus nigripennis Jacoby,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H039,,,,species-H039:7月に採集記録,山地；草地。,,species-H039:生息地：山地；草地。,2,original_pdf_page_verified
H6-038,39,41,アカイロマルノミハムシ,Argopus punctipennis (Motschulsky),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H040,アザミ類、トリカブト類。,species-H040:アザミ;species-H040:トリカブト,4〜10月；年1化、成虫越冬。,species-H040:4〜10月,低地〜山地；広葉樹林、林床、林縁、路傍、草地。,クラークマルノミハムシと同様、幼虫は5月にみられる。,species-H040:生息地：低地〜山地；広葉樹林、林床、林縁、路傍、草地。幼生期：葉面に産卵し、幼虫は葉肉内に潜入し、老熟すると地中で蛹化する；幼虫は5月にみられる。,4,original_pdf_page_verified
H6-039,39,41,ウスイロマルノミハムシ,Argopus unicolor Motschulsky,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H041,,,,species-H041:5月に採集記録,山地；広葉樹林。,,species-H041:生息地：山地；広葉樹林。,2,original_pdf_page_verified
H6-040,39,41,ハネナシトビハムシ,Batophila acutangula Heikertinger,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H042,キイチゴ類。,species-H042:キイチゴ,5〜10月；年1化、成虫越冬。,species-H042:5〜10月,低山地〜山地；林縁、草地、林道沿い。,不明であるが、地中性と思われる。,species-H042:生息地：低山地〜山地；林縁、草地、林道沿い。,2,original_pdf_page_verified
H6-041,39,41,ハバビロハネナシトビハムシ,Batophila latissima Chujo,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H043,ホウロクイチゴ。,species-H043:ホウロクイチゴ,4〜5月；年1化、成虫越冬?,species-H043:4〜5月,低地〜低山地；林縁、草地、林道沿い。,不明。,species-H043:生息地：低地〜低山地；林縁、草地、林道沿い。,3,original_pdf_page_verified
H6-042,40,42,オカボトビハムシ,Chaetocnema basalis Baly,mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H048,オカボ、イネ科雑草。,species-H048:オカボ;species-H048:イネ科雑草,4〜7月；年1化、成虫越冬?,species-H048:4〜7月,平地〜丘陵地；耕作地、畦畔、草地、林縁、河川敷。,不明であるが、地中性と思われる。,species-H048:生息地：平地〜丘陵地；耕作地、畦畔、草地、林縁、河川敷。,4,original_pdf_page_verified
H6-043,40,42,フタイロヒサゴトビハムシ,Chaetocnema bicolorata Kimoto,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H055,ミゾソバ。,species-H055:ミゾソバ,4〜10月；年1化、成虫越冬?,species-H055:4〜10月,平地から丘陵地；耕作地、荒地、河川敷、林縁。,不明であるが、地中性と思われる。,species-H055:生息地：平地から丘陵地；耕作地、荒地、河川敷、林縁。,2,original_pdf_page_verified
H6-044,40,42,ヒメドウガネトビハムシ,Chaetocnema concinnicollis (Baly),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H049,ヒメシバ、エノコログサ。,species-H049:ヒメシバ;species-H049:エノコログサ,3〜11月；年1化、成虫越冬。,species-H049:3〜11月,平地から高原；耕作地、畦畔、草地、荒地、河川敷。,地中性と思われるが、不明。,species-H049:生息地：平地から高原；耕作地、畦畔、草地、荒地、河川敷。,2,original_pdf_page_verified
H6-045,40,42,ムギヒサゴトビハムシ,Chaetocnema cylindrica (Baly),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H051,コムギ、イネ、サンカクイ。,species-H051:コムギ;species-H051:イネ;species-H051:サンカクイ,5〜9月；年1化、成虫越冬。,species-H051:5〜9月,平地；耕作地、畦畔。,5〜6月にオカボの根際に産卵し、幼虫は若い茎に潜孔する。地中で蛹化し、新成虫は6〜7月にあらわれ、晩秋から地表で越冬する。,species-H051:生息地：平地；耕作地、畦畔。幼生期：5〜6月にオカボの根際に産卵し、幼虫は若い茎に潜孔する；地中で蛹化し、新成虫は6〜7月にあらわれ、晩秋から地表で越冬する。,5,original_pdf_page_verified
H6-046,40,42,サツマイモヒサゴトビハムシ,Chaetocnema confinis Crotch,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H057,サツマイモ、グンバイヒルガオ。,species-H057:サツマイモ;species-H057:グンバイヒルガオ,4〜11月；データは不十分だが、多化性と思われる。,species-H057:4〜11月,平地；耕作地、草地、海浜。,地中でサツマイモを加害する。,species-H057:生息地：平地；耕作地、草地、海浜。幼生期：地中でサツマイモを加害する。サツマイモの害虫である。,2,original_pdf_page_verified
H6-047,41,43,キイチゴトビハムシ,Chaetocnema discreta (Baly),mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H063,ホウロクイチゴ、ナワシロイチゴ、フユイチゴなど: ヘビイチゴ、イノコヅチ、ダイズ、ミズヒキ、ツルノゲイトウなどが記録されているが疑わしい。,species-H063:ホウロクイチゴ;species-H063:ナワシロイチゴ;species-H063:フユイチゴ,4〜10月；年1化、成虫越冬と思われる。,species-H063:4〜10月,平地から山地；路傍、広葉樹林林縁、荒地。,不明。,species-H063:生息地：平地から山地；路傍、広葉樹林林縁、荒地。,8,original_pdf_page_verified
H6-048,41,43,タイワンヒサゴトビハムシ,Chaetocnema formosensis Chujo,mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H064,,,,,,,,0,original_pdf_page_verified
H6-049,41,43,クサイチゴトビハムシ,Chaetocnema granulosa (Baly),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H058,イヌタデ、ミゾソバ；クサイチゴ、カジイチゴの記録は疑わしい。,species-H058:イヌタデ;species-H058:ミゾソバ,4〜9月；年1化、成虫越冬と思われる。,species-H058:4〜9月,平地から山地；草地、湿地、路傍、河川敷。,不明。,species-H058:生息地：平地から山地；草地、湿地、路傍、河川敷。,6,original_pdf_page_verified
H6-050,41,43,ヤマヒサゴトビハムシ,Chaetocnema hortensis (Geoffroy),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H052,,,,species-H052:8月に採集記録,高原；草地。,,species-H052:生息地：高原；草地。,2,original_pdf_page_verified
H6-051,41,43,ヒサゴトビハムシ,Chaetocnema ingenua (Baly),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H053,メヒシバ、コウボウムギ、オオクサキビ。,species-H053:メヒシバ;species-H053:コウボウムギ;species-H053:オオクサキビ,4〜10月；年1化、成虫越冬。,species-H053:4〜10月,平地から丘陵地；耕作地、荒地、草地、河川敷、砂地。,不明。,species-H053:生息地：平地から丘陵地；耕作地、荒地、草地、河川敷、砂地。,3,original_pdf_page_verified
H6-052,41,43,カンミヤヒサゴトビハムシ,Chaetocnema kanmiyai Kimoto,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H059,,,,species-H059:7月に採集記録,山地；湿地。,,species-H059:生息地：山地；湿地。,2,original_pdf_page_verified
H6-053,41,43,ニセテンサイトビハムシ,Chaetocnema kimotoi Gruev,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H060,イヌタデ、ミゾソバ、チンゲンサイ。,species-H060:イヌタデ;species-H060:ミゾソバ;species-H060:チンゲンサイ,5〜10月；年1化、成虫越冬。,species-H060:5〜10月,低地〜低山地；路傍、河川敷、畑地、草地、荒地。,不明であるが、地中性と思われる。,species-H060:生息地：低地〜低山地；路傍、河川敷、畑地、草地、荒地。,2,original_pdf_page_verified
H6-054,42,44,アオバドウガネトビハムシ,Chaetocnema koreana Chujo,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H061,不明。,,5〜9月；年1化、成虫越冬と思われる。,species-H061:5〜9月,低地〜山地；草地、湿地。,不明,species-H061:生息地：低地〜山地；草地、湿地。,2,original_pdf_page_verified
H6-055,42,44,オオヒサゴトビハムシ,Chaetocnema mandschurica Heikertinger,mapped_override,Konstantinov et al. 2011の独立種再確認と現行目録,species-H817,,,,,,,,0,original_pdf_page_verified
H6-056,42,44,テンサイトビハムシ,Chaetocnema picipes Stephens,mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H056,ギシギシ、イタドリ、シロザ、ホウレンソウ、フダンソウ、テンサイ、イヌタデ、タニソバ、ソバカズラ、ハコベ、ミツモトソウ、温室メロン。,species-H056:ギシギシ;species-H056:イタドリ;species-H056:シロザ;species-H056:ホウレンソウ;species-H056:フダンソウ;species-H056:テンサイ;species-H056:イヌタデ;species-H056:タニソバ;species-H056:ソバカズラ;species-H056:ハコベ;species-H056:ミツモトソウ;species-H056:メロン,5〜10月；年1化、成虫越冬。,species-H056:5〜10月,平地；路傍、畑地、草地、荒地。,北海道ではテンサイ圃場などに産卵し、幼虫は地中で根を加害し、地中で蛹化する。7月下旬には新成虫があらわれ、9月には笹地に移って、越冬にはいる。,species-H056:生息地：平地；路傍、畑地、草地、荒地。幼生期：北海道ではテンサイ圃場などに産卵し、幼虫は地中で根を加害し、地中で蛹化する；7月下旬には新成虫があらわれ、9月には笹地に移って、越冬にはいる。,14,original_pdf_page_verified
