record_id,insect_id,japanese_name,canonical_reference,pdf_file,source_pdf_sha256,pdf_page,printed_page,note_type,decision,approved_content,excluded_categories,reviewed_on
"note-1004778","species-6024","クモガタキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","5","63","生態情報","include","湿地のヤチヤナギから幼虫を採集し、飼育羽化させる方法がある。幼虫はヤチヤナギのたたき網で得られる。","collector_context;collector_advice","2026-07-11"
"note-1004780","species-6026","モンハイイロキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","6","64","生態情報","include","灯火、糖蜜トラップの両方で得られる。越冬前の個体は灯火に飛来しにくく、春の個体は糖蜜によく集まる。","subjective_aesthetic;collector_advice","2026-07-11"
"note-1004782","species-6022","ハンノキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","6","64","生態情報","include","灯火にも糖蜜トラップにも飛来する。普通種である。","subjective_aesthetic;collector_context","2026-07-11"
"note-1004784","species-6031","コケイロホソキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","6","64","生態情報","include","灯火、糖蜜トラップの両方で得られる。越冬前の個体は得にくい。","subjective_aesthetic;subjective_emotion","2026-07-11"
"note-1004786","species-6023","カシワキボシキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","6","65","生態情報","include","灯火、糖蜜トラップの両方で得られる。普通種である。","subjective_aesthetic;subjective_emotion","2026-07-11"
"note-1004789","species-6030","アメイロホソキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","6","65","生態情報","include","灯火、糖蜜トラップに飛来する。越冬前の個体は得にくい。","collector_advice;non_ecology","2026-07-11"
"note-1004790","species-6029","ナカグロホソキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","7","66","生態情報","include","灯火、糖蜜トラップに飛来する。","subjective_aesthetic;collector_context","2026-07-11"
"note-1004792","species-6028","カタハリキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","7","66","生態情報","include","灯火にも飛来するが、糖蜜トラップが有効である。糖蜜トラップの普及によって、山地では各地で得られるようになった。","collector_context","2026-07-11"
"note-1004794","species-6032","サヌキキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","7","67","生態情報","include","灯火、糖蜜トラップの両方で得られている。飛来時間は日暮れ直後の17～18時頃で、それ以後はほとんど飛来しない。照葉樹林で採集されるが、生息地はかなり限られ、生息地内でも得られる場所は局所的である。","collector_anecdote;collector_advice;speculation","2026-07-11"
"note-1004796","species-6038","ヨスジノコメキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","8","68","生態情報","include","糖蜜トラップが有効で、灯火にも飛来する。近年は東や北へ向かう分布域の拡大がみられ、都内の雑木林でも普通にみられる。","subjective_emotion;subjective_aesthetic","2026-07-11"
"note-1004798","species-6039","ヨスジキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","8","68","生態情報","include","糖蜜トラップが有効で、灯火にも飛来する。普通種である。","specimen_advice;collector_advice","2026-07-11"
"note-1004800","species-6035","ミツボシキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","8","68","生態情報","include","糖蜜トラップが有効である。河川敷や公園、神社など人家周辺で多く得られ、山地では少ない。灯火にも飛来するが少ない。羽化は一斉ではなく、秋にまとまって得られることはほとんどない。","collector_advice","2026-07-11"
"note-1004802","species-6037","カバイロミツボシキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","8","68","生態情報","include","灯火、糖蜜トラップの両方に飛来する。秋は得にくいが、標高の高い場所で早春に灯火採集すると多数みられることがある。","subjective_aesthetic;collector_advice","2026-07-11"
"note-1004804","species-6036","ムラサキミツボシキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","8","69","生態情報","include","糖蜜トラップが有効で、灯火にも飛来する。生息地はやや局所的で、自然度の高い谷間で得られることが多い。","specimen_advice;subjective_aesthetic","2026-07-11"
"note-1004806","species-6034","ヒダカミツボシキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","8-9","69-70","生態情報","include","糖蜜トラップで得られているが、これまでに得られた個体数はわずかである。","collector_context;collector_anecdote;page_or_column_bleed","2026-07-11"
"note-1004808","species-6033","エゾミツボシキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","9","70","生態情報","include","主に灯火で得られているが、糖蜜にも飛来する。","subjective_aesthetic;collector_advice","2026-07-11"
"note-1004810","species-6043","ヤクシマキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","9","71","生態情報","include","ウバメガシが自生する場所での糖蜜トラップが有効で、灯火にも飛来する。生息地はウバメガシの生える場所に限られる。","collector_context;collector_advice;specimen_advice","2026-07-11"
"note-1004812","species-6044","キマエキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","9","71","生態情報","include","灯火、糖蜜トラップの両方に飛来する。一度に多数が得られることは少ない。","subjective_emotion;subjective_aesthetic","2026-07-11"
"note-1004814","species-6045","エグリキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","9-10","71-72","生態情報","include","モミやウラジロモミの自生する林で灯火に飛来する。","subjective_aesthetic;page_or_column_bleed","2026-07-11"
"note-1004816","species-6041","チャマダラキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","10","72","生態情報","include","照葉樹林での糖蜜トラップで普通に得られ、灯火にも時々飛来する。自然林の残る公園などでは、糖蜜トラップに多くの個体が集まることがある。","collector_advice;subjective_aesthetic","2026-07-11"
"note-1004818","species-6042","クロチャマダラキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","10","72","生態情報","include","照葉樹林での糖蜜トラップで普通に得られる。灯火にも飛来するが有効ではない。","collector_context","2026-07-11"
"note-1004820","species-6048","スミレモンキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","10","72","生態情報","include","灯火と糖蜜トラップの両方で得られている。個体数は他の同属2種と比べて著しく少ない。","collector_context;collector_anecdote","2026-07-11"
"note-1004822","species-6046","スギタニモンキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","10","73","生態情報","include","照葉樹林での糖蜜トラップによく集まる普通種で、灯火にはほとんど飛来しない。","layout_ocr_only","2026-07-11"
"note-1004824","species-6047","ヤマノモンキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","10","73","生態情報","include","糖蜜トラップが有効で、平地から山地にかけての林地で得られる。照葉樹林ではスギタニモンキリガと混生する。灯火にも飛来するが、その数は少ない。","collector_advice;page_or_column_bleed","2026-07-11"
"note-1004826","species-6050","イセキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","11","74","生態情報","include","灯火と糖蜜トラップの両方に飛来するが、灯火採集が一般的である。産地はきわめて限られているが、生息地では多数の個体が飛来することがある。","subjective_aesthetic;collector_advice;speculation","2026-07-11"
"note-1004828","species-6051","フサヒゲオビキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","11","74","生態情報","include","糖蜜トラップに飛来し、灯火にはまったく飛来しない。他の越冬キリガに比べて早く姿を消す。","collector_advice","2026-07-11"
"note-1004830","species-6057","ナワキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","11","75","生態情報","include","糖蜜トラップで採集され、灯火にはほとんど飛来しない。","collector_context;non_ecology","2026-07-11"
"note-1004832","species-6058","アマミキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","11-12","75-76","生態情報","include","灯火で得られている。南西諸島では、冬季の糖蜜にはほとんど蛾が集まらず有効でない。","page_or_column_bleed","2026-07-11"
"note-1004834","species-6059","ヤンバルキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","12","76","生態情報","include","灯火で得られているほか、マレーズトラップに多数の個体が入っていたことがある。","speculation;collector_advice","2026-07-11"
"note-1004836","species-6054","テンスジキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","12","76","生態情報","include","灯火、糖蜜トラップの両方に飛来する。山地帯では本種ばかりになることが多い。","collector_anecdote;collector_context","2026-07-11"
"note-1004838","species-6052","カシワオビキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","12-13","77-78","生態情報","include","里山での糖蜜トラップが有効で、暖地では晩秋から冬に、寒冷地では主に春先に他のConistraと共に飛来する。灯火にはほとんど飛来しない。テンスジキリガと混生し、テンスジキリガやミヤマオビキリガに比べて平地や丘陵地に多い。","collector_advice;page_or_column_bleed","2026-07-11"
"note-1004840","species-6053","ミヤマオビキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","13","78","生態情報","include","糖蜜トラップが有効で、灯火にはほとんど飛来しない。","subjective_aesthetic","2026-07-11"
"note-1004843","species-6060","イチゴキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","14","80","生態情報","include","糖蜜トラップによく集まるが、灯火には基本的に飛来しない。長野県では市街地の緑地などにも生息している。オオタバコガのフェロモンに誘引されることが知られている。","subjective_emotion;collector_anecdote","2026-07-11"
"note-1004845","species-6064","エゾキイロキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","14","80","生態情報","include","灯火採集で得られている。シナノキの生える山地帯に生息し、個体数は多くなく、一度に10～20頭が飛来するほどではない。","subjective_aesthetic;collector_advice;speculation","2026-07-11"
"note-1004847","species-6061","キイロキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","14","80","生態情報","include","灯火で得られている。中部地方の山地帯では普通種である。","subjective_aesthetic","2026-07-11"
"note-1004849","species-6062","モンキキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","14","81","生態情報","include","山地での灯火で得られているが、まとまって飛来することは少ない。","collector_context;collector_advice","2026-07-11"
"note-1004851","species-6063","オオモンキキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","15","82","生態情報","include","灯火で得られている。本州での産出はハルニレの分布と関連すると考えられている。まとまって採れることは少ない。","collector_advice","2026-07-11"
"note-1004853","species-6072","ヘーネアオハガタヨトウ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","15","82","生態情報","include","灯火にも糖蜜トラップにも飛来する。照葉樹林帯での個体数は多い。","subjective_aesthetic;specimen_advice","2026-07-11"
"note-1004855","species-6071","ヤマトハガタヨトウ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","15","83","生態情報","include","灯火採集で得られている。佐賀県では自宅灯火に毎年のように飛来し、多数の個体が得られた。他の産地では1個体～数個体ずつの記録に限られる。","collector_context","2026-07-11"
"note-1004857","species-6070","ヒマラヤハガタヨトウ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","15-16","83-84","生態情報","include","灯火にも糖蜜トラップにも飛来する。西日本の照葉樹林帯では、ヘーネアオハガタヨトウが生息していても本種が得られない場所がある。","subjective_emotion;speculation","2026-07-11"
"note-1004859","species-6066","ウスキトガリキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","16","84","生態情報","include","灯火採集で得られ、糖蜜トラップにも飛来する。人家周辺でも得られるが、まとまった数は得にくい。オオタバコガのフェロモンに誘引されることが知られている。","specimen_advice","2026-07-11"
"note-1004861","species-6067","キトガリキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","16","85","生態情報","include","灯火によく飛来し、糖蜜トラップでも得られる。丘陵地から山地まで広く分布し、個体数も多い。","subjective_aesthetic;collector_anecdote;collector_context","2026-07-11"
"note-1004863","species-6069","アオバハガタヨトウ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","16","85","生態情報","include","灯火にも糖蜜トラップにも飛来する。","subjective_aesthetic;collector_advice;specimen_advice","2026-07-11"
"note-1004865","species-6108","ムラサキハガタヨトウ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","16-17","85-86","生態情報","include","灯火に飛来するが、本州では非常に得にくい。長野県ではかつて里山域から山地にかけて生息し、人家の灯火にも飛来したという。草原的な環境を好むようで、近年では霧ヶ峰などの高原や山地の渓谷沿いなどで得られている。糖蜜にも飛来するという。","collector_anecdote","2026-07-11"
"note-1004868","species-6107","オガサワラヒゲヨトウ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","17","86","生態情報","include","灯火で得られている。記録のほとんどは40年以上前のもので、最も新しい記録は岩手県盛岡市で1992年と1996年にそれぞれ1個体が得られたというものである。","collector_context;collector_anecdote;page_or_column_bleed","2026-07-11"
"note-1004870","species-6111","クロスジキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","18","88","生態情報","include","灯火で採集される。広く得られるが、多数の個体がまとまって飛来することは少ない。","subjective_aesthetic;collector_anecdote;speculation","2026-07-11"
"note-1004872","species-6112","ケンモンキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","18","88","生態情報","include","灯火に飛来する。植林された針葉樹林にも生息し、各地で個体数が非常に多い。幼虫はヒノキなどの葉に擬態する。","subjective_aesthetic;collector_context","2026-07-11"
"note-1004874","species-6116","キンイロキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","18","88","生態情報","include","灯火に飛来する普通種である。","subjective_aesthetic;subjective_emotion;non_ecology","2026-07-11"
"note-1004876","species-6117","シベチャキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","18","89","生態情報","include","主に疎林での糖蜜採集で得られる。","collector_advice;subjective_aesthetic;collector_context","2026-07-11"
"note-1004878","species-6118","スギタニキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","18","89","生態情報","include","灯火にも糖蜜にもよく集まり、一度に多数が飛来することがある。","subjective_aesthetic;collector_advice;non_ecology","2026-07-11"
"note-1004880","species-6114","タカオキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","18","89","生態情報","include","モミの自生林で灯火に飛来する。通常は19～22時頃に数頭～10頭程度が飛来することが多く、気象条件が整った日には時間に関係なく50頭を超えて飛来することがある。","collector_advice;subjective_emotion;speculation","2026-07-11"
"note-1004882","species-6115","アズサキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","19-20","90,92","生態情報","include","主に灯火で得られるが、糖蜜トラップにも飛来する。捕虫用ケミカルライトにも多数集まる。飛来時間は19～22時頃が多く、気温が高い夜はその後も飛来が続く。幕まで飛来しない個体も多い。","collector_advice;subjective_aesthetic","2026-07-11"
"note-1004884","species-6113","マツキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","20","92","生態情報","include","灯火に飛来し、糖蜜トラップにも集まる。発生地では個体数が非常に多い普通種である。","collector_context","2026-07-11"
"note-1004886","species-6120","ホソバキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","20","93","生態情報","include","灯火と糖蜜トラップに飛来する。普通種で個体数が多い。","layout_ocr_only","2026-07-11"
"note-1004889","species-6126","ヒゴキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","21","94","生態情報","include","灯火で得られる。","collector_context;speculation","2026-07-11"
"note-1004891","species-6121","ミヤマカバキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","21","94-95","生態情報","include","灯火で得られる。平地や低山地には生息せず、山地帯広葉樹林に生息する。アズサキリガやタカオキリガより少し遅れて発生し、産地での個体数は比較的多い。","collector_advice;collector_context","2026-07-11"
"note-1004893","species-6123","アオヤマキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","21","95","生態情報","include","灯火で得られる。","subjective_aesthetic;non_ecology;collector_anecdote","2026-07-11"
"note-1004895","species-6124","カギモンキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","21-22","95-96","生態情報","include","主に灯火採集で得られ、一度に多数が得られることは少ない。野外ではサクラやアセビで吸蜜する個体が観察されている。飼育下では栽培品種のグミでも育つ。","collector_advice;speculation","2026-07-11"
"note-1004897","species-6128","クロテンキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","22","96-97","生態情報","include","灯火にも糖蜜トラップにも飛来する。照葉樹林の優占種で、個体数が多い。","collector_advice;non_ecology","2026-07-11"
"note-1004899","species-6125","クロミミキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","22","97","生態情報","include","灯火に飛来する普通種である。","collector_advice;collector_context;page_or_column_bleed","2026-07-11"
"note-1004901","species-6127","ブナキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","23","98","生態情報","include","灯火で得られ、糖蜜トラップにも飛来する。","subjective_aesthetic","2026-07-11"
"note-1004903","species-6129","ヨモギキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","23","98","生態情報","include","灯火や糖蜜トラップで得られる。河川敷では発生初期の糖蜜トラップが有効である。幼虫は5～6月頃、農地周辺や河川敷で多数見つかり、ヨモギの成長点をつづって巣を作る。蛹は乾燥に強い。♂成虫はヨトウガ用の発生予察フェロモン剤に誘引される。","subjective_aesthetic;collector_advice;speculation","2026-07-11"
"note-1004905","species-6137","アカバキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","24","100","生態情報","include","灯火に飛来し、糖蜜トラップにも集まる。ハスモンヨトウのフェロモンに誘引される。幼虫は葉を折りたたんで巣を作る。","subjective_aesthetic;collector_context;collector_advice","2026-07-11"
"note-1004907","species-6135","ナマリキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","24","100","生態情報","include","灯火に飛来する。照葉林の混じる里山から山地帯のブナ林まで、幅広い標高帯で得られる。個体数は多くない。","collector_context;speculation","2026-07-11"
"note-1004909","species-6131","イイジマキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","24","101","生態情報","include","主に山地性広葉樹林での灯火採集で得られる。本州中部地方では産出が局所的である。","collector_context","2026-07-11"
