和名,学名,成虫発生時期,成虫発生時期に関する備考
ハコベナミシャク,"Euphyia cineraria (Butler, 1878)","5月-6月, 7月-8月",年2化
ムツテンナミシャク,"Catarhoe yokohamae (Butler, 1881)",7月-8月,年1化
フタモンクロナミシャク,"Catarhoe obscura (Butler, 1878)",4月上旬-9月下旬,年2-3回出現し、暖地ではさらに発生回数は増すと思われる
ハチノジクロナミシャク,"Pseudobaptria corydalaria (Graeser, 1889)","四国・九州: 4-6月, 9月、岩手: 6-7月、岐阜: 5月",昼飛性
ニッコウナミシャク,"Amoebotricha grataria (Leech, 1891)",9月下旬-12月上旬,年1化
ミカヅキナミシャク,"Earophila correlata (Warren, 1901)","浅い山地: 3月中旬から、山地: 4月下旬まで",年1化
ウラウスキナミシャク,"Protonebula umbrifera (Butler, 1879)",春, 秋,年2化
タテスジナミシャク,"Pareulype consanguinea (Butler, 1878)",8月,
チャイロナミシャク,"Pelurga comitata (Linnaeus, 1758)",8月,
クロアシナミシャク,"Pelurga taczanowskiaria (Oberthür, 1880)",6月-8月,年2化
ネスジナミシャク,"Pelurga onoi (Inoue, 1965)",6月,
キンオビナミシャク,"Electrophaes corylata (Thunberg, 1792)","山間部: 5-6月、亜高山帯・寒冷地: 7月下旬-8月",年1化
ヒメキンオビナミシャク,"Electrophaes recens Inoue, 1982",5月-8月,年2化の可能性が高い
イチゴナミシャク,"Mesoleuca albicillata (Linnaeus, 1758)",6月下旬-8月,年1化と思われる
チャオビマエモンナミシャク,"Mesoleuca mandshuricata (Bremer, 1864)",5月下旬-7月,
ヒトスジシロナミシャク,"Epirrhoe hastulata (Hübner, 1813)","北海道: 5月下旬-6月、本州: 5月上旬",年1化と思われる、昼飛性
フタシロスジナミシャク,"Epirrhoe supergressa (Butler, 1878)","5月-6月, 7月-9月",年2化
サザナミナミシャク,"Entephria caesiata (Denis & Schiffermüller, 1775)",7月下旬-8月中旬,
シロテンサザナミナミシャク,"Entephria amplicosta Inoue, 1955",未詳,
ナカモンキナミシャク,"Idiotephria evanescens (Staudinger, 1897)",4月中旬-5月中旬,年1化
モンキキナミシャク,"Idiotephria amelia (Butler, 1878)","低山地-山間部: 4月上旬から、山地: 5月上旬-中旬",年1化
ギフウスキナミシャク,"Idiotephria debilitata (Leech, 1891)","低山地: 4月中旬から、山地: 5月上旬-下旬",年1化
ヤナギナミシャク,"Hydriomena furcata (Thunberg, 1784)",7月中旬-8月中旬,年1化
ヒロオビナミシャク,"Hydriomena impluviata (Denis & Schiffermüller, 1775)",5月-8月,年1化か2化の可能性あり
ウスグロオオナミシャク,"Triphosa dubitata (Linnaeus, 1767)",7月-8月,年1化、成虫越冬
マエモンオオナミシャク,"Triphosa sericata (Butler, 1879)","7月-8月, 10月中旬-11月",年1化、成虫越夏・越冬
クモオビナミシャク,"Triphosa umbraria (Leech, 1891)",7月中旬-11月18日,年1化と思われるが、地域によって経過習性が異なる可能性
クロヤエナミシャク,"Triphosa vashti (Butler, 1878)",7月-10月,
シロモンオオナミシャク,"Rheumaptera albiplaga (Oberthür, 1866)",7月-8月,年1化
キボシヤエナミシャク,"Rheumaptera neocervinalis Inoue, 1982",4月中旬-8月,2化性の地域があるかもしれない
ウスベニナミシャク,"Rheumaptera hedemannaria (Oberthür, 1880)","低山地: 3月下旬-4月、山地(1000m以上): 4月下旬-5月中旬",年1化
ヤエナミシャク,"Rheumaptera undulata (Linnaeus, 1758)",未詳,
ツマグロヤエナミシャク,"Rheumaptera inanata (Christoph, 1881)",7月-8月,年1化
シロヤエナミシャク,"Rheumaptera flavipes (Ménétriès, 1858)",6月-7月,年1化、昼飛性
オイワケヤエナミシャク,"Rheumaptera latifasciaria (Leech, 1891)",未詳,年1化、昼飛性
オオシロオビクロナミシャク,"Rheumaptera hastata (Linnaeus, 1758)",5月-6月,年1化
サカハチクロナミシャク,"Rheumaptera hecate (Butler, 1878)",5月-7月,2化性と思われる、昼飛性
エゾヤエナミシャク,"Philereme corrugata (Butler, 1884)",6月-7月,年1化
トビスジヤエナミシャク,"Philereme transversata (Hufnagel, 1767)",7月-8月,年1化
ネグロウスベニナミシャク,"Photoscotosia atrostrigata (Bremer, 1864)","5月-6月, 9月-10月",
オオネグロウスベニナミシャク,"Photoscotosia lucicolens (Butler, 1878)",4月-10月,"年2化。暖地では年3化の可能性が高い"
テンヅマナミシャク,"Telenomeuta punctimarginaria (Leech, 1891)",4月下旬-8月下旬,年2化と思われる
マルモンシロナミシャク,"Gandaritis evanescens (Butler, 1881)","関東: 6-7月、北海道: 7月中旬-8月上旬",年1化
オオナミシャク,"Gandaritis maculata Swinhoe, 1894",5月-6月,年1化
キベリシロナミシャク,"Gandaritis placida (Butler, 1878)",7月-8月,年1化
ツマキシロナミシャク,"Gandaritis whitelyi (Butler, 1878)",6月-8月,年1化
キマダラオオナミシャク,"Gandaritis fixseni (Bremer, 1864)","丘陵-低山地: 6-11月、山地: 7-10月","丘陵-低山地ではおそらく年3化、山地では年2化。奄美大島では年間を通して連続的に発生し、3化以上"
キガシラオオナミシャク,"Gandaritis agnes (Butler, 1878)",6月-8月,年1化
ナミガタシロナミシャク,"Callabraxas compositata (Guenée, 1857)","低山地・暖地: 5月から、山地: 6-7月",
チョウセンハガタナミシャク,"Eulithis prunata (Linnaeus, 1758)",未詳,非常にまれ
キマダラナミシャク,"Eulithis testata (Linnaeus, 1761)",8月-9月,
ウストビモンナミシャク,"Eulithis ledereri (Bremer, 1864)","6月-7月, 9月-11月上旬",年2化
ヨコジマナミシャク,"Eulithis convergenata (Bremer, 1864)","6月下旬-7月, 8月下旬-9月",年2化
キジマソトグロナミシャク,"Eulithis pyropata (Hübner, 1809)",7月,年1化
アトクロナミシャク,"Lampropteryx minna (Butler, 1881)","5月-6月, 8月-9月",2化性と思われる
チビアトクロナミシャク,"Lampropteryx otregiata Metcalfe, 1917)",6月-8月,
ヒダカアトクロナミシャク,"Lampropteryx suffumata (Denis & Schiffermüller, 1775)",5月中旬-6月上旬,年1化と思われる
ナワメナミシャク,"Lampropteryx jameza (Butler, 1878)","北海道: 5-6月、本州: 9月",2化性の可能性もあるが、北海道では2化目と思われる個体は採れていない
ナカクロモンシロナミシャク,"Cosmorhoe ocellata (Linnaeus, 1758)",8月,年1化と思われる
セスジナミシャク,"Evecliptopera illitata (Wileman, 1911)","4月中旬-6月, 9-10月 (高標高地: 7-8月)",年2化
ヒメハガタナミシャク,"Ecliptopera silaceata (Denis & Schiffermüller, 1775)",8月,年1化
オオハガタナミシャク,"Ecliptopera umbrosaria (Motschulsky, 1861)","5月上旬-6月, 8月下旬-10月",年2化
セキナミシャク,"Ecliptopera capitata (Herrich-Schäffer, 1840)","5月-6月, 7月-8月",2化性と思われる
ソトキナミシャク,"Ecliptopera pryeri (Butler, 1881)",未詳,
アミメナミシャク,"Eustroma reticulata (Denis & Schiffermüller, 1775)","関東-中部: 7-8月、北海道: 8-9月",年1化
ミヤマアミナミシャク,"Eustroma aerosa (Butler, 1878)",6月-10月,"年1化性と思われるが、2化性の地域があると思われる"
キアミメナミシャク,"Eustroma japonica Inoue, 1986",5月-9月,2化性と思われる
ハガタナミシャク,"Eustroma melancholica (Butler, 1878)",4月下旬-10月上旬,"北海道や本州の山地では春と秋に出現し、2化性と思われる。関東地方周辺の低山地では3化以上の可能性"
ホソスジナミシャク,"Lobogonodes complicata (Butler, 1879)","4月-5月, 7月-8月",年2化と思われる
シロホソスジナミシャク,"Lobogonodes multistriata (Butler, 1889)",4月-11月中旬,多化性と思われる
キホソスジナミシャク,"Lobogonodes erectaria (Leech, 1897)","平地: 4-6月、山地: 6-7月","平地では2化性の可能性あり、山地では1化性と思われる"
ビロードナミシャク,"Sibatania mactata (Felder & Rogenhofer, 1875)",5月-11月,"年2化。暖地では3回出現する可能性"
キスジビロードナミシャク,"Sibatania arizana (Wileman, 1911)",3月-10月,年間を通じて出現する
トビモンシロナミシャク,"Plemyria rubiginata (Denis & Schiffermüller, 1775)","6-7月 (北海道・中部山地: 7-8月)",年1化と思われる
ウチジロナミシャク,"Dysstroma truncata (Hufnagel, 1767)",7月-8月,羽化するまで2年以上を要すると思われる
フタテンナカジロナミシャク,"Dysstroma cinereata (Moore, 1867)","5月-6月, 10月-11月",年2化
ウスキナカジロナミシャク,"Dysstroma infuscata (Tengström, 1869)",7月-8月,年1化と思われる
ツマキナカジロナミシャク,"Dysstroma citrata (Linnaeus, 1761)","平地-低山地: 5-11月、亜高山-高山帯: 9-11月","平地-低山地では年2-3化。亜高山-高山帯では年1化。成虫越冬の可能性"
アルプスナカジロナミシャク,"Dysstroma pseudimmanata Heydemann, 1929",8月,卵から成虫が羽化するまで足掛け3年を要すると思われる
マエキナカジロナミシャク,"Dysstroma korbi Heydemann, 1929",5月-6月, 9月-10月,年2化と思われる
シロマダラナミシャク,"Dysstroma albicoma (Inoue, 1954)",7月-8月,年1化
ネアカナカジロナミシャク,"Paradysstroma corussaria (Oberthür, 1880)",8月下旬-10月,年1化
キオビハガタナミシャク,"Thera variata (Denis & Schiffermüller, 1775)",6月-7月,年1化
オオクロオビナミシャク,"Praethera praefecta (Prout, 1914)",5月-6月,年1化と思われる
ミヤマクロオビナミシャク,"Praethera anomala (Inoue, 1954)",7月中-下旬,年1化
クロオビナミシャク,"Pennithera comis (Butler, 1879)","低山地: 10-11月、山地-亜高山帯: 8月下旬-9月","多くの地域では年1化と思われるが、6-7月に少数の個体が採れており、2化性の地域があるのかもしれない"
ウスクロオビナミシャク,"Pennithera abolla (Inoue, 1943)",10月-11月,
モトクロオビナミシャク,"Heterothera quadrifulta (Prout, 1928)",7月-8月,年1化
ソウウンクロオビナミシャク,"Heterothera taigana (Djakonov, 1926)",7月-8月,
マダラクロオビナミシャク,"Heterothera serrataria (Prout, 1914)",6月中旬-7月下旬,年1化
シロシタトビイロナミシャク,"Heterothera postalbida (Wileman, 1911)","5月-6月, 10月-11月",年2化
フタクロテンナミシャク,"Xenortholitha propinguata (Kollar, 1844)","5月-6月, 9月",年2化
ナミスジフユナミシャク,"Operophtera brunnea Nakajima, 1991","高標高地: 11月中旬-12月中旬、低山帯: 11月下旬-12月下旬、平地: 12月下旬-1月下旬",年1化
イチモジフユナミシャク,"Operophtera rectipostmediana Inoue, 1942","山地・東北平地: 11月中旬-12月上旬、平地-低山地: 12月中旬-2月",年1化
サザナミフユナミシャク,"Operophtera japonaria (Leech, 1891)",11月中旬-12月下旬,年1化
ミヤマフユナミシャク,"Operophtera nana Inoue, 1955",10月下旬-11月中旬,年1化
クロオビフユナミシャク,"Operophtera relegata Prout, 1908","平地: 12月中旬-1月中旬、山地: 11月上-下旬",年1化
ヒメクロオビフユナミシャク,"Operophtera crispifascia Inoue, 1982","高尾山: 11月下旬-12月上旬、山地部: 10月下旬-11月中旬",年1化
アキナミシャク,"Epirrita autumnata (Borkhausen, 1794)",10月中旬-11月上旬,年1化
ミドリアキナミシャク,"Epirrita viridipurpurescens (Prout, 1937)",10月上旬-1月中旬,年1化
ナカオビアキナミシャク,"Nothoporinia mediolineata (Prout, 1914)",11月上旬-12月上旬,年1化
シロオビマルバナミシャク,"Solitanea defricata (Püngeler, 1903)",6月-8月,年1化と思われる
トビスジトガリナミシャク,"Zola terranea (Butler, 1879)","3月, 9月-10月",年2化と思われる
ミヤマナミシャク,"Venusia cambrica Curtis, 1839)","6月下旬-8月",年1化
クロスジカバイロナミシャク,"Venusia laria Oberthür, 1893",6月下旬-8月,年1化
