"和名","学名","食草","食草に関する備考","成虫の発生時期"
"シロスジキリガ","Lithomosa solidaginus (Hübner, 1813)","ホロムイイチゴ、キジムシロ","ヨーロッパでは各種の樹種を食す。",""
"シロクビキリガ","Etteplum car (Bockhausen, 1792)","ハハコグサ(飼育)","飼育下での記録。 (注: 学名は文献の記載に基づくが、一般的にはEuchalcia consonaとされる)",""
"クモガタキリガ","Lithophane lamda (Fabricius, 1787)","ヤチヤナギ","",""
"モンハイイロキリガ","Lithophane plumbealis (Matsumura, 1926)","シナノキ","",""
"ハンノキリガ","Lithophane ustulata (Butler, 1878)","カシワ、コナラ、ミズナラ、フモトミズナラ、クリ(飼育)、シダレヤナギ(飼育)","クリ、シダレヤナギは飼育下での記録。",""
"コケイロホソキリガ","Lithophane nagaii Sugi, 1958","ナツツバキ(飼育)、ヒメシャラ(飼育)","野外では未確認だが、飼育記録からナツツバキがホストと推測される。",""
"カシワキボシキリガ","Lithophane pruinosa (Butler, 1878)","クヌギ、カシワ","","10~4月"
"ウスアオキリガ","Lithophane venusta (Leech, [1889])","アセビ(飼育)、アラカシ、クリ(飼育)","飼育下での記録。",""
"アメイロホソキリガ","Lithophane remota Hreblay & Ronkay, 1998","未知","",""
"ナカグロホソキリガ","Lithophane socia (Hufnagel, 1766)","サクラ類","飼育下での記録。",""
"カタハリキリガ","Lithophane rosinae (Püngeler, 1906)","ヤナギ類、トチノキ、カエデ類、サクラ、クヌギ、エノキ、カキノキ","サクラ、クヌギ、エノキ、カキノキは飼育下での記録。様々な広葉樹を食すと思われる。",""
"サヌキキリガ","Elwesia sugii Yoshimoto, 1994","未知","",""
"ヨスジノコメキリガ","Eupsilia quadrilinea (Leech, [1889])","サクラ類、シラカンバ、ケヤキ","飼育下での記録。",""
"ヨスジキリガ","Eupsilia strigifera Butler, 1879","クヌギ(飼育)","飼育下での記録。",""
"ミツボシキリガ","Eupsilia tripunctata Butler, 1878","エノキ","",""
"カバイロミツボシキリガ","Eupsilia boursini Sugi, 1958","シナノキ","",""
"ムラサキミツボシキリガ","Eupsilia unipuncta Scriba, 1919","未知","",""
"ヒダカミツボシキリガ","Eupsilia hidakaensis Sugi, 1987","シナノキ(飼育)","飼育下での記録。",""
"エゾミツボシキリガ","Eupsilia transversa (Hufnagel, 1766)","各種広葉樹。シラカンバ、コナラ、ズミ、ハルニレ、ポプラ、サクラ類(飼育)など","飼育下での記録あり。",""
"ウスミミモンキリガ","Eupsilia contracta (Butler, 1878)","ハンノキ、オニグルミ、ミズナラ、ケヤマハンノキ、ヤシャブシ","",""
"ヤクシマキリガ","Mesorhynchaglaea pacifica Sugi, 1980","ウバメガシ","",""
"キマエキリガ","Hemiglaea costalis (Butler, 1879)","未知","",""
"エグリキリガ","Teratoglaea pacifica Sugi, 1958","トドマツ、モミ、ヒマラヤスギ(飼育)","ヒマラヤスギは飼育下での記録。",""
"チャマダラキリガ","Rhynchaglaea scitula (Butler, 1879)","未知","",""
"クロチャマダラキリガ","Rhynchaglaea fuscipennis Sugi, 1958","アラカシ、アカガシ、ウバメガシ、シラカシ","",""
"スミレモンキリガ","Sugitania akirai Sugi, 1990","ツバキの花","",""
"スギタニモンキリガ","Sugitania lepida (Butler, 1879)","ツバキの花","",""
"ヤマノモンキリガ","Sugitania clara Sugi, 1990","ブナ、サザンカの花","",""
"ツチイロキリガ","Agrochola vulpecula (Lederer, 1853)","シナノキ?(飼育)","飼育下での記録、クエスチョンマーク付き。",""
"イセキリガ","Agrochola sakabei Sugi, 1980","ツゲ","",""
"フサヒゲオビキリガ","Agrochola evelina (Butler, 1879)","カシワ、クヌギ、サクラ類(飼育)","飼育下での記録。",""
"ナワキリガ","Conistra nawae Matsumura, 1926","アラカシ、カシワ、ツルグミ、サクラ類(飼育)、クヌギ(飼育)、コナラ(飼育)、ミズナラ(飼育)","飼育下での記録あり。",""
"アマミキリガ","Conistra amamiensis Shikata, 2015","未知","",""
"ヤンバルキリガ","Conistra kimurai Shikata, 2015","未知","",""
"ゴマダラキリガ","Conistra castaneofasciata (Motschulsky, 1861)","クヌギ、シダレヤナギ(飼育)","飼育下での記録。",""
"テンスジキリガ","Conistra fletcheri Sugi, 1958","ミズナラ、クリ(飼育)、シダレヤナギ(飼育)、ミズキ(飼育)","飼育下での記録。",""
"カシワオビキリガ","Conistra ardescens (Butler, 1879)","カシワ、クヌギ、コナラ、アベマキ、アラカシ、サクラ(飼育)","サクラは飼育下での記録。",""
"ミヤマオビキリガ","Conistra grisescens Draudt, 1950","リンゴ、クヌギ、ヤナギ類、コナラ(飼育)、ノイバラ(飼育)","コナラ、ノイバラは飼育下での記録。",""
"ホシオビキリガ","Conistra albipuncta (Leech, [1889])","サクラ類、リンゴ、クヌギ(飼育)、シダレヤナギ(飼育)","クヌギ、シダレヤナギは飼育下での記録。",""
"ミスジキリガ","Jodia sericea (Butler, 1878)","クヌギ、アラカシ、カシワ","",""
"イチゴキリガ","Orbona fragariae (Vieweg, 1790)","ソメイヨシノ、キイチゴ、ナナカマド、ギシギシ","飼育下での記録。",""
"エゾキイロキリガ","Tiliacea japonago (Wileman & West, 1929)","シナノキ","",""
"キイロキリガ","Xanthia togata (Esper, 1788)","ヤナギ類","日本では未知だが、ヨーロッパではヤナギ類をはじめ各種広葉樹を食す。",""
"モンキキリガ","Xanthia icteritia (Hufnagel, 1766)","カワヤナギ、オノエヤナギの花、各種広葉樹","幼虫は花を食べ、花と一緒に落下し枯れた部分を食べて成長した記録がある。ヨーロッパでは各種広葉樹を食す。",""
"オオモンキキリガ","Xanthia tunicata Graeser, 1889","ハルニレ、ヤナギ類","北海道ではハルニレの種子を食害する。ヤナギ類の枯葉の中で得た幼虫にタンポポを与えて飼育した記録がある。",""
"ヘーネアオハガタヨトウ","Nyctycia hoenei (Boursin, 1958)","アラカシ","",""
"ヤマトハガタヨトウ","Nyctycia stenoptera (Sugi, 1959)","未知","",""
"ヒマラヤハガタヨトウ","Nyctycia strigidisca (Moore, 1881)","未知","",""
"ノコメトガリキリガ","Telorta divergens (Butler, 1879)","モモ、ツバキの花、ソメイヨシノ(飼育)","ソメイヨシノは飼育下での記録。",""
"ウスキトガリキリガ","Telorta acuminata (Butler, 1878)","ツバキの花、サクラ類(飼育)","サクラ類は飼育下での記録。",""
"キトガリキリガ","Telorta edentata (Leech, [1889])","ナシ、クヌギ、アベマキ、アラカシ、サクラ(飼育)","サクラは飼育下での記録。",""
"アオバハガタヨトウ","Antivaleria viridimacula Graeser, 1888","ウラジロガシ、サクラ、リンゴ、キイチゴ(飼育)、フキ(飼育)、キブシ(飼育)など","キイチゴ、フキ、キブシは飼育下での記録。",""
"ムラサキハガタヨトウ","Blepharita amica (Treitschke, 1825)","ヨモギ","ヨーロッパでは各種草本や木本を食す。",""
"オオハガタヨトウ","Mniotype melanodonta (Hampson, 1906)","オオバコ","飼育下での記録。",""
"オガサワラヒゲヨトウ","Dasypolia fani Staudinger, 1892","大型セリ科植物","ヨーロッパの同属種からの推測。",""
"クロスジキリガ","Xylopolia bella (Butler, 1881)","シラカシ、アラカシ、ソメイヨシノ","",""
"ケンモンキリガ","Egira saxea (Leech, [1889])","ヒノキ、スギ、アスナロ","",""
"キンイロキリガ","Clavipalpula aurariae (Oberthür, 1880)","シラカシ、アラカシ、カシワ、クリ、コナラ、クヌギ、アベマキ、リンゴ、サクラ","",""
"シベチャキリガ","Perigrapha circumducta (Lederer, 1855)","ホザキシモツケ、コデマリ(飼育)","コデマリは飼育下での記録。",""
"スギタニキリガ","Perigrapha hoenei Püngeler, 1914","クヌギ、コナラ、サクラ、カラマツ","",""
"タカオキリガ","Pseudopanolis takao Inaba, 1927","モミ、ウラジロモミ(飼育)、ヒマラヤスギ(飼育)","飼育下での記録あり。",""
"アズサキリガ","Pseudopanolis azusa Sugi, 1968","ゴヨウマツ","",""
"マツキリガ","Panolis japonica Draudt, 1935","アカマツ、ゴヨウマツ、チョウセンゴヨウ、ヒマラヤスギ(飼育)","ヒマラヤスギは飼育下での記録。",""
"ホソバキリガ","Anorthoa angustipennis (Matsumura, 1926)","リンゴ、ムラサキハシドイ、フモトミズナラ、コナラ(飼育)、ソメイヨシノ(飼育)、ミズキ(飼育)","飼育下での記録あり。",""
"スモモキリガ","Anorthoa munda (Denis & Schiffermüller, 1775)","リンゴ、スモモ、ウメ、アンズ、サクラ類、カキノキ、ムラサキハシドイ、クヌギ、コナラ、カシワ、イタドリなど","多食性。",""
"ヒゴキリガ","Orthosia yoshizakae Sugi & Ohtsuka, 1984","エドヒガン(飼育)","飼育下での記録。",""
"ミヤマカバキリガ","Orthosia incerta (Hufnagel, 1766)","ムラサキハシドイ、カシワ、ソメイヨシノ(飼育)、クワ(飼育)","飼育下での記録あり。",""
"アオヤマキリガ","Orthosia aoyamensis (Matsumura, 1926)","クヌギ、エドヒガン、シダレヤナギ、クリ、ケヤキ、エノキ、ミズキ、サクラ類","飼育下での記録。",""
"カバキリガ","Orthosia vaccula (Butler, 1879)","コナラ、クヌギ、アベマキ、カシワ、サクラ類、リンゴ","",""
"カギモンキリガ","Orthosia nigromaculata (Höne, 1917)","ツルグミ、ナツグミ、ナワシログミ","",""
"クロテンキリガ","Orthosia funesta Leech, [1889]","エノキ、ウバメガシ、アラカシ","",""
"クロミミキリガ","Orthosia lizetta Butler, 1878","エノキ、コナラ、リンゴ、カシワなど","",""
"ブナキリガ","Orthosia paromoea (Hampson, 1905)","サクラ、クヌギ、マンサク、リンゴ、スモモ、カシワ、ブナ、ミズナラ、ウラジロガシ、アラカシ","広葉樹多食性。",""
"ヨモギキリガ","Orthosia ella Butler, 1878","ヨモギ、ハマエンドウ、イタドリ、ギシギシ","",""
"シロヘリキリガ","Orthosia limbata (Butler, 1879)","リンゴ、サクラ、クヌギ、コナラ、アラカシ、カシワ、ナワシログミ、シダレヤナギ(飼育)","シダレヤナギは飼育下での記録。",""
"アカバキリガ","Orthosia carnipennis (Butler, 1878)","サクラ、クヌギ、カシワ、コナラ、エノキ、リンゴ、モモ、クリ、アベマキ、アラカシ、フモトミズナラ、シラカバ、オニグルミ、ウワミズザクラなど","各種広葉樹。",""
"ナマリキリガ","Orthosia satoi Sugi, 1960","サクラ類(飼育)","飼育下での記録。","4月~5月"
"イイジマキリガ","Orthosia ijimai Sugi, 1955","リンゴ、サクラ類(飼育)、コナラ(飼育)、ミズキ(飼育)","飼育下での記録。",""
"チャイロキリガ","Orthosia odiosa (Butler, 1878)","エドヒガン、エノキ、カキ、リンゴ、アラカシ、クヌギ、コナラ、カシワなど","各種広葉樹。",""
"ゴマフキリガ","Orthosia coniortota (Filipjev, 1927)","シナノキ","",""
"ウスベニキリガ","Orthosia cedermarki (Bryk, 1949)","クリ、ソメイヨシノ","飼育下での記録。",""
"カシワキリガ","Orthosia gothica (Linnaeus, 1758)","リンゴ、スモモ、サクラ類、キイチゴ類、クヌギ、コナラ、アベマキ、カシワ、アラカシ","",""
"アトジロキリガ","Dioszeghyana mirabilis (Sugi, 1955)","カシワ","",""
"カギモンヤガ","Cerastis pallescens (Butler, 1878)","ウラシマソウ、シロバナエンレイソウ、アマドコロ","",""
"ムラサキウスモンヤガ","Cerastis leucographa (Denis & Schiffermüller, 1775)","カシ類(飼育)","多食性。",""
"ネムロウスモンヤガ","Cerastis rubricosa (Denis & Schiffermüller, 1775)","ハクサンチドリ、ミツガシワ","ヨーロッパでは多食性。",""
